epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614096836764,2021-02-23T16:15:31.680Z,14.3,-12.04076099395752,-4.20516300201416,-52.169837951660156
1614096836804,2021-02-23T16:15:31.682Z,14.34,-13.16576099395752,-3.08016300201416,-50.544837951660156
1614096836843,2021-02-23T16:15:31.710Z,14.379000000000001,-13.54076099395752,-4.20516300201416,-51.732337951660156
1614096836883,2021-02-23T16:15:31.712Z,14.419,-13.54076099395752,-2.70516300201416,-52.107337951660156
1614096836922,2021-02-23T16:15:31.724Z,14.458,-13.91576099395752,-3.08016300201416,-50.107337951660156
1614096836962,2021-02-23T16:15:31.726Z,14.498,-13.91576099395752,-3.08016300201416,-52.169837951660156
1614096837001,2021-02-23T16:15:31.728Z,14.537,-12.79076099395752,-5.64266300201416,-50.919837951660156
1614096837041,2021-02-23T16:15:31.755Z,14.577,-11.66576099395752,-3.08016300201416,-51.357337951660156
1614096837082,2021-02-23T16:15:31.757Z,14.618,-13.54076099395752,-6.76766300201416,-51.294837951660156
1614096837121,2021-02-23T16:15:31.768Z,14.657,-14.29076099395752,-4.89266300201416,-50.544837951660156
1614096837161,2021-02-23T16:15:31.771Z,14.697000000000001,-13.16576099395752,-10.08016300201416,-51.357337951660156
1614096837201,2021-02-23T16:15:31.773Z,14.737,-13.91576099395752,-4.89266300201416,-52.169837951660156
1614096837240,2021-02-23T16:15:31.784Z,14.776,-12.41576099395752,-2.70516300201416,-50.919837951660156
1614096837280,2021-02-23T16:15:31.786Z,14.815999999999999,-12.79076099395752,-6.39266300201416,-51.357337951660156
1614096837319,2021-02-23T16:15:31.788Z,14.855,-12.41576099395752,-3.45516300201416,-51.732337951660156
1614096837359,2021-02-23T16:15:31.814Z,14.895,-12.41576099395752,-4.89266300201416,-51.357337951660156
1614096837398,2021-02-23T16:15:31.816Z,14.934000000000001,-13.54076099395752,-6.01766300201416,-51.732337951660156
1614096837438,2021-02-23T16:15:31.818Z,14.974,-13.16576099395752,-6.76766300201416,-51.357337951660156
1614096837477,2021-02-23T16:15:31.830Z,15.013,-12.79076099395752,-8.64266300201416,-52.169837951660156
1614096837517,2021-02-23T16:15:31.832Z,15.052999999999999,-13.54076099395752,-9.70516300201416,-52.544837951660156
1614096837558,2021-02-23T16:15:31.843Z,15.094000000000001,-12.79076099395752,-8.26766300201416,-52.169837951660156
1614096837598,2021-02-23T16:15:31.845Z,15.134,-12.79076099395752,-17.892663955688477,-50.107337951660156
1614096837637,2021-02-23T16:15:31.848Z,15.173,-14.29076099395752,-8.64266300201416,-50.482337951660156
1614096837677,2021-02-23T16:15:31.874Z,15.213,-14.29076099395752,-12.33016300201416,-50.919837951660156
1614096837716,2021-02-23T16:15:31.876Z,15.252,-13.16576099395752,-9.70516300201416,-52.544837951660156
