epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614096851545,2021-02-23T16:15:38.278Z,29.068,99591.34126420453
1614096851584,2021-02-23T16:15:38.293Z,29.107,99591.34126420453
1614096851624,2021-02-23T16:15:38.308Z,29.147,99591.15376420453
1614096851665,2021-02-23T16:15:38.322Z,29.188000000000002,99591.15376420453
1614096851705,2021-02-23T16:15:38.324Z,29.228,99591.15376420453
1614096851744,2021-02-23T16:15:38.339Z,29.267,99591.15376420453
1614096851784,2021-02-23T16:15:38.353Z,29.307,99591.15376420453
1614096851823,2021-02-23T16:15:38.368Z,29.346,99591.15376420453
1614096851863,2021-02-23T16:15:38.382Z,29.386,99591.15376420453
1614096851904,2021-02-23T16:15:38.397Z,29.427,99591.15376420453
1614096851943,2021-02-23T16:15:38.429Z,29.465999999999998,99591.15376420453
1614096851983,2021-02-23T16:15:38.444Z,29.506,99591.15376420453
1614096852022,2021-02-23T16:15:38.458Z,29.545,99591.15376420453
1614096852062,2021-02-23T16:15:38.472Z,29.585,99591.15376420453
1614096852103,2021-02-23T16:15:38.487Z,29.625999999999998,99591.15376420453
1614096852143,2021-02-23T16:15:38.502Z,29.666,99591.15376420453
1614096852182,2021-02-23T16:15:38.504Z,29.705,99591.15376420453
1614096852222,2021-02-23T16:15:38.518Z,29.745,99590.49751420453
1614096852261,2021-02-23T16:15:38.533Z,29.784000000000002,99590.49751420453
1614096852301,2021-02-23T16:15:38.548Z,29.824,99590.49751420453
1614096852342,2021-02-23T16:15:38.562Z,29.865,99590.49751420453
1614096852381,2021-02-23T16:15:38.564Z,29.904,99591.15376420453
1614096852421,2021-02-23T16:15:38.578Z,29.944000000000003,99591.15376420453
1614096852460,2021-02-23T16:15:38.593Z,29.983,99590.49751420453
1614096852500,2021-02-23T16:15:38.608Z,30.023000000000003,99590.49751420453
1614096852541,2021-02-23T16:15:38.622Z,30.064,99590.49751420453
1614096852580,2021-02-23T16:15:38.624Z,30.103,99590.49751420453
1614096852620,2021-02-23T16:15:38.639Z,30.143,99590.49751420453
1614096852660,2021-02-23T16:15:38.653Z,30.183000000000003,99590.49751420453
1614096852699,2021-02-23T16:15:38.667Z,30.221999999999998,99590.49751420453
1614096852739,2021-02-23T16:15:38.682Z,30.261999999999997,99590.49751420453
1614096852780,2021-02-23T16:15:38.697Z,30.303,99590.49751420453
1614096852819,2021-02-23T16:15:38.699Z,30.342,99590.49751420453
1614096852859,2021-02-23T16:15:38.713Z,30.381999999999998,99590.49751420453
1614096852898,2021-02-23T16:15:38.728Z,30.421,99590.49751420453
1614096852938,2021-02-23T16:15:38.742Z,30.461,99590.49751420453
1614096852979,2021-02-23T16:15:38.757Z,30.502,99590.49751420453
1614096853018,2021-02-23T16:15:38.759Z,30.541,99590.49751420453
1614096853058,2021-02-23T16:15:38.773Z,30.581,99590.49751420453
1614096853098,2021-02-23T16:15:38.788Z,30.621,99590.49751420453
1614096853137,2021-02-23T16:15:38.802Z,30.66,99590.49751420453
1614096853177,2021-02-23T16:15:38.817Z,30.7,99590.49751420453
1614096853218,2021-02-23T16:15:38.832Z,30.741,99589.84907670453
1614096853257,2021-02-23T16:15:38.834Z,30.78,99589.84907670453
1614096853297,2021-02-23T16:15:38.848Z,30.82,99589.84907670453
1614096853336,2021-02-23T16:15:38.863Z,30.859,99589.84907670453
1614096853376,2021-02-23T16:15:38.878Z,30.899,99589.84907670453
1614096853417,2021-02-23T16:15:38.892Z,30.94,99589.84907670453
1614096853456,2021-02-23T16:15:38.894Z,30.979,99589.84907670453
1614096853496,2021-02-23T16:15:38.908Z,31.019000000000002,99589.84907670453
1614096853536,2021-02-23T16:15:38.923Z,31.059,99589.84907670453
1614096853575,2021-02-23T16:15:38.938Z,31.098000000000003,99589.84907670453
1614096853616,2021-02-23T16:15:38.952Z,31.139,99588.35688920453
1614096853656,2021-02-23T16:15:38.954Z,31.179000000000002,99588.35688920453
1614096853695,2021-02-23T16:15:38.969Z,31.218000000000004,99588.35688920453
1614096853735,2021-02-23T16:15:38.983Z,31.258000000000003,99588.35688920453
1614096853774,2021-02-23T16:15:38.998Z,31.296999999999997,99588.35688920453
1614096853814,2021-02-23T16:15:39.012Z,31.337,99588.35688920453
1614096853855,2021-02-23T16:15:39.027Z,31.378,99588.35688920453
1614096853894,2021-02-23T16:15:39.029Z,31.416999999999998,99588.35688920453
1614096853934,2021-02-23T16:15:39.043Z,31.456999999999997,99588.35688920453
1614096853974,2021-02-23T16:15:39.058Z,31.497,99588.35688920453
1614096854013,2021-02-23T16:15:39.073Z,31.535999999999998,99588.35688920453
1614096854054,2021-02-23T16:15:39.088Z,31.576999999999998,99588.35688920453
1614096854094,2021-02-23T16:15:39.102Z,31.616999999999997,99588.35688920453
1614096854133,2021-02-23T16:15:39.104Z,31.656,99588.35688920453
1614096854173,2021-02-23T16:15:39.119Z,31.695999999999998,99589.00532670453
1614096854212,2021-02-23T16:15:39.134Z,31.735,99589.00532670453
1614096854252,2021-02-23T16:15:39.148Z,31.775,99589.00532670453
1614096854293,2021-02-23T16:15:39.162Z,31.816,99589.00532670453
1614096854332,2021-02-23T16:15:39.177Z,31.855,99589.00532670453
1614096854372,2021-02-23T16:15:39.179Z,31.895,99589.00532670453
1614096854412,2021-02-23T16:15:39.193Z,31.935,99589.00532670453
1614096854451,2021-02-23T16:15:39.208Z,31.974,99589.00532670453
1614096854492,2021-02-23T16:15:39.222Z,32.015,99589.00532670453
1614096854532,2021-02-23T16:15:39.237Z,32.055,99589.00532670453
1614096854571,2021-02-23T16:15:39.239Z,32.094,99589.00532670453
1614096854611,2021-02-23T16:15:39.253Z,32.134,99589.00532670453
1614096854650,2021-02-23T16:15:39.268Z,32.173,99589.84907670453
1614096854690,2021-02-23T16:15:39.283Z,32.213,99589.84907670453
1614096854731,2021-02-23T16:15:39.297Z,32.254,99589.84907670453
1614096854770,2021-02-23T16:15:39.312Z,32.293,99589.84907670453
1614096854810,2021-02-23T16:15:39.314Z,32.333,99589.84907670453
1614096854850,2021-02-23T16:15:39.328Z,32.373000000000005,99589.84907670453
1614096854889,2021-02-23T16:15:39.342Z,32.412,99589.84907670453
1614096854930,2021-02-23T16:15:39.358Z,32.453,99589.84907670453
1614096854970,2021-02-23T16:15:39.372Z,32.493,99589.84907670453
1614096855009,2021-02-23T16:15:39.374Z,32.532,99589.84907670453
1614096855049,2021-02-23T16:15:39.418Z,32.571999999999996,99589.84907670453
1614096855088,2021-02-23T16:15:39.432Z,32.611,99589.84907670453
1614096855128,2021-02-23T16:15:39.447Z,32.650999999999996,99589.84907670453
1614096855169,2021-02-23T16:15:39.462Z,32.692,99589.20063920453
1614096855208,2021-02-23T16:15:39.464Z,32.731,99589.20063920453
1614096855248,2021-02-23T16:15:39.478Z,32.771,99589.84907670453
1614096855288,2021-02-23T16:15:39.493Z,32.811,99589.84907670453
1614096855327,2021-02-23T16:15:39.508Z,32.85,99589.84907670453
1614096855368,2021-02-23T16:15:39.522Z,32.891,99589.84907670453
1614096855408,2021-02-23T16:15:39.524Z,32.931,99589.00532670453
1614096855447,2021-02-23T16:15:39.538Z,32.97,99589.00532670453
1614096855487,2021-02-23T16:15:39.553Z,33.01,99589.00532670453
1614096855526,2021-02-23T16:15:39.568Z,33.049,99589.00532670453
1614096855566,2021-02-23T16:15:39.582Z,33.089,99589.00532670453
1614096855607,2021-02-23T16:15:39.584Z,33.13,99589.00532670453
1614096855646,2021-02-23T16:15:39.599Z,33.169000000000004,99589.00532670453
1614096855686,2021-02-23T16:15:39.613Z,33.209,99589.00532670453
1614096855726,2021-02-23T16:15:39.628Z,33.249,99589.00532670453
1614096855765,2021-02-23T16:15:39.642Z,33.288000000000004,99589.00532670453
