epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1614097170158,2021-02-23T16:21:44.621Z,0.027000000000000003,0.02906700503817406,-0.07601504540149312,-0.027907783268638253,0.9962921146550096
1614097170198,2021-02-23T16:21:44.623Z,0.067,0.02906700503817406,-0.07601504540149312,-0.027907783268638253,0.9962921146550096
1614097170239,2021-02-23T16:21:44.625Z,0.10800000000000001,0.02906700503817406,-0.07601504540149312,-0.027907783268638253,0.9962921146550096
1614097170278,2021-02-23T16:21:44.650Z,0.147,0.027877136514734363,-0.07368258386714087,-0.011227799934286357,0.9968288110819412
1614097170318,2021-02-23T16:21:44.652Z,0.187,0.02528422310527629,-0.0686256148778651,0.02475409716531383,0.9970147780841204
1614097170357,2021-02-23T16:21:44.654Z,0.226,0.022430542302776,-0.06307693595350325,0.06417295517297633,0.9956907164110191
1614097170397,2021-02-23T16:21:44.665Z,0.266,0.019302103136997283,-0.056421556894065285,0.10665768157862177,0.9925060078873136
1614097170436,2021-02-23T16:21:44.667Z,0.305,0.015897219599142188,-0.04915162680053765,0.1525284557868693,0.9869480564686016
1614097170476,2021-02-23T16:21:44.670Z,0.345,0.010223214081208977,-0.03777757640094306,0.2268627940235597,0.9731400789726752
1614097170516,2021-02-23T16:21:44.681Z,0.385,0.008240542953187309,-0.03355833530582121,0.25277809700301124,0.9669070096234048
1614097170555,2021-02-23T16:21:44.683Z,0.424,0.004078455993577473,-0.024934133599699357,0.3058781560086807,0.9517353670296538
1614097170595,2021-02-23T16:21:44.685Z,0.46399999999999997,-0.00026487823294909433,-0.016064865389420094,0.3599897468447339,0.9328178986845214
1614097170634,2021-02-23T16:21:44.697Z,0.503,-0.0046929209280531,-0.0068535165944484866,0.41401286173970425,0.910233132838809
1614097170675,2021-02-23T16:21:44.699Z,0.544,-0.009032822275868348,0.002582378179078982,0.4670490171808427,0.8841815169947186
1614097170715,2021-02-23T16:21:44.710Z,0.584,0.013345015401353149,-0.011888195626823623,-0.51810189002383,-0.8551321610852975
1614097170754,2021-02-23T16:21:44.713Z,0.623,0.017564942107477038,-0.020868912450655197,-0.5663966522558557,-0.8236812451520594
1614097170794,2021-02-23T16:21:44.715Z,0.6629999999999999,0.021370192203653448,-0.02957886394934248,-0.6113599155269783,-0.7905108850480751
1614097170833,2021-02-23T16:21:44.726Z,0.7020000000000001,0.024890323676190075,-0.03792093556836729,-0.6524449915482363,-0.7564773674317932
1614097170873,2021-02-23T16:21:44.729Z,0.742,0.028386220700496068,-0.045506260101251104,-0.689377176242674,-0.7224143628428337
1614097170913,2021-02-23T16:21:44.730Z,0.782,0.03161040612314205,-0.05242521083468794,-0.7221722812397475,-0.6889989664017265
1614097170952,2021-02-23T16:21:44.741Z,0.821,0.034474707311291014,-0.0586675936193155,-0.7511082913001403,-0.65666273135827
1614097170992,2021-02-23T16:21:44.744Z,0.861,0.036965074548501925,-0.06437858020535736,-0.7763713211686011,-0.6258886109694652
1614097171031,2021-02-23T16:21:44.770Z,0.9,0.03927078887112273,-0.06945033753117816,-0.7982510145979475,-0.5970173979471558
1614097171071,2021-02-23T16:21:44.790Z,0.94,0.04133564177118556,-0.07397237451831477,-0.8172256476243411,-0.5700541144421842
1614097171112,2021-02-23T16:21:44.790Z,0.981,0.043241051075871874,-0.07791673699053611,-0.8333967182144104,-0.5454439509867646
1614097171151,2021-02-23T16:21:44.800Z,1.02,0.04593837000014702,-0.08280986084395446,-0.8534408932062064,-0.5125142289850372
1614097171191,2021-02-23T16:21:44.802Z,1.06,0.04661775257486784,-0.08426729060110327,-0.8591592044190658,-0.5025646926930056
1614097171230,2021-02-23T16:21:44.805Z,1.099,0.047814241101418686,-0.08676496530802905,-0.8696218865235512,-0.4836769723919173
1614097171270,2021-02-23T16:21:44.816Z,1.139,0.04887959230453029,-0.0892031028441638,-0.8783365345945737,-0.4670958401607875
1614097171309,2021-02-23T16:21:44.818Z,1.178,0.049910910557438966,-0.0912888697551237,-0.8859749701087166,-0.4519110483347562
1614097171349,2021-02-23T16:21:44.821Z,1.218,0.05151947277556219,-0.09305239664268193,-0.8927573613466452,-0.4378027971191557
1614097171389,2021-02-23T16:21:44.831Z,1.258,0.0548549002280439,-0.09371361445153494,-0.8991503591926306,-0.4239543960748181
1614097171428,2021-02-23T16:21:44.834Z,1.297,0.058921078747788826,-0.09379509010600183,-0.9052573886720078,-0.4101705106488535
1614097171468,2021-02-23T16:21:44.836Z,1.337,0.061059815277156135,-0.09436379597878514,-0.9103859720248688,-0.3982016510602743
1614097171507,2021-02-23T16:21:44.847Z,1.376,0.06246365679943192,-0.09541910322672448,-0.9145333551476348,-0.3881007970116273
1614097171547,2021-02-23T16:21:44.849Z,1.416,0.0628517561791963,-0.09651882714387253,-0.9177042854372662,-0.3802007591286986
1614097171588,2021-02-23T16:21:44.861Z,1.4569999999999999,0.063133276928821,-0.09758181741733406,-0.9203152113537744,-0.3735129047363914
1614097171627,2021-02-23T16:21:44.921Z,1.496,0.06339204497787328,-0.09851238587721443,-0.9225889157713528,-0.3675682942775968
1614097171667,2021-02-23T16:21:44.923Z,1.536,0.06424070064830717,-0.09904860247261926,-0.9248374667065836,-0.3615773318450492
1614097171706,2021-02-23T16:21:44.925Z,1.575,0.06478173708907924,-0.0996668985992034,-0.9298105613545948,-0.3483133012917977
1614097171746,2021-02-23T16:21:44.937Z,1.615,0.06488208563968491,-0.09987619585825007,-0.9314603364431592,-0.3437974724996181
1614097171786,2021-02-23T16:21:44.939Z,1.655,0.06572108225188758,-0.10024633882513732,-0.9339350399236728,-0.3367443423467781
1614097171825,2021-02-23T16:21:44.950Z,1.694,0.06585946384644613,-0.1007132144265573,-0.9359389676972442,-0.3309646932945358
1614097171865,2021-02-23T16:21:44.952Z,1.734,0.06621424226045049,-0.10093883834262272,-0.9375821797377241,-0.326139052053222
1614097171904,2021-02-23T16:21:44.954Z,1.7730000000000001,0.06679184336349414,-0.10116668359627172,-0.9388107042091488,-0.3223951200818037
1614097171944,2021-02-23T16:21:44.980Z,1.8130000000000002,0.06632798990464019,-0.10178102911464276,-0.9401064537388606,-0.3184981562052096
1614097171985,2021-02-23T16:21:45.055Z,1.854,0.06599839280778491,-0.10232766147986724,-0.9424152464391808,-0.3114911958977803
1614097172024,2021-02-23T16:21:45.057Z,1.893,0.06626484113866257,-0.10266313883941684,-0.9440996963239744,-0.3061780758863806
1614097172064,2021-02-23T16:21:45.059Z,1.933,0.06322010521091713,-0.10358601037775007,-0.9460959894256196,-0.30029241672726137
1614097172103,2021-02-23T16:21:45.071Z,1.972,0.0575545810234407,-0.10551890315621656,-0.9485372257931464,-0.29296819377633354
1614097172143,2021-02-23T16:21:45.073Z,2.012,0.055257662905489634,-0.10661824554973684,-0.9508248791259268,-0.2855016456017127
1614097172183,2021-02-23T16:21:45.075Z,2.052,0.054142470540673865,-0.10718669024120962,-0.952590514446782,-0.2795548570583293
1614097172222,2021-02-23T16:21:45.086Z,2.0909999999999997,0.05232018582452599,-0.10789202186688883,-0.9539913588431695,-0.2748133858190404
1614097172262,2021-02-23T16:21:45.088Z,2.131,0.05064411976142775,-0.1083345398291522,-0.9546793039745672,-0.2725549984429416
1614097172301,2021-02-23T16:21:45.091Z,2.17,0.05040020316525113,-0.10836725292103508,-0.9559553698904316,-0.2680777663158547
1614097172341,2021-02-23T16:21:45.101Z,2.21,0.047468272144023216,-0.10945055971622758,-0.9567062482223349,-0.2654816240906514
1614097172380,2021-02-23T16:21:45.104Z,2.249,0.04446946916287561,-0.11064922749727617,-0.9577584591124109,-0.26168291645663183
1614097172420,2021-02-23T16:21:45.115Z,2.289,0.042857547242005294,-0.11144913113042068,-0.9584533537725622,-0.25905499504313995
1614097172461,2021-02-23T16:21:45.132Z,2.33,0.04140115705650066,-0.11194445123386232,-0.9587349073142578,-0.2580344192728054
1614097172500,2021-02-23T16:21:45.133Z,2.369,0.040629939789238165,-0.11227297295829317,-0.9591637691755592,-0.25641538845545875
1614097172540,2021-02-23T16:21:45.136Z,2.4090000000000003,0.04081081115880893,-0.11239200066781138,-0.9595623539856926,-0.25483838936055764
1614097172579,2021-02-23T16:21:45.147Z,2.448,0.04110352208142408,-0.11236155010833608,-0.9598462345127792,-0.2537333021528568
1614097172619,2021-02-23T16:21:45.175Z,2.488,0.04102851933131548,-0.11235493745562887,-0.9603778861269396,-0.2517287120476573
1614097172659,2021-02-23T16:21:45.178Z,2.528,0.04148111101510784,-0.11223822577140403,-0.960945218786146,-0.2495319310162236
1614097172698,2021-02-23T16:21:45.180Z,2.5669999999999997,0.041622155768093735,-0.1121519425913524,-0.9615749970912132,-0.24710941481707235
1614097172738,2021-02-23T16:21:45.206Z,2.6069999999999998,0.04270856269362906,-0.11184118885925896,-0.9624004527616322,-0.24382964477560434
1614097172777,2021-02-23T16:21:45.208Z,2.6460000000000004,0.042915733394892235,-0.11171396351243552,-0.9632121417745791,-0.24062543531711
1614097172817,2021-02-23T16:21:45.210Z,2.6860000000000004,0.04244921528686437,-0.11175933377927287,-0.9636648726868184,-0.2388680149878604
1614097172858,2021-02-23T16:21:45.221Z,2.727,0.04240815654956544,-0.1118950204412418,-0.9638994002561186,-0.237863403751852
1614097172897,2021-02-23T16:21:45.224Z,2.766,0.042240370375840317,-0.11188430247613418,-0.9643938342137598,-0.2358859607955164
1614097172937,2021-02-23T16:21:45.236Z,2.806,0.04218869666218547,-0.1119498479650042,-0.9645853723055874,-0.23507957152557996
1614097172976,2021-02-23T16:21:45.237Z,2.845,0.0419530001341177,-0.11215333324482664,-0.9646620350516848,-0.2347098927437085
1614097173016,2021-02-23T16:21:45.239Z,2.885,0.04162113537873384,-0.11236137465819887,-0.964816794751738,-0.2340323805367269
1614097173056,2021-02-23T16:21:45.251Z,2.925,0.041943719119139834,-0.11226938076589817,-0.9648307189813472,-0.2339615230734184
1614097173095,2021-02-23T16:21:45.253Z,2.964,0.042740742965905375,-0.11190141141400176,-0.9649025261196934,-0.23369727876488286
1614097173135,2021-02-23T16:21:45.255Z,3.0039999999999996,0.04426670210431143,-0.11106277928011478,-0.9648403888099814,-0.23406952442466464
1614097173174,2021-02-23T16:21:45.266Z,3.043,0.044821500275960165,-0.11059592019833878,-0.9644041168186102,-0.23597515761582036
1614097173214,2021-02-23T16:21:45.269Z,3.083,0.04571210254152619,-0.11029634836743077,-0.9647869293971992,-0.23437427350792414
1614097173253,2021-02-23T16:21:45.270Z,3.122,0.047893748083273145,-0.10982217191789287,-0.96485830989604,-0.2338668879391225
1614097173293,2021-02-23T16:21:45.282Z,3.162,0.0490755790584995,-0.10948989309219527,-0.9648462312873656,-0.2338275022774259
1614097173334,2021-02-23T16:21:45.284Z,3.2030000000000003,0.05005206311312116,-0.10909745401845616,-0.964655539565016,-0.2345894850400139
1614097173373,2021-02-23T16:21:45.295Z,3.242,0.051920146070321936,-0.108401814923438,-0.9639275361467712,-0.2374806308130335
1614097173413,2021-02-23T16:21:45.297Z,3.282,0.05608945070036648,-0.1066344449860365,-0.9628235598466922,-0.2417723335429305
1614097173453,2021-02-23T16:21:45.299Z,3.322,0.06077626234430863,-0.1049502225450726,-0.9619285672614364,-0.2449186154818684
