epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614099225672,2021-02-23T16:55:29.244Z,-0.351,-6.900815010070801,-16.069293975830078,29.40217399597168
1614099225713,2021-02-23T16:55:29.245Z,-0.31,-6.900815010070801,-9.194293022155762,28.58967399597168
1614099225753,2021-02-23T16:55:29.256Z,-0.27,-7.650815010070801,-7.00679349899292,28.58967399597168
1614099225793,2021-02-23T16:55:29.258Z,-0.23,-7.275815010070801,-21.506793975830078,28.96467399597168
1614099225825,2021-02-23T16:55:29.259Z,-0.198,-8.0258150100708,-5.94429349899292,28.96467399597168
1614099225864,2021-02-23T16:55:29.261Z,-0.159,-7.275815010070801,-7.75679349899292,29.40217399597168
1614099225904,2021-02-23T16:55:29.303Z,-0.119,-7.650815010070801,-7.75679349899292,28.15217399597168
1614099225945,2021-02-23T16:55:29.305Z,-0.078,-8.3383150100708,-8.819293022155762,29.40217399597168
1614099225983,2021-02-23T16:55:29.316Z,-0.04,-6.900815010070801,-8.131793022155762,27.77717399597168
1614099226005,2021-02-23T16:55:29.317Z,-0.018,-6.900815010070801,-5.56929349899292,28.96467399597168
1614099226045,2021-02-23T16:55:29.319Z,0.022,-7.275815010070801,-5.94429349899292,27.77717399597168
1614099226084,2021-02-23T16:55:29.321Z,0.061,-7.275815010070801,-7.00679349899292,29.77717399597168
1614099226124,2021-02-23T16:55:29.333Z,0.101,-6.900815010070801,-8.819293022155762,30.21467399597168
1614099226163,2021-02-23T16:55:29.335Z,0.14,-6.900815010070801,-13.194293022155762,28.58967399597168
1614099226204,2021-02-23T16:55:29.346Z,0.181,-7.650815010070801,-13.881793022155762,28.58967399597168
1614099226244,2021-02-23T16:55:29.348Z,0.221,-8.0258150100708,-8.819293022155762,28.58967399597168
1614099226283,2021-02-23T16:55:29.350Z,0.26,-7.275815010070801,-7.75679349899292,26.15217399597168
1614099226323,2021-02-23T16:55:29.361Z,0.3,-7.275815010070801,-8.131793022155762,29.40217399597168
1614099226362,2021-02-23T16:55:29.364Z,0.339,-7.650815010070801,-16.444293975830078,28.58967399597168
1614099226403,2021-02-23T16:55:29.365Z,0.38,-7.275815010070801,-9.194293022155762,28.15217399597168
1614099226443,2021-02-23T16:55:29.377Z,0.42,-7.275815010070801,-7.38179349899292,28.58967399597168
1614099226483,2021-02-23T16:55:29.379Z,0.46,-7.275815010070801,-20.444293975830078,28.15217399597168
1614099226522,2021-02-23T16:55:29.381Z,0.499,-6.900815010070801,-8.131793022155762,28.96467399597168
1614099226562,2021-02-23T16:55:29.392Z,0.539,-7.275815010070801,-8.131793022155762,28.96467399597168
1614099226603,2021-02-23T16:55:29.395Z,0.58,-8.0258150100708,-9.194293022155762,29.40217399597168
1614099226642,2021-02-23T16:55:29.406Z,0.619,-7.275815010070801,-7.75679349899292,28.15217399597168
1614099226682,2021-02-23T16:55:29.408Z,0.659,-6.900815010070801,-8.444293022155762,28.96467399597168
1614099226721,2021-02-23T16:55:29.410Z,0.698,-9.0883150100708,-8.444293022155762,28.15217399597168
1614099226761,2021-02-23T16:55:29.421Z,0.738,-7.650815010070801,-8.131793022155762,27.77717399597168
1614099226802,2021-02-23T16:55:29.424Z,0.779,-6.900815010070801,-7.38179349899292,28.96467399597168
1614099226841,2021-02-23T16:55:29.425Z,0.818,-8.0258150100708,-8.444293022155762,28.96467399597168
1614099226881,2021-02-23T16:55:29.436Z,0.858,-7.275815010070801,-8.131793022155762,28.96467399597168
1614099226921,2021-02-23T16:55:29.439Z,0.898,-7.650815010070801,-5.94429349899292,31.02717399597168
1614099226962,2021-02-23T16:55:29.440Z,0.939,-8.0258150100708,-8.444293022155762,28.96467399597168
1614099227001,2021-02-23T16:55:29.451Z,0.978,-7.650815010070801,-8.819293022155762,28.96467399597168
1614099227041,2021-02-23T16:55:29.454Z,1.018,-7.275815010070801,-13.194293022155762,31.02717399597168
1614099227080,2021-02-23T16:55:29.456Z,1.057,-6.900815010070801,-8.131793022155762,28.52717399597168
1614099227121,2021-02-23T16:55:29.468Z,1.098,-8.3383150100708,-7.38179349899292,30.58967399597168
1614099227161,2021-02-23T16:55:29.469Z,1.138,-6.900815010070801,-7.75679349899292,29.77717399597168
1614099227200,2021-02-23T16:55:29.481Z,1.177,-8.0258150100708,-7.38179349899292,29.77717399597168
1614099227240,2021-02-23T16:55:29.483Z,1.217,-7.275815010070801,-8.131793022155762,30.21467399597168
1614099227279,2021-02-23T16:55:29.485Z,1.256,-7.275815010070801,-8.131793022155762,28.58967399597168
1614099227319,2021-02-23T16:55:29.496Z,1.296,-7.650815010070801,-6.63179349899292,28.96467399597168
1614099227360,2021-02-23T16:55:29.498Z,1.337,-7.650815010070801,-8.444293022155762,30.21467399597168
1614099227400,2021-02-23T16:55:29.500Z,1.377,-8.3383150100708,-6.31929349899292,28.96467399597168
1614099227439,2021-02-23T16:55:29.511Z,1.416,-8.0258150100708,-6.63179349899292,27.77717399597168
1614099227479,2021-02-23T16:55:29.513Z,1.456,-8.3383150100708,-7.38179349899292,28.58967399597168
1614099227520,2021-02-23T16:55:29.515Z,1.497,-6.900815010070801,-6.31929349899292,29.77717399597168
1614099227559,2021-02-23T16:55:29.526Z,1.536,-7.650815010070801,-8.131793022155762,27.77717399597168
1614099227599,2021-02-23T16:55:29.529Z,1.576,-6.900815010070801,-8.131793022155762,31.02717399597168
1614099227638,2021-02-23T16:55:29.530Z,1.615,-7.275815010070801,-7.38179349899292,28.96467399597168
1614099227679,2021-02-23T16:55:29.542Z,1.656,-7.275815010070801,-6.31929349899292,28.15217399597168
1614099227719,2021-02-23T16:55:29.544Z,1.696,-8.0258150100708,-7.00679349899292,30.58967399597168
1614099227758,2021-02-23T16:55:29.546Z,1.735,-7.275815010070801,-15.006793022155762,30.58967399597168
1614099227798,2021-02-23T16:55:29.557Z,1.775,-8.0258150100708,-7.00679349899292,28.96467399597168
1614099227838,2021-02-23T16:55:29.560Z,1.815,-8.0258150100708,-5.19429349899292,30.21467399597168
1614099227877,2021-02-23T16:55:29.571Z,1.854,-7.650815010070801,-23.319293975830078,30.58967399597168
1614099227918,2021-02-23T16:55:29.573Z,1.895,-8.3383150100708,-8.444293022155762,29.40217399597168
1614099227958,2021-02-23T16:55:29.575Z,1.935,-8.0258150100708,-8.819293022155762,29.40217399597168
1614099227997,2021-02-23T16:55:29.586Z,1.974,-7.650815010070801,-12.069293022155762,28.96467399597168
1614099228037,2021-02-23T16:55:29.589Z,2.014,-7.650815010070801,-10.256793022155762,28.58967399597168
1614099228076,2021-02-23T16:55:29.590Z,2.053,-8.0258150100708,-7.00679349899292,29.77717399597168
1614099228117,2021-02-23T16:55:29.601Z,2.094,-6.900815010070801,-8.444293022155762,30.21467399597168
1614099228157,2021-02-23T16:55:29.604Z,2.134,-8.7133150100708,-7.38179349899292,29.40217399597168
1614099228196,2021-02-23T16:55:29.606Z,2.173,-8.0258150100708,-6.31929349899292,29.77717399597168
1614099228236,2021-02-23T16:55:29.617Z,2.213,-8.0258150100708,-8.444293022155762,29.77717399597168
1614099228277,2021-02-23T16:55:29.620Z,2.254,-7.275815010070801,-7.00679349899292,28.58967399597168
1614099228317,2021-02-23T16:55:29.631Z,2.294,-7.650815010070801,-7.00679349899292,30.21467399597168
1614099228356,2021-02-23T16:55:29.633Z,2.333,-7.275815010070801,-7.38179349899292,27.77717399597168
1614099228396,2021-02-23T16:55:29.635Z,2.373,-7.650815010070801,-7.00679349899292,30.21467399597168
1614099228435,2021-02-23T16:55:29.647Z,2.412,-8.3383150100708,-6.63179349899292,29.77717399597168
1614099228476,2021-02-23T16:55:29.662Z,2.453,-7.275815010070801,-5.94429349899292,28.96467399597168
1614099228516,2021-02-23T16:55:29.664Z,2.493,-8.7133150100708,-7.00679349899292,31.40217399597168
1614099228555,2021-02-23T16:55:29.666Z,2.532,-6.213315010070801,-8.444293022155762,31.02717399597168
1614099228595,2021-02-23T16:55:29.678Z,2.572,-9.0883150100708,-7.75679349899292,29.40217399597168
1614099228634,2021-02-23T16:55:29.680Z,2.611,-7.275815010070801,-8.444293022155762,30.58967399597168
1614099228675,2021-02-23T16:55:29.691Z,2.652,-7.275815010070801,-7.00679349899292,31.40217399597168
1614099228715,2021-02-23T16:55:29.693Z,2.692,-6.900815010070801,-11.756793022155762,30.58967399597168
1614099228754,2021-02-23T16:55:29.695Z,2.731,-7.650815010070801,-13.194293022155762,31.02717399597168
1614099228794,2021-02-23T16:55:29.707Z,2.771,-7.275815010070801,-8.444293022155762,29.77717399597168
