epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614100495350,2021-02-23T17:19:20.383Z,0.02,0.48750001192092896,-12.315278053283691,-38.68611145019531
1614100495389,2021-02-23T17:19:20.397Z,0.059,0.800000011920929,-13.440278053283691,-41.06111145019531
1614100495429,2021-02-23T17:19:20.412Z,0.099,0.11249999701976776,-11.565278053283691,-39.43611145019531
1614100495470,2021-02-23T17:19:20.428Z,0.14,1.1749999523162842,-12.690278053283691,-39.06111145019531
1614100495510,2021-02-23T17:19:20.442Z,0.18,0.48750001192092896,-12.315278053283691,-40.68611145019531
1614100495530,2021-02-23T17:19:20.472Z,0.2,0.11249999701976776,-12.315278053283691,-40.24861145019531
1614100495570,2021-02-23T17:19:20.474Z,0.24,0.11249999701976776,-10.815278053283691,-41.06111145019531
1614100495609,2021-02-23T17:19:20.488Z,0.279,-0.26249998807907104,-16.752777099609375,-39.87361145019531
1614100495650,2021-02-23T17:19:20.503Z,0.32,0.862500011920929,-16.752777099609375,-38.68611145019531
1614100495690,2021-02-23T17:19:20.517Z,0.36,0.48750001192092896,-14.127778053283691,-39.87361145019531
1614100495729,2021-02-23T17:19:20.531Z,0.399,0.862500011920929,-12.315278053283691,-38.62361145019531
1614100495769,2021-02-23T17:19:20.534Z,0.439,0.48750001192092896,-22.627777099609375,-39.06111145019531
1614100495808,2021-02-23T17:19:20.549Z,0.478,1.1749999523162842,-11.940278053283691,-39.87361145019531
1614100495849,2021-02-23T17:19:20.563Z,0.519,0.862500011920929,-12.690278053283691,-39.43611145019531
1614100495889,2021-02-23T17:19:20.577Z,0.559,0.48750001192092896,-19.690277099609375,-39.06111145019531
1614100495929,2021-02-23T17:19:20.591Z,0.599,0.862500011920929,-11.565278053283691,-40.24861145019531
1614100495968,2021-02-23T17:19:20.607Z,0.638,0.11249999701976776,-11.940278053283691,-38.62361145019531
1614100496008,2021-02-23T17:19:20.609Z,0.678,0.862500011920929,-11.190278053283691,-39.06111145019531
