epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614723397683,2021-03-02T22:18:22.144Z,15.825,99476.38606770831
1614723397724,2021-03-02T22:18:22.173Z,15.866,99476.38606770831
1614723397764,2021-03-02T22:18:22.175Z,15.905999999999999,99476.38606770831
1614723397803,2021-03-02T22:18:22.190Z,15.945,99476.38606770831
1614723397844,2021-03-02T22:18:22.204Z,15.985999999999999,99476.38606770831
1614723397884,2021-03-02T22:18:22.219Z,16.026,99476.38606770831
1614723397925,2021-03-02T22:18:22.233Z,16.067,99476.38606770831
1614723397964,2021-03-02T22:18:22.248Z,16.105999999999998,99475.68294270831
1614723398005,2021-03-02T22:18:22.250Z,16.147000000000002,99475.68294270831
1614723398045,2021-03-02T22:18:22.264Z,16.187,99475.68294270831
1614723398085,2021-03-02T22:18:22.280Z,16.227,99475.68294270831
1614723398126,2021-03-02T22:18:22.294Z,16.268,99475.68294270831
1614723398165,2021-03-02T22:18:22.324Z,16.307000000000002,99475.68294270831
1614723398206,2021-03-02T22:18:22.338Z,16.348,99475.68294270831
1614723398246,2021-03-02T22:18:22.353Z,16.387999999999998,99475.68294270831
1614723398285,2021-03-02T22:18:22.355Z,16.427,99475.68294270831
1614723398326,2021-03-02T22:18:22.369Z,16.468,99475.68294270831
1614723398366,2021-03-02T22:18:22.415Z,16.508,99475.68294270831
1614723398407,2021-03-02T22:18:22.430Z,16.549,99476.46419270831
1614723398446,2021-03-02T22:18:22.474Z,16.588,99476.46419270831
1614723398487,2021-03-02T22:18:22.489Z,16.629,99476.46419270831
1614723398527,2021-03-02T22:18:22.504Z,16.669,99476.46419270831
1614723398566,2021-03-02T22:18:22.518Z,16.708,99476.46419270831
1614723398607,2021-03-02T22:18:22.520Z,16.749000000000002,99476.46419270831
1614723398657,2021-03-02T22:18:22.550Z,16.799,99476.46419270831
1614723398698,2021-03-02T22:18:22.565Z,16.84,99476.46419270831
1614723398738,2021-03-02T22:18:22.579Z,16.88,99476.46419270831
1614723398777,2021-03-02T22:18:22.608Z,16.919,99476.46419270831
1614723398818,2021-03-02T22:18:22.623Z,16.96,99476.46419270831
1614723398858,2021-03-02T22:18:22.625Z,17.0,99476.46419270831
1614723398899,2021-03-02T22:18:22.654Z,17.041,99476.46419270831
1614723398939,2021-03-02T22:18:22.669Z,17.081,99476.46419270831
1614723398978,2021-03-02T22:18:22.699Z,17.12,99475.76106770831
1614723399019,2021-03-02T22:18:22.728Z,17.160999999999998,99475.76106770831
1614723399059,2021-03-02T22:18:22.730Z,17.201,99476.46419270831
1614723399100,2021-03-02T22:18:22.745Z,17.242,99476.46419270831
1614723399139,2021-03-02T22:18:22.759Z,17.281,99476.46419270831
1614723399179,2021-03-02T22:18:22.777Z,17.320999999999998,99476.46419270831
1614723399220,2021-03-02T22:18:22.788Z,17.362000000000002,99476.46419270831
1614723399259,2021-03-02T22:18:22.803Z,17.401,99476.46419270831
1614723399300,2021-03-02T22:18:22.805Z,17.442,99476.46419270831
1614723399340,2021-03-02T22:18:22.820Z,17.482,99476.46419270831
1614723399379,2021-03-02T22:18:22.834Z,17.521,99476.46419270831
1614723399420,2021-03-02T22:18:22.849Z,17.562,99476.46419270831
1614723399460,2021-03-02T22:18:22.878Z,17.602,99476.46419270831
1614723399501,2021-03-02T22:18:22.880Z,17.643,99476.46419270831
1614723399541,2021-03-02T22:18:22.895Z,17.683,99476.46419270831
1614723399582,2021-03-02T22:18:22.909Z,17.724,99476.46419270831
1614723399621,2021-03-02T22:18:22.924Z,17.762999999999998,99476.46419270831
1614723399661,2021-03-02T22:18:22.939Z,17.803,99476.46419270831
