epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614724478139,2021-03-02T22:36:16.182Z,20.293,99478.96647135416
1614724478180,2021-03-02T22:36:16.185Z,20.334,99478.96647135416
1614724478220,2021-03-02T22:36:16.211Z,20.374000000000002,99478.96647135416
1614724478261,2021-03-02T22:36:16.213Z,20.415,99479.63053385416
1614724478300,2021-03-02T22:36:16.215Z,20.454,99479.63053385416
1614724478340,2021-03-02T22:36:16.227Z,20.494,99481.09928385416
1614724478381,2021-03-02T22:36:16.229Z,20.535,99481.09928385416
1614724478420,2021-03-02T22:36:16.240Z,20.574,99481.09928385416
1614724478460,2021-03-02T22:36:16.242Z,20.614,99481.09928385416
1614724478501,2021-03-02T22:36:16.245Z,20.655,99480.44303385416
1614724478541,2021-03-02T22:36:16.255Z,20.695,99480.44303385416
1614724478582,2021-03-02T22:36:16.258Z,20.736,99479.77115885416
1614724478621,2021-03-02T22:36:16.260Z,20.775,99479.77115885416
1614724478661,2021-03-02T22:36:16.271Z,20.815,99479.77115885416
1614724478702,2021-03-02T22:36:16.285Z,20.855999999999998,99479.77115885416
1614724478741,2021-03-02T22:36:16.287Z,20.895,99480.44303385416
1614724478782,2021-03-02T22:36:16.289Z,20.936,99480.44303385416
1614724478822,2021-03-02T22:36:16.300Z,20.976,99480.44303385416
1614724478861,2021-03-02T22:36:16.303Z,21.015,99480.44303385416
1614724478902,2021-03-02T22:36:16.304Z,21.055999999999997,99480.44303385416
1614724478942,2021-03-02T22:36:16.315Z,21.096,99480.44303385416
1614724478983,2021-03-02T22:36:16.318Z,21.136999999999997,99481.09928385416
1614724479022,2021-03-02T22:36:16.320Z,21.176,99481.09928385416
1614724479062,2021-03-02T22:36:16.331Z,21.215999999999998,99482.59928385416
1614724479103,2021-03-02T22:36:16.333Z,21.256999999999998,99482.59928385416
1614724479153,2021-03-02T22:36:16.345Z,21.307,99481.94303385416
1614724479194,2021-03-02T22:36:16.347Z,21.348000000000003,99481.94303385416
1614724479244,2021-03-02T22:36:16.350Z,21.398000000000003,99481.94303385416
1614724479283,2021-03-02T22:36:16.375Z,21.436999999999998,99481.94303385416
1614724479324,2021-03-02T22:36:16.378Z,21.478,99481.94303385416
1614724479364,2021-03-02T22:36:16.380Z,21.518,99481.27897135416
1614724479403,2021-03-02T22:36:16.391Z,21.557,99481.27897135416
1614724479444,2021-03-02T22:36:16.393Z,21.598000000000003,99480.61490885416
1614724479484,2021-03-02T22:36:16.395Z,21.638,99480.61490885416
1614724479525,2021-03-02T22:36:16.406Z,21.679000000000002,99480.61490885416
1614724479564,2021-03-02T22:36:16.409Z,21.718000000000004,99480.61490885416
1614724479604,2021-03-02T22:36:16.420Z,21.758000000000003,99479.94303385416
1614724479645,2021-03-02T22:36:16.422Z,21.799,99479.94303385416
