epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1614724672244,2021-03-02T22:39:40.771Z,0.059,-0.29495179653167725,0.012762336991727352,-0.3587634861469269
1614724672282,2021-03-02T22:39:40.773Z,0.097,-0.23397618532180786,0.19568917155265808,0.1290414035320282
1614724672322,2021-03-02T22:39:40.787Z,0.137,-0.29495179653167725,0.1347135603427887,0.06806579977273941
1614724672361,2021-03-02T22:39:40.801Z,0.176,-0.23397618532180786,0.07373794913291931,0.1290414035320282
1614724672401,2021-03-02T22:39:40.816Z,0.216,-0.11202496290206909,-0.2311401069164276,0.06806579977273941
1614724672440,2021-03-02T22:39:40.818Z,0.255,0.009926262311637402,0.012762336991727352,0.1290414035320282
1614724672480,2021-03-02T22:39:40.832Z,0.295,-0.23397618532180786,0.012762336991727352,0.007090187165886164
1614724672520,2021-03-02T22:39:40.847Z,0.335,-0.05104934796690941,-0.17016449570655823,0.007090187165886164
1614724672559,2021-03-02T22:39:40.861Z,0.374,-0.17300057411193848,-0.04821327328681946,-0.05388542264699936
1614724672597,2021-03-02T22:39:40.876Z,0.412,-0.17300057411193848,-0.292115718126297,-0.2368122637271881
1614724672637,2021-03-02T22:39:40.878Z,0.452,-0.11202496290206909,-0.10918888449668884,-0.11486103385686874
1614724672676,2021-03-02T22:39:40.893Z,0.491,-0.11202496290206909,-0.292115718126297,-0.17583665251731873
1614724672716,2021-03-02T22:39:40.938Z,0.531,-0.29495179653167725,0.012762336991727352,-0.3587634861469269
1614724672755,2021-03-02T22:39:40.952Z,0.57,-0.05104934796690941,-0.292115718126297,-0.17583665251731873
1614724672795,2021-03-02T22:39:40.966Z,0.61,-0.05104934796690941,-0.17016449570655823,0.1290414035320282
1614724672835,2021-03-02T22:39:40.981Z,0.65,-0.11202496290206909,0.012762336991727352,0.1290414035320282
1614724672874,2021-03-02T22:39:40.996Z,0.689,-0.17300057411193848,0.012762336991727352,0.25099262595176697
1614724672912,2021-03-02T22:39:41.011Z,0.727,-0.05104934796690941,0.19568917155265808,0.4339194595813751
1614724672952,2021-03-02T22:39:41.026Z,0.767,-0.11202496290206909,0.1347135603427887,0.25099262595176697
1614724672991,2021-03-02T22:39:41.041Z,0.806,-0.416903018951416,-0.3530913293361664,0.1290414035320282
1614724673031,2021-03-02T22:39:41.043Z,0.846,-0.4778786301612854,-0.5969938039779663,-0.5416902899742126
1614724673070,2021-03-02T22:39:41.057Z,0.885,-1.148610234260559,-1.0238230228424072,-3.2246172428131104
1614724673110,2021-03-02T22:39:41.071Z,0.925,-2.1851956844329834,-2.1823596954345703,-8.224617004394531
1614724673149,2021-03-02T22:39:41.088Z,0.964,-2.8559274673461914,-5.536018371582031,-15.480714797973633
1614724673189,2021-03-02T22:39:41.102Z,1.004,-3.95348858833313,-8.82870101928711,-26.639251708984375
1614724673227,2021-03-02T22:39:41.116Z,1.042,-5.782756805419922,-16.572603225708008,-33.22461700439453
1614724673267,2021-03-02T22:39:41.131Z,1.082,-4.929098129272461,-22.609189987182617,-36.27339553833008
1614724673306,2021-03-02T22:39:41.146Z,1.121,-2.6730005741119385,-25.353092193603516,-38.16364288330078
1614724673346,2021-03-02T22:39:41.148Z,1.161,4.217243671417236,-30.901872634887695,-42.24900817871094
1614724673385,2021-03-02T22:39:41.162Z,1.2,0.7416335940361023,-47.36528396606445,-41.700225830078125
1614724673425,2021-03-02T22:39:41.176Z,1.24,-2.0022690296173096,-48.40187072753906,-40.9685173034668
1614724673464,2021-03-02T22:39:41.191Z,1.279,-3.587634801864624,-43.82870101928711,-34.80998229980469
1614724673504,2021-03-02T22:39:41.206Z,1.319,-5.173000335693359,-40.2921142578125,-26.151447296142578
1614724673542,2021-03-02T22:39:41.208Z,1.357,-8.52665901184082,-32.18235778808594,-20.1148624420166
1614724673582,2021-03-02T22:39:41.222Z,1.397,-12.12421989440918,-30.77992057800293,-14.931934356689453
1614724673621,2021-03-02T22:39:41.237Z,1.436,-14.62421989440918,-31.389677047729492,-9.32217788696289
1614724673661,2021-03-02T22:39:41.251Z,1.476,-14.990074157714844,-28.52382469177246,-8.0416898727417
1614724673700,2021-03-02T22:39:41.266Z,1.515,-15.904708862304688,-22.060409545898438,-10.907544136047363
1614724673740,2021-03-02T22:39:41.268Z,1.555,-19.441293716430664,-22.42626190185547,-17.431934356689453
