epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614724976628,2021-03-02T22:45:21.729Z,0.01,1.4888888597488403,-5.337500095367432,-127.12777709960938
1614724976668,2021-03-02T22:45:21.733Z,0.05,0.7388888597488403,-6.400000095367432,-127.12777709960938
1614724976708,2021-03-02T22:45:21.733Z,0.09,1.8638888597488403,-5.712500095367432,-127.12777709960938
1614724976747,2021-03-02T22:45:21.744Z,0.129,1.1138888597488403,-4.962500095367432,-125.50277709960938
1614724976788,2021-03-02T22:45:21.746Z,0.17,0.3638888895511627,-6.025000095367432,-128.69027709960938
1614724976809,2021-03-02T22:45:21.747Z,0.191,1.8638888597488403,-4.962500095367432,-127.12777709960938
1614724976848,2021-03-02T22:45:21.757Z,0.23,1.8638888597488403,-3.4625000953674316,-127.50277709960938
1614724976888,2021-03-02T22:45:21.759Z,0.27,1.8638888597488403,-5.712500095367432,-125.56527709960938
1614724976927,2021-03-02T22:45:21.762Z,0.309,1.1138888597488403,-5.712500095367432,-125.56527709960938
1614724976968,2021-03-02T22:45:21.788Z,0.35,1.8638888597488403,-5.337500095367432,-126.75277709960938
1614724977008,2021-03-02T22:45:21.790Z,0.39,1.1138888597488403,-4.962500095367432,-125.56527709960938
1614724977047,2021-03-02T22:45:21.792Z,0.429,1.4888888597488403,-5.337500095367432,-125.56527709960938
1614724977087,2021-03-02T22:45:21.804Z,0.469,0.3638888895511627,-5.337500095367432,-127.50277709960938
1614724977126,2021-03-02T22:45:21.806Z,0.508,1.1138888597488403,-6.775000095367432,-126.37777709960938
1614724977168,2021-03-02T22:45:21.808Z,0.55,2.23888897895813,-12.774999618530273,-125.19027709960938
1614724977207,2021-03-02T22:45:21.819Z,0.589,2.61388897895813,-6.775000095367432,-126.37777709960938
1614724977247,2021-03-02T22:45:21.822Z,0.629,1.1138888597488403,-6.025000095367432,-125.56527709960938
1614724977286,2021-03-02T22:45:21.832Z,0.668,1.1138888597488403,-20.587499618530273,-124.81527709960938
1614724977327,2021-03-02T22:45:21.834Z,0.709,-0.011111111380159855,-7.150000095367432,-127.56527709960938
1614724977367,2021-03-02T22:45:21.837Z,0.749,1.8638888597488403,-5.337500095367432,-126.00277709960938
1614724977406,2021-03-02T22:45:21.848Z,0.788,1.1138888597488403,-11.274999618530273,-126.81527709960938
1614724977446,2021-03-02T22:45:21.850Z,0.828,0.7388888597488403,-5.712500095367432,-127.19027709960938
1614724977487,2021-03-02T22:45:21.852Z,0.869,1.1138888597488403,-5.337500095367432,-126.75277709960938
1614724977526,2021-03-02T22:45:21.864Z,0.908,-0.3861111104488373,-7.900000095367432,-126.81527709960938
1614724977566,2021-03-02T22:45:21.866Z,0.948,1.8638888597488403,-6.400000095367432,-127.19027709960938
1614724977605,2021-03-02T22:45:21.868Z,0.987,1.4888888597488403,-6.400000095367432,-126.00277709960938
1614724977645,2021-03-02T22:45:21.879Z,1.027,0.7388888597488403,-5.712500095367432,-126.81527709960938
1614724977686,2021-03-02T22:45:21.882Z,1.068,1.1138888597488403,-5.712500095367432,-127.56527709960938
1614724977726,2021-03-02T22:45:21.892Z,1.108,0.3638888895511627,-6.025000095367432,-126.37777709960938
1614724977765,2021-03-02T22:45:21.894Z,1.147,1.1138888597488403,-8.649999618530273,-127.19027709960938
1614724977805,2021-03-02T22:45:21.897Z,1.187,1.1138888597488403,-4.962500095367432,-126.81527709960938
1614724977844,2021-03-02T22:45:21.908Z,1.226,2.61388897895813,-5.337500095367432,-125.62777709960938
1614724977885,2021-03-02T22:45:21.910Z,1.267,0.7388888597488403,-5.337500095367432,-127.19027709960938
1614724977925,2021-03-02T22:45:21.911Z,1.307,0.3638888895511627,-6.087500095367432,-125.62777709960938
1614724977964,2021-03-02T22:45:21.922Z,1.346,1.1138888597488403,-4.962500095367432,-124.81527709960938
1614724978004,2021-03-02T22:45:21.925Z,1.386,0.3638888895511627,-6.775000095367432,-126.81527709960938
1614724978045,2021-03-02T22:45:21.927Z,1.427,1.8638888597488403,-11.274999618530273,-126.00277709960938
1614724978084,2021-03-02T22:45:21.938Z,1.466,1.4888888597488403,-12.399999618530273,-126.81527709960938
1614724978124,2021-03-02T22:45:21.940Z,1.506,2.23888897895813,-10.149999618530273,-127.19027709960938
1614724978164,2021-03-02T22:45:21.943Z,1.546,0.7388888597488403,-7.525000095367432,-127.56527709960938
1614724978203,2021-03-02T22:45:21.954Z,1.585,1.4888888597488403,-4.587500095367432,-125.62777709960938
1614724978244,2021-03-02T22:45:21.956Z,1.626,2.61388897895813,-7.150000095367432,-128.37777709960938
1614724978284,2021-03-02T22:45:21.958Z,1.666,1.8638888597488403,-6.087500095367432,-126.37777709960938
1614724978323,2021-03-02T22:45:21.969Z,1.705,0.7388888597488403,-4.962500095367432,-126.37777709960938
1614724978363,2021-03-02T22:45:21.971Z,1.745,0.3638888895511627,-6.087500095367432,-127.19027709960938
