epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614819480247,2021-03-04T00:59:55.537Z,0.016,
1614819480287,2021-03-04T00:59:55.567Z,0.055999999999999994,
1614819480325,2021-03-04T00:59:55.569Z,0.094,
1614819480364,2021-03-04T00:59:55.583Z,0.133,
1614819480404,2021-03-04T00:59:55.597Z,0.17300000000000001,
1614819480443,2021-03-04T00:59:55.612Z,0.212,
1614819480483,2021-03-04T00:59:55.614Z,0.252,
1614819480522,2021-03-04T00:59:55.628Z,0.29100000000000004,
1614819480562,2021-03-04T00:59:55.643Z,0.331,99598.19596354169
1614819480601,2021-03-04T00:59:55.657Z,0.37,99598.19596354169
1614819480640,2021-03-04T00:59:55.672Z,0.409,99599.05533854169
1614819480679,2021-03-04T00:59:55.674Z,0.44799999999999995,99599.05533854169
1614819480719,2021-03-04T00:59:55.689Z,0.488,99599.21158854169
1614819480758,2021-03-04T00:59:55.703Z,0.527,99599.21158854169
1614819480798,2021-03-04T00:59:55.717Z,0.5670000000000001,99599.39908854169
1614819480837,2021-03-04T00:59:55.732Z,0.606,99599.39908854169
1614819480877,2021-03-04T00:59:55.746Z,0.6459999999999999,99598.91471354169
1614819480916,2021-03-04T00:59:55.749Z,0.685,99598.91471354169
1614819480954,2021-03-04T00:59:55.763Z,0.723,99599.27408854169
1614819480994,2021-03-04T00:59:55.777Z,0.763,99599.27408854169
1614819481034,2021-03-04T00:59:55.792Z,0.8029999999999999,99599.58658854169
1614819481073,2021-03-04T00:59:55.807Z,0.8420000000000001,99599.58658854169
1614819481113,2021-03-04T00:59:55.808Z,0.882,99599.10221354169
1614819481152,2021-03-04T00:59:55.823Z,0.9209999999999999,99599.10221354169
1614819481192,2021-03-04T00:59:55.838Z,0.961,99599.61783854169
1614819481231,2021-03-04T00:59:55.852Z,1.0,99599.61783854169
1614819481269,2021-03-04T00:59:55.867Z,1.038,99599.96158854169
1614819481309,2021-03-04T00:59:55.869Z,1.078,99599.96158854169
1614819481349,2021-03-04T00:59:55.884Z,1.1179999999999999,99599.64908854169
