epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614820826714,2021-03-04T01:22:01.185Z,-0.014,-13.751420021057129,-21.159090042114258,17.616477966308594
1614820826753,2021-03-04T01:22:01.200Z,0.025,-14.501420021057129,-21.909090042114258,16.491477966308594
1614820826794,2021-03-04T01:22:01.214Z,0.066,-13.063920021057129,-21.909090042114258,16.866477966308594
1614820826834,2021-03-04T01:22:01.216Z,0.106,-13.751420021057129,-22.971590042114258,16.928977966308594
1614820826873,2021-03-04T01:22:01.230Z,0.145,-13.751420021057129,-22.596590042114258,15.366477012634277
1614820826894,2021-03-04T01:22:01.245Z,0.166,-14.126420021057129,-22.596590042114258,15.741477012634277
1614820826933,2021-03-04T01:22:01.259Z,0.205,-14.876420021057129,-22.971590042114258,15.803977012634277
1614820826974,2021-03-04T01:22:01.261Z,0.246,-15.251420021057129,-23.346590042114258,16.553977966308594
1614820827014,2021-03-04T01:22:01.276Z,0.286,-14.501420021057129,-23.721590042114258,16.178977966308594
1614820827053,2021-03-04T01:22:01.290Z,0.325,-13.376420021057129,-22.284090042114258,16.178977966308594
1614820827094,2021-03-04T01:22:01.305Z,0.366,-15.251420021057129,-23.346590042114258,16.553977966308594
1614820827134,2021-03-04T01:22:01.319Z,0.406,-14.126420021057129,-22.596590042114258,16.928977966308594
1614820827174,2021-03-04T01:22:01.334Z,0.446,-14.126420021057129,-22.596590042114258,15.053977012634277
1614820827215,2021-03-04T01:22:01.336Z,0.487,-13.063920021057129,-21.534090042114258,16.116477966308594
1614820827254,2021-03-04T01:22:01.350Z,0.526,-14.501420021057129,-21.534090042114258,16.178977966308594
1614820827295,2021-03-04T01:22:01.364Z,0.567,-14.501420021057129,-24.096590042114258,15.803977012634277
1614820827335,2021-03-04T01:22:01.380Z,0.607,-12.688920021057129,-22.596590042114258,15.803977012634277
1614820827374,2021-03-04T01:22:01.394Z,0.646,-13.376420021057129,-23.346590042114258,16.928977966308594
1614820827415,2021-03-04T01:22:01.396Z,0.687,-14.876420021057129,-23.346590042114258,16.553977966308594
1614820827455,2021-03-04T01:22:01.410Z,0.727,-12.688920021057129,-23.721590042114258,16.928977966308594
1614820827494,2021-03-04T01:22:01.425Z,0.766,-13.063920021057129,-21.534090042114258,16.928977966308594
1614820827535,2021-03-04T01:22:01.439Z,0.807,-14.126420021057129,-23.346590042114258,16.616477966308594
1614820827575,2021-03-04T01:22:01.454Z,0.847,-13.063920021057129,-22.596590042114258,16.178977966308594
1614820827616,2021-03-04T01:22:01.469Z,0.888,-12.313920021057129,-21.909090042114258,16.991477966308594
1614820827656,2021-03-04T01:22:01.471Z,0.928,-14.501420021057129,-24.784090042114258,16.178977966308594
