epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614823195749,2021-03-04T02:00:16.357Z,0.302,99657.78971354167
1614823195827,2021-03-04T02:00:16.373Z,0.38,99657.46940104167
1614823195904,2021-03-04T02:00:16.402Z,0.457,99657.30533854167
1614823195983,2021-03-04T02:00:16.419Z,0.536,99657.14908854167
1614823196060,2021-03-04T02:00:16.448Z,0.613,99656.32096354167
1614823196137,2021-03-04T02:00:16.477Z,0.69,99656.16471354167
1614823196215,2021-03-04T02:00:16.494Z,0.768,99656.16471354167
1614823196292,2021-03-04T02:00:16.523Z,0.845,99655.97721354167
1614823196370,2021-03-04T02:00:16.552Z,0.923,99655.81315104167
1614823196448,2021-03-04T02:00:16.568Z,1.001,99655.81315104167
1614823196525,2021-03-04T02:00:16.598Z,1.078,99654.99283854167
1614823196603,2021-03-04T02:00:16.614Z,1.156,99655.65690104167
1614823196681,2021-03-04T02:00:16.643Z,1.234,99654.82096354167
1614823196758,2021-03-04T02:00:16.672Z,1.311,99655.49283854167
1614823196836,2021-03-04T02:00:16.689Z,1.389,99655.49283854167
1614823196914,2021-03-04T02:00:16.718Z,1.467,99654.66471354167
1614823196991,2021-03-04T02:00:16.747Z,1.544,99654.66471354167
1614823197069,2021-03-04T02:00:16.763Z,1.622,99654.66471354167
1614823197146,2021-03-04T02:00:16.822Z,1.699,99655.33658854167
1614823197224,2021-03-04T02:00:16.839Z,1.777,99654.50846354167
1614823197302,2021-03-04T02:00:16.867Z,1.855,99654.50846354167
1614823197379,2021-03-04T02:00:16.897Z,1.932,99654.50846354167
1614823197457,2021-03-04T02:00:16.913Z,2.01,99654.50846354167
1614823197535,2021-03-04T02:00:16.942Z,2.088,99654.50846354167
1614823197612,2021-03-04T02:00:16.959Z,2.165,99653.68033854167
1614823197690,2021-03-04T02:00:16.988Z,2.243,99653.68033854167
1614823197768,2021-03-04T02:00:17.017Z,2.321,99653.68033854167
1614823197845,2021-03-04T02:00:17.034Z,2.398,99654.35221354167
1614823197923,2021-03-04T02:00:17.062Z,2.476,99653.68033854167
1614823198000,2021-03-04T02:00:17.079Z,2.553,99654.35221354167
1614823198078,2021-03-04T02:00:17.108Z,2.631,99654.35221354167
1614823198156,2021-03-04T02:00:17.137Z,2.709,99654.35221354167
1614823198233,2021-03-04T02:00:17.153Z,2.786,99654.35221354167
1614823198311,2021-03-04T02:00:17.183Z,2.864,99654.35221354167
1614823198389,2021-03-04T02:00:17.199Z,2.942,99654.35221354167
1614823198466,2021-03-04T02:00:17.229Z,3.019,99655.02408854167
1614823198544,2021-03-04T02:00:17.258Z,3.097,99655.02408854167
1614823198622,2021-03-04T02:00:17.287Z,3.175,99655.02408854167
1614823198699,2021-03-04T02:00:17.303Z,3.252,99655.02408854167
1614823198778,2021-03-04T02:00:17.332Z,3.331,99655.02408854167
