epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1614823195456,2021-03-04T02:00:16.261Z,0.015,-0.5494163036346436,-0.1844482421875,0.8339067101478577
1614823195496,2021-03-04T02:00:16.264Z,0.055,-0.5286643505096436,-0.1905517578125,0.8236528038978577
1614823195537,2021-03-04T02:00:16.266Z,0.096,-0.5240256786346436,-0.1917724609375,0.8031449913978577
1614823195576,2021-03-04T02:00:16.276Z,0.135,-0.5281760692596436,-0.1993408203125,0.8165727257728577
1614823195617,2021-03-04T02:00:16.279Z,0.176,-0.5164573192596436,-0.1988525390625,0.8678422570228577
1614823195658,2021-03-04T02:00:16.281Z,0.217,-0.49277564883232117,-0.1805419921875,0.8849321007728577
1614823195698,2021-03-04T02:00:16.292Z,0.257,-0.46323463320732117,-0.1727294921875,0.8893266320228577
1614823195739,2021-03-04T02:00:16.294Z,0.298,-0.45761939883232117,-0.1890869140625,0.8937211632728577
1614823195779,2021-03-04T02:00:16.306Z,0.338,-0.43344947695732117,-0.2047119140625,0.8883500695228577
1614823195830,2021-03-04T02:00:16.308Z,0.389,-0.39780494570732117,-0.2269287109375,0.8727250695228577
1614823195869,2021-03-04T02:00:16.310Z,0.428,-0.39218971133232117,-0.2662353515625,0.8724809288978577
1614823195910,2021-03-04T02:00:16.322Z,0.469,-0.39096900820732117,-0.2940673828125,0.8715043663978577
1614823195950,2021-03-04T02:00:16.324Z,0.509,-0.37070533633232117,-0.2791748046875,0.8780961632728577
1614823195991,2021-03-04T02:00:16.326Z,0.55,-0.34555885195732117,-0.2791748046875,0.8907914757728577
1614823196031,2021-03-04T02:00:16.336Z,0.59,-0.32822486758232117,-0.2852783203125,0.8905473351478577
1614823196072,2021-03-04T02:00:16.339Z,0.631,-0.31186744570732117,-0.2816162109375,0.8990922570228577
1614823196111,2021-03-04T02:00:16.341Z,0.67,-0.29721900820732117,-0.2742919921875,0.9078813195228577
1614823196152,2021-03-04T02:00:16.352Z,0.711,-0.28012916445732117,-0.2796630859375,0.9047074913978577
1614823196192,2021-03-04T02:00:16.354Z,0.751,-0.25351783633232117,-0.2916259765625,0.9047074913978577
1614823196233,2021-03-04T02:00:16.366Z,0.792,-0.24179910123348236,-0.3067626953125,0.8966508507728577
1614823196272,2021-03-04T02:00:16.368Z,0.831,-0.21445535123348236,-0.3419189453125,0.9042192101478577
1614823196313,2021-03-04T02:00:16.370Z,0.872,-0.22910378873348236,-0.2989501953125,0.9269242882728577
1614823196354,2021-03-04T02:00:16.381Z,0.913,-0.23252175748348236,-0.2896728515625,0.9222856163978577
1614823196394,2021-03-04T02:00:16.384Z,0.953,-0.23642800748348236,-0.2843017578125,0.9213090538978577
1614823196444,2021-03-04T02:00:16.386Z,1.003,-0.28818580508232117,-0.3228759765625,0.8900590538978577
1614823196485,2021-03-04T02:00:16.397Z,1.044,-0.33579322695732117,-0.3514404296875,0.8641801476478577
1614823196526,2021-03-04T02:00:16.399Z,1.085,-0.36509010195732117,-0.4195556640625,0.9210649132728577
1614823196565,2021-03-04T02:00:16.411Z,1.124,-0.39658424258232117,-0.4051513671875,0.8861528038978577
1614823196606,2021-03-04T02:00:16.413Z,1.165,-0.33139869570732117,-0.3753662109375,0.8370805382728577
1614823196646,2021-03-04T02:00:16.415Z,1.205,-0.36753150820732117,-0.4010009765625,0.8192582726478577
1614823196687,2021-03-04T02:00:16.426Z,1.246,-0.35801002383232117,-0.4061279296875,0.8234086632728577
1614823196726,2021-03-04T02:00:16.429Z,1.285,-0.35605689883232117,-0.4151611328125,0.8529496788978577
1614823196767,2021-03-04T02:00:16.430Z,1.326,-0.36093971133232117,-0.3961181640625,0.8771196007728577
1614823196807,2021-03-04T02:00:16.441Z,1.366,-0.36899635195732117,-0.3746337890625,0.8597856163978577
1614823196848,2021-03-04T02:00:16.444Z,1.407,-0.39389869570732117,-0.4302978515625,0.8407426476478577
1614823196887,2021-03-04T02:00:16.446Z,1.446,-0.36924049258232117,-0.4139404296875,0.8436723351478577
1614823196928,2021-03-04T02:00:16.457Z,1.487,-0.36069557070732117,-0.4022216796875,0.8671098351478577
1614823196968,2021-03-04T02:00:16.459Z,1.527,-0.31601783633232117,-0.3614501953125,0.8866410851478577
1614823197009,2021-03-04T02:00:16.471Z,1.568,-0.35508033633232117,-0.3282470703125,0.8859086632728577
1614823197050,2021-03-04T02:00:16.473Z,1.609,-0.36264869570732117,-0.3616943359375,0.8807817101478577
1614823197090,2021-03-04T02:00:16.475Z,1.649,-0.36240455508232117,-0.3587646484375,0.8841996788978577
1614823197131,2021-03-04T02:00:16.501Z,1.69,-0.38364478945732117,-0.3446044921875,0.8575883507728577
1614823197170,2021-03-04T02:00:16.504Z,1.729,-0.39438697695732117,-0.3516845703125,0.8417192101478577
1614823197211,2021-03-04T02:00:16.506Z,1.77,-0.39682838320732117,-0.3853759765625,0.8402543663978577
1614823197251,2021-03-04T02:00:16.517Z,1.81,-0.37436744570732117,-0.4383544921875,0.8151078820228577
1614823197292,2021-03-04T02:00:16.519Z,1.851,-0.29795143008232117,-0.4810791015625,0.8014360070228577
1614823197331,2021-03-04T02:00:16.531Z,1.89,-0.29135963320732117,-0.5142822265625,0.8131547570228577
1614823197372,2021-03-04T02:00:16.533Z,1.931,-0.25791236758232117,-0.6038818359375,0.8558793663978577
1614823197412,2021-03-04T02:00:16.535Z,1.971,-0.20737527310848236,-0.6038818359375,0.9064164757728577
1614823197453,2021-03-04T02:00:16.546Z,2.012,-0.18808816373348236,-0.5294189453125,0.8868852257728577
1614823197492,2021-03-04T02:00:16.550Z,2.051,-0.19101785123348236,-0.4884033203125,0.8529496788978577
1614823197533,2021-03-04T02:00:16.561Z,2.092,-0.16220925748348236,-0.5030517578125,0.8312211632728577
1614823197574,2021-03-04T02:00:16.563Z,2.133,-0.17954324185848236,-0.5255126953125,0.8348832726478577
1614823197614,2021-03-04T02:00:16.566Z,2.173,-0.17832253873348236,-0.4993896484375,0.8409867882728577
1614823197655,2021-03-04T02:00:16.576Z,2.214,-0.18857644498348236,-0.5064697265625,0.8426957726478577
1614823197695,2021-03-04T02:00:16.578Z,2.254,-0.20420144498348236,-0.5152587890625,0.8519731163978577
1614823197736,2021-03-04T02:00:16.581Z,2.295,-0.23520730435848236,-0.4754638671875,0.8810258507728577
1614823197775,2021-03-04T02:00:16.592Z,2.334,-0.25009986758232117,-0.4813232421875,0.8571000695228577
1614823197816,2021-03-04T02:00:16.594Z,2.375,-0.25669166445732117,-0.4576416015625,0.8429399132728577
1614823197856,2021-03-04T02:00:16.621Z,2.415,-0.27134010195732117,-0.4500732421875,0.8141313195228577
1614823197897,2021-03-04T02:00:16.623Z,2.456,-0.28940650820732117,-0.4586181640625,0.8011918663978577
1614823197936,2021-03-04T02:00:16.627Z,2.495,-0.30600807070732117,-0.4791259765625,0.8004594445228577
1614823197977,2021-03-04T02:00:16.637Z,2.536,-0.32407447695732117,-0.4805908203125,0.8043656945228577
1614823198017,2021-03-04T02:00:16.639Z,2.576,-0.36020728945732117,-0.4822998046875,0.7953324913978577
1614823198058,2021-03-04T02:00:16.641Z,2.617,-0.37412330508232117,-0.4749755859375,0.7963090538978577
1614823198099,2021-03-04T02:00:16.653Z,2.658,-0.40219947695732117,-0.4583740234375,0.7909379601478577
1614823198138,2021-03-04T02:00:16.655Z,2.697,-0.42148658633232117,-0.4483642578125,0.7667680382728577
1614823198179,2021-03-04T02:00:16.656Z,2.738,-0.44687721133232117,-0.4334716796875,0.7469926476478577
1614823198219,2021-03-04T02:00:16.667Z,2.778,-0.45908424258232117,-0.4337158203125,0.7540727257728577
1614823198260,2021-03-04T02:00:16.670Z,2.819,-0.48740455508232117,-0.4300537109375,0.7828813195228577
1614823198300,2021-03-04T02:00:16.681Z,2.859,-0.49204322695732117,-0.4332275390625,0.8204789757728577
1614823198341,2021-03-04T02:00:16.683Z,2.9,-0.46640846133232117,-0.4329833984375,0.8275590538978577
1614823198380,2021-03-04T02:00:16.685Z,2.939,-0.45371314883232117,-0.4300537109375,0.8531938195228577
1614823198421,2021-03-04T02:00:16.697Z,2.98,-0.37973853945732117,-0.4288330078125,0.8236528038978577
1614823198461,2021-03-04T02:00:16.699Z,3.02,-0.31357643008232117,-0.4002685546875,0.8358598351478577
1614823198502,2021-03-04T02:00:16.701Z,3.061,-0.27671119570732117,-0.4085693359375,0.8790727257728577
1614823198541,2021-03-04T02:00:16.712Z,3.1,-0.30527564883232117,-0.4552001953125,0.8839555382728577
1614823198582,2021-03-04T02:00:16.715Z,3.141,-0.25254127383232117,-0.4466552734375,0.9091020226478577
1614823198623,2021-03-04T02:00:16.726Z,3.182,-0.25009986758232117,-0.4300537109375,0.9105668663978577
1614823198663,2021-03-04T02:00:16.728Z,3.222,-0.23789285123348236,-0.4632568359375,0.9081254601478577
1614823198704,2021-03-04T02:00:16.731Z,3.263,-0.25815650820732117,-0.4110107421875,0.9215531945228577
1614823198743,2021-03-04T02:00:16.741Z,3.302,-0.25425025820732117,-0.4161376953125,0.9120317101478577
1614823198784,2021-03-04T02:00:16.744Z,3.343,-0.21836160123348236,-0.4256591796875,0.9181352257728577
1614823198824,2021-03-04T02:00:16.745Z,3.383,-0.21347878873348236,-0.4005126953125,0.9230180382728577
1614823198865,2021-03-04T02:00:16.757Z,3.424,-0.17734597623348236,-0.3834228515625,0.9305863976478577
1614823198905,2021-03-04T02:00:16.759Z,3.464,-0.20786355435848236,-0.3424072265625,0.9178910851478577
1614823198946,2021-03-04T02:00:16.761Z,3.505,-0.20151589810848236,-0.3570556640625,0.9237504601478577
1614823198985,2021-03-04T02:00:16.772Z,3.544,-0.18662331998348236,-0.3638916015625,0.9142289757728577
1614823199026,2021-03-04T02:00:16.775Z,3.585,-0.16782449185848236,-0.3436279296875,0.9269242882728577
1614823199066,2021-03-04T02:00:16.786Z,3.625,-0.18930886685848236,-0.3333740234375,0.9235063195228577
1614823199107,2021-03-04T02:00:16.788Z,3.666,-0.19419167935848236,-0.3052978515625,0.9440141320228577
1614823199148,2021-03-04T02:00:16.790Z,3.707,-0.19150613248348236,-0.3045654296875,0.9388871788978577
1614823199187,2021-03-04T02:00:16.801Z,3.746,-0.19272683560848236,-0.2701416015625,0.9239946007728577
1614823199228,2021-03-04T02:00:16.803Z,3.787,-0.28379127383232117,-0.2864990234375,0.9313188195228577
1614823199268,2021-03-04T02:00:16.805Z,3.827,-0.25278541445732117,-0.2379150390625,0.9342485070228577
1614823199309,2021-03-04T02:00:16.817Z,3.868,-0.34189674258232117,-0.2103271484375,0.9633012413978577
1614823199348,2021-03-04T02:00:16.820Z,3.907,-0.31626197695732117,-0.2279052734375,0.9349809288978577
1614823199389,2021-03-04T02:00:16.831Z,3.948,-0.40537330508232117,-0.1885986328125,0.9215531945228577
1614823199429,2021-03-04T02:00:16.833Z,3.988,-0.38852760195732117,-0.1939697265625,0.9047074913978577
1614823199470,2021-03-04T02:00:16.835Z,4.029,-0.47910377383232117,-0.1773681640625,0.8946977257728577
1614823199510,2021-03-04T02:00:16.846Z,4.069,-0.45957252383232117,-0.1636962890625,0.8661332726478577
1614823199551,2021-03-04T02:00:16.848Z,4.11,-0.47739478945732117,-0.1529541015625,0.8661332726478577
1614823199590,2021-03-04T02:00:16.850Z,4.149,-0.46103736758232117,-0.1260986328125,0.8622270226478577
1614823199631,2021-03-04T02:00:16.861Z,4.19,-0.5044944286346436,-0.1397705078125,0.8685746788978577
1614823199672,2021-03-04T02:00:16.864Z,4.231,-0.5213401317596436,-0.1380615234375,0.8654008507728577
1614823199712,2021-03-04T02:00:16.866Z,4.271,-0.5271995067596436,-0.1734619140625,0.8404985070228577
1614823199753,2021-03-04T02:00:16.877Z,4.312,-0.5279319286346436,-0.1961669921875,0.8136430382728577
1614823199792,2021-03-04T02:00:16.880Z,4.351,-0.5484397411346436,-0.1888427734375,0.7980180382728577
1614823199833,2021-03-04T02:00:16.891Z,4.392,-0.5875022411346436,-0.2249755859375,0.7870317101478577
1614823199873,2021-03-04T02:00:16.893Z,4.432,-0.5938498973846436,-0.1981201171875,0.8029008507728577
1614823199914,2021-03-04T02:00:16.895Z,4.473,-0.5735862255096436,-0.1556396484375,0.7711625695228577
1614823199953,2021-03-04T02:00:16.906Z,4.512,-0.5882346630096436,-0.1595458984375,0.7721391320228577
1614823199994,2021-03-04T02:00:16.908Z,4.553,-0.6031272411346436,-0.1563720703125,0.7555375695228577
1614823200034,2021-03-04T02:00:16.910Z,4.593,-0.6006858348846436,-0.1998291015625,0.7245317101478577
1614823200075,2021-03-04T02:00:16.921Z,4.634,-0.6395041942596436,-0.2054443359375,0.7115922570228577
1614823200115,2021-03-04T02:00:16.924Z,4.674,-0.6622092723846436,-0.2386474609375,0.7054887413978577
1614823200156,2021-03-04T02:00:16.926Z,4.715,-0.6609885692596436,-0.2703857421875,0.7462602257728577
