epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614823235602,2021-03-04T02:05:58.284Z,0.298,99637.26302083333
1614823235679,2021-03-04T02:05:58.297Z,0.375,99636.25520833333
1614823235757,2021-03-04T02:05:58.310Z,0.453,99636.91145833333
1614823235834,2021-03-04T02:05:58.315Z,0.53,99636.75520833333
1614823235912,2021-03-04T02:05:58.329Z,0.608,99637.41145833333
1614823235990,2021-03-04T02:05:58.341Z,0.686,99637.25520833333
1614823236067,2021-03-04T02:05:58.354Z,0.763,99637.25520833333
1614823236145,2021-03-04T02:05:58.359Z,0.841,99637.09895833333
1614823236223,2021-03-04T02:05:58.372Z,0.919,99637.09895833333
1614823236300,2021-03-04T02:05:58.385Z,0.996,99637.09895833333
1614823236378,2021-03-04T02:05:58.390Z,1.074,99637.09895833333
1614823236456,2021-03-04T02:05:58.401Z,1.152,99637.09895833333
1614823236533,2021-03-04T02:05:58.415Z,1.229,99636.27864583333
1614823236611,2021-03-04T02:05:58.419Z,1.307,99636.94270833333
1614823236688,2021-03-04T02:05:58.435Z,1.384,99636.94270833333
1614823236766,2021-03-04T02:05:58.446Z,1.462,99636.94270833333
1614823236844,2021-03-04T02:05:58.490Z,1.54,99636.94270833333
1614823236921,2021-03-04T02:05:58.494Z,1.617,99636.94270833333
1614823236999,2021-03-04T02:05:58.508Z,1.695,99637.59895833333
1614823237077,2021-03-04T02:05:58.521Z,1.773,99637.59895833333
1614823237154,2021-03-04T02:05:58.535Z,1.85,99636.78645833333
1614823237232,2021-03-04T02:05:58.539Z,1.928,99636.78645833333
1614823237310,2021-03-04T02:05:58.552Z,2.006,99636.78645833333
1614823237387,2021-03-04T02:05:58.565Z,2.083,99636.12239583333
1614823237465,2021-03-04T02:05:58.570Z,2.161,99636.12239583333
1614823237542,2021-03-04T02:05:58.583Z,2.238,99636.78645833333
1614823237620,2021-03-04T02:05:58.596Z,2.316,99636.78645833333
1614823237698,2021-03-04T02:05:58.610Z,2.394,99636.12239583333
1614823237775,2021-03-04T02:05:58.614Z,2.471,99636.12239583333
1614823237853,2021-03-04T02:05:58.627Z,2.549,99636.12239583333
1614823237931,2021-03-04T02:05:58.640Z,2.627,99636.12239583333
1614823238008,2021-03-04T02:05:58.654Z,2.704,99636.12239583333
1614823238086,2021-03-04T02:05:58.658Z,2.782,99635.45833333333
1614823238164,2021-03-04T02:05:58.672Z,2.86,99635.45833333333
1614823238243,2021-03-04T02:05:58.685Z,2.939,99635.45833333333
1614823238319,2021-03-04T02:05:58.688Z,3.015,99635.45833333333
1614823238396,2021-03-04T02:05:58.701Z,3.092,99635.45833333333
1614823238474,2021-03-04T02:05:58.714Z,3.17,99635.45833333333
1614823238552,2021-03-04T02:05:58.718Z,3.248,99636.12239583333
1614823238629,2021-03-04T02:05:58.732Z,3.325,99636.12239583333
1614823238709,2021-03-04T02:05:58.745Z,3.405,99636.12239583333
1614823238785,2021-03-04T02:05:58.750Z,3.481,99636.12239583333
1614823238862,2021-03-04T02:05:58.763Z,3.558,99635.45833333333
1614823238940,2021-03-04T02:05:58.776Z,3.636,99636.12239583333
