epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1616621389239,2021-03-24T21:30:40.136Z,-0.001,-0.5564646124839783,-0.8367096781730652,-0.11429755389690399
1616621389279,2021-03-24T21:30:40.138Z,0.039,-0.5515817999839783,-0.8345124125480652,-0.09989325702190399
1616621389320,2021-03-24T21:30:40.140Z,0.08,-0.5689157843589783,-0.8450104594230652,-0.11942450702190399
1616621389359,2021-03-24T21:30:40.151Z,0.119,-0.5879587531089783,-0.8581940531730652,-0.125528022646904
1616621389400,2021-03-24T21:30:40.153Z,0.16,-0.5737985968589783,-0.8411042094230652,-0.10990302264690399
1616621389440,2021-03-24T21:30:40.156Z,0.2,-0.5652536749839783,-0.8323151469230652,-0.10086981952190399
1616621389481,2021-03-24T21:30:40.167Z,0.241,-0.5657419562339783,-0.8415924906730652,-0.10502021014690399
1616621389520,2021-03-24T21:30:40.169Z,0.28,-0.5772165656089783,-0.8476960062980652,-0.10379950702190399
1616621389561,2021-03-24T21:30:40.180Z,0.321,-0.5706247687339783,-0.8457428812980652,-0.10721747577190399
1616621389602,2021-03-24T21:30:40.182Z,0.362,-0.5635446906089783,-0.8450104594230652,-0.11576239764690399
1616621389642,2021-03-24T21:30:40.185Z,0.402,-0.5611032843589783,-0.8450104594230652,-0.10379950702190399
1616621389683,2021-03-24T21:30:40.195Z,0.443,-0.5645212531089783,-0.8440338969230652,-0.11478583514690399
1616621389722,2021-03-24T21:30:40.198Z,0.482,-0.5691599249839783,-0.8425690531730652,-0.10721747577190399
1616621389763,2021-03-24T21:30:40.200Z,0.523,-0.5681833624839783,-0.8411042094230652,-0.10477606952190399
1616621389803,2021-03-24T21:30:40.211Z,0.563,-0.5728220343589783,-0.8428131937980652,-0.11185614764690399
1616621389844,2021-03-24T21:30:40.214Z,0.604,-0.5716013312339783,-0.8418366312980652,-0.11063544452190399
1616621389883,2021-03-24T21:30:40.216Z,0.643,-0.5720896124839783,-0.8413483500480652,-0.10721747577190399
1616621389925,2021-03-24T21:30:40.227Z,0.685,-0.5737985968589783,-0.8450104594230652,-0.10672919452190399
1616621389964,2021-03-24T21:30:40.229Z,0.724,-0.5662302374839783,-0.8411042094230652,-0.10868231952190399
1616621390005,2021-03-24T21:30:40.240Z,0.765,-0.5547556281089783,-0.8389069437980652,-0.10648505389690399
1616621390046,2021-03-24T21:30:40.242Z,0.806,-0.5706247687339783,-0.8491608500480652,-0.11429755389690399
1616621390086,2021-03-24T21:30:40.245Z,0.846,-0.5672067999839783,-0.8384186625480652,-0.10672919452190399
1616621390127,2021-03-24T21:30:40.255Z,0.887,-0.5701364874839783,-0.8462311625480652,-0.10965888202190399
1616621390166,2021-03-24T21:30:40.258Z,0.926,-0.5689157843589783,-0.8403717875480652,-0.11039130389690399
1616621390207,2021-03-24T21:30:40.260Z,0.967,-0.5711130499839783,-0.8447663187980652,-0.10917060077190399
1616621390247,2021-03-24T21:30:40.271Z,1.007,-0.5723337531089783,-0.8437897562980652,-0.10746161639690399
1616621390288,2021-03-24T21:30:40.273Z,1.048,-0.5657419562339783,-0.8425690531730652,-0.11039130389690399
1616621390327,2021-03-24T21:30:40.276Z,1.087,-0.5672067999839783,-0.8398835062980652,-0.10379950702190399
1616621390368,2021-03-24T21:30:40.287Z,1.128,-0.5669626593589783,-0.8447663187980652,-0.10648505389690399
1616621390408,2021-03-24T21:30:40.289Z,1.168,-0.5706247687339783,-0.8415924906730652,-0.10794989764690399
1616621390449,2021-03-24T21:30:40.291Z,1.209,-0.5689157843589783,-0.8408600687980652,-0.10672919452190399
1616621390488,2021-03-24T21:30:40.302Z,1.248,-0.5706247687339783,-0.8418366312980652,-0.10990302264690399
1616621390529,2021-03-24T21:30:40.332Z,1.289,-0.5698923468589783,-0.8406159281730652,-0.10770575702190399
1616621390569,2021-03-24T21:30:40.334Z,1.329,-0.5654978156089783,-0.8408600687980652,-0.10819403827190399
1616621390610,2021-03-24T21:30:40.336Z,1.37,-0.5669626593589783,-0.8437897562980652,-0.10624091327190399
1616621390651,2021-03-24T21:30:40.347Z,1.411,-0.5654978156089783,-0.8428131937980652,-0.10746161639690399
1616621390691,2021-03-24T21:30:40.350Z,1.451,-0.5650095343589783,-0.8386628031730652,-0.10892646014690399
1616621390732,2021-03-24T21:30:40.360Z,1.492,-0.5725778937339783,-0.8464753031730652,-0.10160224139690399
1616621390771,2021-03-24T21:30:40.362Z,1.531,-0.5698923468589783,-0.8472077250480652,-0.10746161639690399
1616621390812,2021-03-24T21:30:40.365Z,1.572,-0.5608591437339783,-0.8403717875480652,-0.10672919452190399
1616621390852,2021-03-24T21:30:40.375Z,1.612,-0.5672067999839783,-0.8462311625480652,-0.10550849139690399
1616621390893,2021-03-24T21:30:40.377Z,1.653,-0.5674509406089783,-0.8452546000480652,-0.11625067889690399
1616621390932,2021-03-24T21:30:40.390Z,1.692,-0.5686716437339783,-0.8445221781730652,-0.11576239764690399
1616621390973,2021-03-24T21:30:40.392Z,1.733,-0.5747751593589783,-0.8420807719230652,-0.10526435077190399
1616621391013,2021-03-24T21:30:40.395Z,1.773,-0.5733103156089783,-0.8374421000480652,-0.10209052264690399
1616621391054,2021-03-24T21:30:40.406Z,1.814,-0.5689157843589783,-0.8415924906730652,-0.10624091327190399
1616621391093,2021-03-24T21:30:40.409Z,1.853,-0.5698923468589783,-0.8433014750480652,-0.10160224139690399
1616621391134,2021-03-24T21:30:40.411Z,1.894,-0.5674509406089783,-0.8430573344230652,-0.10624091327190399
1616621391175,2021-03-24T21:30:40.422Z,1.935,-0.5681833624839783,-0.8411042094230652,-0.10990302264690399
1616621391215,2021-03-24T21:30:40.424Z,1.975,-0.5681833624839783,-0.8398835062980652,-0.11210028827190399
1616621391256,2021-03-24T21:30:40.435Z,2.016,-0.5752634406089783,-0.8459870219230652,-0.11380927264690399
1616621391296,2021-03-24T21:30:40.437Z,2.056,-0.5755075812339783,-0.8420807719230652,-0.11454169452190399
1616621391337,2021-03-24T21:30:40.440Z,2.097,-0.5691599249839783,-0.8393952250480652,-0.10453192889690399
1616621391376,2021-03-24T21:30:40.450Z,2.136,-0.5637888312339783,-0.8401276469230652,-0.11698310077190399
1616621391417,2021-03-24T21:30:40.453Z,2.177,-0.5769724249839783,-0.8472077250480652,-0.10599677264690399
1616621391457,2021-03-24T21:30:40.455Z,2.217,-0.5723337531089783,-0.8452546000480652,-0.10453192889690399
1616621391498,2021-03-24T21:30:40.466Z,2.258,-0.5698923468589783,-0.8352448344230652,-0.10697333514690399
1616621391537,2021-03-24T21:30:40.468Z,2.297,-0.5720896124839783,-0.8401276469230652,-0.10599677264690399
1616621391578,2021-03-24T21:30:40.471Z,2.338,-0.5720896124839783,-0.8435456156730652,-0.10917060077190399
1616621391618,2021-03-24T21:30:40.482Z,2.378,-0.5694040656089783,-0.8376862406730652,-0.10868231952190399
1616621391659,2021-03-24T21:30:40.484Z,2.419,-0.5755075812339783,-0.8408600687980652,-0.11014716327190399
1616621391700,2021-03-24T21:30:40.495Z,2.46,-0.5733103156089783,-0.8376862406730652,-0.11039130389690399
1616621391739,2021-03-24T21:30:40.498Z,2.499,-0.5733103156089783,-0.8381745219230652,-0.11087958514690399
1616621391780,2021-03-24T21:30:40.510Z,2.54,-0.5735544562339783,-0.8379303812980652,-0.10648505389690399
