epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1616623448101,2021-03-24T22:04:52.178Z,119.124,-2.7486112117767334,-35.55694580078125,-24.13611030578613
1616623448141,2021-03-24T22:04:52.180Z,119.164,-1.2486110925674438,-35.93194580078125,-25.38611030578613
1616623448180,2021-03-24T22:04:52.182Z,119.20299999999999,-1.998611092567444,-35.18194580078125,-24.13611030578613
1616623448221,2021-03-24T22:04:52.194Z,119.244,-2.3736112117767334,-35.18194580078125,-25.38611030578613
1616623448261,2021-03-24T22:04:52.196Z,119.28399999999999,-1.2486110925674438,-35.55694580078125,-25.38611030578613
1616623448301,2021-03-24T22:04:52.207Z,119.324,-1.6236110925674438,-34.49444580078125,-26.19861030578613
1616623448340,2021-03-24T22:04:52.209Z,119.363,-2.7486112117767334,-33.74444580078125,-26.19861030578613
1616623448380,2021-03-24T22:04:52.211Z,119.40299999999999,-0.12361110746860506,-35.93194580078125,-26.63611030578613
1616623448419,2021-03-24T22:04:52.237Z,119.44200000000001,-3.1236112117767334,-35.18194580078125,-25.82361030578613
1616623448459,2021-03-24T22:04:52.240Z,119.48200000000001,-1.6236110925674438,-41.11944580078125,-25.82361030578613
1616623448498,2021-03-24T22:04:52.241Z,119.521,-3.4986112117767334,-36.30694580078125,-27.44861030578613
1616623448538,2021-03-24T22:04:52.253Z,119.561,-1.998611092567444,-36.30694580078125,-26.19861030578613
1616623448577,2021-03-24T22:04:52.255Z,119.6,-3.811111211776733,-35.93194580078125,-26.19861030578613
1616623448617,2021-03-24T22:04:52.257Z,119.64,-4.186110973358153,-34.43194580078125,-28.26111030578613
1616623448658,2021-03-24T22:04:52.299Z,119.681,-2.7486112117767334,-34.80694580078125,-27.01111030578613
1616623448697,2021-03-24T22:04:52.301Z,119.72,-4.186110973358153,-35.55694580078125,-26.19861030578613
1616623448737,2021-03-24T22:04:52.312Z,119.76,-3.811111211776733,-35.55694580078125,-25.82361030578613
1616623448777,2021-03-24T22:04:52.315Z,119.8,-1.998611092567444,-35.55694580078125,-25.82361030578613
1616623448816,2021-03-24T22:04:52.316Z,119.839,-2.7486112117767334,-35.93194580078125,-27.01111030578613
1616623448856,2021-03-24T22:04:52.327Z,119.87899999999999,-1.998611092567444,-35.93194580078125,-25.82361030578613
1616623448895,2021-03-24T22:04:52.330Z,119.91799999999999,-2.7486112117767334,-34.11944580078125,-25.82361030578613
1616623448935,2021-03-24T22:04:52.332Z,119.958,-4.561110973358153,-34.11944580078125,-27.01111030578613
1616623448974,2021-03-24T22:04:52.343Z,119.99700000000001,-5.686110973358153,-35.55694580078125,-25.82361030578613
1616623449014,2021-03-24T22:04:52.345Z,120.037,-3.1236112117767334,-37.05694580078125,-26.19861030578613
1616623449053,2021-03-24T22:04:52.357Z,120.07600000000001,-6.061110973358153,-35.93194580078125,-27.82361030578613
1616623449094,2021-03-24T22:04:52.359Z,120.117,-4.561110973358153,-34.43194580078125,-27.82361030578613
1616623449134,2021-03-24T22:04:52.361Z,120.15700000000001,-4.186110973358153,-45.93194580078125,-27.82361030578613
1616623449174,2021-03-24T22:04:52.387Z,120.197,-3.1236112117767334,-35.18194580078125,-25.82361030578613
1616623449213,2021-03-24T22:04:52.390Z,120.236,-3.4986112117767334,-35.18194580078125,-27.01111030578613
1616623449253,2021-03-24T22:04:52.391Z,120.27600000000001,-5.686110973358153,-34.80694580078125,-31.94861030578613
1616623449292,2021-03-24T22:04:52.402Z,120.315,-5.311110973358153,-32.24444580078125,-34.01111221313477
1616623449332,2021-03-24T22:04:52.405Z,120.355,-4.561110973358153,-31.869443893432614,-33.19861221313477
1616623449371,2021-03-24T22:04:52.407Z,120.39399999999999,-3.811111211776733,-33.74444580078125,-36.07361221313477
1616623449411,2021-03-24T22:04:52.418Z,120.434,-2.7486112117767334,-34.49444580078125,-35.26111221313477
1616623449450,2021-03-24T22:04:52.420Z,120.473,-2.7486112117767334,-30.744443893432614,-36.51111221313477
1616623449490,2021-03-24T22:04:52.422Z,120.51299999999999,-3.811111211776733,-31.869443893432614,-37.32361221313477
1616623449531,2021-03-24T22:04:52.434Z,120.554,-3.811111211776733,-31.869443893432614,-39.38611221313477
1616623449571,2021-03-24T22:04:52.436Z,120.594,-3.4986112117767334,-32.61944580078125,-39.32361221313477
1616623449610,2021-03-24T22:04:52.447Z,120.633,-3.4986112117767334,-32.24444580078125,-39.38611221313477
1616623449650,2021-03-24T22:04:52.449Z,120.67299999999999,-3.4986112117767334,-33.36944580078125,-38.51111221313477
1616623449689,2021-03-24T22:04:52.452Z,120.712,-3.4986112117767334,-39.99444580078125,-38.94861221313477
1616623449729,2021-03-24T22:04:52.462Z,120.75200000000001,-1.998611092567444,-33.74444580078125,-39.76111221313477
1616623449768,2021-03-24T22:04:52.465Z,120.791,-4.936110973358153,-33.74444580078125,-37.69861221313477
1616623449808,2021-03-24T22:04:52.467Z,120.831,-3.811111211776733,-32.24444580078125,-37.69861221313477
1616623449847,2021-03-24T22:04:52.478Z,120.87,-2.7486112117767334,-31.494443893432614,-38.94861221313477
1616623449887,2021-03-24T22:04:52.480Z,120.91,-4.186110973358153,-33.36944580078125,-37.32361221313477
1616623449927,2021-03-24T22:04:52.482Z,120.95,-2.7486112117767334,-34.05694580078125,-37.32361221313477
1616623449966,2021-03-24T22:04:52.494Z,120.98899999999999,-3.811111211776733,-32.24444580078125,-36.51111221313477
1616623450007,2021-03-24T22:04:52.496Z,121.03,-3.1236112117767334,-31.869443893432614,-37.32361221313477
1616623450047,2021-03-24T22:04:52.507Z,121.07,-2.3736112117767334,-32.99444580078125,-38.51111221313477
1616623450086,2021-03-24T22:04:52.510Z,121.109,-4.561110973358153,-32.99444580078125,-36.44861221313477
1616623450126,2021-03-24T22:04:52.512Z,121.149,-3.811111211776733,-32.99444580078125,-36.88611221313477
1616623450165,2021-03-24T22:04:52.525Z,121.18799999999999,-2.3736112117767334,-32.61944580078125,-37.69861221313477
1616623450205,2021-03-24T22:04:52.526Z,121.228,-4.186110973358153,-34.11944580078125,-37.69861221313477
1616623450244,2021-03-24T22:04:52.537Z,121.26700000000001,-3.1236112117767334,-32.99444580078125,-37.32361221313477
1616623450284,2021-03-24T22:04:52.552Z,121.307,-2.3736112117767334,-34.80694580078125,-38.94861221313477
1616623450323,2021-03-24T22:04:52.555Z,121.346,-5.686110973358153,-32.99444580078125,-37.69861221313477
1616623450363,2021-03-24T22:04:52.557Z,121.38600000000001,-2.7486112117767334,-35.93194580078125,-38.51111221313477
1616623450403,2021-03-24T22:04:52.568Z,121.426,-3.4986112117767334,-32.99444580078125,-38.51111221313477
1616623450444,2021-03-24T22:04:52.570Z,121.46700000000001,-5.686110973358153,-33.74444580078125,-37.69861221313477
1616623450483,2021-03-24T22:04:52.582Z,121.506,-4.561110973358153,-31.869443893432614,-38.94861221313477
1616623450523,2021-03-24T22:04:52.584Z,121.546,-3.4986112117767334,-32.61944580078125,-38.13611221313477
1616623450562,2021-03-24T22:04:52.586Z,121.585,-3.811111211776733,-32.61944580078125,-37.69861221313477
1616623450602,2021-03-24T22:04:52.598Z,121.625,-2.3736112117767334,-32.24444580078125,-38.94861221313477
1616623450641,2021-03-24T22:04:52.600Z,121.664,-5.311110973358153,-30.744443893432614,-36.88611221313477
1616623450681,2021-03-24T22:04:52.601Z,121.704,-2.3736112117767334,-32.99444580078125,-37.69861221313477
1616623450720,2021-03-24T22:04:52.612Z,121.743,-4.561110973358153,-32.24444580078125,-38.51111221313477
1616623450760,2021-03-24T22:04:52.615Z,121.78299999999999,-3.811111211776733,-31.494443893432614,-37.32361221313477
1616623450800,2021-03-24T22:04:52.617Z,121.823,-4.561110973358153,-31.494443893432614,-38.51111221313477
1616623450839,2021-03-24T22:04:52.629Z,121.86200000000001,-5.311110973358153,-32.24444580078125,-38.51111221313477
1616623450880,2021-03-24T22:04:52.631Z,121.90299999999999,-3.1236112117767334,-32.61944580078125,-38.13611221313477
1616623450920,2021-03-24T22:04:52.642Z,121.943,-3.1236112117767334,-45.93194580078125,-37.32361221313477
