epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1616623769091,2021-03-24T22:10:58.417Z,0.031,
1616623769131,2021-03-24T22:10:58.431Z,0.071,
1616623769171,2021-03-24T22:10:58.433Z,0.111,
1616623769210,2021-03-24T22:10:58.447Z,0.15,
1616623769250,2021-03-24T22:10:58.462Z,0.19,
1616623769289,2021-03-24T22:10:58.476Z,0.22899999999999998,
1616623769329,2021-03-24T22:10:58.478Z,0.26899999999999996,
1616623769368,2021-03-24T22:10:58.492Z,0.308,
1616623769408,2021-03-24T22:10:58.507Z,0.348,99481.6943359375
1616623769446,2021-03-24T22:10:58.522Z,0.386,99481.6943359375
1616623769485,2021-03-24T22:10:58.536Z,0.425,99481.0849609375
1616623769525,2021-03-24T22:10:58.538Z,0.465,99481.0849609375
1616623769565,2021-03-24T22:10:58.553Z,0.505,99481.2958984375
1616623769604,2021-03-24T22:10:58.567Z,0.544,99481.2958984375
1616623769644,2021-03-24T22:10:58.597Z,0.584,99480.8115234375
1616623769683,2021-03-24T22:10:58.611Z,0.623,99480.8115234375
1616623769723,2021-03-24T22:10:58.626Z,0.6629999999999999,99481.8427734375
1616623769761,2021-03-24T22:10:58.628Z,0.701,99481.8427734375
1616623769800,2021-03-24T22:10:58.642Z,0.74,99481.3818359375
1616623769840,2021-03-24T22:10:58.671Z,0.78,99481.3818359375
1616623769880,2021-03-24T22:10:58.701Z,0.82,99481.7177734375
1616623769919,2021-03-24T22:10:58.703Z,0.8590000000000001,99481.7177734375
1616623769959,2021-03-24T22:10:58.717Z,0.899,99481.4052734375
1616623769998,2021-03-24T22:10:58.732Z,0.938,99481.4052734375
1616623770038,2021-03-24T22:10:58.747Z,0.978,99481.1005859375
1616623770076,2021-03-24T22:10:58.761Z,1.016,99481.1005859375
1616623770115,2021-03-24T22:10:58.763Z,1.055,99481.4677734375
1616623770155,2021-03-24T22:10:58.777Z,1.095,99481.4677734375
1616623770194,2021-03-24T22:10:58.792Z,1.1340000000000001,99481.9833984375
1616623770234,2021-03-24T22:10:58.807Z,1.1740000000000002,99481.9833984375
1616623770274,2021-03-24T22:10:58.821Z,1.214,99481.6787109375
