epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1616625511001,2021-03-24T22:39:12.204Z,0.153,1.6888889074325562,-39.24444580078125,-4.948611259460449
1616625511041,2021-03-24T22:39:12.206Z,0.193,1.3138889074325562,-38.11944580078125,-6.198611259460449
1616625511082,2021-03-24T22:39:12.208Z,0.234,1.3138889074325562,-38.49444580078125,-5.386111259460449
1616625511121,2021-03-24T22:39:12.219Z,0.273,2.0638887882232666,-46.68194580078125,-5.386111259460449
1616625511161,2021-03-24T22:39:12.233Z,0.313,1.3138889074325562,-40.36944580078125,-6.198611259460449
1616625511181,2021-03-24T22:39:12.248Z,0.333,2.4388887882232666,-39.61944580078125,-4.948611259460449
1616625511221,2021-03-24T22:39:12.251Z,0.373,0.6263889074325562,-38.86944580078125,-6.198611259460449
1616625511260,2021-03-24T22:39:12.252Z,0.412,2.4388887882232666,-38.86944580078125,-4.511111259460449
1616625511302,2021-03-24T22:39:12.280Z,0.454,2.0638887882232666,-39.99444580078125,-6.198611259460449
1616625511341,2021-03-24T22:39:12.282Z,0.493,2.0638887882232666,-40.74444580078125,-7.011111259460449
1616625511381,2021-03-24T22:39:12.294Z,0.533,1.3138889074325562,-39.24444580078125,-4.948611259460449
1616625511420,2021-03-24T22:39:12.296Z,0.572,1.0013889074325562,-42.61944580078125,-7.011111259460449
1616625511460,2021-03-24T22:39:12.298Z,0.612,1.3138889074325562,-37.43194580078125,-5.761111259460449
1616625511499,2021-03-24T22:39:12.309Z,0.651,2.4388887882232666,-38.11944580078125,-5.386111259460449
1616625511539,2021-03-24T22:39:12.324Z,0.691,2.0638887882232666,-38.49444580078125,-5.761111259460449
1616625511578,2021-03-24T22:39:12.326Z,0.73,1.0013889074325562,-37.80694580078125,-6.573611259460449
1616625511618,2021-03-24T22:39:12.328Z,0.77,2.0638887882232666,-38.11944580078125,-5.386111259460449
1616625511657,2021-03-24T22:39:12.353Z,0.809,2.0638887882232666,-38.49444580078125,-6.198611259460449
1616625511698,2021-03-24T22:39:12.355Z,0.85,2.4388887882232666,-39.24444580078125,-5.323611259460449
1616625511738,2021-03-24T22:39:12.357Z,0.89,1.6888889074325562,-37.80694580078125,-5.761111259460449
1616625511778,2021-03-24T22:39:12.369Z,0.93,2.4388887882232666,-39.99444580078125,-6.198611259460449
1616625511817,2021-03-24T22:39:12.371Z,0.969,1.6888889074325562,-39.99444580078125,-7.011111259460449
1616625511857,2021-03-24T22:39:12.373Z,1.009,2.0638887882232666,-38.18194580078125,-5.323611259460449
1616625511896,2021-03-24T22:39:12.384Z,1.048,1.6888889074325562,-38.86944580078125,-6.573611259460449
1616625511936,2021-03-24T22:39:12.414Z,1.088,1.3138889074325562,-37.80694580078125,-6.198611259460449
1616625511975,2021-03-24T22:39:12.416Z,1.127,2.0638887882232666,-39.61944580078125,-4.948611259460449
1616625512015,2021-03-24T22:39:12.428Z,1.167,1.3138889074325562,-38.49444580078125,-7.386111259460449
