epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1626644589180,2021-07-18T21:45:57.215Z,0.311,99449.96949404762
1626644589258,2021-07-18T21:45:57.232Z,0.389,99449.70386904762
1626644589335,2021-07-18T21:45:57.276Z,0.466,99449.46949404762
1626644589413,2021-07-18T21:45:57.305Z,0.544,99449.99293154762
1626644589491,2021-07-18T21:45:57.337Z,0.622,99449.72730654762
1626644589568,2021-07-18T21:45:57.381Z,0.699,99450.28199404762
1626644589646,2021-07-18T21:45:57.440Z,0.777,99450.68824404762
1626644589724,2021-07-18T21:45:57.456Z,0.855,99450.57105654762
1626644589803,2021-07-18T21:45:57.487Z,0.934,99450.42261904762
1626644589880,2021-07-18T21:45:57.530Z,1.011,99450.97730654762
1626644589958,2021-07-18T21:45:57.546Z,1.089,99450.82886904762
1626644590036,2021-07-18T21:45:57.575Z,1.167,99450.03980654762
1626644590113,2021-07-18T21:45:57.607Z,1.244,99450.56324404762
1626644590191,2021-07-18T21:45:57.636Z,1.322,99450.44605654762
1626644590268,2021-07-18T21:45:57.665Z,1.399,99451.11011904762
1626644590346,2021-07-18T21:45:57.711Z,1.477,99450.32886904762
1626644590424,2021-07-18T21:45:57.741Z,1.555,99451.00074404762
1626644590501,2021-07-18T21:45:57.771Z,1.632,99450.18043154762
1626644590579,2021-07-18T21:45:57.816Z,1.71,99450.84449404762
1626644590657,2021-07-18T21:45:57.845Z,1.788,99450.73511904762
1626644590734,2021-07-18T21:45:57.862Z,1.865,99451.39918154762
1626644590812,2021-07-18T21:45:57.906Z,1.943,99451.39918154762
1626644590890,2021-07-18T21:45:57.950Z,2.021,99450.57886904762
1626644590967,2021-07-18T21:45:57.996Z,2.098,99451.25074404762
1626644591045,2021-07-18T21:45:58.026Z,2.176,99451.25074404762
1626644591122,2021-07-18T21:45:58.055Z,2.253,99451.13355654762
1626644591200,2021-07-18T21:45:58.086Z,2.331,99451.13355654762
1626644591278,2021-07-18T21:45:58.102Z,2.409,99451.13355654762
1626644591355,2021-07-18T21:45:58.131Z,2.486,99451.13355654762
1626644591433,2021-07-18T21:45:58.175Z,2.564,99451.81324404762
1626644591511,2021-07-18T21:45:58.192Z,2.642,99451.01636904762
1626644591588,2021-07-18T21:45:58.235Z,2.719,99451.01636904762
1626644591666,2021-07-18T21:45:58.281Z,2.797,99451.01636904762
1626644591744,2021-07-18T21:45:58.297Z,2.875,99451.68824404762
1626644591821,2021-07-18T21:45:58.342Z,2.952,99451.68824404762
1626644591899,2021-07-18T21:45:58.386Z,3.03,99451.68824404762
1626644591976,2021-07-18T21:45:58.415Z,3.107,99451.68824404762
1626644592054,2021-07-18T21:45:58.431Z,3.185,99452.36011904762
1626644592132,2021-07-18T21:45:58.490Z,3.263,99452.36011904762
1626644592209,2021-07-18T21:45:58.506Z,3.34,99452.36011904762
1626644592287,2021-07-18T21:45:58.566Z,3.418,99451.68824404762
1626644592365,2021-07-18T21:45:58.595Z,3.496,99450.86793154762
1626644592442,2021-07-18T21:45:58.641Z,3.573,99450.86793154762
1626644592520,2021-07-18T21:45:58.657Z,3.651,99450.86793154762
1626644592598,2021-07-18T21:45:58.686Z,3.729,99451.54761904762
1626644592675,2021-07-18T21:45:58.715Z,3.806,99451.54761904762
1626644592753,2021-07-18T21:45:58.745Z,3.884,99451.54761904762
1626644592830,2021-07-18T21:45:58.761Z,3.961,99451.54761904762
1626644592908,2021-07-18T21:45:58.820Z,4.039,99451.54761904762
1626644592986,2021-07-18T21:45:58.836Z,4.117,99451.54761904762
1626644593065,2021-07-18T21:45:58.881Z,4.196,99451.54761904762
1626644593142,2021-07-18T21:45:58.925Z,4.273,99451.54761904762
