epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1626644588971,2021-07-18T21:45:57.154Z,0.028,-0.01978149451315403,-0.0066772461868822575,-0.997814953327179
1626644589010,2021-07-18T21:45:57.156Z,0.067,-0.02002563513815403,-0.0059448243118822575,-1.0066039562225342
1626644589050,2021-07-18T21:45:57.158Z,0.107,-0.02051391638815403,-0.0054565430618822575,-1.0070922374725342
1626644589089,2021-07-18T21:45:57.169Z,0.146,-0.02197876013815403,-0.0059448243118822575,-1.0097777843475342
1626644589129,2021-07-18T21:45:57.184Z,0.186,-0.02026977576315403,-0.0049682618118822575,-1.0044066905975342
1626644589168,2021-07-18T21:45:57.186Z,0.225,-0.02295532263815403,-0.0054565430618822575,-1.0070922374725342
1626644589208,2021-07-18T21:45:57.188Z,0.265,-0.02197876013815403,-0.0071655274368822575,-1.0092895030975342
1626644589247,2021-07-18T21:45:57.199Z,0.304,-0.02026977576315403,-0.0052124024368822575,-1.0073363780975342
1626644589287,2021-07-18T21:45:57.202Z,0.344,-0.02368774451315403,-0.0061889649368822575,-1.0088012218475342
1626644589327,2021-07-18T21:45:57.204Z,0.384,-0.01978149451315403,-0.0047241211868822575,-1.0075805187225342
1626644589368,2021-07-18T21:45:57.215Z,0.425,-0.02271118201315403,-0.0052124024368822575,-1.0070922374725342
1626644589407,2021-07-18T21:45:57.217Z,0.464,-0.02100219763815403,-0.0047241211868822575,-1.0046508312225342
1626644589447,2021-07-18T21:45:57.229Z,0.504,-0.02002563513815403,-0.0059448243118822575,-1.0092895030975342
1626644589486,2021-07-18T21:45:57.231Z,0.543,-0.02124633826315403,-0.0049682618118822575,-1.0058715343475342
1626644589526,2021-07-18T21:45:57.233Z,0.583,-0.01856079138815403,-0.0064331055618822575,-1.0053832530975342
1626644589565,2021-07-18T21:45:57.244Z,0.622,-0.02222290076315403,-0.0044799805618822575,-1.0061156749725342
1626644589605,2021-07-18T21:45:57.246Z,0.662,-0.02100219763815403,-0.0061889649368822575,-1.0063598155975342
1626644589644,2021-07-18T21:45:57.248Z,0.701,-0.02149047888815403,-0.0047241211868822575,-1.0075805187225342
1626644589684,2021-07-18T21:45:57.259Z,0.741,-0.02149047888815403,-0.0057006836868822575,-1.0056273937225342
1626644589723,2021-07-18T21:45:57.261Z,0.78,-0.02271118201315403,-0.0039916993118822575,-1.0075805187225342
1626644589763,2021-07-18T21:45:57.264Z,0.82,-0.02173461951315403,-0.0054565430618822575,-1.0029418468475342
1626644589803,2021-07-18T21:45:57.275Z,0.86,-0.02051391638815403,-0.0047241211868822575,-1.0061156749725342
1626644589844,2021-07-18T21:45:57.305Z,0.901,-0.02271118201315403,-0.0057006836868822575,-1.0080687999725342
1626644589883,2021-07-18T21:45:57.307Z,0.94,-0.02295532263815403,-0.0057006836868822575,-1.0092895030975342
1626644589923,2021-07-18T21:45:57.319Z,0.98,-0.02051391638815403,-0.0066772461868822575,-1.0056273937225342
1626644589962,2021-07-18T21:45:57.321Z,1.019,-0.02344360388815403,-0.0064331055618822575,-1.0080687999725342
1626644590002,2021-07-18T21:45:57.323Z,1.059,-0.02173461951315403,-0.0052124024368822575,-1.0068480968475342
1626644590041,2021-07-18T21:45:57.334Z,1.098,-0.02149047888815403,-0.0047241211868822575,-1.0039184093475342
1626644590081,2021-07-18T21:45:57.336Z,1.138,-0.02149047888815403,-0.00863037072122097,-1.0075805187225342
1626644590120,2021-07-18T21:45:57.338Z,1.177,-0.02100219763815403,-0.0059448243118822575,-1.0046508312225342
1626644590160,2021-07-18T21:45:57.349Z,1.217,-0.02222290076315403,-0.0054565430618822575,-1.0075805187225342
1626644590200,2021-07-18T21:45:57.364Z,1.257,-0.02149047888815403,-0.0052124024368822575,-1.0058715343475342
1626644590239,2021-07-18T21:45:57.367Z,1.296,-0.02075805701315403,-0.0061889649368822575,-1.0068480968475342
1626644590279,2021-07-18T21:45:57.379Z,1.336,-0.02246704138815403,-0.0047241211868822575,-1.0051391124725342
1626644590320,2021-07-18T21:45:57.381Z,1.377,-0.02271118201315403,-0.0071655274368822575,-1.0058715343475342
1626644590359,2021-07-18T21:45:57.384Z,1.416,-0.02295532263815403,-0.0061889649368822575,-1.0063598155975342
1626644590399,2021-07-18T21:45:57.395Z,1.456,-0.02100219763815403,-0.0057006836868822575,-1.0080687999725342
1626644590438,2021-07-18T21:45:57.397Z,1.495,-0.02051391638815403,-0.0074096680618822575,-1.0061156749725342
