epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1626644412310,2021-07-18T21:42:08.632Z,0.316,99449.97230113637
1626644412388,2021-07-18T21:42:08.645Z,0.394,99450.81605113637
1626644412466,2021-07-18T21:42:08.658Z,0.472,99452.32386363637
1626644412543,2021-07-18T21:42:08.662Z,0.549,99452.37073863637
1626644412621,2021-07-18T21:42:08.676Z,0.627,99453.08167613637
1626644412699,2021-07-18T21:42:08.689Z,0.705,99453.78480113637
1626644412776,2021-07-18T21:42:08.703Z,0.782,99454.52698863637
1626644412854,2021-07-18T21:42:08.707Z,0.86,99455.10511363637
1626644412931,2021-07-18T21:42:08.721Z,0.937,99455.66761363637
1626644413009,2021-07-18T21:42:08.734Z,1.015,99456.24573863637
1626644413087,2021-07-18T21:42:08.738Z,1.093,99455.99573863637
1626644413164,2021-07-18T21:42:08.752Z,1.17,99456.55823863637
1626644413242,2021-07-18T21:42:08.764Z,1.248,99456.99573863637
1626644413320,2021-07-18T21:42:08.777Z,1.326,99457.43323863637
1626644413397,2021-07-18T21:42:08.782Z,1.403,99457.83948863637
1626644413475,2021-07-18T21:42:08.795Z,1.481,99457.48792613637
1626644413553,2021-07-18T21:42:08.809Z,1.559,99457.88636363637
1626644413632,2021-07-18T21:42:08.813Z,1.638,99457.80042613637
1626644413709,2021-07-18T21:42:08.826Z,1.715,99458.07386363637
1626644413787,2021-07-18T21:42:08.839Z,1.793,99458.37073863637
1626644413865,2021-07-18T21:42:08.852Z,1.871,99458.64417613637
1626644413942,2021-07-18T21:42:08.857Z,1.948,99458.94886363637
1626644414020,2021-07-18T21:42:08.870Z,2.026,99458.41761363637
1626644414098,2021-07-18T21:42:08.883Z,2.104,99459.34730113637
1626644414175,2021-07-18T21:42:08.888Z,2.181,99459.48792613637
1626644414253,2021-07-18T21:42:08.901Z,2.259,99458.99573863637
1626644414330,2021-07-18T21:42:08.944Z,2.336,99459.91761363637
1626644414408,2021-07-18T21:42:08.948Z,2.414,99460.05823863637
1626644414486,2021-07-18T21:42:08.962Z,2.492,99460.21448863637
1626644414563,2021-07-18T21:42:08.975Z,2.569,99460.35511363637
1626644414641,2021-07-18T21:42:08.988Z,2.647,99460.49573863637
1626644414719,2021-07-18T21:42:08.992Z,2.725,99460.62855113637
1626644414796,2021-07-18T21:42:09.006Z,2.802,99460.76136363637
1626644414874,2021-07-18T21:42:09.018Z,2.88,99460.26917613637
1626644414952,2021-07-18T21:42:09.023Z,2.958,99460.40198863637
1626644415029,2021-07-18T21:42:09.037Z,3.035,99460.54261363637
1626644415107,2021-07-18T21:42:09.049Z,3.113,99459.87855113637
1626644415184,2021-07-18T21:42:09.062Z,3.19,99459.35511363637
1626644415262,2021-07-18T21:42:09.067Z,3.268,99458.68323863637
1626644415340,2021-07-18T21:42:09.081Z,3.346,99458.82386363637
1626644415417,2021-07-18T21:42:09.094Z,3.423,99458.16761363637
1626644415495,2021-07-18T21:42:09.097Z,3.501,99457.50355113637
1626644415573,2021-07-18T21:42:09.111Z,3.579,99457.66761363637
1626644415650,2021-07-18T21:42:09.124Z,3.656,99457.66761363637
1626644415728,2021-07-18T21:42:09.137Z,3.734,99457.80823863637
1626644415806,2021-07-18T21:42:09.142Z,3.812,99457.80823863637
1626644415883,2021-07-18T21:42:09.155Z,3.889,99457.14417613637
1626644415961,2021-07-18T21:42:09.168Z,3.967,99457.27698863637
