epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1626646383157,2021-07-18T22:14:40.584Z,0.12,-0.4312908947467804,-0.08477097004652023,-0.4298036992549896
1626646383196,2021-07-18T22:14:40.586Z,0.159,0.11748959124088287,-0.08477097004652023,-0.551754891872406
1626646383236,2021-07-18T22:14:40.597Z,0.199,-0.06543724238872528,-0.2067221999168396,-0.30785247683525085
1626646383277,2021-07-18T22:14:40.599Z,0.24,-1.589827537536621,0.6469363570213318,-0.18590125441551208
1626646383316,2021-07-18T22:14:40.601Z,0.279,-0.7361689805984497,-0.08477097004652023,-0.18590125441551208
1626646383356,2021-07-18T22:14:40.612Z,0.319,-0.4922665059566498,0.2810826897621155,-0.06395003199577332
1626646383395,2021-07-18T22:14:40.614Z,0.358,-3.114217758178711,1.744497299194336,0.11897680163383484
1626646383435,2021-07-18T22:14:40.617Z,0.398,0.11748959124088287,0.1591314673423767,0.5458061099052429
1626646383474,2021-07-18T22:14:40.628Z,0.437,-0.6142177581787109,0.524985134601593,0.3628792464733124
1626646383514,2021-07-18T22:14:40.630Z,0.477,0.05651398003101349,-0.08477097004652023,0.6067817211151123
1626646383554,2021-07-18T22:14:40.632Z,0.517,-1.4678763151168823,0.524985134601593,-0.30785247683525085
1626646383593,2021-07-18T22:14:40.643Z,0.556,-0.370315283536911,-0.14574658870697021,-0.7346817255020142
1626646383633,2021-07-18T22:14:40.645Z,0.596,-1.6508030891418457,0.1591314673423767,-0.7346817255020142
1626646383672,2021-07-18T22:14:40.647Z,0.635,-0.7361689805984497,-0.023795360699295998,-0.30785247683525085
1626646383712,2021-07-18T22:14:40.658Z,0.675,-1.0410469770431519,-0.2067221999168396,0.301903635263443
1626646383751,2021-07-18T22:14:40.661Z,0.714,0.3004164397716522,-0.08477097004652023,0.2409280240535736
1626646383792,2021-07-18T22:14:40.672Z,0.755,-1.4069006443023682,0.2810826897621155,0.42385485768318176
1626646383832,2021-07-18T22:14:40.674Z,0.795,-1.0410469770431519,0.46400952339172363,-0.06395003199577332
1626646383871,2021-07-18T22:14:40.676Z,0.834,-1.4678763151168823,0.6469363570213318,-0.551754891872406
1626646383911,2021-07-18T22:14:40.688Z,0.874,-2.443485975265503,0.2810826897621155,-1.0395598411560059
1626646383951,2021-07-18T22:14:40.690Z,0.914,-1.6508030891418457,0.2201070785522461,-1.1005353927612305
1626646383990,2021-07-18T22:14:40.692Z,0.953,-0.3093396723270416,-0.6335514783859253,-0.7956573367118835
1626646384030,2021-07-18T22:14:40.703Z,0.993,-0.9190958142280579,-0.5116002559661865,-0.4298036992549896
1626646384069,2021-07-18T22:14:40.705Z,1.032,-0.7361689805984497,0.2201070785522461,0.058001190423965454
1626646384109,2021-07-18T22:14:40.707Z,1.072,-0.8581202030181885,-0.38964903354644775,-0.0029744200874119997
1626646384148,2021-07-18T22:14:40.718Z,1.111,0.23944081366062164,-0.2067221999168396,-0.24687686562538147
1626646384188,2021-07-18T22:14:40.720Z,1.151,0.5443188548088074,-0.38964903354644775,0.3628792464733124
1626646384227,2021-07-18T22:14:40.732Z,1.19,-0.004461630247533321,-0.023795360699295998,-0.24687686562538147
1626646384268,2021-07-18T22:14:40.734Z,1.231,0.422367662191391,-0.14574658870697021,0.11897680163383484
1626646384308,2021-07-18T22:14:40.736Z,1.271,-0.7361689805984497,0.8908387422561646,-0.1249256432056427
1626646384348,2021-07-18T22:14:40.747Z,1.311,0.4833432734012604,0.40303391218185425,0.11897680163383484
1626646384387,2021-07-18T22:14:40.750Z,1.35,0.4833432734012604,-0.14574658870697021,0.42385485768318176
1626646384427,2021-07-18T22:14:40.752Z,1.39,0.3004164397716522,2.903033971786499,0.7897085547447205
1626646384466,2021-07-18T22:14:40.763Z,1.429,-0.6751933693885803,4.793277740478516,2.009220600128174
1626646384506,2021-07-18T22:14:40.765Z,1.469,5.78822135925293,1.744497299194336,1.2775133848190308
1626646384545,2021-07-18T22:14:40.767Z,1.508,6.337001800537109,0.7079119682312012,1.2165377140045166
1626646384585,2021-07-18T22:14:40.778Z,1.548,-0.3093396723270416,1.5615705251693726,1.155562162399292
1626646384624,2021-07-18T22:14:40.780Z,1.587,0.7272456884384155,-0.8774539232254028,-1.1615110635757446
1626646384664,2021-07-18T22:14:40.782Z,1.627,-0.4312908947467804,-2.21891713142395,-0.36882808804512024
1626646384703,2021-07-18T22:14:40.794Z,1.666,2.251636028289795,-2.8286733627319336,-0.6127305030822754
1626646384744,2021-07-18T22:14:40.796Z,1.707,0.7272456884384155,-1.3042831420898438,0.058001190423965454
1626646384784,2021-07-18T22:14:40.807Z,1.747,2.1296849250793457,-1.7311124801635742,-0.18590125441551208
1626646384824,2021-07-18T22:14:40.809Z,1.787,-0.5532421469688416,-0.45062464475631714,-0.6127305030822754
1626646384863,2021-07-18T22:14:40.812Z,1.826,-1.7117787599563599,-0.32867342233657837,-0.8566329479217529
1626646384903,2021-07-18T22:14:40.823Z,1.866,-1.2239738702774048,-0.5116002559661865,-0.1249256432056427
1626646384942,2021-07-18T22:14:40.825Z,1.905,-0.4312908947467804,-0.5725758671760559,-0.30785247683525085
1626646384982,2021-07-18T22:14:40.827Z,1.945,-1.2239738702774048,-0.6335514783859253,0.058001190423965454
1626646385021,2021-07-18T22:14:40.838Z,1.984,-0.24836407601833344,-0.023795360699295998,0.7287329435348511
1626646385061,2021-07-18T22:14:40.840Z,2.024,-0.4312908947467804,0.1591314673423767,1.0336109399795532
1626646385100,2021-07-18T22:14:40.842Z,2.063,0.05651398003101349,-0.14574658870697021,0.9726353287696838
1626646385140,2021-07-18T22:14:40.854Z,2.103,-0.18738846480846405,-0.267697811126709,-0.18590125441551208
1626646385181,2021-07-18T22:14:40.856Z,2.144,-1.0410469770431519,0.2810826897621155,-0.6737061142921448
1626646385221,2021-07-18T22:14:40.867Z,2.184,0.6052944660186768,-1.182331919670105,-1.1005353927612305
1626646385260,2021-07-18T22:14:40.869Z,2.223,-0.9800714254379272,-0.45062464475631714,-0.7346817255020142
1626646385300,2021-07-18T22:14:40.872Z,2.263,-1.528851866722107,0.7079119682312012,0.301903635263443
1626646385339,2021-07-18T22:14:40.883Z,2.302,-2.138607978820801,0.7079119682312012,0.7897085547447205
1626646385379,2021-07-18T22:14:40.885Z,2.342,1.0321236848831177,0.7079119682312012,1.7653182744979858
1626646385418,2021-07-18T22:14:40.887Z,2.381,1.0930993556976318,0.5859607458114624,1.8262938261032104
1626646385458,2021-07-18T22:14:40.898Z,2.421,1.1540749073028564,0.40303391218185425,0.7897085547447205
1626646385497,2021-07-18T22:14:40.900Z,2.46,-1.2239738702774048,1.2566924095153809,-0.6737061142921448
1626646385537,2021-07-18T22:14:40.902Z,2.5,-2.26055908203125,1.5615705251693726,-0.6127305030822754
1626646385577,2021-07-18T22:14:40.913Z,2.54,-1.7117787599563599,-0.2067221999168396,-0.1249256432056427
1626646385616,2021-07-18T22:14:40.916Z,2.579,-0.6142177581787109,-0.32867342233657837,0.301903635263443
1626646385656,2021-07-18T22:14:40.927Z,2.619,-1.4069006443023682,0.037180252373218536,0.48483046889305115
1626646385697,2021-07-18T22:14:40.929Z,2.66,-0.6142177581787109,0.6469363570213318,-0.490779310464859
1626646385736,2021-07-18T22:14:40.931Z,2.699,-0.18738846480846405,0.9518144130706787,-0.4298036992549896
1626646385776,2021-07-18T22:14:40.943Z,2.739,1.0930993556976318,-0.08477097004652023,0.42385485768318176
1626646385815,2021-07-18T22:14:40.945Z,2.778,-0.7361689805984497,1.988399863243103,-0.06395003199577332
1626646385855,2021-07-18T22:14:40.947Z,2.818,-0.12641285359859467,2.1713266372680664,-0.1249256432056427
1626646385894,2021-07-18T22:14:40.958Z,2.857,0.6052944660186768,1.317668080329895,-0.490779310464859
1626646385934,2021-07-18T22:14:40.960Z,2.897,1.397977352142334,0.524985134601593,0.5458061099052429
1626646385973,2021-07-18T22:14:40.988Z,2.936,1.0930993556976318,0.524985134601593,0.48483046889305115
1626646386013,2021-07-18T22:14:40.990Z,2.976,-0.12641285359859467,-0.14574658870697021,-0.0029744200874119997
1626646386053,2021-07-18T22:14:40.992Z,3.016,-1.1629981994628906,-0.7555027008056641,0.058001190423965454
1626646386092,2021-07-18T22:14:41.004Z,3.055,-0.9190958142280579,-1.5481855869293213,-0.1249256432056427
1626646386132,2021-07-18T22:14:41.006Z,3.095,-1.7727543115615845,-1.7920880317687988,-0.1249256432056427
1626646386173,2021-07-18T22:14:41.017Z,3.136,-1.2849494218826294,-1.67013680934906,-0.36882808804512024
1626646386212,2021-07-18T22:14:41.019Z,3.175,-1.102022647857666,-0.32867342233657837,-0.30785247683525085
1626646386252,2021-07-18T22:14:41.022Z,3.215,-0.3093396723270416,-0.08477097004652023,-0.18590125441551208
1626646386291,2021-07-18T22:14:41.033Z,3.254,0.17846520245075226,0.7079119682312012,-0.24687686562538147
1626646386331,2021-07-18T22:14:41.035Z,3.294,1.0321236848831177,0.7688875794410706,-0.18590125441551208
1626646386370,2021-07-18T22:14:41.037Z,3.333,0.3004164397716522,0.7688875794410706,-0.0029744200874119997
1626646386410,2021-07-18T22:14:41.048Z,3.373,0.3004164397716522,0.40303391218185425,0.11897680163383484
1626646386450,2021-07-18T22:14:41.050Z,3.413,-0.18738846480846405,0.09815586358308792,-0.0029744200874119997
1626646386489,2021-07-18T22:14:41.052Z,3.452,-0.3093396723270416,-0.5116002559661865,0.11897680163383484
1626646386529,2021-07-18T22:14:41.063Z,3.492,-0.9190958142280579,-0.6335514783859253,0.11897680163383484
1626646386568,2021-07-18T22:14:41.066Z,3.531,0.3004164397716522,-1.1213563680648804,0.2409280240535736
1626646386608,2021-07-18T22:14:41.077Z,3.571,-1.1629981994628906,-0.32867342233657837,0.2409280240535736
1626646386649,2021-07-18T22:14:41.079Z,3.612,0.11748959124088287,-1.3042831420898438,0.6677573323249817
1626646386688,2021-07-18T22:14:41.081Z,3.651,0.422367662191391,-0.6945270895957947,0.6677573323249817
1626646386728,2021-07-18T22:14:41.093Z,3.691,1.3370018005371094,-0.7555027008056641,0.9116597771644592
1626646386767,2021-07-18T22:14:41.095Z,3.73,0.6662700772285461,-0.5725758671760559,0.301903635263443
