epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1626647021139,2021-07-18T22:26:30.468Z,0.112,-3.6714744567871094,-56.37980651855469,34.222755432128906
1626647021180,2021-07-18T22:26:30.470Z,0.153,-4.046474456787109,-53.12980651855469,33.035255432128906
1626647021219,2021-07-18T22:26:30.472Z,0.192,-2.1714744567871094,-50.94230651855469,34.597755432128906
1626647021259,2021-07-18T22:26:30.483Z,0.232,-2.9214744567871094,-51.62980651855469,34.597755432128906
1626647021300,2021-07-18T22:26:30.497Z,0.273,-3.6714744567871094,-48.75480651855469,35.035255432128906
1626647021320,2021-07-18T22:26:30.498Z,0.293,-3.6714744567871094,-50.19230651855469,37.347755432128906
1626647021360,2021-07-18T22:26:30.500Z,0.333,-2.9214744567871094,-50.56730651855469,34.972755432128906
1626647021399,2021-07-18T22:26:30.502Z,0.372,-2.1714744567871094,-50.94230651855469,36.160255432128906
1626647021440,2021-07-18T22:26:30.514Z,0.413,-4.358974456787109,-50.94230651855469,35.410255432128906
1626647021480,2021-07-18T22:26:30.516Z,0.453,-2.9214744567871094,-52.00480651855469,35.410255432128906
1626647021521,2021-07-18T22:26:30.527Z,0.494,-4.046474456787109,-52.37980651855469,34.972755432128906
1626647021560,2021-07-18T22:26:30.529Z,0.533,-3.2964744567871094,-50.94230651855469,35.785255432128906
1626647021600,2021-07-18T22:26:30.532Z,0.573,-1.1089743375778198,-50.94230651855469,34.160255432128906
1626647021640,2021-07-18T22:26:30.543Z,0.613,-2.5464744567871094,-47.62980651855469,36.160255432128906
1626647021681,2021-07-18T22:26:30.545Z,0.654,-2.9214744567871094,-50.56730651855469,35.410255432128906
1626647021720,2021-07-18T22:26:30.547Z,0.693,-3.9839744567871094,-50.56730651855469,34.597755432128906
1626647021760,2021-07-18T22:26:30.559Z,0.733,-2.5464744567871094,-49.06730651855469,35.785255432128906
1626647021801,2021-07-18T22:26:30.561Z,0.774,-2.1714744567871094,-48.75480651855469,35.410255432128906
