epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1607121703857,2020-12-04T22:42:59.908Z,-0.225,174.125,66.3125,-151.75
1607121703896,2020-12-04T22:42:59.923Z,-0.186,173.75,66.6875,-150.9375
1607121703937,2020-12-04T22:42:59.937Z,-0.145,172.3125,67.75,-150.5625
1607121703977,2020-12-04T22:42:59.939Z,-0.105,174.125,66.6875,-150.5625
1607121704016,2020-12-04T22:42:59.953Z,-0.066,173.0625,64.875,-150.5625
1607121704037,2020-12-04T22:42:59.967Z,-0.045,173.8125,66.3125,-151.875
1607121704076,2020-12-04T22:42:59.970Z,-0.006,173.4375,64.875,-151.4375
1607121704117,2020-12-04T22:42:59.986Z,0.035,174.5,66.3125,-151
1607121704157,2020-12-04T22:42:59.998Z,0.075,174.5,67,-151
1607121704197,2020-12-04T22:43:00.016Z,0.115,173.0625,65.25,-152.3125
1607121704236,2020-12-04T22:43:00.058Z,0.154,173.4375,68.125,-151.0625
1607121704276,2020-12-04T22:43:00.074Z,0.194,173.8125,66.6875,-150.6875
1607121704317,2020-12-04T22:43:00.087Z,0.235,173.0625,67.375,-152.3125
1607121704356,2020-12-04T22:43:00.089Z,0.274,173.8125,67.375,-150.6875
1607121704396,2020-12-04T22:43:00.104Z,0.314,173.4375,56.5,-150.6875
1607121704435,2020-12-04T22:43:00.119Z,0.353,174.1875,64.125,-152.6875
1607121704475,2020-12-04T22:43:00.132Z,0.393,172.6875,65.9375,-150.6875
1607121704516,2020-12-04T22:43:00.149Z,0.434,173.4375,57.625,-151.0625
1607121704555,2020-12-04T22:43:00.163Z,0.473,173.0625,67.75,-152.25
1607121704595,2020-12-04T22:43:00.164Z,0.513,173.4375,65.9375,-150.6875
1607121704635,2020-12-04T22:43:00.178Z,0.553,172.6875,65.5625,-151.5
1607121704676,2020-12-04T22:43:00.193Z,0.594,174.1875,66.3125,-151.9375
1607121704715,2020-12-04T22:43:00.207Z,0.633,173.4375,65.5625,-150.6875
1607121704755,2020-12-04T22:43:00.209Z,0.673,173.8125,65.9375,-152.75
1607121704794,2020-12-04T22:43:00.223Z,0.712,172.6875,63.0625,-151.875
1607121704834,2020-12-04T22:43:00.238Z,0.752,174.1875,67,-151.125
1607121704873,2020-12-04T22:43:00.254Z,0.791,174.1875,61.9375,-151.0625
1607121704913,2020-12-04T22:43:00.267Z,0.831,173.8125,58.3125,-151.9375
1607121704954,2020-12-04T22:43:00.269Z,0.872,173.0625,66.6875,-151.5625
1607121704993,2020-12-04T22:43:00.284Z,0.911,174.1875,65.5625,-151.9375
1607121705033,2020-12-04T22:43:00.298Z,0.951,173.4375,65.9375,-151.125
1607121705073,2020-12-04T22:43:00.313Z,0.991,172.375,63.4375,-151.5625
1607121705112,2020-12-04T22:43:00.327Z,1.03,174.1875,67.75,-151.125
1607121705153,2020-12-04T22:43:00.352Z,1.071,173.4375,64.875,-150.3125
1607121705193,2020-12-04T22:43:00.356Z,1.111,174.1875,66.6875,-150.75
1607121705232,2020-12-04T22:43:00.358Z,1.15,173.4375,65.5625,-152.375
1607121705272,2020-12-04T22:43:00.373Z,1.19,173.4375,65.25,-151.125
1607121705313,2020-12-04T22:43:00.390Z,1.231,173.8125,66.3125,-151.5625
1607121705352,2020-12-04T22:43:00.402Z,1.27,173.8125,66.3125,-151.5
