epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1607121566888,2020-12-04T22:40:47.625Z,15.369000000000002,27.9375,-14.6875,69.0
1607121566926,2020-12-04T22:40:47.654Z,15.407,29.375,-12.8125,68.625
1607121566966,2020-12-04T22:40:47.670Z,15.447000000000001,28.625,-13.1875,65.8125
1607121567006,2020-12-04T22:40:47.672Z,15.487,27.9375,-13.5625,68.1875
1607121567045,2020-12-04T22:40:47.685Z,15.526,29.375,-12.5,67.8125
1607121567085,2020-12-04T22:40:47.699Z,15.565999999999999,27.9375,-13.5625,67.375
1607121567124,2020-12-04T22:40:47.714Z,15.605,28.625,-12.8125,69.8125
1607121567164,2020-12-04T22:40:47.729Z,15.645,27.9375,-25.0,68.5625
1607121567203,2020-12-04T22:40:47.731Z,15.684000000000001,28.625,-19.0625,66.1875
1607121567243,2020-12-04T22:40:47.753Z,15.724,28.25,-18.0,69.0
1607121567282,2020-12-04T22:40:47.760Z,15.763,27.5625,-15.4375,68.1875
1607121567322,2020-12-04T22:40:47.780Z,15.802999999999999,28.25,-12.8125,67.0
1607121567360,2020-12-04T22:40:47.789Z,15.841,27.9375,-12.5,67.8125
1607121567400,2020-12-04T22:40:47.791Z,15.880999999999998,28.25,-13.1875,68.1875
1607121567439,2020-12-04T22:40:47.808Z,15.92,27.1875,-12.8125,67.375
1607121567479,2020-12-04T22:40:47.819Z,15.96,27.1875,-12.8125,67.375
1607121567518,2020-12-04T22:40:47.834Z,15.999,28.625,-14.6875,67.375
1607121567558,2020-12-04T22:40:47.837Z,16.039,28.625,-14.6875,67.375
1607121567597,2020-12-04T22:40:47.852Z,16.078,27.9375,-12.5,69.0
1607121567637,2020-12-04T22:40:47.866Z,16.118,28.25,-13.5625,66.5625
1607121567676,2020-12-04T22:40:47.881Z,16.157,28.625,-13.1875,67.75
1607121567716,2020-12-04T22:40:47.894Z,16.197,27.5625,-12.5,69.0
1607121567756,2020-12-04T22:40:47.924Z,16.237000000000002,27.9375,-12.5,69.0
1607121567794,2020-12-04T22:40:47.926Z,16.275,27.9375,-13.5625,68.1875
1607121567833,2020-12-04T22:40:47.945Z,16.314,27.5625,-13.5625,69.0
1607121567873,2020-12-04T22:40:47.954Z,16.354,28.625,-15.0625,69.0
1607121567912,2020-12-04T22:40:47.984Z,16.393,29.0,-14.3125,68.1875
1607121567952,2020-12-04T22:40:47.986Z,16.433,29.0,-13.5625,69.0
1607121567991,2020-12-04T22:40:48.001Z,16.472,28.25,-29.0,70.625
1607121568031,2020-12-04T22:40:48.015Z,16.512,28.25,-12.8125,69.375
1607121568071,2020-12-04T22:40:48.029Z,16.552,29.0,-13.5625,70.625
1607121568110,2020-12-04T22:40:48.045Z,16.590999999999998,29.0,-13.9375,69.375
1607121568150,2020-12-04T22:40:48.047Z,16.631,27.9375,-12.8125,70.625
1607121568189,2020-12-04T22:40:48.060Z,16.67,28.25,-13.1875,71.375
1607121568227,2020-12-04T22:40:48.078Z,16.708,28.625,-15.4375,69.375
1607121568267,2020-12-04T22:40:48.090Z,16.748,29.375,-13.1875,72.1875
1607121568306,2020-12-04T22:40:48.104Z,16.787,29.375,-14.6875,72.625
1607121568346,2020-12-04T22:40:48.135Z,16.827,29.375,-12.5,71.8125
1607121568385,2020-12-04T22:40:48.150Z,16.866,29.0,-16.125,72.1875
1607121568425,2020-12-04T22:40:48.165Z,16.906,29.75,-20.5625,74.1875
1607121568465,2020-12-04T22:40:48.213Z,16.945999999999998,30.875,-15.4375,73.8125
1607121568504,2020-12-04T22:40:48.225Z,16.985,30.5,-12.8125,74.625
1607121568544,2020-12-04T22:40:48.240Z,17.025,31.9375,-12.125,73.8125
1607121568583,2020-12-04T22:40:48.254Z,17.064,30.5,-12.125,74.1875
1607121568621,2020-12-04T22:40:48.269Z,17.102,29.375,-13.1875,73.8125
1607121568661,2020-12-04T22:40:48.271Z,17.142,30.5,-15.0625,74.625
1607121568700,2020-12-04T22:40:48.286Z,17.180999999999997,29.75,-13.9375,73.0
1607121568740,2020-12-04T22:40:48.305Z,17.221,30.5,-12.8125,73.8125
1607121568780,2020-12-04T22:40:48.319Z,17.261,30.125,-22.75,75.4375
1607121568819,2020-12-04T22:40:48.329Z,17.3,30.875,-12.5,73.4375
1607121568859,2020-12-04T22:40:48.331Z,17.34,30.5,-11.75,74.625
1607121568898,2020-12-04T22:40:48.347Z,17.379,30.125,-12.5,74.625
1607121568938,2020-12-04T22:40:48.360Z,17.419,29.75,-12.8125,73.0
1607121568977,2020-12-04T22:40:48.382Z,17.458,31.9375,-12.125,74.625
1607121569015,2020-12-04T22:40:48.389Z,17.496,30.5,-15.4375,74.5625
1607121569055,2020-12-04T22:40:48.391Z,17.535999999999998,30.125,-12.125,75.8125
1607121569094,2020-12-04T22:40:48.406Z,17.575,31.25,-12.5,73.8125
1607121569134,2020-12-04T22:40:48.420Z,17.615,30.125,-11.375,73.0
1607121569174,2020-12-04T22:40:48.434Z,17.655,30.875,-11.0,73.8125
1607121569213,2020-12-04T22:40:48.453Z,17.694000000000003,30.125,-10.625,73.0
1607121569253,2020-12-04T22:40:48.464Z,17.734,31.25,-11.375,74.1875
1607121569292,2020-12-04T22:40:48.483Z,17.773,30.875,-12.125,75.8125
1607121569332,2020-12-04T22:40:48.495Z,17.813,31.5625,-12.5,77.8125
1607121569371,2020-12-04T22:40:48.519Z,17.852,32.3125,-11.0,76.625
1607121569411,2020-12-04T22:40:48.524Z,17.892,32.3125,-14.3125,79.4375
1607121569449,2020-12-04T22:40:48.543Z,17.93,32.6875,-11.75,77.8125
1607121569488,2020-12-04T22:40:48.554Z,17.969,32.3125,-11.375,75.8125
1607121569528,2020-12-04T22:40:48.569Z,18.009,31.9375,-9.5,77.8125
1607121569568,2020-12-04T22:40:48.585Z,18.049,31.9375,-18.0,77.0
1607121569607,2020-12-04T22:40:48.586Z,18.088,31.25,-18.75,75.75
1607121569647,2020-12-04T22:40:48.601Z,18.128,31.5625,-12.125,74.625
1607121569686,2020-12-04T22:40:48.618Z,18.167,30.5,-12.125,72.625
1607121569726,2020-12-04T22:40:48.629Z,18.207,30.5,-9.1875,72.625
1607121569765,2020-12-04T22:40:48.651Z,18.246,30.5,-12.125,75.0
1607121569805,2020-12-04T22:40:48.652Z,18.285999999999998,31.25,-11.0,74.625
1607121569843,2020-12-04T22:40:48.689Z,18.324,31.9375,-10.25,75.0
1607121569883,2020-12-04T22:40:48.705Z,18.364,30.5,-11.375,73.0
1607121569922,2020-12-04T22:40:48.706Z,18.403,31.5625,-9.5,73.8125
1607121569962,2020-12-04T22:40:48.720Z,18.442999999999998,30.5,-11.375,73.8125
1607121570001,2020-12-04T22:40:48.735Z,18.482,30.5,-9.1875,74.1875
1607121570041,2020-12-04T22:40:48.764Z,18.522000000000002,29.75,-9.5,70.1875
1607121570080,2020-12-04T22:40:48.780Z,18.561,30.875,-9.1875,72.1875
1607121570120,2020-12-04T22:40:48.783Z,18.601,30.125,-10.25,70.625
1607121570159,2020-12-04T22:40:48.796Z,18.64,30.5,-9.875,69.375
1607121570199,2020-12-04T22:40:48.812Z,18.68,30.5,-11.0,71.0
1607121570238,2020-12-04T22:40:48.824Z,18.719,29.75,-22.375,72.625
1607121570277,2020-12-04T22:40:48.839Z,18.758,30.5,-10.625,70.625
1607121570316,2020-12-04T22:40:48.854Z,18.797,31.25,-9.5,75.4375
1607121570356,2020-12-04T22:40:48.856Z,18.837,32.3125,-13.9375,76.625
1607121570395,2020-12-04T22:40:48.870Z,18.875999999999998,33.4375,-10.25,76.25
1607121570435,2020-12-04T22:40:48.886Z,18.916,31.9375,-9.875,77.0
1607121570474,2020-12-04T22:40:48.899Z,18.955,32.3125,-11.0,75.0
1607121570514,2020-12-04T22:40:48.916Z,18.995,32.3125,-10.25,76.25
1607121570553,2020-12-04T22:40:48.929Z,19.034000000000002,31.9375,-10.625,76.1875
1607121570593,2020-12-04T22:40:48.950Z,19.074,31.5625,-12.8125,75.8125
1607121570633,2020-12-04T22:40:48.959Z,19.114,32.3125,-10.625,76.625
1607121570671,2020-12-04T22:40:48.961Z,19.152,32.3125,-10.625,75.4375
1607121570710,2020-12-04T22:40:48.976Z,19.191,31.5625,-10.25,75.375
1607121570750,2020-12-04T22:40:48.990Z,19.230999999999998,32.3125,-16.5,76.25
1607121570789,2020-12-04T22:40:49.005Z,19.27,33.8125,-14.3125,77.0625
1607121570829,2020-12-04T22:40:49.020Z,19.31,31.9375,-9.875,75.8125
1607121570868,2020-12-04T22:40:49.035Z,19.349,31.5625,-11.0,77.0
1607121570908,2020-12-04T22:40:49.052Z,19.389,33.0625,-10.25,77.0625
1607121570947,2020-12-04T22:40:49.064Z,19.428,32.3125,-10.25,75.8125
1607121570987,2020-12-04T22:40:49.081Z,19.468,31.5625,-10.25,76.625
1607121571027,2020-12-04T22:40:49.095Z,19.508,32.6875,-23.125,77.0
1607121571066,2020-12-04T22:40:49.111Z,19.547,32.3125,-10.625,75.375
1607121571104,2020-12-04T22:40:49.124Z,19.585,32.6875,-11.0,77.8125
1607121571144,2020-12-04T22:40:49.140Z,19.625,31.9375,-13.9375,77.0
1607121571183,2020-12-04T22:40:49.141Z,19.664,32.6875,-10.25,76.625
1607121571223,2020-12-04T22:40:49.155Z,19.704,32.6875,-10.625,77.375
1607121571262,2020-12-04T22:40:49.170Z,19.743,32.3125,-11.375,75.375
1607121571302,2020-12-04T22:40:49.186Z,19.783,32.3125,-10.25,76.625
1607121571342,2020-12-04T22:40:49.199Z,19.823,32.6875,-9.875,77.4375
1607121571381,2020-12-04T22:40:49.201Z,19.862000000000002,33.0625,-10.625,77.8125
1607121571421,2020-12-04T22:40:49.248Z,19.902,33.0625,-10.25,78.1875
1607121571460,2020-12-04T22:40:49.259Z,19.941,31.9375,-9.1875,77.8125
1607121571498,2020-12-04T22:40:49.261Z,19.979,33.0625,-11.75,77.0
1607121571538,2020-12-04T22:40:49.320Z,20.019000000000002,33.0625,-10.625,77.8125
1607121571577,2020-12-04T22:40:49.334Z,20.058,33.4375,-10.625,79.0
1607121571617,2020-12-04T22:40:49.336Z,20.098,33.0625,-11.0,77.8125
1607121571656,2020-12-04T22:40:49.353Z,20.137,34.1875,-9.875,77.0
1607121571696,2020-12-04T22:40:49.365Z,20.177,32.6875,-10.25,77.4375
1607121571736,2020-12-04T22:40:49.381Z,20.217,34.1875,-10.625,78.625
1607121571775,2020-12-04T22:40:49.394Z,20.256,34.1875,-11.0,78.625
1607121571815,2020-12-04T22:40:49.410Z,20.296,33.8125,-21.3125,79.8125
1607121571854,2020-12-04T22:40:49.418Z,20.335,33.0625,-10.25,77.0
1607121571894,2020-12-04T22:40:49.440Z,20.375,33.4375,-9.875,79.0625
1607121571932,2020-12-04T22:40:49.456Z,20.413,34.1875,-15.4375,79.0
1607121571971,2020-12-04T22:40:49.469Z,20.452,33.4375,-17.625,78.1875
1607121572011,2020-12-04T22:40:49.488Z,20.491999999999997,35.25,-12.8125,79.4375
1607121572051,2020-12-04T22:40:49.489Z,20.531999999999996,33.8125,-9.5,79.8125
1607121572090,2020-12-04T22:40:49.501Z,20.570999999999998,33.0625,-9.875,79.8125
1607121572130,2020-12-04T22:40:49.516Z,20.611,34.1875,-9.1875,80.625
1607121572169,2020-12-04T22:40:49.530Z,20.65,33.8125,-9.875,80.625
1607121572209,2020-12-04T22:40:49.545Z,20.69,34.5,-11.75,81.4375
1607121572248,2020-12-04T22:40:49.559Z,20.729,33.8125,-11.0,81.4375
1607121572288,2020-12-04T22:40:49.561Z,20.769000000000002,34.1875,-10.625,81.4375
1607121572327,2020-12-04T22:40:49.590Z,20.808000000000003,34.1875,-9.875,82.25
1607121572365,2020-12-04T22:40:49.604Z,20.846,34.1875,-9.875,82.25
1607121572405,2020-12-04T22:40:49.629Z,20.886,35.25,-11.0,81.8125
1607121572445,2020-12-04T22:40:49.629Z,20.926,33.8125,-9.875,80.625
1607121572484,2020-12-04T22:40:49.649Z,20.965,34.5,-9.5,81.8125
1607121572524,2020-12-04T22:40:49.664Z,21.005,35.625,-12.5,81.8125
1607121572563,2020-12-04T22:40:49.680Z,21.044,34.5,-10.625,81.8125
1607121572603,2020-12-04T22:40:49.681Z,21.084,35.25,-10.25,82.25
1607121572642,2020-12-04T22:40:49.696Z,21.123,34.875,-19.8125,81.4375
1607121572682,2020-12-04T22:40:49.710Z,21.163,35.25,-9.1875,81.8125
1607121572721,2020-12-04T22:40:49.725Z,21.201999999999998,34.5,-10.625,83.4375
1607121572759,2020-12-04T22:40:49.739Z,21.24,35.25,-9.875,81.8125
1607121572799,2020-12-04T22:40:49.755Z,21.28,34.875,-10.25,80.625
1607121572839,2020-12-04T22:40:49.757Z,21.32,35.625,-11.75,81.8125
1607121572878,2020-12-04T22:40:49.799Z,21.359,34.875,-9.875,81.4375
1607121572918,2020-12-04T22:40:49.814Z,21.399,36.0,-11.75,83.4375
1607121572957,2020-12-04T22:40:49.816Z,21.438000000000002,35.25,-9.875,81.4375
1607121572997,2020-12-04T22:40:49.833Z,21.478,34.875,-10.25,82.25
1607121573036,2020-12-04T22:40:49.848Z,21.517,34.5,-10.25,82.25
1607121573076,2020-12-04T22:40:49.875Z,21.557,34.5,-11.0,82.1875
1607121573115,2020-12-04T22:40:49.890Z,21.596,35.625,-10.25,82.1875
1607121573155,2020-12-04T22:40:49.891Z,21.636,35.25,-13.1875,83.0
1607121573193,2020-12-04T22:40:49.906Z,21.674,34.875,-16.5,83.8125
