epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1607122850796,2020-12-04T23:03:07.337Z,-0.234,-0.3048780560493469,-0.24390244483947754,-0.9146341681480408
1607122850837,2020-12-04T23:03:07.352Z,-0.193,-0.3048780560493469,-0.3658536672592163,0.060975611209869385
1607122850877,2020-12-04T23:03:07.366Z,-0.153,-0.7317073345184326,-0.3658536672592163,-0.6707317233085632
1607122850918,2020-12-04T23:03:07.380Z,-0.112,-0.3048780560493469,-0.3658536672592163,-0.7317073345184326
1607122850958,2020-12-04T23:03:07.382Z,-0.072,-1.2804877758026123,0,-0.6097561120986938
1607122850999,2020-12-04T23:03:07.397Z,-0.031,-0.060975611209869385,-0.9146341681480408,-0.4268292784690857
1607122851038,2020-12-04T23:03:07.414Z,0.008,0.3658536672592163,-0.6097561120986938,-0.18292683362960815
1607122851079,2020-12-04T23:03:07.426Z,0.049,0.7317073345184326,-1.2804877758026123,-0.9146341681480408
1607122851120,2020-12-04T23:03:07.441Z,0.09,-0.7317073345184326,-0.6707317233085632,-0.060975611209869385
1607122851160,2020-12-04T23:03:07.472Z,0.13,-0.3658536672592163,-0.4878048896789551,0.6097561120986938
1607122851199,2020-12-04T23:03:07.486Z,0.169,-1.1585365533828735,-0.792682945728302,0.060975611209869385
1607122851240,2020-12-04T23:03:07.501Z,0.21,-0.6097561120986938,-0.7317073345184326,0.9146341681480408
1607122851281,2020-12-04T23:03:07.504Z,0.251,-6.829268455505371,-1.2195122241973877,2.1341464519500732
1607122851321,2020-12-04T23:03:07.517Z,0.291,-9.390244483947754,-3.4146342277526855,0.12195122241973877
1607122851362,2020-12-04T23:03:07.532Z,0.332,-15.609756469726562,-3.1097562313079834,-1.8292683362960815
1607122851401,2020-12-04T23:03:07.547Z,0.371,-16.036584854125977,-4.146341323852539,-9.695121765136719
1607122851442,2020-12-04T23:03:07.561Z,0.412,-12.62195110321045,-3.7195122241973877,-11.341464042663574
1607122851492,2020-12-04T23:03:07.581Z,0.462,-17.012195587158203,1.585365891456604,-7.743902683258057
1607122851533,2020-12-04T23:03:07.591Z,0.503,-36.524391174316406,9.329268455505371,0.792682945728302
1607122851573,2020-12-04T23:03:07.609Z,0.543,-41.82926940917969,29.39024543762207,-0.5487805008888245
1607122851614,2020-12-04T23:03:07.620Z,0.584,-42.8658561706543,28.292682647705078,-22.19512176513672
1607122851653,2020-12-04T23:03:07.622Z,0.623,-36.64634323120117,25.975610733032227,-31.03658676147461
1607122851694,2020-12-04T23:03:07.644Z,0.664,-33.84146499633789,17.012195587158203,-42.256099700927734
1607122851735,2020-12-04T23:03:07.651Z,0.705,-51.158538818359375,5.609755992889404,-37.92683029174805
1607122851785,2020-12-04T23:03:07.666Z,0.755,-38.719512939453125,-1.4634146690368652,-39.14634323120117
1607122851825,2020-12-04T23:03:07.681Z,0.795,-30.426830291748047,-1.402438998222351,-32.9878044128418
1607122851866,2020-12-04T23:03:07.683Z,0.836,-21.280488967895508,-0.24390244483947754,-28.04878044128418
1607122851905,2020-12-04T23:03:07.697Z,0.875,-31.280488967895508,-11.219511985778809,-18.04878044128418
1607122851946,2020-12-04T23:03:07.715Z,0.916,-36.03658676147461,-16.524391174316406,-4.390244007110596
1607122851986,2020-12-04T23:03:07.726Z,0.956,-47.92683029174805,-23.231708526611328,1.4634146690368652
1607122852027,2020-12-04T23:03:07.741Z,0.997,-41.70731735229492,-22.80487823486328,1.7682926654815674
1607122852066,2020-12-04T23:03:07.749Z,1.036,-33.53658676147461,-24.63414764404297,2.804877996444702
1607122852108,2020-12-04T23:03:07.757Z,1.078,-37.317073822021484,-34.14634323120117,-1.8902438879013062
1607122852149,2020-12-04T23:03:07.776Z,1.119,-40.79268264770508,-23.53658676147461,5.853658676147461
1607122852188,2020-12-04T23:03:07.786Z,1.158,-51.70731735229492,-36.280487060546875,-0.18292683362960815
1607122852229,2020-12-04T23:03:07.802Z,1.199,-42.0121955871582,-26.89024543762207,-4.695122241973877
1607122852269,2020-12-04T23:03:07.816Z,1.239,-29.512195587158203,-25.731708526611328,-9.939024925231934
1607122852310,2020-12-04T23:03:07.830Z,1.28,-24.7560977935791,-25.975610733032227,-12.5
1607122852349,2020-12-04T23:03:07.832Z,1.319,-36.158538818359375,-26.463415145874023,-3.841463565826416
1607122852400,2020-12-04T23:03:07.860Z,1.37,-35.30487823486328,-21.64634132385254,-5.121951103210449
1607122852450,2020-12-04T23:03:07.862Z,1.42,-40.79268264770508,-16.341463088989258,-2.7439024448394775
1607122852490,2020-12-04T23:03:07.880Z,1.46,-44.63414764404297,-14.512195587158203,-2.5
1607122852531,2020-12-04T23:03:07.891Z,1.501,-40.3658561706543,-17.439023971557617,-8.292682647705078
1607122852572,2020-12-04T23:03:07.909Z,1.542,-32.317073822021484,-10.853658676147461,-12.317073822021484
1607122852611,2020-12-04T23:03:07.920Z,1.581,-31.09756088256836,-9.268292427062988,-12.682927131652832
1607122852652,2020-12-04T23:03:07.922Z,1.622,-33.84146499633789,-4.5731706619262695,-10.42682933807373
1607122852692,2020-12-04T23:03:07.938Z,1.662,-45.97561264038086,-13.90243911743164,-10.792683601379395
1607122852733,2020-12-04T23:03:07.952Z,1.703,-35.30487823486328,-15.304878234863281,-19.573171615600586
1607122852773,2020-12-04T23:03:07.966Z,1.743,-35.67073440551758,-8.414634704589844,-21.890243530273438
