epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614182285512,2021-02-24T16:00:16.437Z,0.303,99365.69010416667
1614182285589,2021-02-24T16:00:16.449Z,0.38,99366.19010416667
1614182285667,2021-02-24T16:00:16.454Z,0.458,99366.07291666667
1614182285745,2021-02-24T16:00:16.467Z,0.536,99366.73697916667
1614182285822,2021-02-24T16:00:16.512Z,0.613,99366.61197916667
1614182285900,2021-02-24T16:00:16.525Z,0.691,99367.27604166667
1614182285977,2021-02-24T16:00:16.543Z,0.768,99367.94010416667
1614182286055,2021-02-24T16:00:16.556Z,0.846,99367.81510416667
1614182286133,2021-02-24T16:00:16.570Z,0.924,99367.81510416667
1614182286210,2021-02-24T16:00:16.574Z,1.001,99368.48697916667
1614182286288,2021-02-24T16:00:16.587Z,1.079,99369.14322916667
1614182286366,2021-02-24T16:00:16.615Z,1.157,99368.36197916667
1614182286443,2021-02-24T16:00:16.619Z,1.234,99369.01822916667
1614182286521,2021-02-24T16:00:16.632Z,1.312,99369.01822916667
1614182286599,2021-02-24T16:00:16.645Z,1.39,99369.69010416667
1614182286676,2021-02-24T16:00:16.649Z,1.467,99369.69010416667
1614182286754,2021-02-24T16:00:16.663Z,1.545,99370.34635416667
1614182286833,2021-02-24T16:00:16.676Z,1.624,99370.34635416667
1614182286909,2021-02-24T16:00:16.689Z,1.7,99369.53385416667
1614182286988,2021-02-24T16:00:16.694Z,1.779,99370.19791666667
1614182287066,2021-02-24T16:00:16.707Z,1.857,99370.19791666667
1614182287143,2021-02-24T16:00:16.719Z,1.934,99370.19791666667
1614182287221,2021-02-24T16:00:16.724Z,2.012,99370.19791666667
1614182287299,2021-02-24T16:00:16.737Z,2.09,99370.19791666667
1614182287376,2021-02-24T16:00:16.751Z,2.167,99370.86197916667
1614182287454,2021-02-24T16:00:16.764Z,2.245,99370.86197916667
1614182287532,2021-02-24T16:00:16.768Z,2.323,99370.19791666667
1614182287609,2021-02-24T16:00:16.782Z,2.4,99370.86197916667
1614182287687,2021-02-24T16:00:16.798Z,2.478,99370.86197916667
1614182287765,2021-02-24T16:00:16.799Z,2.556,99370.86197916667
1614182287842,2021-02-24T16:00:16.813Z,2.633,99370.86197916667
1614182287920,2021-02-24T16:00:16.840Z,2.711,99370.86197916667
1614182287997,2021-02-24T16:00:16.844Z,2.788,99371.51822916667
1614182288075,2021-02-24T16:00:16.857Z,2.866,99370.86197916667
1614182288153,2021-02-24T16:00:16.871Z,2.944,99370.86197916667
1614182288230,2021-02-24T16:00:16.884Z,3.021,99371.51822916667
1614182288308,2021-02-24T16:00:16.888Z,3.099,99370.86197916667
1614182288386,2021-02-24T16:00:16.900Z,3.177,99372.33854166667
1614182288463,2021-02-24T16:00:16.914Z,3.254,99372.33854166667
1614182288541,2021-02-24T16:00:16.918Z,3.332,99372.33854166667
1614182288619,2021-02-24T16:00:16.932Z,3.41,99372.33854166667
1614182288696,2021-02-24T16:00:16.959Z,3.487,99372.33854166667
1614182288774,2021-02-24T16:00:16.978Z,3.565,99372.33854166667
1614182288851,2021-02-24T16:00:16.991Z,3.642,99372.33854166667
1614182288929,2021-02-24T16:00:17.020Z,3.72,99372.33854166667
1614182289007,2021-02-24T16:00:17.034Z,3.798,99372.33854166667
1614182289084,2021-02-24T16:00:17.065Z,3.875,99372.33854166667
1614182289162,2021-02-24T16:00:17.079Z,3.953,99372.33854166667
1614182289240,2021-02-24T16:00:17.097Z,4.031,99372.33854166667
1614182289317,2021-02-24T16:00:17.110Z,4.108,99372.33854166667
1614182289395,2021-02-24T16:00:17.114Z,4.186,99372.33854166667
1614182289473,2021-02-24T16:00:17.128Z,4.264,99372.33854166667
1614182289550,2021-02-24T16:00:17.141Z,4.341,99372.33854166667
1614182289628,2021-02-24T16:00:17.169Z,4.419,99372.33854166667
1614182289705,2021-02-24T16:00:17.173Z,4.496,99372.33854166667
1614182289783,2021-02-24T16:00:17.187Z,4.574,99372.33854166667
1614182289861,2021-02-24T16:00:17.200Z,4.652,99371.67447916667
1614182289938,2021-02-24T16:00:17.214Z,4.729,99371.67447916667
1614182290016,2021-02-24T16:00:17.218Z,4.807,99371.67447916667
1614182290094,2021-02-24T16:00:17.232Z,4.885,99371.67447916667
1614182290171,2021-02-24T16:00:17.244Z,4.962,99371.67447916667
1614182290249,2021-02-24T16:00:17.248Z,5.04,99371.67447916667
1614182290327,2021-02-24T16:00:17.261Z,5.118,99371.67447916667
1614182290404,2021-02-24T16:00:17.274Z,5.195,99372.45572916667
