epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614182285158,2021-02-24T16:00:16.384Z,-0.045,
1614182285198,2021-02-24T16:00:16.398Z,-0.005,
1614182285239,2021-02-24T16:00:16.400Z,0.036000000000000004,
1614182285278,2021-02-24T16:00:16.414Z,0.075,
1614182285318,2021-02-24T16:00:16.429Z,0.115,
1614182285359,2021-02-24T16:00:16.444Z,0.156,
1614182285399,2021-02-24T16:00:16.458Z,0.196,
1614182285440,2021-02-24T16:00:16.460Z,0.237,
1614182285479,2021-02-24T16:00:16.475Z,0.276,99370.22995923914
1614182285520,2021-02-24T16:00:16.490Z,0.317,99370.22995923914
1614182285560,2021-02-24T16:00:16.504Z,0.35700000000000004,99370.15183423914
1614182285599,2021-02-24T16:00:16.518Z,0.396,99370.15183423914
1614182285640,2021-02-24T16:00:16.533Z,0.43700000000000006,99370.08933423914
1614182285680,2021-02-24T16:00:16.535Z,0.47700000000000004,99370.08933423914
1614182285721,2021-02-24T16:00:16.549Z,0.518,99370.08933423914
1614182285760,2021-02-24T16:00:16.564Z,0.557,99370.08933423914
1614182285800,2021-02-24T16:00:16.579Z,0.597,99370.01120923914
1614182285841,2021-02-24T16:00:16.593Z,0.638,99370.71433423914
1614182285891,2021-02-24T16:00:16.608Z,0.688,99370.71433423914
1614182285932,2021-02-24T16:00:16.623Z,0.7290000000000001,99369.94870923914
1614182285982,2021-02-24T16:00:16.625Z,0.779,99369.94870923914
1614182286021,2021-02-24T16:00:16.640Z,0.818,99370.63620923914
1614182286062,2021-02-24T16:00:16.654Z,0.8590000000000001,99370.63620923914
1614182286102,2021-02-24T16:00:16.684Z,0.899,99371.33933423914
1614182286141,2021-02-24T16:00:16.698Z,0.938,99371.33933423914
1614182286182,2021-02-24T16:00:16.700Z,0.9790000000000001,99371.33933423914
1614182286222,2021-02-24T16:00:16.714Z,1.0190000000000001,99371.33933423914
1614182286263,2021-02-24T16:00:16.729Z,1.06,99371.26902173914
1614182286302,2021-02-24T16:00:16.744Z,1.099,99371.26902173914
1614182286343,2021-02-24T16:00:16.773Z,1.14,99371.26902173914
1614182286383,2021-02-24T16:00:16.775Z,1.18,99371.26902173914
1614182286423,2021-02-24T16:00:16.790Z,1.22,99371.26902173914
1614182286464,2021-02-24T16:00:16.804Z,1.261,99371.26902173914
1614182286503,2021-02-24T16:00:16.819Z,1.3,99371.26902173914
1614182286544,2021-02-24T16:00:16.834Z,1.341,99371.97214673914
1614182286584,2021-02-24T16:00:16.848Z,1.381,99371.97214673914
1614182286623,2021-02-24T16:00:16.851Z,1.42,99371.97214673914
1614182286664,2021-02-24T16:00:16.864Z,1.4609999999999999,99371.97214673914
1614182286704,2021-02-24T16:00:16.879Z,1.501,99371.97214673914
1614182286745,2021-02-24T16:00:16.894Z,1.5419999999999998,99371.97214673914
1614182286784,2021-02-24T16:00:16.908Z,1.581,99371.22995923914
1614182286824,2021-02-24T16:00:16.910Z,1.621,99371.22995923914
1614182286865,2021-02-24T16:00:16.969Z,1.662,99371.22995923914
1614182286904,2021-02-24T16:00:16.983Z,1.7009999999999998,99371.22995923914
1614182286945,2021-02-24T16:00:16.998Z,1.742,99371.22995923914
1614182286985,2021-02-24T16:00:17.000Z,1.7819999999999998,99371.22995923914
1614182287026,2021-02-24T16:00:17.014Z,1.8230000000000002,99371.22995923914
1614182287066,2021-02-24T16:00:17.029Z,1.8630000000000002,99371.22995923914
1614182287105,2021-02-24T16:00:17.044Z,1.902,99371.22995923914
1614182287146,2021-02-24T16:00:17.058Z,1.943,99371.22995923914
1614182287196,2021-02-24T16:00:17.073Z,1.993,99371.93308423914
1614182287237,2021-02-24T16:00:17.075Z,2.0340000000000003,99371.93308423914
1614182287277,2021-02-24T16:00:17.091Z,2.074,99371.93308423914
1614182287316,2021-02-24T16:00:17.105Z,2.113,99371.93308423914
1614182287357,2021-02-24T16:00:17.119Z,2.154,99371.93308423914
1614182287397,2021-02-24T16:00:17.134Z,2.194,99371.93308423914
1614182287438,2021-02-24T16:00:17.148Z,2.235,99371.93308423914
1614182287477,2021-02-24T16:00:17.150Z,2.274,99371.93308423914
1614182287517,2021-02-24T16:00:17.164Z,2.314,99371.93308423914
1614182287558,2021-02-24T16:00:17.179Z,2.355,99371.93308423914
1614182287597,2021-02-24T16:00:17.194Z,2.394,99371.93308423914
1614182287638,2021-02-24T16:00:17.208Z,2.435,99371.93308423914
1614182287678,2021-02-24T16:00:17.210Z,2.475,99371.93308423914
1614182287717,2021-02-24T16:00:17.238Z,2.5140000000000002,99372.63620923914
1614182287758,2021-02-24T16:00:17.240Z,2.555,99372.63620923914
1614182287798,2021-02-24T16:00:17.254Z,2.595,99371.93308423914
1614182287839,2021-02-24T16:00:17.269Z,2.636,99371.93308423914
1614182287879,2021-02-24T16:00:17.284Z,2.676,99372.63620923914
1614182287920,2021-02-24T16:00:17.298Z,2.717,99372.63620923914
1614182287959,2021-02-24T16:00:17.300Z,2.7560000000000002,99372.63620923914
1614182287999,2021-02-24T16:00:17.329Z,2.7960000000000003,99372.63620923914
1614182288040,2021-02-24T16:00:17.344Z,2.8369999999999997,99371.93308423914
1614182288079,2021-02-24T16:00:17.358Z,2.8760000000000003,99371.93308423914
1614182288120,2021-02-24T16:00:17.360Z,2.917,99372.63620923914
1614182288160,2021-02-24T16:00:17.374Z,2.957,99372.63620923914
1614182288199,2021-02-24T16:00:17.389Z,2.9960000000000004,99372.63620923914
1614182288240,2021-02-24T16:00:17.404Z,3.037,99372.63620923914
1614182288280,2021-02-24T16:00:17.418Z,3.077,99372.63620923914
1614182288321,2021-02-24T16:00:17.420Z,3.1180000000000003,99372.63620923914
