epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1614182109875,2021-02-24T15:55:09.876Z,0,0.06280677523042574,0.8933861463850815,0.4403218381842062,0.06350733225738962
1614182109876,2021-02-24T15:55:09.876Z,0.001,0.06280677523042574,0.8933861463850815,0.4403218381842062,0.06350733225738962
1614182109905,2021-02-24T15:55:09.906Z,0.03,0.062181021543412006,0.8934390391154008,0.4404470824299709,0.06250257213342104
1614182109920,2021-02-24T15:55:09.920Z,0.045,0.061647255584949,0.8934761206795737,0.4405909572686173,0.061478825845551116
1614182109936,2021-02-24T15:55:09.936Z,0.061,0.06106158239007189,0.8935251949918799,0.44072519130883714,0.06037809881515458
1614182109966,2021-02-24T15:55:09.966Z,0.091,0.06041794618263378,0.8935856134105082,0.44084802812657425,0.059223638707440594
1614182109980,2021-02-24T15:55:09.980Z,0.105,0.04751245155206443,0.8947571044742539,0.4412202107799806,0.04976963471466423
1614182109996,2021-02-24T15:55:09.996Z,0.121,0.022284100770762545,0.8963788283859394,0.4415601677792686,0.03214083236372866
1614182110025,2021-02-24T15:55:10.026Z,0.15,-0.0028363145407577853,0.897141576204908,0.44149234964396655,0.014610022937991891
1614182110040,2021-02-24T15:55:10.040Z,0.165,-0.027793336073998552,0.8970631866706971,0.4410173684225591,-0.002974952055494648
1614182110062,2021-02-24T15:55:10.062Z,0.187,0.05258973183327016,-0.8961570178981519,-0.44013690260546423,0.02040652695742236
1614182110085,2021-02-24T15:55:10.085Z,0.21,0.0771381177877924,-0.8944508003490452,-0.4388593353307801,0.0375494385062564
1614182110100,2021-02-24T15:55:10.100Z,0.225,0.10113867709492733,-0.8920239416887341,-0.437144659215595,0.0544867173617892
1614182110115,2021-02-24T15:55:10.116Z,0.24,0.12451818499765746,-0.8889546602612989,-0.4349934978356488,0.07096118971180997
1614182110145,2021-02-24T15:55:10.145Z,0.27,0.1471721587087084,-0.8852408440199879,-0.43253351765017833,0.08719954064650201
1614182110160,2021-02-24T15:55:10.160Z,0.285,0.1689051704309798,-0.8809016335493141,-0.4299275759800869,0.10317768568696514
1614182110175,2021-02-24T15:55:10.175Z,0.3,0.18961399374652113,-0.8761089002518238,-0.42707762502036123,0.11867784326487314
1614182110205,2021-02-24T15:55:10.205Z,0.33,0.2095956018798296,-0.8708888281336213,-0.4239703707859559,0.13368417034301028
1614182110220,2021-02-24T15:55:10.220Z,0.345,0.22881549615093577,-0.865256631203839,-0.42071777508303737,0.1482261266044678
1614182110235,2021-02-24T15:55:10.235Z,0.36,0.2469815642957815,-0.8592948812498185,-0.4175184430700202,0.162144268021585
1614182110265,2021-02-24T15:55:10.265Z,0.39,0.26411133433942835,-0.8531180919536887,-0.41429923076353214,0.17547327900136137
1614182110280,2021-02-24T15:55:10.281Z,0.405,0.28034461160536894,-0.8467759460731916,-0.4110796848105704,0.18812466247605183
1614182110295,2021-02-24T15:55:10.296Z,0.42,0.29580063092131087,-0.840283260308316,-0.4079504945641435,0.20000605785088638
1614182110325,2021-02-24T15:55:10.325Z,0.45,0.3104661019260499,-0.8337984711380114,-0.40473346023409873,0.21114387334159526
1614182110340,2021-02-24T15:55:10.341Z,0.465,0.32424004652593835,-0.8273492061111746,-0.4015549521992674,0.22161972777780986
1614182110355,2021-02-24T15:55:10.355Z,0.48,0.337195130140525,-0.8209502818912715,-0.3983861981710419,0.2315783150015992
1614182110385,2021-02-24T15:55:10.385Z,0.51,0.34942576776736173,-0.8145831539280649,-0.3952352539085755,0.24113276887354004
1614182110400,2021-02-24T15:55:10.400Z,0.525,0.3608722012637747,-0.8083372839049233,-0.39215402518004494,0.2501545728931169
1614182110415,2021-02-24T15:55:10.415Z,0.54,0.37150061571558496,-0.8023116008717709,-0.3891719660521832,0.2585122211203873
1614182110445,2021-02-24T15:55:10.445Z,0.57,0.38144249271734476,-0.796584559315417,-0.3860615779874015,0.2662914242173759
