epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1614182584763,2021-02-24T16:03:04.763Z,0,-0.027974631366433907,-0.11174356319552634,-0.7300291488268054,0.6736380615341518
1614182584778,2021-02-24T16:03:04.779Z,0.015,-0.027974631366433907,-0.11174356319552634,-0.7300291488268054,0.6736380615341518
1614182584808,2021-02-24T16:03:04.809Z,0.045,-0.02804638770841237,-0.111666492502102,-0.7299017825232986,0.67378585801284
1614182584823,2021-02-24T16:03:04.823Z,0.06,-0.027989902289270688,-0.11141083465205683,-0.7299573898580248,0.6737702874746175
1614182584838,2021-02-24T16:03:04.839Z,0.075,-0.027681490755933336,-0.11095483888497781,-0.7299670264655107,0.6738478307976054
1614182584869,2021-02-24T16:03:04.869Z,0.106,-0.0273395655404015,-0.11051697938089304,-0.7299553970637487,0.6739463359363939
1614182584883,2021-02-24T16:03:04.883Z,0.12,-0.026952431909882932,-0.11014038933471915,-0.7299009138583045,0.6740825743187193
1614182584899,2021-02-24T16:03:04.899Z,0.136,-0.02655392339103624,-0.10984064364781441,-0.7298160517790651,0.6742391658166959
1614182584929,2021-02-24T16:03:04.929Z,0.166,-0.026250126059772286,-0.10953580461273668,-0.7297560683017882,0.6743655678980075
1614182584943,2021-02-24T16:03:04.943Z,0.18,-0.025970227262471234,-0.10908211861173152,-0.7297208578512727,0.6744880342244141
1614182584959,2021-02-24T16:03:04.959Z,0.196,-0.025620392920116607,-0.10871920292110257,-0.7297316485409863,0.6745483314785334
1614182584989,2021-02-24T16:03:04.989Z,0.226,-0.025266747845981544,-0.10843843032817403,-0.7297464306067836,0.6745908725278665
1614182585003,2021-02-24T16:03:05.003Z,0.24,-0.024874768025540804,-0.10812156535731271,-0.7298219931873984,0.6745745557611352
1614182585019,2021-02-24T16:03:05.019Z,0.256,-0.02448909100235852,-0.10779414538587692,-0.7299911955450425,0.6744579757621123
1614182585048,2021-02-24T16:03:05.049Z,0.285,-0.02416793440026216,-0.10752270200020521,-0.7301385361978322,0.6743533921174318
1614182585063,2021-02-24T16:03:05.063Z,0.3,-0.023850056535431763,-0.10722549214268826,-0.7302404424836487,0.6743016867836681
1614182585078,2021-02-24T16:03:05.078Z,0.315,-0.023518155534181802,-0.10694628558672653,-0.7302370102986383,0.6743613995103658
1614182585108,2021-02-24T16:03:05.108Z,0.345,-0.023214948788075365,-0.10651901854536475,-0.7304737980625247,0.6741830576223414
1614182585123,2021-02-24T16:03:05.123Z,0.36,-0.023192430348016355,-0.10615680517407734,-0.7307344612808513,0.6739584490058488
1614182585145,2021-02-24T16:03:05.145Z,0.382,-0.023396702427770578,-0.10559275092725018,-0.7310249949212968,0.673724886038389
1614182585168,2021-02-24T16:03:05.169Z,0.405,-0.0236577244400012,-0.10499008211901066,-0.7313532143056378,0.6734536885753737
1614182585183,2021-02-24T16:03:05.183Z,0.42,-0.023894697468328317,-0.10444038974721417,-0.7316681524213946,0.673188653465438
1614182585198,2021-02-24T16:03:05.198Z,0.435,-0.02400874985770986,-0.10384951117345909,-0.7318068286807023,0.6731252665407804
1614182585228,2021-02-24T16:03:05.228Z,0.465,-0.024168488457822192,-0.10374088967599479,-0.7321040871705148,0.6728129885214199
1614182585243,2021-02-24T16:03:05.244Z,0.48,-0.024036778647714228,-0.10410963095174312,-0.7324895327622921,0.6723410610761562
1614182585258,2021-02-24T16:03:05.258Z,0.495,-0.02348062615817654,-0.10440690494757074,-0.7329389521947426,0.6718246428571685
1614182585288,2021-02-24T16:03:05.288Z,0.525,-0.02281477328169297,-0.10459333094991667,-0.7333709296112975,0.6713470047910898
1614182585303,2021-02-24T16:03:05.303Z,0.54,-0.02239728144054286,-0.10488576104569136,-0.7337643428866971,0.6708854060284758
1614182585318,2021-02-24T16:03:05.318Z,0.555,-0.022050659890098995,-0.10526288285245804,-0.7341533546629015,0.6704120715867283
1614182585348,2021-02-24T16:03:05.348Z,0.585,-0.021794923185471233,-0.10550642058360912,-0.7346520976356199,0.6698355559229129
1614182585363,2021-02-24T16:03:05.364Z,0.6,-0.021631120677469307,-0.10566721063804498,-0.735079859031908,0.6693460510526985
1614182585378,2021-02-24T16:03:05.378Z,0.615,-0.021467832151870956,-0.10585024501901054,-0.73536364327392,0.6690105903220229
1614182585408,2021-02-24T16:03:05.408Z,0.645,-0.02132322294136852,-0.10601217783591702,-0.7356441140943633,0.6686811465206702
1614182585423,2021-02-24T16:03:05.423Z,0.66,-0.021187458526443017,-0.10607617292849862,-0.7359109686480476,0.6683816150684619
1614182585438,2021-02-24T16:03:05.438Z,0.675,-0.02100585585814048,-0.10618616006650021,-0.7359417416922197,0.6683359980316944
1614182585468,2021-02-24T16:03:05.468Z,0.705,-0.020691275398164566,-0.10641438426665127,-0.7360952840617547,0.6681403914789101
1614182585483,2021-02-24T16:03:05.484Z,0.72,-0.020264602091804803,-0.10671576094348825,-0.7361120835853661,0.6680868900584145
1614182585498,2021-02-24T16:03:05.498Z,0.735,-0.019683796881069915,-0.10705545326247483,-0.7361209190851815,0.6680401713611978
1614182585528,2021-02-24T16:03:05.528Z,0.765,-0.019076509842448776,-0.1074093118058726,-0.7362816271962193,0.6678238480040283
1614182585543,2021-02-24T16:03:05.543Z,0.78,-0.01856011334434784,-0.10789737517525291,-0.7362876494019737,0.6677530800835383
1614182585558,2021-02-24T16:03:05.558Z,0.795,-0.01806021577613972,-0.10851777620712924,-0.7361509668374281,0.6678169471325948
