epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614182626098,2021-02-24T16:04:53.480Z,41.343999999999994,4.77038049697876,29.103260040283203,8.17798900604248
1614182626138,2021-02-24T16:04:53.495Z,41.38399999999999,4.77038049697876,38.9782600402832,8.92798900604248
1614182626177,2021-02-24T16:04:53.525Z,41.423,5.14538049697876,39.7282600402832,9.36548900604248
1614182626217,2021-02-24T16:04:53.540Z,41.463,5.14538049697876,34.228260040283196,8.55298900604248
1614182626255,2021-02-24T16:04:53.554Z,41.501000000000005,5.89538049697876,39.7282600402832,6.9279890060424805
1614182626294,2021-02-24T16:04:53.569Z,41.54,5.14538049697876,40.1032600402832,9.30298900604248
1614182626334,2021-02-24T16:04:53.584Z,41.58,5.14538049697876,38.9782600402832,7.74048900604248
1614182626374,2021-02-24T16:04:53.586Z,41.62,4.39538049697876,41.2282600402832,8.05298900604248
1614182626413,2021-02-24T16:04:53.615Z,41.659,4.39538049697876,39.3532600402832,8.11548900604248
1614182626453,2021-02-24T16:04:53.629Z,41.699,4.77038049697876,38.2907600402832,6.9279890060424805
1614182626492,2021-02-24T16:04:53.643Z,41.738,4.02038049697876,35.3532600402832,7.74048900604248
1614182626532,2021-02-24T16:04:53.674Z,41.778,2.95788049697876,36.0407600402832,7.36548900604248
1614182626571,2021-02-24T16:04:53.676Z,41.817,3.64538049697876,40.1032600402832,6.4904890060424805
1614182626611,2021-02-24T16:04:53.704Z,41.857,4.02038049697876,40.8532600402832,8.11548900604248
1614182626649,2021-02-24T16:04:53.706Z,41.895,4.39538049697876,39.3532600402832,7.30298900604248
1614182626689,2021-02-24T16:04:53.720Z,41.935,4.39538049697876,39.7282600402832,6.5529890060424805
1614182626728,2021-02-24T16:04:53.735Z,41.974,4.39538049697876,40.1032600402832,6.9279890060424805
1614182626768,2021-02-24T16:04:53.750Z,42.013999999999996,4.77038049697876,40.1032600402832,6.5529890060424805
1614182626807,2021-02-24T16:04:53.779Z,42.053000000000004,4.77038049697876,40.1032600402832,6.5529890060424805
1614182626847,2021-02-24T16:04:53.794Z,42.093,4.02038049697876,40.1032600402832,7.74048900604248
1614182626886,2021-02-24T16:04:53.796Z,42.132,3.64538049697876,26.853260040283203,5.7404890060424805
1614182626926,2021-02-24T16:04:53.811Z,42.172,3.64538049697876,26.853260040283203,5.7404890060424805
1614182626965,2021-02-24T16:04:53.825Z,42.211000000000006,3.27038049697876,37.9157600402832,4.5529890060424805
1614182627005,2021-02-24T16:04:53.839Z,42.251000000000005,4.02038049697876,39.7282600402832,6.9279890060424805
1614182627044,2021-02-24T16:04:53.854Z,42.29,5.14538049697876,37.9157600402832,5.7404890060424805
