epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1614182900467,2021-02-24T16:10:24.035Z,-0.09699999999999999,,,
1614182900508,2021-02-24T16:10:24.049Z,-0.055999999999999994,0.7164634466171265,2.358647584915161,-0.5529378652572632
1614182900548,2021-02-24T16:10:24.051Z,-0.016,0.9603658318519592,2.4196231365203857,-0.004157428164035082
1614182900587,2021-02-24T16:10:24.065Z,0.023,0.5335366129875183,0.5903548002243042,0.11779379099607468
1614182900627,2021-02-24T16:10:24.080Z,0.063,0.1676829308271408,0.468403548002243,-0.3090354800224304
1614182900666,2021-02-24T16:10:24.094Z,0.102,-0.07621951401233673,-0.8120842576026917,0.5446230769157411
1614182900707,2021-02-24T16:10:24.096Z,0.14300000000000002,-0.8079268336296082,-3.3730599880218506,0.6665742993354797
1614182900747,2021-02-24T16:10:24.110Z,0.183,0.2896341681480408,-1.360864758491516,0.11779379099607468
1614182900786,2021-02-24T16:10:24.125Z,0.222,0.1676829308271408,-0.6291574239730835,0.05681818351149559
1614182900826,2021-02-24T16:10:24.140Z,0.262,-0.13719512522220612,0.1635255068540573,-0.18708425760269165
1614182900865,2021-02-24T16:10:24.154Z,0.301,-0.1981707364320755,0.7732815742492676,-0.3090354800224304
1614182900905,2021-02-24T16:10:24.156Z,0.341,-0.015243902802467346,0.8342572450637817,-0.3090354800224304
1614182900946,2021-02-24T16:10:24.171Z,0.382,-0.3201219439506531,0.1635255068540573,-0.06513304263353348
1614182900986,2021-02-24T16:10:24.185Z,0.42200000000000004,-0.3810975551605225,-0.202328160405159,-0.004157428164035082
1614182901025,2021-02-24T16:10:24.200Z,0.461,0.04573170840740204,0.2245011180639267,-0.06513304263353348
1614182901065,2021-02-24T16:10:24.214Z,0.501,0.10670731961727142,0.04157428070902824,-0.004157428164035082
1614182901104,2021-02-24T16:10:24.229Z,0.54,0.10670731961727142,-0.32427939772605896,0.11779379099607468
1614182901145,2021-02-24T16:10:24.231Z,0.581,-0.07621951401233673,-0.202328160405159,-0.004157428164035082
1614182901185,2021-02-24T16:10:24.245Z,0.621,-0.07621951401233673,0.2854767143726349,-0.06513304263353348
1614182901224,2021-02-24T16:10:24.260Z,0.66,-0.07621951401233673,0.468403548002243,-0.18708425760269165
1614182901264,2021-02-24T16:10:24.275Z,0.7,-0.3201219439506531,0.2245011180639267,-0.06513304263353348
1614182901303,2021-02-24T16:10:24.289Z,0.7390000000000001,-0.3201219439506531,0.10254988819360733,0.11779379099607468
1614182901343,2021-02-24T16:10:24.291Z,0.779,-0.07621951401233673,-0.1413525491952896,0.05681818351149559
1614182901384,2021-02-24T16:10:24.305Z,0.82,0.5335366129875183,0.2854767143726349,-0.004157428164035082
1614182901423,2021-02-24T16:10:24.320Z,0.8590000000000001,0.2896341681480408,-0.3852550089359283,0.11779379099607468
1614182901463,2021-02-24T16:10:24.335Z,0.899,0.1676829308271408,-0.3852550089359283,0.17876940965652466
1614182901503,2021-02-24T16:10:24.349Z,0.9390000000000001,-0.13719512522220612,-0.08037694543600082,0.11779379099607468
1614182901542,2021-02-24T16:10:24.351Z,0.978,-0.2591463327407837,0.2854767143726349,-0.12610864639282227
1614182901583,2021-02-24T16:10:24.366Z,1.0190000000000001,-0.3201219439506531,-0.202328160405159,-0.06513304263353348
1614182901623,2021-02-24T16:10:24.380Z,1.0590000000000002,-0.13719512522220612,0.1635255068540573,-0.004157428164035082
1614182901662,2021-02-24T16:10:24.395Z,1.0979999999999999,-0.5030487775802612,0.712306022644043,0.05681818351149559
1614182901702,2021-02-24T16:10:24.409Z,1.138,-1.112804889678955,1.4440133571624756,0.5446230769157411
1614182901741,2021-02-24T16:10:24.424Z,1.177,-2.088414669036865,1.3220621347427368,0.9104767441749572
1614182901781,2021-02-24T16:10:24.426Z,1.217,-4.0396342277526855,3.4562084674835205,1.337306022644043
1614182901822,2021-02-24T16:10:24.440Z,1.258,-6.2347564697265625,10.529379844665527,0.7885255217552185
1614182901861,2021-02-24T16:10:24.456Z,1.297,-7.271341800689697,30.16352653503418,1.337306022644043
1614182901901,2021-02-24T16:10:24.470Z,1.337,-8.795731544494629,19.8586483001709,-0.12610864639282227
1614182901941,2021-02-24T16:10:24.484Z,1.3769999999999998,-9.161585807800293,5.163525581359863,-0.9797672033309937
1614182901980,2021-02-24T16:10:24.486Z,1.416,-8.795731544494629,-4.897449970245361,-2.5651330947875977
1614182902021,2021-02-24T16:10:24.501Z,1.4569999999999999,-8.856707572937012,-7.275498867034912,-3.784645557403565
1614182902061,2021-02-24T16:10:24.515Z,1.4969999999999999,-2.0274391174316406,0.1635255068540573,-2.0773282051086426
1614182902100,2021-02-24T16:10:24.530Z,1.536,1.6310975551605225,13.883037567138672,1.6421840190887451
1614182902140,2021-02-24T16:10:24.544Z,1.5759999999999998,4.1310977935791025,13.761086463928224,4.934866905212402
1614182902179,2021-02-24T16:10:24.559Z,1.615,2.728658437728882,5.2854766845703125,8.77632999420166
1614182902220,2021-02-24T16:10:24.561Z,1.656,-1.6006097793579102,-6.9096455574035645,12.739745140075685
1614182902260,2021-02-24T16:10:24.575Z,1.696,-4.5274391174316415,-22.885255813598636,19.751941680908203
1614182902299,2021-02-24T16:10:24.621Z,1.735,-2.6981709003448486,3.761086463928223,23.898283004760746
1614182902339,2021-02-24T16:10:24.635Z,1.775,0.4115853905677795,11.748891830444336,29.87389373779297
1614182902379,2021-02-24T16:10:24.652Z,1.815,1.9359755516052248,5.834257125854492,36.825111389160156
1614182902418,2021-02-24T16:10:24.664Z,1.854,3.338414669036865,8.639135360717772,43.34950256347656
1614182902459,2021-02-24T16:10:24.666Z,1.895,5.2896342277526855,6.444013595581055,49.20315933227539
1614182902499,2021-02-24T16:10:24.681Z,1.935,6.6310977935791025,-6.970621109008789,52.92267227172852
1614182902538,2021-02-24T16:10:24.695Z,1.974,6.021341323852539,-6.177937984466553,56.52023315429688
1614182902578,2021-02-24T16:10:24.710Z,2.0140000000000002,6.021341323852539,5.346452236175537,59.386085510253906
1614182902617,2021-02-24T16:10:24.724Z,2.053,5.35060977935791,16.62693977355957,62.98364639282226
1614182902658,2021-02-24T16:10:24.739Z,2.094,6.570122241973878,12.602550506591795,66.58121490478516
1614182902698,2021-02-24T16:10:24.741Z,2.134,5.533536434173584,10.102550506591797,70.48365020751953
1614182902737,2021-02-24T16:10:24.755Z,2.173,7.179878234863281,15.651330947875975,73.95925903320312
1614182902777,2021-02-24T16:10:24.770Z,2.213,8.033536911010742,22.11474609375,76.21536254882812
1614182902817,2021-02-24T16:10:24.785Z,2.253,11.265244483947756,23.395233154296875,77.6177978515625
1614182902858,2021-02-24T16:10:24.799Z,2.294,9.862805366516113,18.090354919433594,78.10560607910156
1614182902897,2021-02-24T16:10:24.801Z,2.333,13.338415145874025,14.004989624023438,79.69097137451172
1614182902937,2021-02-24T16:10:24.815Z,2.373,13.765244483947756,9.980598449707033,74.87389373779297
1614182902976,2021-02-24T16:10:24.830Z,2.412,13.765244483947756,31.322063446044922,66.64218902587889
1614182903016,2021-02-24T16:10:24.845Z,2.452,8.94817066192627,31.01718521118164,55.48364639282226
1614182903055,2021-02-24T16:10:24.859Z,2.491,7.606707572937013,0.4074279367923737,41.825111389160156
1614182903096,2021-02-24T16:10:24.861Z,2.532,-6.417683124542236,-3.3730599880218506,34.386085510253906
1614182903136,2021-02-24T16:10:24.876Z,2.572,-17.637195587158203,-23.12915802001953,28.959259033203125
1614182903175,2021-02-24T16:10:24.890Z,2.611,-8.368902206420897,3.517184019088745,20.178770065307614
1614182903215,2021-02-24T16:10:24.905Z,2.6510000000000002,-9.832317352294922,0.9562084674835204,17.251941680908207
1614182903255,2021-02-24T16:10:24.919Z,2.6910000000000003,1.387195110321045,23.63913536071777,15.971452713012695
1614182903296,2021-02-24T16:10:24.934Z,2.7319999999999998,10.960366249084473,20.34645271301269,6.398281574249268
1614182903335,2021-02-24T16:10:24.936Z,2.7710000000000004,7.606707572937013,8.883037567138672,9.020233154296877
1614182903375,2021-02-24T16:10:24.950Z,2.8110000000000004,3.2774391174316406,4.3098669052124015,6.459257125854492
1614182903414,2021-02-24T16:10:24.965Z,2.85,-1.6006097793579102,19.553770065307614,4.142184257507323
1614182903454,2021-02-24T16:10:24.980Z,2.89,-0.3810975551605225,13.639135360717773,7.983647346496582
1614182903493,2021-02-24T16:10:24.994Z,2.929,2.789634227752685,-0.32427939772605896,10.910476684570312
1614182903534,2021-02-24T16:10:24.996Z,2.97,4.070121765136719,5.529379367828369,15.056818008422852
1614182903574,2021-02-24T16:10:25.011Z,3.01,9.009146690368652,11.809866905212402,9.690964698791504
1614182903613,2021-02-24T16:10:25.025Z,3.049,8.277439117431639,2.2976717948913574,1.15437912940979
1614182903653,2021-02-24T16:10:25.040Z,3.089,2.6067073345184326,0.8952327966690063,-0.7968403100967407
1614182903693,2021-02-24T16:10:25.054Z,3.1289999999999996,5.838414669036865,13.029379844665527,4.203159809112549
1614182903734,2021-02-24T16:10:25.069Z,3.17,3.82621955871582,4.065964698791504,6.459257125854492
1614182903773,2021-02-24T16:10:25.071Z,3.2089999999999996,2.0579268932342534,1.3220621347427368,8.77632999420166
1614182903813,2021-02-24T16:10:25.085Z,3.2489999999999997,0.4115853905677795,1.5049889087677002,10.300721168518066
1614182903852,2021-02-24T16:10:25.100Z,3.2880000000000003,0.5945122241973877,-4.165742874145509,12.861696243286133
1614182903892,2021-02-24T16:10:25.115Z,3.3280000000000003,-0.2591463327407837,3.3342573642730717,8.837306022644043
1614182903933,2021-02-24T16:10:25.129Z,3.3689999999999998,0.5335366129875183,-1.299889087677002,-3.8456211090087886
1614182903972,2021-02-24T16:10:25.131Z,3.408,3.033536672592163,-0.08037694543600082,-5.430986881256104
1614182904012,2021-02-24T16:10:25.145Z,3.448,1.0823169946670532,6.261086463928223,-4.943181991577148
1614182904051,2021-02-24T16:10:25.160Z,3.487,0.4115853905677795,-1.6657427549362185,-9.333426475524902
1614182904091,2021-02-24T16:10:25.175Z,3.5269999999999997,-0.13719512522220612,3.3342573642730717,-4.760255336761475
1614182904131,2021-02-24T16:10:25.189Z,3.5669999999999997,-1.1737805604934692,-0.4462306201457977,-0.3090354800224304
1614182904172,2021-02-24T16:10:25.191Z,3.608,0.5335366129875183,-3.616962432861328,2.983647346496582
1614182904211,2021-02-24T16:10:25.206Z,3.647,0.8384146690368652,-5.629157543182373,4.203159809112549
1614182904251,2021-02-24T16:10:25.220Z,3.687,2.1798779964447017,0.5293791890144348,5.544622898101807
1614182904290,2021-02-24T16:10:25.235Z,3.7260000000000004,1.4481706619262695,-5.507206439971924,2.3738913536071777
1614182904330,2021-02-24T16:10:25.251Z,3.766,2.728658437728882,4.736696243286133,5.361696243286133
1614182904371,2021-02-24T16:10:25.264Z,3.807,3.4603657722473145,10.468403816223145,-0.7968403100967407
1614182904410,2021-02-24T16:10:25.266Z,3.846,3.9481706619262695,14.492794036865234,-3.6017184257507324
1614182904450,2021-02-24T16:10:25.280Z,3.886,1.0823169946670532,8.944013595581055,4.020232677459717
1614182904489,2021-02-24T16:10:25.295Z,3.925,0.4725610017776489,9.736696243286133,6.093403339385986
1614182904529,2021-02-24T16:10:25.310Z,3.965,-1.4176830053329468,7.35864782333374,5.727550029754639
1614182904570,2021-02-24T16:10:25.324Z,4.006,-2.8201220035552983,-1.299889087677002,-0.004157428164035082
1614182904610,2021-02-24T16:10:25.326Z,4.046,-3.612804889678955,-1.360864758491516,-1.7114745378494265
