epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614183526234,2021-02-24T16:20:24.018Z,26.122,-16.80555534362793,-10.427778244018556,-24.97083282470703
1614183526273,2021-02-24T16:20:24.020Z,26.160999999999998,-17.55555534362793,-12.302778244018555,-25.78333282470703
1614183526313,2021-02-24T16:20:24.023Z,26.201,-17.93055534362793,-11.552778244018555,-25.40833282470703
1614183526352,2021-02-24T16:20:24.034Z,26.24,-17.18055534362793,-11.177778244018556,-25.78333282470703
1614183526392,2021-02-24T16:20:24.036Z,26.28,-16.80555534362793,-11.177778244018556,-24.53333282470703
1614183526432,2021-02-24T16:20:24.038Z,26.32,-16.43055534362793,-11.552778244018555,-24.53333282470703
1614183526471,2021-02-24T16:20:24.050Z,26.359,-16.80555534362793,-11.927778244018555,-26.22083282470703
1614183526511,2021-02-24T16:20:24.052Z,26.399,-17.18055534362793,-11.927778244018555,-25.84583282470703
1614183526550,2021-02-24T16:20:24.063Z,26.438000000000002,-16.80555534362793,-20.115278244018555,-23.72083282470703
1614183526590,2021-02-24T16:20:24.065Z,26.478,-16.43055534362793,-15.677778244018555,-25.40833282470703
1614183526631,2021-02-24T16:20:24.067Z,26.519000000000002,-16.43055534362793,-13.802778244018555,-24.09583282470703
1614183526670,2021-02-24T16:20:24.078Z,26.558000000000003,-16.80555534362793,-13.052778244018555,-24.09583282470703
1614183526710,2021-02-24T16:20:24.080Z,26.598000000000003,-15.68055534362793,-12.302778244018555,-24.97083282470703
1614183526749,2021-02-24T16:20:24.083Z,26.636999999999997,-16.05555534362793,-12.677778244018555,-23.72083282470703
1614183526789,2021-02-24T16:20:24.094Z,26.677,-17.18055534362793,-12.677778244018555,-24.15833282470703
1614183526829,2021-02-24T16:20:24.096Z,26.717,-16.43055534362793,-13.427778244018555,-21.28333282470703
1614183526868,2021-02-24T16:20:24.098Z,26.756,-16.80555534362793,-11.552778244018555,-23.28333282470703
1614183526908,2021-02-24T16:20:24.110Z,26.796,-16.05555534362793,-14.927778244018555,-23.72083282470703
1614183526947,2021-02-24T16:20:24.112Z,26.835,-17.18055534362793,-17.490278244018555,-22.90833282470703
1614183526987,2021-02-24T16:20:24.123Z,26.875,-16.43055534362793,-17.115278244018555,-23.72083282470703
1614183527028,2021-02-24T16:20:24.125Z,26.916,-17.18055534362793,-19.365278244018555,-23.72083282470703
1614183527066,2021-02-24T16:20:24.127Z,26.954,-16.05555534362793,-19.365278244018555,-22.90833282470703
1614183527107,2021-02-24T16:20:24.138Z,26.995,-16.43055534362793,-29.052778244018555,-23.28333282470703
1614183527146,2021-02-24T16:20:24.141Z,27.034000000000002,-16.43055534362793,-23.115278244018555,-24.53333282470703
1614183527186,2021-02-24T16:20:24.142Z,27.074,-17.18055534362793,-21.615278244018555,-22.53333282470703
1614183527225,2021-02-24T16:20:24.154Z,27.113000000000003,-16.80555534362793,-21.990278244018555,-24.53333282470703
1614183527265,2021-02-24T16:20:24.156Z,27.153000000000002,-17.55555534362793,-16.427778244018555,-22.47083282470703
1614183527305,2021-02-24T16:20:24.158Z,27.193,-17.55555534362793,-18.240278244018555,-24.53333282470703
1614183527344,2021-02-24T16:20:24.169Z,27.232,-17.18055534362793,-13.802778244018555,-24.97083282470703
1614183527384,2021-02-24T16:20:24.172Z,27.272,-16.43055534362793,-12.677778244018555,-23.72083282470703
