epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1614183309514,2021-02-24T16:16:58.445Z,-0.101,0.09195017069578171,0.8712754249572754,0.37744709849357605
1614183309553,2021-02-24T16:16:58.446Z,-0.062,0.08657907694578171,0.8766465187072754,0.37305256724357605
1614183309594,2021-02-24T16:16:58.448Z,-0.021,0.08804392069578171,0.8737168312072754,0.37036702036857605
1614183309634,2021-02-24T16:16:58.459Z,0.019,0.08731149882078171,0.8773789405822754,0.38403889536857605
1614183309675,2021-02-24T16:16:58.461Z,0.06,0.08560251444578171,0.8739609718322754,0.37183186411857605
1614183309714,2021-02-24T16:16:58.463Z,0.099,0.08535837382078171,0.8756699562072754,0.37549397349357605
1614183309755,2021-02-24T16:16:58.474Z,0.14,0.09219431132078171,0.8737168312072754,0.38379475474357605
1614183309796,2021-02-24T16:16:58.476Z,0.181,0.08535837382078171,0.8702988624572754,0.37451741099357605
1614183309836,2021-02-24T16:16:58.479Z,0.221,0.08438181132078171,0.8734726905822754,0.37256428599357605
1614183309877,2021-02-24T16:16:58.505Z,0.262,0.08926462382078171,0.8717637062072754,0.38208577036857605
1614183309917,2021-02-24T16:16:58.507Z,0.302,0.09170603007078171,0.8702988624572754,0.37842366099357605
1614183309958,2021-02-24T16:16:58.509Z,0.343,0.09146188944578171,0.8754258155822754,0.37744709849357605
1614183309997,2021-02-24T16:16:58.521Z,0.382,0.08609079569578171,0.8715195655822754,0.37720295786857605
1614183310038,2021-02-24T16:16:58.523Z,0.423,0.08755563944578171,0.8746933937072754,0.38257405161857605
1614183310078,2021-02-24T16:16:58.534Z,0.463,0.08853220194578171,0.8734726905822754,0.38477131724357605
1614183310119,2021-02-24T16:16:58.536Z,0.504,0.08462595194578171,0.8739609718322754,0.38184162974357605
1614183310158,2021-02-24T16:16:58.539Z,0.543,0.08560251444578171,0.8742051124572754,0.37891194224357605
1614183310199,2021-02-24T16:16:58.550Z,0.584,0.08438181132078171,0.8800644874572754,0.38062092661857605
1614183310239,2021-02-24T16:16:58.552Z,0.624,0.08560251444578171,0.8693222999572754,0.37671467661857605
