epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1614183309512,2021-02-24T16:16:58.438Z,-0.094,-4.855113506317139,29.19744300842285,-137.7670440673828
1614183309553,2021-02-24T16:16:58.440Z,-0.053,-3.3551137447357178,28.82244300842285,-138.9545440673828
1614183309593,2021-02-24T16:16:58.441Z,-0.013,-4.480113506317139,27.38494300842285,-137.0170440673828
1614183309632,2021-02-24T16:16:58.452Z,0.026,-4.105113506317139,25.13494300842285,-137.7670440673828
1614183309672,2021-02-24T16:16:58.454Z,0.066,-5.230113506317139,26.25994300842285,-139.8295440673828
1614183309692,2021-02-24T16:16:58.455Z,0.086,-5.605113506317139,28.13494300842285,-137.0170440673828
1614183309733,2021-02-24T16:16:58.465Z,0.127,-4.105113506317139,29.19744300842285,-139.3920440673828
1614183309773,2021-02-24T16:16:58.467Z,0.167,-3.7301137447357178,28.13494300842285,-138.2045440673828
1614183309812,2021-02-24T16:16:58.470Z,0.206,-5.230113506317139,28.13494300842285,-137.0170440673828
1614183309852,2021-02-24T16:16:58.481Z,0.246,-4.855113506317139,22.50994300842285,-138.5795440673828
1614183309892,2021-02-24T16:16:58.483Z,0.286,-4.105113506317139,25.88494300842285,-137.3920440673828
1614183309933,2021-02-24T16:16:58.485Z,0.327,-4.855113506317139,29.57244300842285,-137.8295440673828
1614183309972,2021-02-24T16:16:58.497Z,0.366,-3.7301137447357178,29.57244300842285,-138.6420440673828
1614183310012,2021-02-24T16:16:58.499Z,0.406,-4.480113506317139,29.19744300842285,-138.6420440673828
1614183310051,2021-02-24T16:16:58.501Z,0.445,-5.605113506317139,12.072443008422852,-138.2670440673828
1614183310091,2021-02-24T16:16:58.511Z,0.485,-5.230113506317139,26.63494300842285,-140.2045440673828
1614183310132,2021-02-24T16:16:58.514Z,0.526,-4.855113506317139,27.75994300842285,-138.2670440673828
1614183310171,2021-02-24T16:16:58.525Z,0.565,-4.855113506317139,22.13494300842285,-138.2045440673828
1614183310211,2021-02-24T16:16:58.528Z,0.605,-4.105113506317139,29.19744300842285,-139.8295440673828
1614183310250,2021-02-24T16:16:58.529Z,0.644,-5.980113506317139,29.57244300842285,-138.6420440673828
1614183310290,2021-02-24T16:16:58.541Z,0.684,-5.230113506317139,28.13494300842285,-139.4545440673828
1614183310331,2021-02-24T16:16:58.543Z,0.725,-5.605113506317139,28.50994300842285,-137.8920440673828
1614183310371,2021-02-24T16:16:58.545Z,0.765,-4.855113506317139,28.82244300842285,-138.2670440673828
1614183310410,2021-02-24T16:16:58.556Z,0.804,-6.730113506317139,28.82244300842285,-139.8295440673828
1614183310450,2021-02-24T16:16:58.559Z,0.844,-5.230113506317139,29.94744300842285,-139.0795440673828
1614183310489,2021-02-24T16:16:58.561Z,0.883,-4.855113506317139,29.94744300842285,-138.2670440673828
1614183310530,2021-02-24T16:16:58.572Z,0.924,-5.230113506317139,28.13494300842285,-139.4545440673828
1614183310570,2021-02-24T16:16:58.574Z,0.964,-6.730113506317139,29.57244300842285,-138.2670440673828
1614183310609,2021-02-24T16:16:58.587Z,1.003,-5.605113506317139,28.88494300842285,-138.2670440673828
1614183310649,2021-02-24T16:16:58.587Z,1.043,-5.980113506317139,28.88494300842285,-139.4545440673828
1614183310688,2021-02-24T16:16:58.589Z,1.082,-4.855113506317139,29.94744300842285,-138.2045440673828
1614183310728,2021-02-24T16:16:58.601Z,1.122,-4.855113506317139,28.82244300842285,-138.6420440673828
1614183310769,2021-02-24T16:16:58.603Z,1.163,-4.855113506317139,29.57244300842285,-138.6420440673828
1614183310809,2021-02-24T16:16:58.605Z,1.203,-4.855113506317139,29.19744300842285,-137.4545440673828
1614183310848,2021-02-24T16:16:58.616Z,1.242,-5.230113506317139,29.57244300842285,-137.8295440673828
1614183310889,2021-02-24T16:16:58.619Z,1.283,-5.230113506317139,29.94744300842285,-139.4545440673828
1614183310927,2021-02-24T16:16:58.621Z,1.321,-5.980113506317139,28.82244300842285,-137.0170440673828
1614183310968,2021-02-24T16:16:58.632Z,1.362,-5.605113506317139,30.32244300842285,-138.2670440673828
1614183311008,2021-02-24T16:16:58.634Z,1.402,-5.980113506317139,27.38494300842285,-138.6420440673828
1614183311047,2021-02-24T16:16:58.645Z,1.441,-5.230113506317139,29.19744300842285,-137.8295440673828
1614183311087,2021-02-24T16:16:58.647Z,1.481,-4.105113506317139,26.63494300842285,-137.8295440673828
1614183311126,2021-02-24T16:16:58.648Z,1.52,-4.480113506317139,24.75994300842285,-138.6420440673828
1614183311167,2021-02-24T16:16:58.651Z,1.561,-3.3551137447357178,22.88494300842285,-136.2670440673828
1614183311207,2021-02-24T16:16:58.662Z,1.601,-3.3551137447357178,21.38494300842285,-137.0170440673828
1614183311247,2021-02-24T16:16:58.664Z,1.641,-2.6051137447357178,24.75994300842285,-136.6420440673828
1614183311286,2021-02-24T16:16:58.666Z,1.68,-1.8551136255264282,29.19744300842285,-134.7045440673828
1614183311326,2021-02-24T16:16:58.677Z,1.72,-2.2301137447357178,20.25994300842285,-134.6420440673828
1614183311367,2021-02-24T16:16:58.679Z,1.761,-1.8551136255264282,30.32244300842285,-135.4545440673828
1614183311406,2021-02-24T16:16:58.690Z,1.8,-2.2301137447357178,29.94744300842285,-133.4545440673828
1614183311446,2021-02-24T16:16:58.692Z,1.84,-1.1051136255264282,29.94744300842285,-133.0795440673828
1614183311485,2021-02-24T16:16:58.694Z,1.879,-1.1051136255264282,29.57244300842285,-135.8920440673828
1614183311525,2021-02-24T16:16:58.706Z,1.919,-0.3551136255264282,28.82244300842285,-133.8920440673828
1614183311564,2021-02-24T16:16:58.708Z,1.958,-0.3551136255264282,29.94744300842285,-134.6420440673828
1614183311605,2021-02-24T16:16:58.711Z,1.999,-2.2301137447357178,29.19744300842285,-134.7045440673828
1614183311645,2021-02-24T16:16:58.721Z,2.039,-1.4801136255264282,27.00994300842285,-133.4545440673828
