epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1614184288501,2021-02-24T16:40:05.467Z,0.145,99255.25
1614184288579,2021-02-24T16:40:05.480Z,0.223,99255.09375
1614184288656,2021-02-24T16:40:05.494Z,0.3,99254.96875
1614184288734,2021-02-24T16:40:05.497Z,0.378,99255.625
1614184288811,2021-02-24T16:40:05.511Z,0.455,99254.8359375
1614184288889,2021-02-24T16:40:05.514Z,0.533,99255.5
1614184288967,2021-02-24T16:40:05.528Z,0.611,99255.3671875
1614184289044,2021-02-24T16:40:05.541Z,0.688,99256.03125
1614184289123,2021-02-24T16:40:05.555Z,0.767,99256.03125
1614184289201,2021-02-24T16:40:05.558Z,0.845,99256.703125
1614184289279,2021-02-24T16:40:05.572Z,0.923,99255.875
1614184289356,2021-02-24T16:40:05.615Z,1,99255.875
1614184289434,2021-02-24T16:40:05.619Z,1.078,99256.53125
1614184289512,2021-02-24T16:40:05.632Z,1.156,99256.53125
1614184289589,2021-02-24T16:40:05.659Z,1.233,99257.203125
1614184289667,2021-02-24T16:40:05.664Z,1.311,99257.203125
1614184289745,2021-02-24T16:40:05.677Z,1.389,99256.40625
1614184289822,2021-02-24T16:40:05.691Z,1.466,99257.203125
1614184289900,2021-02-24T16:40:05.704Z,1.544,99256.40625
1614184289977,2021-02-24T16:40:05.708Z,1.621,99257.078125
1614184290055,2021-02-24T16:40:05.721Z,1.699,99257.078125
1614184290133,2021-02-24T16:40:05.734Z,1.777,99257.078125
1614184290210,2021-02-24T16:40:05.738Z,1.854,99257.078125
1614184290288,2021-02-24T16:40:05.752Z,1.932,99257.078125
1614184290366,2021-02-24T16:40:05.764Z,2.01,99257.078125
1614184290443,2021-02-24T16:40:05.769Z,2.087,99257.078125
1614184290521,2021-02-24T16:40:05.797Z,2.165,99257.078125
1614184290599,2021-02-24T16:40:05.810Z,2.243,99257.078125
1614184290676,2021-02-24T16:40:05.814Z,2.32,99257.078125
1614184290754,2021-02-24T16:40:05.828Z,2.398,99257.078125
1614184290831,2021-02-24T16:40:05.855Z,2.475,99257.078125
1614184290909,2021-02-24T16:40:05.869Z,2.553,99257.078125
1614184290987,2021-02-24T16:40:05.872Z,2.631,99257.734375
1614184291064,2021-02-24T16:40:05.886Z,2.708,99257.734375
1614184291142,2021-02-24T16:40:05.899Z,2.786,99257.734375
1614184291220,2021-02-24T16:40:05.903Z,2.864,99257.734375
1614184291297,2021-02-24T16:40:05.917Z,2.941,99257.078125
1614184291375,2021-02-24T16:40:05.930Z,3.019,99257.734375
1614184291453,2021-02-24T16:40:05.934Z,3.097,99257.734375
1614184291530,2021-02-24T16:40:05.948Z,3.174,99257.734375
1614184291608,2021-02-24T16:40:05.960Z,3.252,99257.078125
1614184291685,2021-02-24T16:40:05.974Z,3.329,99257.078125
1614184291763,2021-02-24T16:40:05.978Z,3.407,99257.078125
1614184291841,2021-02-24T16:40:06.004Z,3.485,99257.078125
1614184291918,2021-02-24T16:40:06.009Z,3.562,99257.078125
1614184291996,2021-02-24T16:40:06.022Z,3.64,99257.078125
1614184292074,2021-02-24T16:40:06.035Z,3.718,99257.8671875
1614184292151,2021-02-24T16:40:06.049Z,3.795,99257.8671875
1614184292229,2021-02-24T16:40:06.053Z,3.873,99257.8671875
