epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1610599287312,2021-01-14T04:42:22.714Z,-0.335,-131.9375,117.0625,299.875
1610599287351,2021-01-14T04:42:22.717Z,-0.296,-131.9375,116.75,299.5625
1610599287391,2021-01-14T04:42:22.757Z,-0.256,-131.9375,116,300.6875
1610599287430,2021-01-14T04:42:22.759Z,-0.217,-131.9375,100.75,300.6875
1610599287463,2021-01-14T04:42:22.760Z,-0.184,-131.9375,116,300.625
1610599287502,2021-01-14T04:42:22.787Z,-0.145,-132.6875,116.375,299.5
1610599287542,2021-01-14T04:42:22.789Z,-0.105,-131.5625,115.625,299.875
1610599287581,2021-01-14T04:42:22.791Z,-0.066,-130.8125,112.625,301.0625
1610599287621,2021-01-14T04:42:22.802Z,-0.026,-132.6875,115.625,298.625
1610599287641,2021-01-14T04:42:22.804Z,-0.006,-132.3125,115.625,298.625
1610599287682,2021-01-14T04:42:22.806Z,0.035,-131.1875,115.25,299.0625
1610599287722,2021-01-14T04:42:22.817Z,0.075,-132.3125,116.375,299.875
1610599287761,2021-01-14T04:42:22.819Z,0.114,-131.5625,112.625,299.875
1610599287801,2021-01-14T04:42:22.820Z,0.154,-131.1875,117.0625,298.6875
1610599287840,2021-01-14T04:42:22.833Z,0.193,-131.9375,117.0625,299.5
1610599287880,2021-01-14T04:42:22.834Z,0.233,-132.6875,112.25,299.0625
1610599287920,2021-01-14T04:42:22.836Z,0.273,-132.3125,116.75,297.875
1610599287959,2021-01-14T04:42:22.847Z,0.312,-131.9375,115.625,300.25
1610599287999,2021-01-14T04:42:22.850Z,0.352,-132.6875,115.625,298.6875
1610599288038,2021-01-14T04:42:22.861Z,0.391,-131.9375,116,298.75
1610599288078,2021-01-14T04:42:22.863Z,0.431,-132.3125,116.375,298.625
1610599288117,2021-01-14T04:42:22.865Z,0.47,-131.5625,117.4375,298.25
1610599288158,2021-01-14T04:42:22.876Z,0.511,-131.9375,116.6875,299.875
1610599288198,2021-01-14T04:42:22.879Z,0.551,-131.9375,115.25,299.875
1610599288237,2021-01-14T04:42:22.881Z,0.59,-133.0625,116.3125,297.4375
1610599288277,2021-01-14T04:42:22.891Z,0.63,-131.9375,117.8125,300.3125
1610599288317,2021-01-14T04:42:22.894Z,0.67,-131.5625,115.25,300.25
1610599288356,2021-01-14T04:42:22.896Z,0.709,-132.3125,116,298.625
1610599288396,2021-01-14T04:42:22.922Z,0.749,-132.6875,117.0625,299.875
1610599288435,2021-01-14T04:42:22.924Z,0.788,-132.6875,98.125,299.0625
1610599288475,2021-01-14T04:42:22.936Z,0.828,-131.9375,116.375,297.8125
1610599288514,2021-01-14T04:42:22.938Z,0.867,-131.9375,116.375,300.6875
1610599288554,2021-01-14T04:42:22.940Z,0.907,-132.6875,115.25,299.0625
1610599288593,2021-01-14T04:42:22.951Z,0.946,-132.3125,116.6875,298.625
1610599288634,2021-01-14T04:42:22.954Z,0.987,-131.5625,115.25,299.5625
1610599288674,2021-01-14T04:42:22.955Z,1.027,-131.1875,115.625,299.0625
