epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1610601746448,2021-01-14T05:22:26.449Z,0,0.9998887181282043,0.009146607480943203,-0.011781294830143452,0
1610601746462,2021-01-14T05:22:26.463Z,0.014,0.9995536208152771,0.018318412825465202,-0.023601893335580826,6.263145024831829e-8
1610601746493,2021-01-14T05:22:26.493Z,0.045,0.9995536208152771,0.018318412825465202,-0.023601893335580826,6.263145024831829e-8
1610601746507,2021-01-14T05:22:26.507Z,0.059,0.9989933371543884,0.027502022683620453,-0.03544013202190399,1.698283682571855e-7
1610601746523,2021-01-14T05:22:26.523Z,0.075,0.9971986413002014,0.04587475210428238,-0.05907890945672989,-9.228973567587673e-7
1610601746553,2021-01-14T05:22:26.553Z,0.105,0.9945154190063477,0.06416396051645279,-0.08259639889001846,-0.00000250641073762381
1610601746568,2021-01-14T05:22:26.568Z,0.12,0.9909673929214478,0.08228176832199097,-0.10589244216680527,-0.000004190461368125398
1610601746583,2021-01-14T05:22:26.583Z,0.135,0.9865919351577759,0.10013046860694885,-0.12888048589229584,-0.000002507337740098592
1610601746612,2021-01-14T05:22:26.613Z,0.164,0.9814363121986389,0.11763127893209457,-0.15147805213928223,0.000004908993105345871
1610601746627,2021-01-14T05:22:26.628Z,0.179,0.975559651851654,0.13472774624824524,-0.17358523607254028,0.0000158933580678422
1610601746657,2021-01-14T05:22:26.657Z,0.209,0.969028890132904,0.15138700604438782,-0.1951024979352951,0.000022975857064011507
1610601746672,2021-01-14T05:22:26.672Z,0.224,0.9619160294532776,0.16755031049251556,-0.21597294509410858,0.000028937509341631085
1610601746688,2021-01-14T05:22:26.688Z,0.24,0.9542950391769409,0.18319009244441986,-0.23614029586315155,0.00003007020495715551
1610601746717,2021-01-14T05:22:26.718Z,0.269,0.9462411999702454,0.19827567040920258,-0.25556662678718567,0.000025998440833063796
1610601746732,2021-01-14T05:22:26.733Z,0.284,0.9378387331962585,0.21274718642234802,-0.27422115206718445,0.00002597096681711264
1610601746748,2021-01-14T05:22:26.748Z,0.3,0.9291616082191467,0.22660385072231293,-0.2920778691768646,0.000024884113372536376
1610601746778,2021-01-14T05:22:26.778Z,0.33,0.9202767014503479,0.23983405530452728,-0.30914485454559326,0.00002811279773595743
1610601746793,2021-01-14T05:22:26.793Z,0.345,0.9112637042999268,0.25244179368019104,-0.3253791332244873,0.00002324192064406816
1610601746814,2021-01-14T05:22:26.814Z,0.366,0.9021976590156555,0.26443010568618774,-0.34075817465782166,0.0000027660753403324634
