epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1610602341026,2021-01-14T05:32:21.026Z,0,1,0,0,0.000058601159253157675
1610602341040,2021-01-14T05:32:21.040Z,0.014,1,0,0,0.00011720231850631535
1610602341070,2021-01-14T05:32:21.071Z,0.044,1,0,0,0.00011720231850631535
1610602341085,2021-01-14T05:32:21.085Z,0.059,1,0,0,0.00011720231850631535
1610602341100,2021-01-14T05:32:21.100Z,0.074,1,0,0,0.00011720231850631535
1610602341130,2021-01-14T05:32:21.131Z,0.104,0.999958872795105,0.008935018442571163,-0.001566919032484293,0.00011719750182237476
1610602341145,2021-01-14T05:32:21.145Z,0.119,0.9996479153633118,0.0261386651545763,-0.004556945990771055,0.00011692961561493576
1610602341160,2021-01-14T05:32:21.161Z,0.134,0.9990692734718323,0.04249711334705353,-0.007379544898867607,0.00011604942119447514
1610602341190,2021-01-14T05:32:21.190Z,0.164,0.9982659220695496,0.05799531564116478,-0.010082441382110119,0.00011642173194559291
1610602341205,2021-01-14T05:32:21.205Z,0.179,0.9972731471061707,0.07270272821187973,-0.012671991251409054,0.00011826209811260924
1610602341220,2021-01-14T05:32:21.220Z,0.194,0.9961231350898743,0.08665262907743454,-0.01516365259885788,0.00012259813956916332
1610602341235,2021-01-14T05:32:21.235Z,0.209,0.9948441386222839,0.09989045560359955,-0.017522769048810005,0.00012616277672350407
1610602341265,2021-01-14T05:32:21.265Z,0.239,0.9934651255607605,0.11242550611495972,-0.0196854155510664,0.0000033395326681784354
1610602341280,2021-01-14T05:32:21.280Z,0.254,0.9920164346694946,0.12423683702945709,-0.02164854295551777,-0.0001380574976792559
1610602341295,2021-01-14T05:32:21.295Z,0.269,0.9905256032943726,0.13532018661499023,-0.0233981404453516,-0.00014562008436769247
1610602341325,2021-01-14T05:32:21.325Z,0.299,0.9890031218528748,0.1457507163286209,-0.02509192004799843,-0.00016042374772951007
1610602341340,2021-01-14T05:32:21.340Z,0.314,0.987453043460846,0.15564082562923431,-0.026690008118748665,-0.00017554905207362026
1610602341355,2021-01-14T05:32:21.355Z,0.329,0.9858981370925903,0.16495248675346375,-0.028202081099152565,-0.00018855261441785842
1610602341385,2021-01-14T05:32:21.385Z,0.359,0.9843485355377197,0.1737072765827179,-0.029728444293141365,-0.00025303286383859813
1610602341400,2021-01-14T05:32:21.400Z,0.374,0.9828077554702759,0.1819855123758316,-0.0311469454318285,-0.000302372791338712
1610602341415,2021-01-14T05:32:21.415Z,0.389,0.9812864065170288,0.1897931545972824,-0.032489195466041565,-0.0003506031061988324
1610602341445,2021-01-14T05:32:21.445Z,0.419,0.9797989130020142,0.1971196085214615,-0.03373272344470024,-0.0003521450562402606
1610602341460,2021-01-14T05:32:21.460Z,0.434,0.9783414006233215,0.20404206216335297,-0.034854963421821594,-0.00036420562537387013
1610602341475,2021-01-14T05:32:21.475Z,0.449,0.9769266247749329,0.2105376273393631,-0.03588913381099701,-0.0003794218064285815
1610602341505,2021-01-14T05:32:21.505Z,0.479,0.9755483865737915,0.21667149662971497,-0.0368579737842083,-0.00039543581078760326
1610602341520,2021-01-14T05:32:21.520Z,0.494,0.9742180705070496,0.22242717444896698,-0.03775148466229439,-0.00041390559636056423
1610602341535,2021-01-14T05:32:21.535Z,0.509,0.9729290008544922,0.22786065936088562,-0.0385822169482708,-0.00043422405724413693
1610602341565,2021-01-14T05:32:21.565Z,0.539,0.9716896414756775,0.2329598367214203,-0.03935450315475464,-0.0004549997975118458
1610602341580,2021-01-14T05:32:21.580Z,0.554,0.9704928398132324,0.23777388036251068,-0.040087029337882996,-0.00047381207696162164
1610602341595,2021-01-14T05:32:21.595Z,0.569,0.9693414568901062,0.242305189371109,-0.040804557502269745,-0.0004845823277719319
1610602341625,2021-01-14T05:32:21.625Z,0.599,0.968238115310669,0.2465624362230301,-0.0414917953312397,-0.0004914308665320277
1610602341647,2021-01-14T05:32:21.647Z,0.621,0.9671821594238281,0.25056466460227966,-0.04214024543762207,-0.000497274799272418
1610602341655,2021-01-14T05:32:21.655Z,0.629,0.9662052392959595,0.2542078197002411,-0.042727258056402206,-0.0005083403084427118
1610602341685,2021-01-14T05:32:21.685Z,0.659,0.9652875065803528,0.2575765550136566,-0.043291375041007996,-0.0005196978454478085
1610602341700,2021-01-14T05:32:21.700Z,0.674,0.9644039869308472,0.2607800364494324,-0.04379850998520851,-0.0005381387309171259
1610602341715,2021-01-14T05:32:21.715Z,0.689,0.9635820984840393,0.26371902227401733,-0.04428968206048012,-0.000551671430002898
1610602341745,2021-01-14T05:32:21.745Z,0.719,0.9628443121910095,0.2663234770298004,-0.044745516031980515,-0.0005612517707049847
1610602341760,2021-01-14T05:32:21.762Z,0.734,0.9621778726577759,0.2686515152454376,-0.045164965093135834,-0.0005688894889317453
1610602341775,2021-01-14T05:32:21.776Z,0.749,0.9615731835365295,0.27074316143989563,-0.04554976895451546,-0.0005768053233623505
1610602341805,2021-01-14T05:32:21.805Z,0.779,0.9610223770141602,0.27263638377189636,-0.04587909206748009,-0.000591753632761538
1610602341820,2021-01-14T05:32:21.820Z,0.794,0.9605255126953125,0.2743299603462219,-0.04618823528289795,-0.0006034232210367918
1610602341835,2021-01-14T05:32:21.835Z,0.809,0.9600701928138733,0.27586719393730164,-0.04649857431650162,-0.0006059198640286922
1610602341850,2021-01-14T05:32:21.850Z,0.824,0.9596667885780334,0.2772219777107239,-0.04676907882094383,-0.0006112623959779739
1610602341880,2021-01-14T05:32:21.880Z,0.854,0.9593051075935364,0.2784329950809479,-0.04699435085058212,-0.0006187392864376307
1610602341895,2021-01-14T05:32:21.895Z,0.869,0.9589707255363464,0.27954769134521484,-0.047199878841638565,-0.0006238447967916727
1610602341910,2021-01-14T05:32:21.910Z,0.884,0.958633542060852,0.28066879510879517,-0.047394659370183945,-0.000622028426732868
1610602341940,2021-01-14T05:32:21.940Z,0.914,0.9583235383033752,0.2816963493824005,-0.047569390386343,-0.000621472776401788
1610602341955,2021-01-14T05:32:21.956Z,0.929,0.9580513834953308,0.28259575366973877,-0.04771625995635986,-0.0006227640551514924
1610602341977,2021-01-14T05:32:21.977Z,0.951,0.9578112363815308,0.28338590264320374,-0.04785037785768509,-0.0006224025855772197
1610602342000,2021-01-14T05:32:22.000Z,0.974,0.9575866460800171,0.2841215431690216,-0.047983426600694656,-0.0006196441827341914
1610602342015,2021-01-14T05:32:22.015Z,0.989,0.957370936870575,0.28482604026794434,-0.04811127111315727,-0.0006168719264678657
1610602342030,2021-01-14T05:32:22.030Z,1.004,0.9571610689163208,0.28551095724105835,-0.048227131366729736,-0.0006166904349811375
1610602342060,2021-01-14T05:32:22.060Z,1.034,0.95698082447052,0.28609663248062134,-0.04833196848630905,-0.000614814693108201
1610602342075,2021-01-14T05:32:22.075Z,1.049,0.9568214416503906,0.286618173122406,-0.04839838668704033,-0.0006211990839801729
1610602342090,2021-01-14T05:32:22.090Z,1.064,0.9566390514373779,0.2872062921524048,-0.04851628467440605,-0.000646072905510664
1610602342120,2021-01-14T05:32:22.120Z,1.094,0.9564216732978821,0.2879139482975006,-0.048606619238853455,-0.0006546880467794836
1610602342135,2021-01-14T05:32:22.135Z,1.109,0.9561859369277954,0.2886762022972107,-0.0487251915037632,-0.0006575683364644647
1610602342150,2021-01-14T05:32:22.150Z,1.124,0.9559535384178162,0.2894228994846344,-0.048856280744075775,-0.0006558788591064513
1610602342180,2021-01-14T05:32:22.180Z,1.154,0.955733060836792,0.29013189673423767,-0.048962585628032684,-0.0006597815081477165
1610602342195,2021-01-14T05:32:22.195Z,1.169,0.9555692672729492,0.29066091775894165,-0.049023184925317764,-0.0006683761603198946
1610602342210,2021-01-14T05:32:22.210Z,1.184,0.9554023742675781,0.29119667410850525,-0.049093097448349,-0.0007340500014834106
1610602342240,2021-01-14T05:32:22.240Z,1.214,0.9552498459815979,0.2916860282421112,-0.049156609922647476,-0.000803415838163346
1610602342255,2021-01-14T05:32:22.255Z,1.229,0.9550994634628296,0.29216697812080383,-0.04922282323241234,-0.0008172683301381767
1610602342277,2021-01-14T05:32:22.277Z,1.251,0.9549636840820312,0.29260966181755066,-0.04922737926244736,-0.0008189798099920154
1610602342300,2021-01-14T05:32:22.300Z,1.274,0.9548553824424744,0.2929602563381195,-0.04924340546131134,-0.0008253466221503913
1610602342315,2021-01-14T05:32:22.315Z,1.289,0.9547522664070129,0.2932881712913513,-0.04928983375430107,-0.000827922485768795
1610602342330,2021-01-14T05:32:22.330Z,1.304,0.9546287655830383,0.293680340051651,-0.049347441643476486,-0.0008303655195049942
1610602342360,2021-01-14T05:32:22.360Z,1.334,0.9544898271560669,0.29411906003952026,-0.04942087456583977,-0.0008303342037834227
1610602342375,2021-01-14T05:32:22.376Z,1.349,0.9543355107307434,0.2946053445339203,-0.04950546845793724,-0.0008293134160339832
1610602342390,2021-01-14T05:32:22.391Z,1.364,0.9541934728622437,0.29505202174186707,-0.049582406878471375,-0.0008286108495667577
1610602342420,2021-01-14T05:32:22.420Z,1.394,0.9540541172027588,0.29549071192741394,-0.049649886786937714,-0.0008304211078211665
1610602342435,2021-01-14T05:32:22.435Z,1.409,0.9539312720298767,0.29587864875793457,-0.049700986593961716,-0.0008346778922714293
1610602342450,2021-01-14T05:32:22.450Z,1.424,0.9538304209709167,0.2961999177932739,-0.04972511902451515,-0.0008438481017947197
1610602342465,2021-01-14T05:32:22.465Z,1.439,0.9537553191184998,0.2964496612548828,-0.04967619478702545,-0.0008345494861714542
1610602342495,2021-01-14T05:32:22.495Z,1.469,0.9536830186843872,0.296680748462677,-0.04968378320336342,-0.0008441650425083935
1610602342510,2021-01-14T05:32:22.510Z,1.484,0.9536122679710388,0.296909898519516,-0.04967312514781952,-0.0008593552047386765
1610602342525,2021-01-14T05:32:22.525Z,1.499,0.9535465836524963,0.2971194088459015,-0.04968223720788956,-0.0008673705160617828
1610602342555,2021-01-14T05:32:22.555Z,1.529,0.9534746408462524,0.2973420321941376,-0.04972897842526436,-0.0008643363835290074
1610602342570,2021-01-14T05:32:22.570Z,1.544,0.9534099698066711,0.29753807187080383,-0.04979642108082771,-0.0008534702938050032
1610602342585,2021-01-14T05:32:22.585Z,1.559,0.9533527493476868,0.2977102994918823,-0.04986312612891197,-0.0008415986667387187
1610602342615,2021-01-14T05:32:22.616Z,1.589,0.9532804489135742,0.29794231057167053,-0.04986034333705902,-0.0008142912411130965
