epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1610602340907,2021-01-14T05:34:24.861Z,-0.129,-110.6875,-167.4375,-234.1875
1610602340946,2021-01-14T05:34:24.875Z,-0.09,-110,-167.8125,-236.1875
1610602340986,2021-01-14T05:34:24.890Z,-0.05,-110.6875,-170.75,-235.3125
1610602341027,2021-01-14T05:34:24.892Z,-0.009,-111.4375,-167.8125,-235
1610602341066,2021-01-14T05:34:24.906Z,0.03,-110.375,-168.5625,-235.75
1610602341085,2021-01-14T05:34:24.920Z,0.049,-111.0625,-167.8125,-235.375
1610602341126,2021-01-14T05:34:24.935Z,0.09,-110.375,-168.1875,-236.1875
1610602341166,2021-01-14T05:34:24.937Z,0.13,-110.6875,-168.1875,-235.0625
1610602341207,2021-01-14T05:34:24.952Z,0.171,-110.375,-166.6875,-234.625
1610602341247,2021-01-14T05:34:24.966Z,0.211,-111.4375,-168.1875,-235.75
1610602341286,2021-01-14T05:34:24.980Z,0.25,-111.4375,-168.875,-235.75
1610602341327,2021-01-14T05:34:24.995Z,0.291,-110.375,-168.5625,-235.0625
1610602341367,2021-01-14T05:34:25.010Z,0.331,-110.375,-167.4375,-235.875
1610602341406,2021-01-14T05:34:25.012Z,0.37,-110,-169.25,-235.4375
1610602341447,2021-01-14T05:34:25.026Z,0.411,-110.6875,-168.1875,-235.5
1610602341487,2021-01-14T05:34:25.040Z,0.451,-110,-166.6875,-235.75
1610602341528,2021-01-14T05:34:25.055Z,0.492,-111.4375,-166.75,-234.625
1610602341567,2021-01-14T05:34:25.070Z,0.531,-110.6875,-165.25,-233.9375
1610602341607,2021-01-14T05:34:25.071Z,0.571,-108.875,-167.8125,-237
1610602341648,2021-01-14T05:34:25.086Z,0.612,-112.1875,-168.5625,-235.0625
1610602341687,2021-01-14T05:34:25.101Z,0.651,-110,-173.625,-234.3125
1610602341727,2021-01-14T05:34:25.115Z,0.691,-111.4375,-174.75,-236.25
1610602341768,2021-01-14T05:34:25.130Z,0.732,-110.375,-173.25,-235.0625
1610602341808,2021-01-14T05:34:25.145Z,0.772,-110.375,-169.25,-235.5
1610602341849,2021-01-14T05:34:25.147Z,0.813,-110.75,-170.375,-235.5
1610602341888,2021-01-14T05:34:25.161Z,0.852,-110.375,-171.0625,-235.8125
1610602341928,2021-01-14T05:34:25.175Z,0.892,-110.375,-168.5625,-234.6875
1610602341969,2021-01-14T05:34:25.190Z,0.933,-110.6875,-170,-235.0625
1610602342008,2021-01-14T05:34:25.205Z,0.972,-110,-167.4375,-235.0625
1610602342049,2021-01-14T05:34:25.207Z,1.013,-110,-168.1875,-234.625
1610602342089,2021-01-14T05:34:25.221Z,1.053,-110.75,-166.375,-235.5
1610602342128,2021-01-14T05:34:25.236Z,1.092,-110.75,-167.4375,-236.6875
1610602342169,2021-01-14T05:34:25.250Z,1.133,-109.25,-167.8125,-233.9375
1610602342209,2021-01-14T05:34:25.264Z,1.173,-109.625,-168.1875,-236.25
1610602342249,2021-01-14T05:34:25.267Z,1.213,-110,-168.5625,-237
1610602342290,2021-01-14T05:34:25.282Z,1.254,-111.0625,-167.125,-235.5625
1610602342329,2021-01-14T05:34:25.296Z,1.293,-111.4375,-171.4375,-234.75
1610602342369,2021-01-14T05:34:25.310Z,1.333,-110.75,-168.1875,-236.625
1610602342410,2021-01-14T05:34:25.325Z,1.374,-110.375,-167.8125,-233.9375
1610602342449,2021-01-14T05:34:25.370Z,1.413,-109.625,-181.6875,-235.5625
1610602342490,2021-01-14T05:34:25.385Z,1.454,-109.625,-171.125,-235.5625
1610602342530,2021-01-14T05:34:25.387Z,1.494,-110.375,-168.1875,-234.75
1610602342569,2021-01-14T05:34:25.401Z,1.533,-111.4375,-183.8125,-234.6875
1610602342610,2021-01-14T05:34:25.416Z,1.574,-110,-170,-236.3125
1610602342650,2021-01-14T05:34:25.430Z,1.614,-110.75,-166.75,-235.9375
1610602342689,2021-01-14T05:34:25.444Z,1.653,-109.25,-174.375,-234.75
1610602342730,2021-01-14T05:34:25.447Z,1.694,-110,-167.8125,-236.3125
1610602342770,2021-01-14T05:34:25.462Z,1.734,-109.625,-167.4375,-235.1875
1610602342811,2021-01-14T05:34:25.476Z,1.775,-110.75,-167.125,-234.75
1610602342851,2021-01-14T05:34:25.490Z,1.815,-111.4375,-164.9375,-236.3125
1610602342890,2021-01-14T05:34:25.505Z,1.854,-111.4375,-167.4375,-235.5
1610602342931,2021-01-14T05:34:25.520Z,1.895,-111.0625,-167.8125,-234.375
1610602342971,2021-01-14T05:34:25.522Z,1.935,-110.75,-169.25,-237.0625
1610602343010,2021-01-14T05:34:25.536Z,1.974,-110.75,-167.8125,-234.75
1610602343051,2021-01-14T05:34:25.551Z,2.015,-110.375,-168.9375,-235.1875
1610602343091,2021-01-14T05:34:25.565Z,2.055,-109.625,-172.1875,-236.3125
1610602343132,2021-01-14T05:34:25.580Z,2.096,-110,-176.1875,-234.375
1610602343171,2021-01-14T05:34:25.582Z,2.135,-110.375,-174,-233.625
1610602343211,2021-01-14T05:34:25.597Z,2.175,-111.0625,-165.625,-234.75
1610602343252,2021-01-14T05:34:25.611Z,2.216,-110,-169.625,-234
1610602343291,2021-01-14T05:34:25.625Z,2.255,-111.0625,-168.5625,-234.75
1610602343331,2021-01-14T05:34:25.640Z,2.295,-110,-167.8125,-235.1875
1610602343372,2021-01-14T05:34:25.655Z,2.336,-111.0625,-167.8125,-235.5625
1610602343412,2021-01-14T05:34:25.657Z,2.376,-110.375,-167.4375,-233.625
1610602343453,2021-01-14T05:34:25.671Z,2.417,-110.75,-168.1875,-236.3125
1610602343492,2021-01-14T05:34:25.686Z,2.456,-110.375,-168.9375,-234.375
1610602343532,2021-01-14T05:34:25.701Z,2.496,-111.8125,-167.125,-234.375
1610602343573,2021-01-14T05:34:25.715Z,2.537,-110.75,-168.5625,-235.5625
1610602343612,2021-01-14T05:34:25.730Z,2.576,-110,-168.1875,-235.0625
1610602343652,2021-01-14T05:34:25.732Z,2.616,-109.625,-168.9375,-234.6875
1610602343693,2021-01-14T05:34:25.747Z,2.657,-108.5625,-167.125,-236.3125
1610602343732,2021-01-14T05:34:25.761Z,2.696,-110.375,-166,-235.1875
1610602343772,2021-01-14T05:34:25.775Z,2.736,-110.375,-165.625,-234.75
1610602343813,2021-01-14T05:34:25.790Z,2.777,-110.75,-170.75,-235.5
1610602343853,2021-01-14T05:34:25.805Z,2.817,-110.375,-170,-235.5
1610602343894,2021-01-14T05:34:25.807Z,2.858,-110.75,-168.5625,-235.0625
1610602343933,2021-01-14T05:34:25.821Z,2.897,-111.4375,-171.8125,-235.9375
1610602343973,2021-01-14T05:34:25.835Z,2.937,-110.375,-167.4375,-235.875
1610602344014,2021-01-14T05:34:25.850Z,2.978,-110,-164.9375,-234.4375
