epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1610602695586,2021-01-14T05:38:15.587Z,0,1,0,0,0
1610602695601,2021-01-14T05:38:15.601Z,0.015,1,0,0,0
1610602695631,2021-01-14T05:38:15.631Z,0.045,1,0,0,0
1610602695645,2021-01-14T05:38:15.646Z,0.059,1,-0.000053258510888554156,0,0
1610602695661,2021-01-14T05:38:15.661Z,0.075,1,-0.000053258510888554156,0,0
1610602695693,2021-01-14T05:38:15.693Z,0.107,0.9999950528144836,0.0017411976587027311,0.002614576369524002,1.3924844211032905e-7
1610602695705,2021-01-14T05:38:15.706Z,0.119,0.999957263469696,0.005157506093382835,0.0076681580394506454,2.2252324072269403e-7
1610602695721,2021-01-14T05:38:15.721Z,0.135,0.9998877644538879,0.008370889350771904,0.012423701584339142,3.4244081348333566e-7
1610602695750,2021-01-14T05:38:15.750Z,0.164,0.999792754650116,0.011363497003912926,0.016888082027435303,1.5334019565216295e-7
1610602695765,2021-01-14T05:38:15.766Z,0.179,0.9996770024299622,0.014232248067855835,0.021054672077298164,0.0000012451021120796213
1610602695795,2021-01-14T05:38:15.796Z,0.209,0.9995442628860474,0.016924504190683365,0.024996871128678322,0.000001866849061116227
1610602695810,2021-01-14T05:38:15.810Z,0.224,0.9993994235992432,0.019515253603458405,0.028633316978812218,0.000005139344011695357
1610602695825,2021-01-14T05:38:15.825Z,0.239,0.9992417097091675,0.02201693505048752,0.032110925763845444,0.000011778431144193746
1610602695855,2021-01-14T05:38:15.856Z,0.269,0.9990715384483337,0.024395693093538284,0.035509515553712845,0.000015998719391063787
1610602695871,2021-01-14T05:38:15.871Z,0.285,0.9988976120948792,0.026484722271561623,0.038758534938097,0.000010792157809191849
1610602695886,2021-01-14T05:38:15.886Z,0.3,0.9987234473228455,0.028335627168416977,0.04181501269340515,0.0000015996570255083498
1610602695916,2021-01-14T05:38:15.916Z,0.33,0.9985469579696655,0.030174383893609047,0.04464717209339142,-0.0000017247948562726378
1610602695931,2021-01-14T05:38:15.931Z,0.345,0.9983729124069214,0.031943343579769135,0.0472344234585762,-7.927588967504562e-7
1610602695945,2021-01-14T05:38:15.945Z,0.359,0.9982019066810608,0.033646319061517715,0.04960758984088898,0.000003872763500112342
1610602695975,2021-01-14T05:38:15.976Z,0.389,0.9980360269546509,0.03523121029138565,0.051796410232782364,0.000008850694939610548
1610602695990,2021-01-14T05:38:15.991Z,0.404,0.9978760480880737,0.036695532500743866,0.053822148591279984,0.000013327983651834074
1610602696005,2021-01-14T05:38:16.006Z,0.419,0.9977222681045532,0.0380147285759449,0.05572366714477539,0.00001454192624805728
1610602696036,2021-01-14T05:38:16.036Z,0.45,0.9975765943527222,0.03922766074538231,0.05746455490589142,0.00001595654794073198
1610602696050,2021-01-14T05:38:16.051Z,0.464,0.9974395632743835,0.040330108255147934,0.05905655398964882,0.000016850306565174833
1610602696065,2021-01-14T05:38:16.066Z,0.479,0.9973160028457642,0.04126420244574547,0.06048232689499855,0.000014495719369733706
1610602696096,2021-01-14T05:38:16.096Z,0.51,0.9971989989280701,0.04209151864051819,0.06182553619146347,0.000009091192623600364
1610602696111,2021-01-14T05:38:16.111Z,0.525,0.9970893859863281,0.04286240413784981,0.06305218487977982,0.000005112236976856366
1610602696126,2021-01-14T05:38:16.126Z,0.54,0.9969858527183533,0.04359223693609238,0.06417828053236008,0.000002857579147530487
1610602696155,2021-01-14T05:38:16.156Z,0.569,0.9968908429145813,0.04426071047782898,0.06518884003162384,0.0000017049426332960138
1610602696170,2021-01-14T05:38:16.170Z,0.584,0.9968065619468689,0.04485665261745453,0.06606456637382507,0.0000017984546047955519
1610602696185,2021-01-14T05:38:16.186Z,0.599,0.9967294931411743,0.045414216816425323,0.06684135645627975,0.000003800764943662216
1610602696215,2021-01-14T05:38:16.215Z,0.629,0.9966524839401245,0.04601193591952324,0.0675777941942215,0.00001033389435178833
1610602696230,2021-01-14T05:38:16.230Z,0.644,0.9965801239013672,0.04654565453529358,0.06827596575021744,0.000014281073163147084
1610602696245,2021-01-14T05:38:16.246Z,0.659,0.9965153932571411,0.04696904867887497,0.0689263790845871,0.00001290747786697466
1610602696276,2021-01-14T05:38:16.276Z,0.69,0.9964547753334045,0.047340989112854004,0.06954532861709595,0.000009457306077820249
1610602696291,2021-01-14T05:38:16.291Z,0.705,0.9963976144790649,0.04767689108848572,0.07013416290283203,0.000004925015218759654
1610602696306,2021-01-14T05:38:16.306Z,0.72,0.9963441491127014,0.04800500348210335,0.0706680417060852,0.0000024729947654122952
