epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1610602012477,2021-01-14T05:29:43.438Z,0.069,98777.0390625
1610602012554,2021-01-14T05:29:43.451Z,0.146,98776.03125
1610602012632,2021-01-14T05:29:43.465Z,0.224,98775.828125
1610602012710,2021-01-14T05:29:43.469Z,0.302,98775.59375
1610602012787,2021-01-14T05:29:43.482Z,0.379,98774.6875
1610602012865,2021-01-14T05:29:43.495Z,0.457,98773.7578125
1610602012943,2021-01-14T05:29:43.499Z,0.535,98773.609375
1610602013020,2021-01-14T05:29:43.511Z,0.612,98773.4765625
1610602013098,2021-01-14T05:29:43.525Z,0.69,98773.3125
1610602013176,2021-01-14T05:29:43.529Z,0.768,98772.46875
1610602013253,2021-01-14T05:29:43.542Z,0.845,98772.34375
1610602013331,2021-01-14T05:29:43.555Z,0.923,98771.328125
1610602013410,2021-01-14T05:29:43.569Z,1.002,98771.28125
1610602013488,2021-01-14T05:29:43.573Z,1.08,98770.4296875
1610602013565,2021-01-14T05:29:43.632Z,1.157,98770.359375
1610602013643,2021-01-14T05:29:43.645Z,1.235,98770.2734375
1610602013721,2021-01-14T05:29:43.674Z,1.313,98770.1953125
1610602013798,2021-01-14T05:29:43.677Z,1.39,98769.453125
1610602013876,2021-01-14T05:29:43.690Z,1.468,98768.671875
1610602013953,2021-01-14T05:29:43.695Z,1.545,98768.6015625
1610602014031,2021-01-14T05:29:43.708Z,1.623,98767.828125
1610602014109,2021-01-14T05:29:43.721Z,1.701,98767.6640625
1610602014186,2021-01-14T05:29:43.735Z,1.778,98768.359375
1610602014264,2021-01-14T05:29:43.738Z,1.856,98767.625
1610602014342,2021-01-14T05:29:43.750Z,1.934,98768.3125
1610602014419,2021-01-14T05:29:43.755Z,2.011,98767.5390625
1610602014497,2021-01-14T05:29:43.770Z,2.089,98767.46875
1610602014575,2021-01-14T05:29:43.781Z,2.167,98767.46875
1610602014652,2021-01-14T05:29:43.810Z,2.244,98767.3828125
1610602014730,2021-01-14T05:29:43.814Z,2.322,98767.3828125
1610602014807,2021-01-14T05:29:43.827Z,2.399,98767.3828125
1610602014885,2021-01-14T05:29:43.855Z,2.477,98767.3125
1610602014963,2021-01-14T05:29:43.860Z,2.555,98768
1610602015040,2021-01-14T05:29:43.872Z,2.632,98767.2265625
1610602015118,2021-01-14T05:29:43.886Z,2.71,98767.2265625
1610602015196,2021-01-14T05:29:43.899Z,2.788,98767.2265625
1610602015273,2021-01-14T05:29:43.903Z,2.865,98767.2265625
1610602015351,2021-01-14T05:29:43.916Z,2.943,98767.921875
1610602015429,2021-01-14T05:29:43.930Z,3.021,98767.1484375
1610602015508,2021-01-14T05:29:43.933Z,3.1,98767.1484375
1610602015585,2021-01-14T05:29:43.946Z,3.177,98767.1484375
1610602015663,2021-01-14T05:29:43.959Z,3.255,98767.1484375
1610602015741,2021-01-14T05:29:43.964Z,3.333,98767.1484375
1610602015818,2021-01-14T05:29:43.976Z,3.41,98766.375
1610602015896,2021-01-14T05:29:43.990Z,3.488,98766.375
1610602015973,2021-01-14T05:29:43.994Z,3.565,98766.375
1610602016051,2021-01-14T05:29:44.007Z,3.643,98766.375
1610602016129,2021-01-14T05:29:44.020Z,3.721,98766.375
1610602016206,2021-01-14T05:29:44.035Z,3.798,98766.375
1610602016284,2021-01-14T05:29:44.038Z,3.876,98766.375
1610602016362,2021-01-14T05:29:44.052Z,3.954,98765.6015625
1610602016439,2021-01-14T05:29:44.064Z,4.031,98765.6015625
1610602016517,2021-01-14T05:29:44.069Z,4.109,98765.6015625
1610602016595,2021-01-14T05:29:44.082Z,4.187,98765.6015625
1610602016672,2021-01-14T05:29:44.095Z,4.264,98765.6015625
1610602016750,2021-01-14T05:29:44.127Z,4.342,98765.6015625
1610602016827,2021-01-14T05:29:44.140Z,4.419,98765.6015625
1610602016905,2021-01-14T05:29:44.144Z,4.497,98765.6015625
1610602016983,2021-01-14T05:29:44.157Z,4.575,98765.6015625
1610602017060,2021-01-14T05:29:44.185Z,4.652,98765.6015625
1610602017138,2021-01-14T05:29:44.189Z,4.73,98765.6015625
1610602017216,2021-01-14T05:29:44.203Z,4.808,98765.6015625
1610602017293,2021-01-14T05:29:44.231Z,4.885,98765.6015625
1610602017371,2021-01-14T05:29:44.244Z,4.963,98765.6015625
1610602017449,2021-01-14T05:29:44.248Z,5.041,98764.90625
1610602017526,2021-01-14T05:29:44.262Z,5.118,98764.125
1610602017604,2021-01-14T05:29:44.275Z,5.196,98764.828125
1610602017681,2021-01-14T05:29:44.280Z,5.273,98764.828125
1610602017759,2021-01-14T05:29:44.292Z,5.351,98764.125
1610602017837,2021-01-14T05:29:44.306Z,5.429,98764.125
1610602017914,2021-01-14T05:29:44.309Z,5.506,98764.125
1610602017992,2021-01-14T05:29:44.322Z,5.584,98764.90625
1610602018070,2021-01-14T05:29:44.335Z,5.662,98764.90625
1610602018147,2021-01-14T05:29:44.364Z,5.739,98764.90625
1610602018225,2021-01-14T05:29:44.367Z,5.817,98764.90625
1610602018303,2021-01-14T05:29:44.381Z,5.895,98764.203125
1610602018380,2021-01-14T05:29:44.409Z,5.972,98764.203125
1610602018458,2021-01-14T05:29:44.414Z,6.05,98764.90625
1610602018535,2021-01-14T05:29:44.426Z,6.127,98764.90625
1610602018613,2021-01-14T05:29:44.440Z,6.205,98764.90625
1610602018691,2021-01-14T05:29:44.444Z,6.283,98764.90625
1610602018768,2021-01-14T05:29:44.459Z,6.36,98764.90625
1610602018846,2021-01-14T05:29:44.470Z,6.438,98764.90625
1610602018924,2021-01-14T05:29:44.474Z,6.516,98764.90625
1610602019001,2021-01-14T05:29:44.487Z,6.593,98764.90625
1610602019079,2021-01-14T05:29:44.501Z,6.671,98764.90625
1610602019157,2021-01-14T05:29:44.514Z,6.749,98764.90625
1610602019234,2021-01-14T05:29:44.518Z,6.826,98765.6796875
1610602019312,2021-01-14T05:29:44.531Z,6.904,98765.6796875
1610602019389,2021-01-14T05:29:44.545Z,6.981,98765.6796875
1610602019467,2021-01-14T05:29:44.548Z,7.059,98764.90625
1610602019545,2021-01-14T05:29:44.562Z,7.137,98765.6796875
1610602019622,2021-01-14T05:29:44.575Z,7.214,98765.6796875
1610602019700,2021-01-14T05:29:44.579Z,7.292,98765.6796875
1610602019778,2021-01-14T05:29:44.592Z,7.37,98765.6796875
1610602019855,2021-01-14T05:29:44.605Z,7.447,98765.6796875
1610602019934,2021-01-14T05:29:44.637Z,7.526,98765.6796875
1610602020011,2021-01-14T05:29:44.650Z,7.603,98765.6796875
1610602020090,2021-01-14T05:29:44.664Z,7.682,98765.6796875
1610602020167,2021-01-14T05:29:44.669Z,7.759,98765.6796875
1610602020245,2021-01-14T05:29:44.682Z,7.837,98765.6796875
1610602020323,2021-01-14T05:29:44.695Z,7.915,98765.6796875
1610602020400,2021-01-14T05:29:44.699Z,7.992,98765.6796875
1610602020478,2021-01-14T05:29:44.712Z,8.07,98765.6796875
1610602020555,2021-01-14T05:29:44.740Z,8.147,98765.6796875
1610602020633,2021-01-14T05:29:44.745Z,8.225,98764.984375
1610602020711,2021-01-14T05:29:44.758Z,8.303,98765.6796875
1610602020788,2021-01-14T05:29:44.786Z,8.38,98765.6796875
1610602020866,2021-01-14T05:29:44.799Z,8.458,98765.6796875
1610602020944,2021-01-14T05:29:44.804Z,8.536,98765.6796875
1610602021021,2021-01-14T05:29:44.817Z,8.613,98765.6796875
1610602021099,2021-01-14T05:29:44.830Z,8.691,98766.453125
1610602021177,2021-01-14T05:29:44.834Z,8.769,98766.453125
1610602021254,2021-01-14T05:29:44.847Z,8.846,98765.6796875
1610602021332,2021-01-14T05:29:44.861Z,8.924,98766.453125
1610602021409,2021-01-14T05:29:44.874Z,9.001,98766.453125
1610602021487,2021-01-14T05:29:44.879Z,9.079,98766.453125
1610602021565,2021-01-14T05:29:44.891Z,9.157,98765.7578125
1610602021642,2021-01-14T05:29:44.920Z,9.234,98765.7578125
1610602021720,2021-01-14T05:29:44.923Z,9.312,98765.7578125
1610602021798,2021-01-14T05:29:44.936Z,9.39,98766.453125
1610602021875,2021-01-14T05:29:44.964Z,9.467,98765.7578125
1610602021953,2021-01-14T05:29:44.969Z,9.545,98766.453125
1610602022031,2021-01-14T05:29:44.982Z,9.623,98765.7578125
1610602022108,2021-01-14T05:29:44.995Z,9.7,98766.53125
1610602022186,2021-01-14T05:29:44.999Z,9.778,98765.7578125
1610602022263,2021-01-14T05:29:45.013Z,9.855,98766.53125
1610602022341,2021-01-14T05:29:45.026Z,9.933,98765.8359375
1610602022419,2021-01-14T05:29:45.039Z,10.011,98765.8359375
1610602022498,2021-01-14T05:29:45.043Z,10.09,98765.8359375
1610602022575,2021-01-14T05:29:45.057Z,10.167,98765.8359375
1610602022653,2021-01-14T05:29:45.070Z,10.245,98766.53125
1610602022731,2021-01-14T05:29:45.074Z,10.323,98766.53125
1610602022808,2021-01-14T05:29:45.087Z,10.4,98766.53125
1610602022886,2021-01-14T05:29:45.101Z,10.478,98765.8359375
1610602022964,2021-01-14T05:29:45.104Z,10.556,98765.8359375
1610602023041,2021-01-14T05:29:45.117Z,10.633,98765.8359375
1610602023119,2021-01-14T05:29:45.148Z,10.711,98765.8359375
1610602023197,2021-01-14T05:29:45.162Z,10.789,98765.8359375
1610602023274,2021-01-14T05:29:45.175Z,10.866,98765.8359375
1610602023352,2021-01-14T05:29:45.179Z,10.944,98765.8359375
1610602023429,2021-01-14T05:29:45.192Z,11.021,98765.8359375
1610602023507,2021-01-14T05:29:45.205Z,11.099,98765.8359375
1610602023585,2021-01-14T05:29:45.209Z,11.177,98765.8359375
1610602023662,2021-01-14T05:29:45.222Z,11.254,98765.8359375
1610602023740,2021-01-14T05:29:45.236Z,11.332,98765.8359375
1610602023818,2021-01-14T05:29:45.249Z,11.41,98765.8359375
1610602023895,2021-01-14T05:29:45.254Z,11.487,98765.8359375
1610602023973,2021-01-14T05:29:45.267Z,11.565,98765.8359375
1610602024051,2021-01-14T05:29:45.295Z,11.643,98765.140625
1610602024128,2021-01-14T05:29:45.299Z,11.72,98765.140625
1610602024206,2021-01-14T05:29:45.312Z,11.798,98765.140625
1610602024283,2021-01-14T05:29:45.340Z,11.875,98765.140625
1610602024361,2021-01-14T05:29:45.344Z,11.953,98765.140625
1610602024439,2021-01-14T05:29:45.358Z,12.031,98765.140625
1610602024516,2021-01-14T05:29:45.371Z,12.108,98765.140625
1610602024594,2021-01-14T05:29:45.384Z,12.186,98765.8359375
1610602024672,2021-01-14T05:29:45.389Z,12.264,98765.140625
