epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1610603673510,2021-01-14T05:56:36.798Z,0.045,98775.765625
1610603673588,2021-01-14T05:56:36.811Z,0.123,98776.46875
1610603673665,2021-01-14T05:56:36.823Z,0.2,98776.390625
1610603673743,2021-01-14T05:56:36.828Z,0.278,98776.390625
1610603673821,2021-01-14T05:56:36.842Z,0.356,98775.640625
1610603673898,2021-01-14T05:56:36.855Z,0.433,98775.640625
1610603673976,2021-01-14T05:56:36.868Z,0.511,98775.640625
1610603674054,2021-01-14T05:56:36.872Z,0.589,98774.875
1610603674131,2021-01-14T05:56:36.887Z,0.666,98774.875
1610603674209,2021-01-14T05:56:36.900Z,0.744,98774.875
1610603674287,2021-01-14T05:56:36.928Z,0.822,98774.875
1610603674364,2021-01-14T05:56:36.933Z,0.899,98774.171875
1610603674442,2021-01-14T05:56:36.946Z,0.977,98773.3984375
1610603674519,2021-01-14T05:56:36.959Z,1.054,98773.3984375
1610603674597,2021-01-14T05:56:36.964Z,1.132,98773.3984375
1610603674675,2021-01-14T05:56:36.976Z,1.21,98773.3984375
1610603674752,2021-01-14T05:56:36.990Z,1.287,98772.703125
1610603674830,2021-01-14T05:56:36.994Z,1.365,98772.703125
1610603674908,2021-01-14T05:56:37.006Z,1.443,98772.703125
1610603674985,2021-01-14T05:56:37.020Z,1.52,98772.703125
1610603675063,2021-01-14T05:56:37.048Z,1.598,98772.703125
1610603675141,2021-01-14T05:56:37.053Z,1.676,98772.703125
1610603675218,2021-01-14T05:56:37.096Z,1.753,98772.703125
1610603675296,2021-01-14T05:56:37.109Z,1.831,98772.703125
1610603675373,2021-01-14T05:56:37.113Z,1.908,98772.703125
1610603675451,2021-01-14T05:56:37.126Z,1.986,98772.703125
1610603675529,2021-01-14T05:56:37.154Z,2.064,98772.703125
1610603675606,2021-01-14T05:56:37.187Z,2.141,98772.0078125
1610603675684,2021-01-14T05:56:37.200Z,2.219,98772.0078125
1610603675762,2021-01-14T05:56:37.204Z,2.297,98772.703125
1610603675839,2021-01-14T05:56:37.217Z,2.374,98772.703125
1610603675917,2021-01-14T05:56:37.245Z,2.452,98772.703125
1610603675996,2021-01-14T05:56:37.258Z,2.531,98772.703125
1610603676074,2021-01-14T05:56:37.263Z,2.609,98772.703125
1610603676151,2021-01-14T05:56:37.275Z,2.686,98772.0078125
1610603676229,2021-01-14T05:56:37.289Z,2.764,98772.0078125
1610603676307,2021-01-14T05:56:37.293Z,2.842,98772.0078125
1610603676384,2021-01-14T05:56:37.307Z,2.919,98772.0078125
1610603676462,2021-01-14T05:56:37.320Z,2.997,98772.0078125
1610603676539,2021-01-14T05:56:37.324Z,3.074,98772.0078125
1610603676617,2021-01-14T05:56:37.337Z,3.152,98772.0078125
