epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1623784743656,2021-06-15T19:20:10.991Z,0.059,-18.649456024169922,3.3532607555389404,-97.83967590332031
1623784743696,2021-06-15T19:20:10.994Z,0.099,-19.399456024169922,1.54076087474823,-99.02717590332031
1623784743735,2021-06-15T19:20:10.996Z,0.138,-19.024456024169922,2.2282607555389404,-97.83967590332031
1623784743775,2021-06-15T19:20:11.007Z,0.178,-18.649456024169922,-14.77173900604248,-97.40217590332031
1623784743816,2021-06-15T19:20:11.008Z,0.219,-19.399456024169922,0.79076087474823,-98.65217590332031
1623784743836,2021-06-15T19:20:11.023Z,0.239,-17.211956024169922,1.16576087474823,-98.65217590332031
1623784743876,2021-06-15T19:20:11.024Z,0.279,-18.649456024169922,3.3532607555389404,-100.71467590332031
1623784743915,2021-06-15T19:20:11.040Z,0.318,-19.024456024169922,2.6032607555389404,-98.27717590332031
1623784743955,2021-06-15T19:20:11.042Z,0.358,-18.649456024169922,-7.7092390060424805,-97.90217590332031
1623784743994,2021-06-15T19:20:11.050Z,0.397,-17.899456024169922,1.91576087474823,-98.71467590332031
1623784744034,2021-06-15T19:20:11.054Z,0.437,-17.524456024169922,1.16576087474823,-98.33967590332031
1623784744073,2021-06-15T19:20:11.055Z,0.476,-16.836956024169922,2.2282607555389404,-99.15217590332031
1623784744113,2021-06-15T19:20:11.066Z,0.516,-19.024456024169922,1.91576087474823,-99.52717590332031
1623784744154,2021-06-15T19:20:11.069Z,0.557,-17.524456024169922,3.3532607555389404,-98.71467590332031
1623784744194,2021-06-15T19:20:11.078Z,0.597,-19.024456024169922,0.04076087102293968,-99.90217590332031
1623784744233,2021-06-15T19:20:11.081Z,0.636,-19.399456024169922,0.41576087474823,-97.90217590332031
1623784744273,2021-06-15T19:20:11.083Z,0.676,-19.399456024169922,1.54076087474823,-98.77717590332031
1623784744312,2021-06-15T19:20:11.096Z,0.715,-18.649456024169922,0.41576087474823,-98.33967590332031
1623784744352,2021-06-15T19:20:11.098Z,0.755,-18.649456024169922,3.3532607555389404,-97.96467590332031
1623784744391,2021-06-15T19:20:11.112Z,0.794,-18.274456024169922,2.2282607555389404,-98.40217590332031
1623784744431,2021-06-15T19:20:11.114Z,0.834,-19.774456024169922,1.54076087474823,-98.33967590332031
1623784744470,2021-06-15T19:20:11.125Z,0.873,-19.399456024169922,2.6032607555389404,-97.58967590332031
1623784744510,2021-06-15T19:20:11.129Z,0.913,-19.399456024169922,-10.33423900604248,-98.71467590332031
1623784744550,2021-06-15T19:20:11.133Z,0.953,-17.524456024169922,2.2282607555389404,-99.15217590332031
1623784744589,2021-06-15T19:20:11.143Z,0.992,-19.399456024169922,0.41576087474823,-98.40217590332031
1623784744629,2021-06-15T19:20:11.144Z,1.032,-19.774456024169922,1.91576087474823,-99.21467590332031
1623784744668,2021-06-15T19:20:11.145Z,1.071,-20.149456024169922,2.9782607555389404,-97.58967590332031
1623784744708,2021-06-15T19:20:11.157Z,1.111,-18.649456024169922,2.2282607555389404,-98.40217590332031
1623784744747,2021-06-15T19:20:11.159Z,1.15,-18.274456024169922,1.16576087474823,-99.58967590332031
1623784744788,2021-06-15T19:20:11.160Z,1.191,-19.024456024169922,1.91576087474823,-96.33967590332031
1623784744826,2021-06-15T19:20:11.173Z,1.229,-19.399456024169922,2.2282607555389404,-97.96467590332031
1623784744867,2021-06-15T19:20:11.174Z,1.27,-19.399456024169922,2.9782607555389404,-98.77717590332031
1623784744907,2021-06-15T19:20:11.185Z,1.31,-18.649456024169922,1.54076087474823,-98.02717590332031
1623784744947,2021-06-15T19:20:11.187Z,1.35,-19.024456024169922,3.7282607555389404,-98.40217590332031
1623784744986,2021-06-15T19:20:11.193Z,1.389,-19.399456024169922,2.2907607555389404,-99.21467590332031
1623784745026,2021-06-15T19:20:11.202Z,1.429,-19.024456024169922,1.16576087474823,-97.96467590332031
1623784745065,2021-06-15T19:20:11.203Z,1.468,-18.649456024169922,-14.39673900604248,-96.77717590332031
1623784745105,2021-06-15T19:20:11.205Z,1.508,-19.024456024169922,-0.70923912525177,-98.40217590332031
1623784745144,2021-06-15T19:20:11.216Z,1.547,-19.399456024169922,2.2282607555389404,-97.58967590332031
