epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1623785237418,2021-06-15T19:27:17.418Z,0,0.3660927547096424,0.2209797277353397,0.6951679417531929,0.5778283375170782
1623785237434,2021-06-15T19:27:17.435Z,0.016,0.3660927547096424,0.2209797277353397,0.6951679417531929,0.5778283375170782
1623785237447,2021-06-15T19:27:17.448Z,0.029,0.3660747238246766,0.22101379327463894,0.6948367144038737,0.5782249908776614
1623785237463,2021-06-15T19:27:17.463Z,0.045,0.36603939934171326,0.22098139308116174,0.6948496865957453,0.5782441483311883
1623785237493,2021-06-15T19:27:17.493Z,0.075,0.36603939934171326,0.22098139308116174,0.6948496865957453,0.5782441483311883
1623785237507,2021-06-15T19:27:17.508Z,0.089,0.3660546695832506,0.2209718717342576,0.6948151631312779,0.5782796035322462
1623785237523,2021-06-15T19:27:17.523Z,0.105,0.3694489534518669,0.22008621572494527,0.6853363019587236,0.5876935269838646
1623785237553,2021-06-15T19:27:17.553Z,0.135,0.37612855000081646,0.21815611945872151,0.6657073291351747,0.6064395875540348
1623785237583,2021-06-15T19:27:17.584Z,0.165,0.3826527391772927,0.21600072727244737,0.6451090954316975,0.6251038489796601
1623785237584,2021-06-15T19:27:17.585Z,0.166,0.388933309666686,0.21365476492941765,0.6236942588640215,0.6434966926991404
1623785237613,2021-06-15T19:27:17.614Z,0.195,0.3949640314029384,0.21109507405500613,0.6014493074223947,0.661589762775069
1623785237629,2021-06-15T19:27:17.630Z,0.211,0.4007160747558531,0.20832073860718478,0.5784072016155681,0.6793189283522622
1623785237643,2021-06-15T19:27:17.643Z,0.225,0.40616155245153973,0.2053300464209101,0.554646256952634,0.6965916271355658
1623785237673,2021-06-15T19:27:17.673Z,0.255,0.41124616590654167,0.20215925361329212,0.5303097775090474,0.7132879972942139
1623785237694,2021-06-15T19:27:17.694Z,0.276,0.4159774181901587,0.19877717813360865,0.5054936672875499,0.7293329646610478
1623785237703,2021-06-15T19:27:17.703Z,0.285,0.4203286387598369,0.19521064730252816,0.48031293550018206,0.7446583932309019
1623785237750,2021-06-15T19:27:17.750Z,0.332,0.42425862743093895,0.19152629261695,0.45487345180632066,0.7592183079514253
1623785237750,2021-06-15T19:27:17.750Z,0.332,0.4277696491867588,0.1877257135748065,0.4293216581805364,0.7729521961380158
1623785237762,2021-06-15T19:27:17.763Z,0.344,0.43086305480037185,0.1838271194818789,0.40379578550902895,0.7858203240921129
1623785237792,2021-06-15T19:27:17.793Z,0.374,0.43353774688226876,0.17987337269621467,0.37837171517282153,0.7978254426754712
1623785237807,2021-06-15T19:27:17.808Z,0.389,0.43580532406340733,0.17588322981144558,0.3531950757151567,0.8089450212960381
1623785237822,2021-06-15T19:27:17.823Z,0.404,0.4376980038582491,0.17184645373900448,0.3283229519907014,0.8192028399315666
1623785237852,2021-06-15T19:27:17.852Z,0.434,0.43922996255371777,0.1677931091169687,0.3038621085887937,0.8286074652643994
1623785237867,2021-06-15T19:27:17.868Z,0.449,0.4404110422977872,0.16377491940187583,0.2799180327148188,0.8371748828997149
1623785237882,2021-06-15T19:27:17.883Z,0.464,0.441245465503194,0.1596578156299359,0.2565983674441422,0.8449669217822364
1623785237913,2021-06-15T19:27:17.914Z,0.495,0.4417996025204562,0.1555400570289035,0.2340179158939158,0.8519718404459624
1623785237927,2021-06-15T19:27:17.927Z,0.509,0.4420854082438119,0.15166463794587226,0.21225809347664928,0.8581985965779179
1623785237942,2021-06-15T19:27:17.942Z,0.524,0.4421691364997736,0.14759084516243176,0.191262460286307,0.8637835773135031
1623785237973,2021-06-15T19:27:17.973Z,0.555,0.4421826002299227,0.14364604442950782,0.17108351454367393,0.8686603438773091
1623785237987,2021-06-15T19:27:17.988Z,0.569,0.4420943699204414,0.1397734686075338,0.15164801415511892,0.8729368965514491
1623785238002,2021-06-15T19:27:18.002Z,0.584,0.4418827650452413,0.1360180276123195,0.13303285334823117,0.8766646896336445
1623785238017,2021-06-15T19:27:18.017Z,0.599,0.44158026318725435,0.13252969772959422,0.11549416787295465,0.8798317154834279
1623785238048,2021-06-15T19:27:18.048Z,0.63,0.44133648233815714,0.12931639181332089,0.09878647307536806,0.8824628110595341
1623785238063,2021-06-15T19:27:18.064Z,0.645,0.4410864989719561,0.1262253420944981,0.08296503945007301,0.8846618934185181
1623785238077,2021-06-15T19:27:18.077Z,0.659,0.44083219198434864,0.12333488628568182,0.06791813621019646,0.8864776427575067
1623785238107,2021-06-15T19:27:18.108Z,0.689,0.44059013353662146,0.1204937912464213,0.05318550404136716,0.8879937402150488
1623785238137,2021-06-15T19:27:18.139Z,0.719,0.4403169085942277,0.11747576843404346,0.03884484583216053,0.8892758524716217
1623785238145,2021-06-15T19:27:18.146Z,0.727,0.44002541029251496,0.11446375145505458,0.02532158724423291,0.8903002331344029
1623785238167,2021-06-15T19:27:18.167Z,0.749,0.43981207791510085,0.11160101383875166,0.012748768974748678,0.8910376079155092
1623785238182,2021-06-15T19:27:18.182Z,0.764,0.43967855518612947,0.10879180723242161,0.001044484357232322,0.8915413730393946
1623785238197,2021-06-15T19:27:18.198Z,0.779,0.43961078891824373,0.1060730986865538,-0.010098582787191009,0.8918457661655419
1623785238228,2021-06-15T19:27:18.228Z,0.81,0.4395744205991768,0.10341175569818303,-0.020695280513014856,0.8919932975660776
1623785238242,2021-06-15T19:27:18.242Z,0.824,0.43953807316421956,0.10076773434206915,-0.03088588526723491,0.8920191747075343
1623785238257,2021-06-15T19:27:18.257Z,0.839,0.4394972021830701,0.09813744269938514,-0.040360652046324504,0.891954185695697
1623785238302,2021-06-15T19:27:18.303Z,0.884,0.43952644640811195,0.09553924681111424,-0.04904800616406707,0.8917864364958416
1623785238303,2021-06-15T19:27:18.303Z,0.885,0.43964595934625855,0.0928782732481494,-0.057240014525819484,0.891520407801209
1623785238317,2021-06-15T19:27:18.318Z,0.899,0.43993742634418165,0.09025083899072357,-0.0649199191369989,0.8911202225639219
1623785238347,2021-06-15T19:27:18.347Z,0.929,0.4403755040908372,0.08769852696204651,-0.07240612740890928,0.890581684338429
1623785238362,2021-06-15T19:27:18.363Z,0.944,0.4407193451765944,0.08526086202501566,-0.07962407478989018,0.8900320504946544
1623785238378,2021-06-15T19:27:18.379Z,0.96,0.4408864780973249,0.0829628199656839,-0.0866042692576514,0.8895144655825595
1623785238407,2021-06-15T19:27:18.407Z,0.989,0.44095343766991923,0.08103736808384364,-0.09317406035929877,0.8889947161020059
1623785238422,2021-06-15T19:27:18.422Z,1.004,0.44098798567203656,0.07932887481894597,-0.09901191243918493,0.8885005162114511
1623785238438,2021-06-15T19:27:18.439Z,1.02,0.44102140553606606,0.07757086031335883,-0.1042029430220039,0.8880453975753667
1623785238467,2021-06-15T19:27:18.468Z,1.049,0.44091837919611326,0.07584686682906518,-0.10952106023253437,0.8876054151732221
1623785238482,2021-06-15T19:27:18.482Z,1.064,0.4404827629349201,0.07431158742624419,-0.1149147031122537,0.8872695951851575
1623785238497,2021-06-15T19:27:18.497Z,1.079,0.4397592948131581,0.07309695844321105,-0.12012884160341765,0.8870387019216277
1623785238527,2021-06-15T19:27:18.528Z,1.109,0.4388479718927962,0.07204085113574557,-0.12481568011784326,0.8869293203688426
1623785238543,2021-06-15T19:27:18.544Z,1.125,0.43784604087950846,0.07107850592309559,-0.1287813840500535,0.886935198086102
1623785238557,2021-06-15T19:27:18.557Z,1.139,0.4368433185838757,0.07018371244652348,-0.13236940332895006,0.8869726616859102
1623785238588,2021-06-15T19:27:18.588Z,1.17,0.435818687669359,0.06939962195961417,-0.13581993039673815,0.887016747562889
1623785238602,2021-06-15T19:27:18.603Z,1.184,0.43470938125945036,0.06860749088783714,-0.13925097047744223,0.8870907130954486
1623785238617,2021-06-15T19:27:18.617Z,1.199,0.4335121943174732,0.06789708180673314,-0.14260174344130097,0.8871989102944619
1623785238632,2021-06-15T19:27:18.634Z,1.214,0.4321369771039652,0.06726543008721333,-0.14588623550468308,0.8873839085902455
1623785238663,2021-06-15T19:27:18.663Z,1.245,0.4305971089787366,0.0665686240469907,-0.14895553942621304,0.8876750505144831
1623785238695,2021-06-15T19:27:18.695Z,1.277,0.42892474683917664,0.06593936076641407,-0.1517065562245652,0.8880656974847908
1623785238695,2021-06-15T19:27:18.696Z,1.277,0.42717225447369256,0.06535201702248909,-0.15410634887356436,0.8885404954844852
1623785238722,2021-06-15T19:27:18.722Z,1.304,0.4253773427883696,0.06473268400573379,-0.1559488543009659,0.889125272785526
1623785238737,2021-06-15T19:27:18.738Z,1.319,0.4235906239876345,0.06412141717179368,-0.15749764330818775,0.8897493576744037
