epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1623785411742,2021-06-15T19:31:37.357Z,0.065,8.970108985900879,-27.459239959716797,-7.3586955070495605
1623785411781,2021-06-15T19:31:37.431Z,0.104,8.282608985900879,-30.396739959716797,-8.546195983886719
1623785411822,2021-06-15T19:31:37.461Z,0.145,8.282608985900879,-31.834239959716797,-6.1086955070495605
1623785411862,2021-06-15T19:31:37.463Z,0.185,6.407608509063721,-35.1467399597168,-6.1711955070495605
1623785411901,2021-06-15T19:31:37.477Z,0.224,8.970108985900879,-30.396739959716797,-8.546195983886719
1623785411922,2021-06-15T19:31:37.491Z,0.245,7.157608509063721,-31.834239959716797,-6.5461955070495605
1623785411961,2021-06-15T19:31:37.493Z,0.284,7.157608509063721,-30.021739959716797,-8.983695983886719
1623785412001,2021-06-15T19:31:37.513Z,0.324,8.595108985900879,-28.521739959716797,-7.7961955070495605
1623785412042,2021-06-15T19:31:37.537Z,0.365,8.970108985900879,-28.521739959716797,-7.3586955070495605
1623785412081,2021-06-15T19:31:37.566Z,0.404,8.970108985900879,-28.146739959716797,-8.171195983886719
1623785412121,2021-06-15T19:31:37.580Z,0.444,7.157608509063721,-27.834239959716797,-6.9836955070495605
1623785412162,2021-06-15T19:31:37.583Z,0.485,8.282608985900879,-26.334239959716797,-7.3586955070495605
1623785412202,2021-06-15T19:31:37.598Z,0.525,10.095108985900879,-29.271739959716797,-7.7961955070495605
1623785412241,2021-06-15T19:31:37.612Z,0.564,7.157608509063721,-27.834239959716797,-8.171195983886719
1623785412281,2021-06-15T19:31:37.627Z,0.604,8.595108985900879,-28.209239959716797,-6.1711955070495605
1623785412322,2021-06-15T19:31:37.641Z,0.645,7.907608509063721,-27.459239959716797,-7.4211955070495605
1623785412361,2021-06-15T19:31:37.657Z,0.684,8.220108985900879,-28.521739959716797,-7.0461955070495605
1623785412401,2021-06-15T19:31:37.658Z,0.724,8.282608985900879,-27.459239959716797,-8.171195983886719
1623785412442,2021-06-15T19:31:37.674Z,0.765,6.407608509063721,-28.146739959716797,-8.608695983886719
1623785412481,2021-06-15T19:31:37.690Z,0.804,8.282608985900879,-28.209239959716797,-6.6086955070495605
1623785412521,2021-06-15T19:31:37.705Z,0.844,9.345108985900879,-28.521739959716797,-7.4211955070495605
1623785412560,2021-06-15T19:31:37.715Z,0.883,8.970108985900879,-28.521739959716797,-8.608695983886719
1623785412601,2021-06-15T19:31:37.718Z,0.924,8.595108985900879,-29.646739959716797,-7.7961955070495605
1623785412641,2021-06-15T19:31:37.733Z,0.964,8.595108985900879,-28.521739959716797,-7.0461955070495605
1623785412681,2021-06-15T19:31:37.747Z,1.004,9.720108985900879,-27.834239959716797,-8.608695983886719
1623785412722,2021-06-15T19:31:37.761Z,1.045,8.220108985900879,-26.709239959716797,-7.7961955070495605
1623785412761,2021-06-15T19:31:37.776Z,1.084,7.532608509063721,-28.209239959716797,-8.233695983886719
1623785412801,2021-06-15T19:31:37.792Z,1.124,8.970108985900879,-27.834239959716797,-7.4211955070495605
1623785412842,2021-06-15T19:31:37.793Z,1.165,7.907608509063721,-28.521739959716797,-6.9836955070495605
1623785412881,2021-06-15T19:31:37.822Z,1.204,8.595108985900879,-28.209239959716797,-7.7961955070495605
1623785412921,2021-06-15T19:31:37.866Z,1.244,6.782608509063721,-28.521739959716797,-8.608695983886719
1623785412960,2021-06-15T19:31:37.881Z,1.283,9.345108985900879,-27.834239959716797,-8.233695983886719
1623785413001,2021-06-15T19:31:37.912Z,1.324,9.345108985900879,-30.771739959716797,-7.7961955070495605
1623785413041,2021-06-15T19:31:37.940Z,1.364,8.970108985900879,-28.209239959716797,-8.983695983886719
1623785413080,2021-06-15T19:31:37.943Z,1.403,8.595108985900879,-27.459239959716797,-7.4211955070495605
1623785413120,2021-06-15T19:31:37.988Z,1.443,8.595108985900879,-32.2092399597168,-8.233695983886719
1623785413161,2021-06-15T19:31:38.002Z,1.484,8.595108985900879,-28.209239959716797,-9.796195983886719
1623785413201,2021-06-15T19:31:38.018Z,1.524,7.532608509063721,-27.459239959716797,-9.421195983886719
1623785413240,2021-06-15T19:31:38.030Z,1.563,8.970108985900879,-35.5217399597168,-8.608695983886719
1623785413281,2021-06-15T19:31:38.046Z,1.604,8.595108985900879,-29.271739959716797,-9.421195983886719
1623785413321,2021-06-15T19:31:38.048Z,1.644,8.595108985900879,-29.271739959716797,-9.796195983886719
1623785413360,2021-06-15T19:31:38.062Z,1.683,8.220108985900879,-39.5842399597168,-8.233695983886719
1623785413401,2021-06-15T19:31:38.092Z,1.724,8.970108985900879,-28.209239959716797,-9.046195983886719
1623785413441,2021-06-15T19:31:38.125Z,1.764,8.282608985900879,-28.896739959716797,-9.421195983886719
1623785413480,2021-06-15T19:31:38.136Z,1.803,8.595108985900879,-42.5217399597168,-8.233695983886719
1623785413520,2021-06-15T19:31:38.138Z,1.843,7.532608509063721,-29.271739959716797,-8.983695983886719
1623785413561,2021-06-15T19:31:38.153Z,1.884,8.595108985900879,-28.209239959716797,-8.233695983886719
1623785413600,2021-06-15T19:31:38.167Z,1.923,8.970108985900879,-44.7092399597168,-7.7961955070495605
1623785413640,2021-06-15T19:31:38.189Z,1.963,9.345108985900879,-30.021739959716797,-7.7961955070495605
1623785413681,2021-06-15T19:31:38.196Z,2.004,8.595108985900879,-29.271739959716797,-8.608695983886719
1623785413721,2021-06-15T19:31:38.198Z,2.044,8.595108985900879,-45.4592399597168,-8.608695983886719
1623785413760,2021-06-15T19:31:38.213Z,2.083,10.470108985900879,-29.646739959716797,-10.233695983886719
1623785413800,2021-06-15T19:31:38.243Z,2.123,8.220108985900879,-28.209239959716797,-9.046195983886719
1623785413841,2021-06-15T19:31:38.273Z,2.164,9.345108985900879,-45.4592399597168,-8.233695983886719
1623785413880,2021-06-15T19:31:38.286Z,2.203,8.970108985900879,-33.3342399597168,-10.608695983886719
1623785413920,2021-06-15T19:31:38.301Z,2.243,8.970108985900879,-34.8342399597168,-9.046195983886719
1623785413961,2021-06-15T19:31:38.303Z,2.284,8.970108985900879,-44.3967399597168,-11.046195983886719
1623785414000,2021-06-15T19:31:38.317Z,2.323,7.157608509063721,-36.2717399597168,-11.046195983886719
1623785414040,2021-06-15T19:31:38.332Z,2.363,9.720108985900879,-31.834239959716797,-9.421195983886719
1623785414079,2021-06-15T19:31:38.346Z,2.402,8.595108985900879,-37.0217399597168,-11.421195983886719
1623785414120,2021-06-15T19:31:38.350Z,2.443,9.345108985900879,-28.209239959716797,-11.046195983886719
1623785414160,2021-06-15T19:31:38.377Z,2.483,10.470108985900879,-28.896739959716797,-11.046195983886719
1623785414200,2021-06-15T19:31:38.422Z,2.523,9.345108985900879,-36.2717399597168,-10.233695983886719
1623785414241,2021-06-15T19:31:38.436Z,2.564,8.595108985900879,-28.209239959716797,-13.046195983886719
1623785414280,2021-06-15T19:31:38.451Z,2.603,9.345108985900879,-28.521739959716797,-10.983695983886719
1623785414320,2021-06-15T19:31:38.453Z,2.643,7.907608509063721,-33.7092399597168,-12.233695983886719
1623785414359,2021-06-15T19:31:38.468Z,2.682,10.095108985900879,-28.896739959716797,-12.608695983886719
1623785414400,2021-06-15T19:31:38.542Z,2.723,8.970108985900879,-27.834239959716797,-11.046195983886719
1623785414440,2021-06-15T19:31:38.556Z,2.763,8.595108985900879,-32.9592399597168,-10.671195983886719
1623785414479,2021-06-15T19:31:38.570Z,2.802,10.095108985900879,-28.209239959716797,-12.233695983886719
1623785414520,2021-06-15T19:31:38.586Z,2.843,9.720108985900879,-27.459239959716797,-11.046195983886719
1623785414560,2021-06-15T19:31:38.588Z,2.883,7.157608509063721,-28.896739959716797,-13.046195983886719
1623785414600,2021-06-15T19:31:38.602Z,2.923,11.220108985900879,-27.834239959716797,-12.671195983886719
1623785414639,2021-06-15T19:31:38.618Z,2.962,7.907608509063721,-27.834239959716797,-11.796195983886719
1623785414680,2021-06-15T19:31:38.646Z,3.003,10.095108985900879,-28.209239959716797,-13.046195983886719
