epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1623787927595,2021-06-15T20:12:07.595Z,0,0.3887020019336768,-0.17988526416143194,-0.7608525548294257,-0.48749916434785767
1623787927610,2021-06-15T20:12:07.611Z,0.015,0.3887020019336768,-0.17988526416143194,-0.7608525548294257,-0.48749916434785767
1623787927640,2021-06-15T20:12:07.641Z,0.045,0.3888804640562878,-0.17988579135957738,-0.7606977708664125,-0.48759818307821423
1623787927655,2021-06-15T20:12:07.655Z,0.06,0.38910639112104883,-0.17980459956147266,-0.7604917471563135,-0.48776923321631294
1623787927670,2021-06-15T20:12:07.670Z,0.075,0.38925961739012077,-0.1798228774981879,-0.7602124342808839,-0.48807554513855866
1623787927700,2021-06-15T20:12:07.701Z,0.105,0.3894929984164166,-0.17978795438650674,-0.759905835751851,-0.4883795823254544
1623787927715,2021-06-15T20:12:07.715Z,0.12,0.3843401786741139,-0.1722254702045914,-0.7592336034156305,-0.4961706862704352
1623787927730,2021-06-15T20:12:07.730Z,0.135,0.3793205020606934,-0.1651215801920762,-0.7585401151066149,-0.5034557718860107
1623787927745,2021-06-15T20:12:07.745Z,0.15,0.374468958464991,-0.15864000496873115,-0.7577580322912608,-0.5103029614530394
1623787927775,2021-06-15T20:12:07.775Z,0.18,0.37000078793507224,-0.15255773091050362,-0.756901258080066,-0.5166488567525118
1623787927790,2021-06-15T20:12:07.791Z,0.195,0.3659703355778882,-0.14672908436332704,-0.7559999792272184,-0.5224943259857978
1623787927806,2021-06-15T20:12:07.806Z,0.211,0.36219263480251296,-0.1412457035689683,-0.7550527081302771,-0.5279787443290264
1623787927835,2021-06-15T20:12:07.835Z,0.24,0.35852419774511873,-0.13609194591458226,-0.7540541681103274,-0.5332369955693654
1623787927851,2021-06-15T20:12:07.851Z,0.256,0.35507091116597056,-0.13147778081568479,-0.7530085738846025,-0.5381601330940702
1623787927865,2021-06-15T20:12:07.865Z,0.27,0.3519316300321005,-0.12706526419138828,-0.7520519019808162,-0.5426015878579404
1623787927896,2021-06-15T20:12:07.896Z,0.301,0.34897892775968203,-0.12295795831047074,-0.7510578661418199,-0.546815444345091
1623787927910,2021-06-15T20:12:07.911Z,0.315,0.3461381763658181,-0.119178034061113,-0.7501033419101647,-0.5507539700398686
1623787927925,2021-06-15T20:12:07.925Z,0.33,0.34350995584830474,-0.11554815241632635,-0.7491017856321501,-0.5545232632351806
1623787927955,2021-06-15T20:12:07.955Z,0.36,0.341043075121934,-0.11216282035830269,-0.7480516761213339,-0.5581467660864021
1623787927971,2021-06-15T20:12:07.971Z,0.376,0.33888794946132655,-0.10876710121410525,-0.7470580658901808,-0.5614525105401171
1623787927985,2021-06-15T20:12:07.986Z,0.39,0.33674770570624935,-0.10550954057244662,-0.7462064356584523,-0.5644862043767557
1623787928015,2021-06-15T20:12:08.016Z,0.42,0.33457780042411345,-0.1025923405593198,-0.7453670811301645,-0.5674155633126585
1623787928030,2021-06-15T20:12:08.030Z,0.435,0.33249104981205574,-0.09995816454752889,-0.7444456469745424,-0.5703146025097211
1623787928045,2021-06-15T20:12:08.046Z,0.45,0.33049947429118887,-0.09757062573757037,-0.7435594712760639,-0.5730352372778547
1623787928075,2021-06-15T20:12:08.075Z,0.48,0.32865589088055913,-0.09533174987929963,-0.7427225794319897,-0.5755521982030374
1623787928090,2021-06-15T20:12:08.090Z,0.495,0.32696645887275816,-0.0932898831624173,-0.7419594585516537,-0.5778287759687021
1623787928105,2021-06-15T20:12:08.105Z,0.51,0.3254493080014326,-0.09137539455885549,-0.7412213862600511,-0.579934601262358
1623787928135,2021-06-15T20:12:08.135Z,0.54,0.3240923589972823,-0.08960606898176973,-0.7405360083072537,-0.5818430335078097
1623787928150,2021-06-15T20:12:08.150Z,0.555,0.32273793598544104,-0.08802635692132192,-0.7398532383403019,-0.58370263908979
1623787928165,2021-06-15T20:12:08.165Z,0.57,0.32156259674581306,-0.08646833944426315,-0.7391667993812098,-0.5854512493285666
1623787928195,2021-06-15T20:12:08.195Z,0.6,0.3204633004581592,-0.08499932618650739,-0.738526968896568,-0.5870743597022026
1623787928211,2021-06-15T20:12:08.211Z,0.616,0.31953881732173967,-0.08355251965176128,-0.7379589924727697,-0.5884984673837651
