epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1611769903179,2021-01-27T17:51:52.613Z,0.076,100270.84375
1611769903257,2021-01-27T17:51:52.617Z,0.154,100270.171875
1611769903334,2021-01-27T17:51:52.631Z,0.231,100270.171875
1611769903412,2021-01-27T17:51:52.643Z,0.309,100269.5
1611769903490,2021-01-27T17:51:52.648Z,0.387,100269.6796875
1611769903567,2021-01-27T17:51:52.662Z,0.464,100269.0078125
1611769903645,2021-01-27T17:51:52.675Z,0.542,100268.34375
1611769903722,2021-01-27T17:51:52.688Z,0.619,100268.484375
1611769903800,2021-01-27T17:51:52.693Z,0.697,100268.625
1611769903878,2021-01-27T17:51:52.704Z,0.775,100268.625
1611769903955,2021-01-27T17:51:52.718Z,0.852,100267.953125
1611769904033,2021-01-27T17:51:52.722Z,0.93,100268.09375
1611769904111,2021-01-27T17:51:52.736Z,1.008,100267.4296875
1611769904188,2021-01-27T17:51:52.749Z,1.085,100267.4296875
1611769904266,2021-01-27T17:51:52.762Z,1.163,100267.59375
1611769904344,2021-01-27T17:51:52.767Z,1.241,100266.9375
1611769904421,2021-01-27T17:51:52.781Z,1.318,100267.0703125
1611769904499,2021-01-27T17:51:52.797Z,1.396,100267.0703125
1611769904576,2021-01-27T17:51:52.811Z,1.473,100266.40625
1611769904654,2021-01-27T17:51:52.812Z,1.551,100266.40625
1611769904732,2021-01-27T17:51:52.825Z,1.629,100266.40625
1611769904809,2021-01-27T17:51:52.841Z,1.706,100266.546875
1611769904887,2021-01-27T17:51:52.843Z,1.784,100266.546875
1611769904965,2021-01-27T17:51:52.855Z,1.862,100266.546875
1611769905042,2021-01-27T17:51:52.869Z,1.939,100266.6875
1611769905120,2021-01-27T17:51:52.873Z,2.017,100266.6875
1611769905198,2021-01-27T17:51:52.887Z,2.095,100266.6875
1611769905275,2021-01-27T17:51:52.900Z,2.172,100266.015625
1611769905353,2021-01-27T17:51:52.913Z,2.25,100266.015625
1611769905430,2021-01-27T17:51:52.917Z,2.327,100266.015625
1611769905508,2021-01-27T17:51:52.929Z,2.405,100265.34375
1611769905586,2021-01-27T17:51:52.943Z,2.483,100266.1875
1611769905663,2021-01-27T17:51:52.948Z,2.56,100266.1875
1611769905741,2021-01-27T17:51:52.961Z,2.638,100266.1875
1611769905819,2021-01-27T17:51:52.974Z,2.716,100265.515625
1611769905896,2021-01-27T17:51:53.006Z,2.793,100266.328125
1611769905974,2021-01-27T17:51:53.021Z,2.871,100265.515625
1611769906052,2021-01-27T17:51:53.027Z,2.949,100265.515625
1611769906129,2021-01-27T17:51:53.036Z,3.026,100266.328125
1611769906207,2021-01-27T17:51:53.049Z,3.104,100266.328125
1611769906284,2021-01-27T17:51:53.062Z,3.181,100266.328125
1611769906362,2021-01-27T17:51:53.067Z,3.259,100265.65625
1611769906440,2021-01-27T17:51:53.081Z,3.337,100265.65625
1611769906517,2021-01-27T17:51:53.093Z,3.414,100265.65625
1611769906595,2021-01-27T17:51:53.098Z,3.492,100264.984375
1611769906673,2021-01-27T17:51:53.111Z,3.57,100264.984375
1611769906750,2021-01-27T17:51:53.125Z,3.647,100264.984375
1611769906828,2021-01-27T17:51:53.138Z,3.725,100264.984375
1611769906906,2021-01-27T17:51:53.143Z,3.803,100264.984375
1611769906985,2021-01-27T17:51:53.158Z,3.882,100264.328125
1611769907061,2021-01-27T17:51:53.170Z,3.958,100265.1328125
1611769907140,2021-01-27T17:51:53.172Z,4.037,100265.796875
1611769907216,2021-01-27T17:51:53.186Z,4.113,100265.1328125
1611769907294,2021-01-27T17:51:53.199Z,4.191,100265.1328125
1611769907371,2021-01-27T17:51:53.212Z,4.268,100265.1328125
1611769907449,2021-01-27T17:51:53.217Z,4.346,100265.1328125
1611769907527,2021-01-27T17:51:53.230Z,4.424,100265.1328125
1611769907604,2021-01-27T17:51:53.244Z,4.501,100265.1328125
1611769907682,2021-01-27T17:51:53.257Z,4.579,100265.9375
1611769907760,2021-01-27T17:51:53.262Z,4.657,100265.9375
1611769907837,2021-01-27T17:51:53.274Z,4.734,100265.9375
1611769907915,2021-01-27T17:51:53.288Z,4.812,100265.1328125
1611769907994,2021-01-27T17:51:53.293Z,4.891,100265.265625
1611769908072,2021-01-27T17:51:53.306Z,4.969,100265.265625
1611769908149,2021-01-27T17:51:53.319Z,5.046,100265.265625
1611769908227,2021-01-27T17:51:53.324Z,5.124,100265.9375
1611769908304,2021-01-27T17:51:53.337Z,5.201,100265.265625
1611769908382,2021-01-27T17:51:53.351Z,5.279,100265.9375
1611769908460,2021-01-27T17:51:53.363Z,5.357,100265.9375
1611769908537,2021-01-27T17:51:53.367Z,5.434,100265.9375
1611769908615,2021-01-27T17:51:53.381Z,5.512,100265.9375
1611769908693,2021-01-27T17:51:53.394Z,5.59,100265.9375
1611769908770,2021-01-27T17:51:53.408Z,5.667,100265.9375
1611769908848,2021-01-27T17:51:53.411Z,5.745,100265.265625
1611769908926,2021-01-27T17:51:53.424Z,5.823,100265.9375
1611769909003,2021-01-27T17:51:53.438Z,5.9,100265.9375
1611769909081,2021-01-27T17:51:53.471Z,5.978,100265.9375
1611769909158,2021-01-27T17:51:53.484Z,6.055,100265.9375
1611769909236,2021-01-27T17:51:53.488Z,6.133,100265.9375
1611769909314,2021-01-27T17:51:53.501Z,6.211,100265.9375
1611769909393,2021-01-27T17:51:53.514Z,6.29,100265.9375
1611769909469,2021-01-27T17:51:53.528Z,6.366,100265.265625
1611769909547,2021-01-27T17:51:53.533Z,6.444,100265.265625
1611769909624,2021-01-27T17:51:53.546Z,6.521,100265.265625
1611769909703,2021-01-27T17:51:53.559Z,6.6,100265.9375
1611769909780,2021-01-27T17:51:53.572Z,6.677,100265.9375
1611769909857,2021-01-27T17:51:53.577Z,6.754,100266.78125
1611769909936,2021-01-27T17:51:53.590Z,6.833,100266.78125
1611769910014,2021-01-27T17:51:53.603Z,6.911,100266.78125
1611769910092,2021-01-27T17:51:53.607Z,6.989,100266.109375
1611769910169,2021-01-27T17:51:53.622Z,7.066,100266.109375
1611769910247,2021-01-27T17:51:53.634Z,7.144,100266.109375
1611769910324,2021-01-27T17:51:53.648Z,7.221,100266.109375
1611769910402,2021-01-27T17:51:53.652Z,7.299,100266.109375
