epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1611770122164,2021-01-27T17:56:43.126Z,0.039,-19.390625,18.067188262939453,-93.2437515258789
1611770122204,2021-01-27T17:56:43.141Z,0.079,-19.015625,16.942188262939453,-96.3687515258789
1611770122245,2021-01-27T17:56:43.155Z,0.12,-19.328125,17.317188262939453,-93.5562515258789
1611770122284,2021-01-27T17:56:43.158Z,0.159,-18.640625,11.817187309265137,-93.4937515258789
1611770122324,2021-01-27T17:56:43.171Z,0.199,-18.953125,10.004687309265137,-95.4312515258789
1611770122344,2021-01-27T17:56:43.186Z,0.219,-18.953125,16.254688262939453,-93.0562515258789
1611770122384,2021-01-27T17:56:43.200Z,0.259,-18.640625,17.692188262939453,-94.6187515258789
1611770122425,2021-01-27T17:56:43.202Z,0.3,-18.953125,17.004688262939453,-93.7437515258789
1611770122464,2021-01-27T17:56:43.217Z,0.339,-18.953125,16.254688262939453,-92.1812515258789
1611770122504,2021-01-27T17:56:43.246Z,0.379,-19.328125,17.692188262939453,-94.1812515258789
1611770122543,2021-01-27T17:56:43.261Z,0.418,-20.078125,17.379688262939453,-92.1812515258789
1611770122583,2021-01-27T17:56:43.275Z,0.458,-18.578125,15.879687309265137,-93.3062515258789
1611770122623,2021-01-27T17:56:43.290Z,0.498,-20.453125,15.879687309265137,-94.1187515258789
1611770122664,2021-01-27T17:56:43.292Z,0.539,-19.703125,16.629688262939453,-92.5562515258789
1611770122703,2021-01-27T17:56:43.306Z,0.578,-19.328125,1.5671875476837158,-93.7437515258789
1611770122743,2021-01-27T17:56:43.320Z,0.618,-19.328125,18.067188262939453,-94.9312515258789
1611770122782,2021-01-27T17:56:43.335Z,0.657,-18.578125,17.754688262939453,-94.9312515258789
1611770122822,2021-01-27T17:56:43.350Z,0.697,-19.328125,17.754688262939453,-95.3062515258789
1611770122861,2021-01-27T17:56:43.352Z,0.736,-19.328125,17.004688262939453,-95.3062515258789
1611770122902,2021-01-27T17:56:43.366Z,0.777,-18.953125,17.004688262939453,-94.1187515258789
1611770122942,2021-01-27T17:56:43.381Z,0.817,-18.203125,16.629688262939453,-95.9937515258789
1611770122981,2021-01-27T17:56:43.395Z,0.856,-20.078125,16.629688262939453,-95.6812515258789
1611770123021,2021-01-27T17:56:43.410Z,0.896,-18.953125,17.004688262939453,-95.6187515258789
1611770123061,2021-01-27T17:56:43.412Z,0.936,-18.953125,16.254688262939453,-96.0562515258789
1611770123100,2021-01-27T17:56:43.427Z,0.975,-18.953125,16.629688262939453,-94.4937515258789
1611770123141,2021-01-27T17:56:43.441Z,1.016,-19.703125,16.254688262939453,-93.9937515258789
1611770123181,2021-01-27T17:56:43.456Z,1.056,-20.078125,14.067187309265137,-95.3062515258789
1611770123220,2021-01-27T17:56:43.471Z,1.095,-20.078125,9.629687309265137,-94.4937515258789
1611770123260,2021-01-27T17:56:43.485Z,1.135,-19.328125,13.317187309265137,-93.7437515258789
