epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1611770122441,2021-01-27T17:56:43.215Z,0.316,99534.16666666667
1611770122519,2021-01-27T17:56:43.246Z,0.394,99534.01822916667
1611770122596,2021-01-27T17:56:43.276Z,0.471,99533.22916666667
1611770122674,2021-01-27T17:56:43.293Z,0.549,99533.89322916667
1611770122751,2021-01-27T17:56:43.321Z,0.626,99533.89322916667
1611770122829,2021-01-27T17:56:43.350Z,0.704,99533.10416666667
1611770122908,2021-01-27T17:56:43.367Z,0.783,99533.10416666667
1611770122984,2021-01-27T17:56:43.396Z,0.859,99533.10416666667
1611770123062,2021-01-27T17:56:43.425Z,0.937,99532.27604166667
1611770123140,2021-01-27T17:56:43.441Z,1.015,99532.27604166667
1611770123217,2021-01-27T17:56:43.470Z,1.092,99532.94791666667
1611770123295,2021-01-27T17:56:43.486Z,1.17,99532.94791666667
1611770123373,2021-01-27T17:56:43.515Z,1.248,99532.27604166667
1611770123450,2021-01-27T17:56:43.532Z,1.325,99532.27604166667
1611770123528,2021-01-27T17:56:43.561Z,1.403,99532.27604166667
1611770123605,2021-01-27T17:56:43.590Z,1.48,99532.27604166667
1611770123683,2021-01-27T17:56:43.607Z,1.558,99532.27604166667
1611770123761,2021-01-27T17:56:43.636Z,1.636,99532.27604166667
1611770123838,2021-01-27T17:56:43.665Z,1.713,99532.27604166667
1611770123916,2021-01-27T17:56:43.681Z,1.791,99531.47916666667
1611770123994,2021-01-27T17:56:43.710Z,1.869,99531.47916666667
1611770124071,2021-01-27T17:56:43.727Z,1.946,99531.47916666667
1611770124149,2021-01-27T17:56:43.756Z,2.024,99531.47916666667
1611770124227,2021-01-27T17:56:43.771Z,2.102,99531.47916666667
1611770124304,2021-01-27T17:56:43.801Z,2.179,99531.47916666667
1611770124382,2021-01-27T17:56:43.817Z,2.257,99531.47916666667
1611770124459,2021-01-27T17:56:43.876Z,2.334,99531.47916666667
1611770124537,2021-01-27T17:56:43.905Z,2.412,99531.47916666667
1611770124615,2021-01-27T17:56:43.922Z,2.49,99531.47916666667
1611770124692,2021-01-27T17:56:43.951Z,2.567,99531.47916666667
1611770124770,2021-01-27T17:56:43.967Z,2.645,99531.47916666667
1611770124848,2021-01-27T17:56:43.996Z,2.723,99530.81510416667
1611770124925,2021-01-27T17:56:44.025Z,2.8,99530.81510416667
1611770125003,2021-01-27T17:56:44.041Z,2.878,99530.81510416667
1611770125081,2021-01-27T17:56:44.071Z,2.956,99530.81510416667
1611770125158,2021-01-27T17:56:44.087Z,3.033,99530.81510416667
1611770125236,2021-01-27T17:56:44.116Z,3.111,99530.81510416667
1611770125313,2021-01-27T17:56:44.145Z,3.188,99530.81510416667
1611770125391,2021-01-27T17:56:44.162Z,3.266,99531.60416666667
1611770125469,2021-01-27T17:56:44.191Z,3.344,99531.60416666667
1611770125546,2021-01-27T17:56:44.220Z,3.421,99531.60416666667
1611770125624,2021-01-27T17:56:44.236Z,3.499,99531.60416666667
1611770125702,2021-01-27T17:56:44.266Z,3.577,99530.94010416667
1611770125779,2021-01-27T17:56:44.282Z,3.654,99530.94010416667
1611770125857,2021-01-27T17:56:44.311Z,3.732,99530.94010416667
1611770125935,2021-01-27T17:56:44.340Z,3.81,99531.60416666667
1611770126014,2021-01-27T17:56:44.370Z,3.889,99530.94010416667
1611770126091,2021-01-27T17:56:44.386Z,3.966,99530.94010416667
1611770126169,2021-01-27T17:56:44.415Z,4.044,99530.94010416667
1611770126247,2021-01-27T17:56:44.432Z,4.122,99530.94010416667
1611770126324,2021-01-27T17:56:44.476Z,4.199,99530.94010416667
1611770126402,2021-01-27T17:56:44.492Z,4.277,99530.94010416667
1611770126479,2021-01-27T17:56:44.521Z,4.354,99530.94010416667
1611770126557,2021-01-27T17:56:44.550Z,4.432,99530.94010416667
1611770126635,2021-01-27T17:56:44.567Z,4.51,99530.94010416667
1611770126712,2021-01-27T17:56:44.596Z,4.587,99531.76041666667
1611770126790,2021-01-27T17:56:44.625Z,4.665,99530.26822916667
1611770126868,2021-01-27T17:56:44.641Z,4.743,99531.76041666667
1611770126945,2021-01-27T17:56:44.657Z,4.82,99530.94010416667
1611770127023,2021-01-27T17:56:44.686Z,4.898,99531.08854166667
1611770127101,2021-01-27T17:56:44.715Z,4.976,99530.26822916667
1611770127178,2021-01-27T17:56:44.731Z,5.053,99531.08854166667
1611770127256,2021-01-27T17:56:44.761Z,5.131,99530.94010416667
1611770127333,2021-01-27T17:56:44.777Z,5.208,99531.08854166667
1611770127411,2021-01-27T17:56:44.806Z,5.286,99531.08854166667
1611770127489,2021-01-27T17:56:44.835Z,5.364,99531.08854166667
1611770127568,2021-01-27T17:56:44.881Z,5.443,99531.08854166667
1611770127644,2021-01-27T17:56:44.911Z,5.519,99531.08854166667
1611770127722,2021-01-27T17:56:44.940Z,5.597,99530.42447916667
1611770127799,2021-01-27T17:56:44.957Z,5.674,99530.42447916667
1611770127877,2021-01-27T17:56:44.986Z,5.752,99530.42447916667
1611770127955,2021-01-27T17:56:45.015Z,5.83,99530.42447916667
1611770128032,2021-01-27T17:56:45.031Z,5.907,99530.42447916667
