epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1611770442324,2021-01-27T18:00:42.324Z,0,0.7980969404796762,0.299363911499464,0.11314737770606349,-0.5105097384056083
1611770442339,2021-01-27T18:00:42.339Z,0.015,0.7980969404796762,0.299363911499464,0.11314737770606349,-0.5105097384056083
1611770442354,2021-01-27T18:00:42.354Z,0.03,0.7980810136597934,0.29944702111029575,0.11322486162736738,-0.5104687139222054
1611770442384,2021-01-27T18:00:42.385Z,0.06,0.7980810136597934,0.29944702111029575,0.11322486162736738,-0.5104687139222054
1611770442399,2021-01-27T18:00:42.400Z,0.075,0.7980726650684979,0.2994905890181898,0.11326549876193212,-0.510447191343251
1611770442414,2021-01-27T18:00:42.414Z,0.09,0.7980920414031133,0.29938961033500444,0.11317136517615754,-0.510497009566785
1611770442444,2021-01-27T18:00:42.444Z,0.12,0.8007532818060457,0.2878880360050169,0.11156782526874022,-0.5132906396641436
1611770442459,2021-01-27T18:00:42.459Z,0.135,0.8058046165252692,0.26434045924676075,0.10845735288996877,-0.5186907018598621
1611770442474,2021-01-27T18:00:42.474Z,0.15,0.8104654673125116,0.2398934667118383,0.10531581819649137,-0.5239326572761924
1611770442504,2021-01-27T18:00:42.504Z,0.18,0.8146964354499857,0.21450058023044466,0.10205612888969076,-0.5290026140785514
1611770442519,2021-01-27T18:00:42.519Z,0.195,0.8184489981344478,0.1882636007082166,0.09863495404058993,-0.5338250649253056
1611770442534,2021-01-27T18:00:42.534Z,0.21,0.8216830251178249,0.16117709769893873,0.09493422990879417,-0.5383738862558167
1611770442564,2021-01-27T18:00:42.564Z,0.24,0.8243007364987551,0.13343028238279775,0.09125667485441548,-0.5425835187741812
1611770442579,2021-01-27T18:00:42.579Z,0.255,0.826273854853925,0.10519899173469485,0.08724714978709062,-0.5464362943444254
1611770442600,2021-01-27T18:00:42.601Z,0.276,0.8275897375641708,0.07653372651637384,0.08301951146775817,-0.5498595963513219
1611770442624,2021-01-27T18:00:42.624Z,0.3,0.8282146263724846,0.0474273485177996,0.07878016341152685,-0.5528153987798368
1611770442639,2021-01-27T18:00:42.639Z,0.315,0.8281058012121381,0.018008055297613332,0.07449462597904048,-0.5553080610286902
1611770442654,2021-01-27T18:00:42.654Z,0.33,0.8272609908870868,-0.0115288485251019,0.07006651877219024,-0.5573123195797368
1611770442684,2021-01-27T18:00:42.684Z,0.36,0.8256784185998028,-0.041132405523110545,0.06549327216254174,-0.5588147327834638
1611770442699,2021-01-27T18:00:42.699Z,0.375,0.8233659273052847,-0.07054356901557218,0.060824616603219334,-0.5598147199193009
1611770442714,2021-01-27T18:00:42.714Z,0.39,0.8203380692249249,-0.09971164032497158,0.05626071152984647,-0.5603015021416425
1611770442744,2021-01-27T18:00:42.744Z,0.42,0.816629152350082,-0.12849868053870409,0.05172178442647024,-0.5602943633908343
1611770442759,2021-01-27T18:00:42.759Z,0.435,0.8122810233337251,-0.15675555341295766,0.04709110840233745,-0.5598300305588771
1611770442774,2021-01-27T18:00:42.774Z,0.45,0.8073508051654847,-0.18432103426269164,0.04261097700163845,-0.5589228375777296
1611770442804,2021-01-27T18:00:42.804Z,0.48,0.8019461371850382,-0.21126456546246958,0.03819230779536977,-0.5574863442804796
1611770442819,2021-01-27T18:00:42.819Z,0.495,0.796050832882228,-0.23749487440070954,0.0339705300727183,-0.5556485032711602
1611770442856,2021-01-27T18:00:42.856Z,0.532,0.7897149789100613,-0.2628363189734605,0.02979749954095183,-0.553515519687271
1611770442864,2021-01-27T18:00:42.864Z,0.54,0.7829870960855013,-0.28731333192773023,0.025804200716229676,-0.5511047086403603
1611770442879,2021-01-27T18:00:42.879Z,0.555,0.7759673778221392,-0.3108560920164077,0.021956415388809387,-0.5484168436831552
1611770442909,2021-01-27T18:00:42.909Z,0.585,0.7687500599239006,-0.3333878134984403,0.018253622709107787,-0.5454747624186863
1611770442924,2021-01-27T18:00:42.924Z,0.6,0.7613953653172999,-0.354854538974671,0.014603960744254879,-0.5423486684532282
1611770442939,2021-01-27T18:00:42.939Z,0.615,0.7539351108986921,-0.3753015396995028,0.011055487840029741,-0.5390810505313445
1611770442969,2021-01-27T18:00:42.969Z,0.645,0.7464147522248138,-0.39474859751429325,0.007606297303574509,-0.5357058023421045
1611770442983,2021-01-27T18:00:42.984Z,0.659,0.7388943817479482,-0.41321259416800715,0.004324053375593688,-0.5322327941837749
1611770442999,2021-01-27T18:00:42.999Z,0.675,0.7314364189495691,-0.430673490525649,0.0011339990101982519,-0.5286963435081892
1611770443029,2021-01-27T18:00:43.029Z,0.705,0.7241063130835595,-0.4471738104950571,-0.0018871007583276089,-0.5250733943084458
1611770443044,2021-01-27T18:00:43.044Z,0.72,0.7169298212275327,-0.4627453041787818,-0.004646989493127965,-0.521398907156311
1611770443059,2021-01-27T18:00:43.059Z,0.735,0.7098287014686978,-0.4774267742190583,-0.00727550589522682,-0.5178358396673747
1611770443089,2021-01-27T18:00:43.089Z,0.765,0.7029129516625685,-0.49126866380126466,-0.009687702278374564,-0.5142709701864391
1611770443104,2021-01-27T18:00:43.104Z,0.78,0.696247622408338,-0.5042536040963899,-0.012104084881509063,-0.5107064148566363
1611770443119,2021-01-27T18:00:43.119Z,0.795,0.6897288202986455,-0.516399709407325,-0.014526761755759832,-0.5073405835987894
1611770443149,2021-01-27T18:00:43.149Z,0.825,0.6833845183461613,-0.5277549036135594,-0.01695916023437907,-0.5041554806612463
1611770443164,2021-01-27T18:00:43.164Z,0.84,0.6772836217054328,-0.5384048537537028,-0.019135762385776765,-0.5010398505328109
1611770443178,2021-01-27T18:00:43.179Z,0.854,0.6714047100509266,-0.5484107950776405,-0.02109148120328662,-0.4980125144857233
1611770443209,2021-01-27T18:00:43.209Z,0.885,0.6657286561846681,-0.5578426338865661,-0.022998116831621188,-0.4950636714355573
1611770443224,2021-01-27T18:00:43.224Z,0.9,0.6602626289693907,-0.5667108879884856,-0.024815833126897478,-0.4922156078873858
1611770443239,2021-01-27T18:00:43.239Z,0.915,0.6549220406873902,-0.5751508948179908,-0.02664020513468331,-0.4894577288002618
1611770443269,2021-01-27T18:00:43.269Z,0.945,0.6498112862547933,-0.5830214961233123,-0.02830246455846342,-0.4868574717655494
1611770443291,2021-01-27T18:00:43.291Z,0.967,0.6449605897700628,-0.5903747086267744,-0.029908371594284403,-0.4843439174449103
1611770443299,2021-01-27T18:00:43.299Z,0.975,0.6403635162587493,-0.597253222876562,-0.03132491831256674,-0.48191483096186344
1611770443329,2021-01-27T18:00:43.329Z,1.005,0.6360207384872684,-0.6037007344583006,-0.03257544174275356,-0.4795434120326154
1611770443344,2021-01-27T18:00:43.344Z,1.02,0.6318846365652608,-0.6097245969584422,-0.03382077945426493,-0.47729851960147524
1611770443359,2021-01-27T18:00:43.359Z,1.035,0.6278916118488349,-0.6154628648207292,-0.03491188441331642,-0.47511971767465494
1611770443389,2021-01-27T18:00:43.389Z,1.065,0.6240567291134759,-0.6209409958087726,-0.03612140654067402,-0.4729489640137961
1611770443403,2021-01-27T18:00:43.404Z,1.079,0.6205167497328934,-0.6258637793196469,-0.03734844591781491,-0.4710186690824241
1611770443419,2021-01-27T18:00:43.419Z,1.095,0.6171371366881292,-0.6304754757692516,-0.038393514874801686,-0.46922102147012934
1611770443449,2021-01-27T18:00:43.449Z,1.125,0.6139401992990767,-0.6348415605720047,-0.039260531716459164,-0.4674529230890023
1611770443464,2021-01-27T18:00:43.464Z,1.14,0.610927353959093,-0.6389306927679691,-0.040150692410688506,-0.46575021194039884
