epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1611771287794,2021-01-27T18:16:02.817Z,13.419,99494.140625
1611771287835,2021-01-27T18:16:02.832Z,13.46,99494.140625
1611771287874,2021-01-27T18:16:02.846Z,13.499,99494.140625
1611771287915,2021-01-27T18:16:02.860Z,13.54,99494.140625
1611771287955,2021-01-27T18:16:02.875Z,13.58,99495.0
1611771287996,2021-01-27T18:16:02.890Z,13.620999999999999,99495.0
1611771288035,2021-01-27T18:16:02.892Z,13.66,99495.0
1611771288076,2021-01-27T18:16:02.906Z,13.700999999999999,99495.0
1611771288116,2021-01-27T18:16:02.921Z,13.741,99495.0
1611771288157,2021-01-27T18:16:02.935Z,13.782,99495.0
1611771288196,2021-01-27T18:16:02.950Z,13.821,99495.0
1611771288237,2021-01-27T18:16:02.952Z,13.862,99495.0
1611771288277,2021-01-27T18:16:02.967Z,13.902000000000001,99495.0
1611771288318,2021-01-27T18:16:02.981Z,13.943,99495.0
1611771288359,2021-01-27T18:16:02.995Z,13.984000000000002,99495.0
1611771288398,2021-01-27T18:16:03.010Z,14.023,99495.0
1611771288439,2021-01-27T18:16:03.025Z,14.064,99493.484375
1611771288479,2021-01-27T18:16:03.027Z,14.104000000000001,99493.484375
1611771288520,2021-01-27T18:16:03.041Z,14.145,99494.328125
1611771288560,2021-01-27T18:16:03.055Z,14.185,99494.328125
1611771288601,2021-01-27T18:16:03.070Z,14.225999999999999,99494.328125
1611771288640,2021-01-27T18:16:03.085Z,14.265,99494.328125
1611771288681,2021-01-27T18:16:03.087Z,14.306,99494.328125
1611771288721,2021-01-27T18:16:03.101Z,14.345999999999998,99494.328125
1611771288762,2021-01-27T18:16:03.116Z,14.387,99494.328125
1611771288803,2021-01-27T18:16:03.130Z,14.427999999999999,99494.328125
1611771288842,2021-01-27T18:16:03.145Z,14.467,99494.328125
1611771288883,2021-01-27T18:16:03.160Z,14.508,99494.328125
1611771288923,2021-01-27T18:16:03.162Z,14.548,99494.328125
1611771288964,2021-01-27T18:16:03.176Z,14.589,99494.328125
1611771289003,2021-01-27T18:16:03.190Z,14.628,99494.328125
1611771289044,2021-01-27T18:16:03.205Z,14.669,99494.328125
1611771289084,2021-01-27T18:16:03.220Z,14.709000000000001,99494.328125
1611771289125,2021-01-27T18:16:03.222Z,14.75,99493.65625
1611771289165,2021-01-27T18:16:03.236Z,14.79,99493.65625
1611771289206,2021-01-27T18:16:03.251Z,14.831,99494.328125
1611771289245,2021-01-27T18:16:03.265Z,14.87,99494.328125
1611771289286,2021-01-27T18:16:03.280Z,14.911,99493.65625
1611771289326,2021-01-27T18:16:03.282Z,14.950999999999999,99493.65625
1611771289367,2021-01-27T18:16:03.297Z,14.992,99494.328125
1611771289406,2021-01-27T18:16:03.311Z,15.030999999999999,99494.328125
1611771289447,2021-01-27T18:16:03.325Z,15.072000000000001,99494.328125
1611771289488,2021-01-27T18:16:03.340Z,15.113,99494.328125
1611771289528,2021-01-27T18:16:03.355Z,15.152999999999999,99494.328125
1611771289569,2021-01-27T18:16:03.357Z,15.194,99494.328125
1611771289608,2021-01-27T18:16:03.371Z,15.232999999999999,99494.328125
1611771289649,2021-01-27T18:16:03.416Z,15.274000000000001,99494.328125
1611771289689,2021-01-27T18:16:03.431Z,15.314,99493.65625
1611771289730,2021-01-27T18:16:03.445Z,15.355,99493.65625
1611771289770,2021-01-27T18:16:03.460Z,15.395,99494.328125
1611771289811,2021-01-27T18:16:03.462Z,15.436,99494.328125
1611771289850,2021-01-27T18:16:03.476Z,15.475,99494.328125
1611771289891,2021-01-27T18:16:03.491Z,15.515999999999998,99494.328125
1611771289931,2021-01-27T18:16:03.505Z,15.556,99494.328125
1611771289972,2021-01-27T18:16:03.520Z,15.597000000000001,99494.328125
1611771290013,2021-01-27T18:16:03.522Z,15.638,99494.328125
1611771290052,2021-01-27T18:16:03.537Z,15.677,99493.65625
1611771290093,2021-01-27T18:16:03.551Z,15.718,99493.65625
1611771290133,2021-01-27T18:16:03.565Z,15.758,99493.65625
1611771290174,2021-01-27T18:16:03.580Z,15.799000000000001,99493.65625
1611771290213,2021-01-27T18:16:03.595Z,15.838,99493.65625
1611771290254,2021-01-27T18:16:03.597Z,15.879000000000001,99493.65625
1611771290294,2021-01-27T18:16:03.611Z,15.919,99493.65625
1611771290335,2021-01-27T18:16:03.626Z,15.96,99493.65625
1611771290375,2021-01-27T18:16:03.641Z,16.0,99494.328125
1611771290416,2021-01-27T18:16:03.655Z,16.041,99494.328125
1611771290455,2021-01-27T18:16:03.670Z,16.08,99494.328125
1611771290496,2021-01-27T18:16:03.672Z,16.121,99494.328125
1611771290536,2021-01-27T18:16:03.687Z,16.160999999999998,99494.328125
1611771290577,2021-01-27T18:16:03.701Z,16.202,99494.328125
1611771290618,2021-01-27T18:16:03.715Z,16.243,99494.328125
1611771290657,2021-01-27T18:16:03.730Z,16.282,99494.328125
1611771290698,2021-01-27T18:16:03.745Z,16.323,99494.328125
1611771290738,2021-01-27T18:16:03.760Z,16.363,99494.328125
1611771290779,2021-01-27T18:16:03.762Z,16.404,99494.328125
1611771290818,2021-01-27T18:16:03.776Z,16.442999999999998,99494.328125
1611771290859,2021-01-27T18:16:03.791Z,16.484,99494.328125
1611771290899,2021-01-27T18:16:03.805Z,16.524,99494.328125
1611771290940,2021-01-27T18:16:03.820Z,16.565,99494.328125
1611771290980,2021-01-27T18:16:03.835Z,16.605,99494.328125
1611771291021,2021-01-27T18:16:03.837Z,16.646,99494.328125
1611771291060,2021-01-27T18:16:03.851Z,16.685,99494.328125
1611771291101,2021-01-27T18:16:03.866Z,16.726,99494.328125
1611771291141,2021-01-27T18:16:03.880Z,16.766,99494.328125
1611771291182,2021-01-27T18:16:03.895Z,16.807000000000002,99494.328125
1611771291223,2021-01-27T18:16:03.897Z,16.848,99494.328125
1611771291262,2021-01-27T18:16:03.911Z,16.887,99494.328125
1611771291303,2021-01-27T18:16:03.926Z,16.928,99494.328125
1611771291343,2021-01-27T18:16:03.940Z,16.968,99494.328125
1611771291384,2021-01-27T18:16:03.955Z,17.009,99494.328125
1611771291423,2021-01-27T18:16:03.957Z,17.048,99494.328125
1611771291464,2021-01-27T18:16:03.972Z,17.089000000000002,99494.328125
1611771291504,2021-01-27T18:16:03.987Z,17.129,99494.328125
