epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1611771060618,2021-01-27T18:13:20.440Z,0.069,
1611771060658,2021-01-27T18:13:20.454Z,0.109,
1611771060699,2021-01-27T18:13:20.456Z,0.15,
1611771060740,2021-01-27T18:13:20.471Z,0.191,
1611771060779,2021-01-27T18:13:20.485Z,0.23,
1611771060820,2021-01-27T18:13:20.500Z,0.271,
1611771060860,2021-01-27T18:13:20.514Z,0.311,
1611771060901,2021-01-27T18:13:20.516Z,0.35200000000000004,
1611771060940,2021-01-27T18:13:20.531Z,0.391,99523.609375
1611771060981,2021-01-27T18:13:20.545Z,0.43200000000000005,99523.609375
1611771061021,2021-01-27T18:13:20.560Z,0.47200000000000003,99522.390625
1611771061062,2021-01-27T18:13:20.574Z,0.513,99522.390625
1611771061102,2021-01-27T18:13:20.589Z,0.5529999999999999,99521.140625
1611771061143,2021-01-27T18:13:20.591Z,0.594,99521.140625
1611771061182,2021-01-27T18:13:20.605Z,0.633,99519.25
1611771061223,2021-01-27T18:13:20.620Z,0.674,99517.5625
1611771061264,2021-01-27T18:13:20.635Z,0.715,99517.5625
1611771061304,2021-01-27T18:13:20.649Z,0.755,99516.5234375
1611771061345,2021-01-27T18:13:20.651Z,0.7959999999999999,99516.5234375
1611771061384,2021-01-27T18:13:20.666Z,0.835,99515.453125
1611771061425,2021-01-27T18:13:20.680Z,0.8759999999999999,99515.453125
1611771061465,2021-01-27T18:13:20.694Z,0.9159999999999999,99514.421875
1611771061506,2021-01-27T18:13:20.696Z,0.9570000000000001,99514.421875
1611771061545,2021-01-27T18:13:20.711Z,0.996,99512.5390625
1611771061586,2021-01-27T18:13:20.726Z,1.037,99512.5390625
1611771061626,2021-01-27T18:13:20.740Z,1.077,99511.6875
1611771061667,2021-01-27T18:13:20.754Z,1.1179999999999999,99511.6875
1611771061707,2021-01-27T18:13:20.769Z,1.158,99510.625
1611771061748,2021-01-27T18:13:20.771Z,1.199,99510.625
1611771061789,2021-01-27T18:13:20.785Z,1.24,99509.7734375
1611771061828,2021-01-27T18:13:20.800Z,1.2790000000000001,99509.7734375
1611771061869,2021-01-27T18:13:20.815Z,1.32,99508.890625
1611771061909,2021-01-27T18:13:20.829Z,1.36,99508.890625
1611771061950,2021-01-27T18:13:20.831Z,1.401,99507.1875
1611771061989,2021-01-27T18:13:20.846Z,1.44,99507.1875
1611771062030,2021-01-27T18:13:20.860Z,1.4809999999999999,99506.34375
1611771062070,2021-01-27T18:13:20.875Z,1.521,99506.34375
1611771062111,2021-01-27T18:13:20.889Z,1.5619999999999998,99505.4921875
1611771062161,2021-01-27T18:13:20.904Z,1.6119999999999999,99505.3125
1611771062202,2021-01-27T18:13:20.906Z,1.653,99505.3125
1611771062241,2021-01-27T18:13:20.920Z,1.692,99504.453125
1611771062282,2021-01-27T18:13:20.935Z,1.733,99504.453125
1611771062322,2021-01-27T18:13:20.950Z,1.7730000000000001,99504.265625
1611771062363,2021-01-27T18:13:20.964Z,1.814,99504.265625
1611771062402,2021-01-27T18:13:20.966Z,1.8530000000000002,99503.421875
1611771062443,2021-01-27T18:13:20.980Z,1.8940000000000001,99503.421875
1611771062484,2021-01-27T18:13:20.995Z,1.935,99503.421875
1611771062524,2021-01-27T18:13:21.010Z,1.975,99503.421875
1611771062565,2021-01-27T18:13:21.024Z,2.016,99502.578125
1611771062605,2021-01-27T18:13:21.026Z,2.056,99502.578125
1611771062646,2021-01-27T18:13:21.041Z,2.097,99502.359375
1611771062685,2021-01-27T18:13:21.055Z,2.136,99502.359375
1611771062726,2021-01-27T18:13:21.070Z,2.177,99502.359375
1611771062766,2021-01-27T18:13:21.084Z,2.217,99502.359375
1611771062807,2021-01-27T18:13:21.099Z,2.258,99502.171875
1611771062846,2021-01-27T18:13:21.101Z,2.2969999999999997,99502.171875
1611771062887,2021-01-27T18:13:21.115Z,2.338,99502.171875
1611771062927,2021-01-27T18:13:21.130Z,2.378,99502.171875
1611771062968,2021-01-27T18:13:21.145Z,2.419,99501.328125
1611771063009,2021-01-27T18:13:21.159Z,2.46,99501.328125
1611771063048,2021-01-27T18:13:21.161Z,2.499,99501.328125
1611771063089,2021-01-27T18:13:21.176Z,2.54,99501.328125
1611771063129,2021-01-27T18:13:21.190Z,2.58,99501.328125
1611771063170,2021-01-27T18:13:21.208Z,2.6210000000000004,99501.140625
1611771063210,2021-01-27T18:13:21.220Z,2.661,99501.140625
1611771063251,2021-01-27T18:13:21.235Z,2.702,99501.140625
1611771063290,2021-01-27T18:13:21.249Z,2.741,99501.140625
1611771063331,2021-01-27T18:13:21.251Z,2.782,99501.140625
1611771063371,2021-01-27T18:13:21.265Z,2.822,99501.140625
1611771063412,2021-01-27T18:13:21.280Z,2.863,99500.2890625
1611771063451,2021-01-27T18:13:21.295Z,2.9019999999999997,99500.2890625
1611771063492,2021-01-27T18:13:21.309Z,2.943,99500.2890625
1611771063532,2021-01-27T18:13:21.341Z,2.983,99500.2890625
1611771063573,2021-01-27T18:13:21.355Z,3.0239999999999996,99500.2890625
1611771063614,2021-01-27T18:13:21.370Z,3.065,99500.2890625
1611771063653,2021-01-27T18:13:21.385Z,3.1039999999999996,99500.2890625
1611771063694,2021-01-27T18:13:21.399Z,3.145,99500.2890625
1611771063734,2021-01-27T18:13:21.401Z,3.185,99500.2890625
1611771063775,2021-01-27T18:13:21.415Z,3.2260000000000004,99500.2890625
1611771063814,2021-01-27T18:13:21.430Z,3.265,99499.4375
1611771063856,2021-01-27T18:13:21.445Z,3.307,99499.4375
1611771063895,2021-01-27T18:13:21.459Z,3.346,99499.4375
1611771063936,2021-01-27T18:13:21.461Z,3.387,99499.4375
1611771063976,2021-01-27T18:13:21.476Z,3.427,99499.4375
1611771064017,2021-01-27T18:13:21.490Z,3.468,99499.4375
1611771064056,2021-01-27T18:13:21.505Z,3.5069999999999997,99498.78125
1611771064097,2021-01-27T18:13:21.520Z,3.548,99498.78125
1611771064137,2021-01-27T18:13:21.534Z,3.588,99498.78125
1611771064178,2021-01-27T18:13:21.536Z,3.6289999999999996,99498.78125
1611771064219,2021-01-27T18:13:21.550Z,3.67,99498.78125
1611771064258,2021-01-27T18:13:21.565Z,3.7089999999999996,99498.78125
1611771064299,2021-01-27T18:13:21.580Z,3.75,99498.78125
1611771064339,2021-01-27T18:13:21.594Z,3.79,99498.78125
1611771064380,2021-01-27T18:13:21.597Z,3.8310000000000004,99498.78125
