epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1611772843034,2021-01-27T18:42:24.689Z,0.076,-16.328125,5.317187309265137,-8.993749618530273
1611772843075,2021-01-27T18:42:24.704Z,0.117,-15.953125,4.254687309265137,-10.493749618530273
1611772843114,2021-01-27T18:42:24.719Z,0.156,-16.703125,3.879687547683716,-8.368749618530273
1611772843154,2021-01-27T18:42:24.733Z,0.196,-15.953125,3.504687547683716,-8.806249618530273
1611772843193,2021-01-27T18:42:24.735Z,0.235,-16.328125,4.254687309265137,-11.493749618530273
1611772843214,2021-01-27T18:42:24.750Z,0.256,-15.953125,3.879687547683716,-8.743749618530273
1611772843255,2021-01-27T18:42:24.764Z,0.297,-15.578125,-0.870312511920929,-10.993749618530273
1611772843294,2021-01-27T18:42:24.778Z,0.336,-15.953125,-3.807812452316284,-7.806250095367432
1611772843334,2021-01-27T18:42:24.810Z,0.376,-16.703125,1.3171875476837158,-7.431250095367432
1611772843374,2021-01-27T18:42:24.824Z,0.416,-16.328125,4.629687309265137,-10.556249618530273
1611772843413,2021-01-27T18:42:24.838Z,0.455,-16.703125,3.504687547683716,-7.368750095367432
1611772843453,2021-01-27T18:42:24.840Z,0.495,-16.328125,-8.995312690734863,-6.993750095367432
1611772843494,2021-01-27T18:42:24.868Z,0.536,-16.328125,1.6921875476837158,-10.181249618530273
1611772843533,2021-01-27T18:42:24.870Z,0.575,-17.390625,5.004687309265137,-7.368750095367432
1611772843573,2021-01-27T18:42:24.885Z,0.615,-17.078125,-0.18281249701976776,-8.993749618530273
1611772843612,2021-01-27T18:42:24.899Z,0.654,-16.703125,4.629687309265137,-10.556249618530273
1611772843652,2021-01-27T18:42:24.914Z,0.694,-16.328125,2.442187547683716,-7.306250095367432
1611772843691,2021-01-27T18:42:24.928Z,0.733,-16.703125,3.879687547683716,-10.431249618530273
1611772843732,2021-01-27T18:42:24.945Z,0.774,-17.078125,4.629687309265137,-9.306249618530273
1611772843772,2021-01-27T18:42:24.959Z,0.814,-15.578125,4.254687309265137,-8.493749618530273
1611772843811,2021-01-27T18:42:24.975Z,0.853,-15.578125,4.629687309265137,-10.056249618530273
1611772843851,2021-01-27T18:42:24.989Z,0.893,-15.578125,3.504687547683716,-10.056249618530273
1611772843891,2021-01-27T18:42:25.003Z,0.933,-15.953125,4.254687309265137,-9.243749618530273
1611772843930,2021-01-27T18:42:25.005Z,0.972,-15.953125,5.754687309265137,-9.306249618530273
1611772843971,2021-01-27T18:42:25.020Z,1.013,-15.953125,4.629687309265137,-8.868749618530273
1611772844011,2021-01-27T18:42:25.035Z,1.053,-16.328125,5.754687309265137,-8.056249618530273
1611772844050,2021-01-27T18:42:25.064Z,1.092,-17.015625,3.879687547683716,-10.056249618530273
1611772844090,2021-01-27T18:42:25.080Z,1.132,-15.953125,4.254687309265137,-9.243749618530273
1611772844129,2021-01-27T18:42:25.109Z,1.171,-15.953125,4.629687309265137,-8.431249618530273
1611772844169,2021-01-27T18:42:25.184Z,1.211,-15.203125,3.192187547683716,-9.993749618530273
1611772844208,2021-01-27T18:42:25.185Z,1.25,-16.328125,3.192187547683716,-7.993750095367432
1611772844249,2021-01-27T18:42:25.200Z,1.291,-15.203125,3.879687547683716,-8.368749618530273
1611772844289,2021-01-27T18:42:25.215Z,1.331,-15.953125,1.3171875476837158,-8.806249618530273
1611772844329,2021-01-27T18:42:25.244Z,1.371,-15.953125,-1.9953124523162842,-9.181249618530273
1611772844368,2021-01-27T18:42:25.258Z,1.41,-15.203125,-13.370312690734863,-7.681250095367432
1611772844408,2021-01-27T18:42:25.273Z,1.45,-16.328125,1.3171875476837158,-8.868749618530273
1611772844447,2021-01-27T18:42:25.275Z,1.489,-15.953125,3.129687547683716,-9.243749618530273
1611772844487,2021-01-27T18:42:25.290Z,1.529,-15.953125,1.3171875476837158,-7.993750095367432
1611772844528,2021-01-27T18:42:25.319Z,1.57,-16.328125,2.817187547683716,-9.493749618530273
1611772844567,2021-01-27T18:42:25.335Z,1.609,-16.703125,4.254687309265137,-7.931250095367432
1611772844607,2021-01-27T18:42:25.380Z,1.649,-15.578125,2.067187547683716,-9.618749618530273
1611772844646,2021-01-27T18:42:25.394Z,1.688,-17.015625,3.504687547683716,-8.056249618530273
1611772844686,2021-01-27T18:42:25.409Z,1.728,-15.953125,4.254687309265137,-7.993750095367432
1611772844726,2021-01-27T18:42:25.423Z,1.768,-16.328125,3.879687547683716,-9.118749618530273
1611772844767,2021-01-27T18:42:25.425Z,1.809,-15.578125,2.442187547683716,-9.993749618530273
1611772844806,2021-01-27T18:42:25.440Z,1.848,-15.578125,3.879687547683716,-7.993750095367432
1611772844846,2021-01-27T18:42:25.454Z,1.888,-15.578125,4.629687309265137,-8.806249618530273
1611772844885,2021-01-27T18:42:25.469Z,1.927,-16.703125,3.504687547683716,-8.743749618530273
1611772844925,2021-01-27T18:42:25.484Z,1.967,-16.328125,3.504687547683716,-7.181250095367432
1611772844964,2021-01-27T18:42:25.498Z,2.006,-16.703125,3.879687547683716,-9.556249618530273
1611772845004,2021-01-27T18:42:25.500Z,2.046,-15.203125,5.004687309265137,-9.243749618530273
1611772845045,2021-01-27T18:42:25.515Z,2.087,-16.328125,4.629687309265137,-9.181249618530273
1611772845084,2021-01-27T18:42:25.545Z,2.126,-15.203125,3.879687547683716,-9.931249618530273
1611772845124,2021-01-27T18:42:25.559Z,2.166,-16.328125,5.379687309265137,-8.743749618530273
1611772845164,2021-01-27T18:42:25.573Z,2.206,-16.703125,3.879687547683716,-7.931250095367432
1611772845203,2021-01-27T18:42:25.588Z,2.245,-16.328125,3.504687547683716,-9.993749618530273
1611772845243,2021-01-27T18:42:25.591Z,2.285,-16.328125,2.442187547683716,-8.806249618530273
1611772845284,2021-01-27T18:42:25.620Z,2.326,-15.578125,-7.870312690734863,-9.118749618530273
1611772845323,2021-01-27T18:42:25.634Z,2.365,-16.703125,5.004687309265137,-11.493749618530273
1611772845363,2021-01-27T18:42:25.664Z,2.405,-16.328125,3.504687547683716,-10.056249618530273
1611772845402,2021-01-27T18:42:25.709Z,2.444,-17.390625,-0.49531251192092896,-8.743749618530273
1611772845442,2021-01-27T18:42:25.739Z,2.484,-16.328125,-3.432812452316284,-9.118749618530273
1611772845481,2021-01-27T18:42:25.753Z,2.523,-16.328125,0.25468748807907104,-7.931250095367432
1611772845521,2021-01-27T18:42:25.768Z,2.563,-16.328125,4.254687309265137,-9.931249618530273
1611772845562,2021-01-27T18:42:25.770Z,2.604,-17.015625,3.192187547683716,-9.931249618530273
1611772845602,2021-01-27T18:42:25.800Z,2.644,-16.328125,3.504687547683716,-8.306249618530273
1611772845641,2021-01-27T18:42:25.815Z,2.683,-17.390625,2.067187547683716,-8.743749618530273
1611772845681,2021-01-27T18:42:25.829Z,2.723,-16.703125,5.379687309265137,-7.931250095367432
1611772845720,2021-01-27T18:42:25.843Z,2.762,-16.328125,3.879687547683716,-8.306249618530273
1611772845760,2021-01-27T18:42:25.845Z,2.802,-16.703125,4.254687309265137,-9.493749618530273
1611772845801,2021-01-27T18:42:25.873Z,2.843,-15.578125,4.629687309265137,-9.118749618530273
1611772845840,2021-01-27T18:42:25.888Z,2.882,-15.578125,4.254687309265137,-9.993749618530273
1611772845880,2021-01-27T18:42:25.891Z,2.922,-15.953125,3.504687547683716,-11.493749618530273
1611772845919,2021-01-27T18:42:25.950Z,2.961,-15.953125,4.254687309265137,-7.993750095367432
1611772845959,2021-01-27T18:42:25.965Z,3.001,-14.828125,4.629687309265137,-7.931250095367432
1611772845999,2021-01-27T18:42:25.979Z,3.041,-15.953125,4.254687309265137,-10.806249618530273
