epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1611773123705,2021-01-27T18:47:05.847Z,0.219,0.12142141163349152,0.34826016426086426,0.9231213927268982
1611773123745,2021-01-27T18:47:05.852Z,0.259,0.12117727100849152,0.35094571113586426,0.9284924864768982
1611773123784,2021-01-27T18:47:05.862Z,0.298,0.12044484913349152,0.35192227363586426,0.9253186583518982
1611773123824,2021-01-27T18:47:05.877Z,0.338,0.12117727100849152,0.35094571113586426,0.9267835021018982
1611773123864,2021-01-27T18:47:05.891Z,0.378,0.12288625538349152,0.34533047676086426,0.9206799864768982
1611773123903,2021-01-27T18:47:05.893Z,0.417,0.13118703663349152,0.34752774238586426,0.9250745177268982
1611773123943,2021-01-27T18:47:05.907Z,0.457,0.12703664600849152,0.34972500801086426,0.9258069396018982
1611773123982,2021-01-27T18:47:05.922Z,0.496,0.12093313038349152,0.34508633613586426,0.9192151427268982
1611773124020,2021-01-27T18:47:05.937Z,0.534,0.11751516163349152,0.34801602363586426,0.9233655333518982
1611773124060,2021-01-27T18:47:05.951Z,0.574,0.11775930225849152,0.34850430488586426,0.9260510802268982
1611773124099,2021-01-27T18:47:05.953Z,0.613,0.11409719288349152,0.34703946113586426,0.9314221739768982
1611773124139,2021-01-27T18:47:05.967Z,0.653,0.11605031788349152,0.34533047676086426,0.9258069396018982
1611773124178,2021-01-27T18:47:05.982Z,0.692,0.12361867725849152,0.34752774238586426,0.9189710021018982
1611773124218,2021-01-27T18:47:05.997Z,0.732,0.12801320850849152,0.34508633613586426,0.9275159239768982
1611773124258,2021-01-27T18:47:06.011Z,0.772,0.11458547413349152,0.34728360176086426,0.9282483458518982
1611773124297,2021-01-27T18:47:06.015Z,0.811,0.11873586475849152,0.34923672676086426,0.9331311583518982
1611773124335,2021-01-27T18:47:06.028Z,0.849,0.12166555225849152,0.34703946113586426,0.9380139708518982
1611773124375,2021-01-27T18:47:06.042Z,0.889,0.13045461475849152,0.34777188301086426,0.9321545958518982
1611773124414,2021-01-27T18:47:06.057Z,0.928,0.13411672413349152,0.35021328926086426,0.9416760802268982
1611773124454,2021-01-27T18:47:06.071Z,0.968,0.14363820850849152,0.35973477363586426,0.9468030333518982
1611773124493,2021-01-27T18:47:06.086Z,1.007,0.12288625538349152,0.33263516426086426,0.9399670958518982
1611773124533,2021-01-27T18:47:06.088Z,1.047,0.11092336475849152,0.34118008613586426,0.9306897521018982
1611773124573,2021-01-27T18:47:06.102Z,1.087,0.10457570850849152,0.32946133613586426,0.9143323302268982
1611773124612,2021-01-27T18:47:06.117Z,1.126,0.11482961475849152,0.31871914863586426,0.9255627989768982
1611773124650,2021-01-27T18:47:06.132Z,1.164,0.13167531788349152,0.32409024238586426,0.9179944396018982
1611773124690,2021-01-27T18:47:06.146Z,1.204,0.13777883350849152,0.31798672676086426,0.9221448302268982
1611773124729,2021-01-27T18:47:06.148Z,1.243,0.11629445850849152,0.32286953926086426,0.9270276427268982
1611773124769,2021-01-27T18:47:06.162Z,1.283,0.09432180225849152,0.33410000801086426,0.9553479552268982
1611773124808,2021-01-27T18:47:06.177Z,1.322,0.07308156788349152,0.32140469551086426,0.9538831114768982
1611773124848,2021-01-27T18:47:06.192Z,1.362,0.08675344288349152,0.31603360176086426,0.9341077208518982
1611773124887,2021-01-27T18:47:06.223Z,1.401,0.12288625538349152,0.32384610176086426,0.9360608458518982
1611773124927,2021-01-27T18:47:06.237Z,1.441,0.13655813038349152,0.32506680488586426,0.9402112364768982
1611773124965,2021-01-27T18:47:06.252Z,1.479,0.13899953663349152,0.32067227363586426,0.9306897521018982
1611773125005,2021-01-27T18:47:06.266Z,1.519,0.11971242725849152,0.32018399238586426,0.9255627989768982
1611773125044,2021-01-27T18:47:06.281Z,1.558,0.10481984913349152,0.32311367988586426,0.9375256896018982
1611773125084,2021-01-27T18:47:06.283Z,1.598,0.11165578663349152,0.32628750801086426,0.9438733458518982
1611773125123,2021-01-27T18:47:06.297Z,1.637,0.12435109913349152,0.32091641426086426,0.9353284239768982
1611773125163,2021-01-27T18:47:06.312Z,1.677,0.11824758350849152,0.32018399238586426,0.9326428771018982
1611773125202,2021-01-27T18:47:06.327Z,1.716,0.11214406788349152,0.31969571113586426,0.9338635802268982
1611773125242,2021-01-27T18:47:06.341Z,1.756,0.11312063038349152,0.32164883613586426,0.9404553771018982
1611773125280,2021-01-27T18:47:06.343Z,1.794,0.11434133350849152,0.31920742988586426,0.9353284239768982
1611773125320,2021-01-27T18:47:06.357Z,1.834,0.11751516163349152,0.32384610176086426,0.9433850646018982
1611773125359,2021-01-27T18:47:06.372Z,1.873,0.11898000538349152,0.32482266426086426,0.9416760802268982
1611773125399,2021-01-27T18:47:06.387Z,1.913,0.11214406788349152,0.32091641426086426,0.9406995177268982
1611773125438,2021-01-27T18:47:06.401Z,1.952,0.11043508350849152,0.32140469551086426,0.9370374083518982
1611773125478,2021-01-27T18:47:06.403Z,1.992,0.11409719288349152,0.32360196113586426,0.9392346739768982
1611773125517,2021-01-27T18:47:06.418Z,2.031,0.12117727100849152,0.32067227363586426,0.9358167052268982
1611773125557,2021-01-27T18:47:06.432Z,2.071,0.12117727100849152,0.31847500801086426,0.9319104552268982
1611773125596,2021-01-27T18:47:06.447Z,2.11,0.12239797413349152,0.32213711738586426,0.9387463927268982
1611773125635,2021-01-27T18:47:06.461Z,2.149,0.12020070850849152,0.32018399238586426,0.9306897521018982
1611773125674,2021-01-27T18:47:06.476Z,2.188,0.11653859913349152,0.31603360176086426,0.9333752989768982
