epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1611773283113,2021-01-27T18:53:23.023Z,0.192,14.434294700622559,-13.689102172851562,-67.38621520996094
1611773283152,2021-01-27T18:53:23.038Z,0.231,15.496794700622559,-13.689102172851562,-68.57371520996094
1611773283193,2021-01-27T18:53:23.052Z,0.272,14.809294700622559,-14.751602172851562,-67.38621520996094
1611773283233,2021-01-27T18:53:23.054Z,0.312,14.059294700622559,-13.689102172851562,-67.38621520996094
1611773283273,2021-01-27T18:53:23.068Z,0.352,14.434294700622559,-14.064102172851562,-69.82371520996094
1611773283293,2021-01-27T18:53:23.082Z,0.372,14.809294700622559,-13.314102172851562,-70.63621520996094
1611773283333,2021-01-27T18:53:23.084Z,0.412,14.809294700622559,-12.251602172851562,-72.69871520996094
1611773283372,2021-01-27T18:53:23.098Z,0.451,14.809294700622559,-12.939102172851562,-71.51121520996094
1611773283413,2021-01-27T18:53:23.113Z,0.492,13.371794700622559,-12.939102172851562,-72.69871520996094
1611773283453,2021-01-27T18:53:23.128Z,0.532,14.121794700622559,-17.689102172851562,-75.13621520996094
1611773283492,2021-01-27T18:53:23.142Z,0.571,12.621794700622559,-12.626602172851562,-75.94871520996094
1611773283532,2021-01-27T18:53:23.144Z,0.611,13.371794700622559,-10.064102172851562,-77.19871520996094
1611773283573,2021-01-27T18:53:23.159Z,0.652,14.059294700622559,-8.251602172851562,-80.44871520996094
1611773283612,2021-01-27T18:53:23.174Z,0.691,13.371794700622559,-9.001602172851562,-78.82371520996094
1611773283652,2021-01-27T18:53:23.188Z,0.731,12.996794700622559,-8.626602172851562,-80.44871520996094
1611773283691,2021-01-27T18:53:23.202Z,0.77,12.309294700622559,-8.251602172851562,-82.44871520996094
1611773283732,2021-01-27T18:53:23.217Z,0.811,11.559294700622559,-7.876602649688721,-82.44871520996094
1611773283772,2021-01-27T18:53:23.219Z,0.851,12.996794700622559,-9.314102172851562,-82.44871520996094
1611773283812,2021-01-27T18:53:23.233Z,0.891,12.309294700622559,-9.001602172851562,-84.07371520996094
1611773283851,2021-01-27T18:53:23.248Z,0.93,12.621794700622559,-6.064102649688721,-81.26121520996094
1611773283892,2021-01-27T18:53:23.263Z,0.971,13.371794700622559,-19.126602172851562,-81.63621520996094
1611773283932,2021-01-27T18:53:23.277Z,1.011,13.371794700622559,-6.814102649688721,-82.51121520996094
1611773283971,2021-01-27T18:53:23.278Z,1.05,13.746794700622559,-8.626602172851562,-80.82371520996094
1611773284011,2021-01-27T18:53:23.293Z,1.09,12.996794700622559,-23.064102172851562,-81.63621520996094
1611773284052,2021-01-27T18:53:23.308Z,1.131,13.371794700622559,-6.064102649688721,-80.88621520996094
1611773284091,2021-01-27T18:53:23.322Z,1.17,14.121794700622559,-6.814102649688721,-80.88621520996094
1611773284131,2021-01-27T18:53:23.324Z,1.21,13.371794700622559,-22.751602172851562,-79.69871520996094
1611773284170,2021-01-27T18:53:23.339Z,1.249,13.371794700622559,-7.876602649688721,-81.26121520996094
1611773284211,2021-01-27T18:53:23.354Z,1.29,13.746794700622559,-7.189102649688721,-78.44871520996094
1611773284251,2021-01-27T18:53:23.368Z,1.33,14.121794700622559,-17.314102172851562,-78.44871520996094
1611773284291,2021-01-27T18:53:23.382Z,1.37,14.434294700622559,-6.814102649688721,-80.07371520996094
1611773284332,2021-01-27T18:53:23.397Z,1.411,14.121794700622559,-12.251602172851562,-79.26121520996094
1611773284371,2021-01-27T18:53:23.428Z,1.45,14.496794700622559,-12.939102172851562,-78.07371520996094
1611773284411,2021-01-27T18:53:23.443Z,1.49,15.184294700622559,-12.251602172851562,-77.26121520996094
1611773284450,2021-01-27T18:53:23.457Z,1.529,13.746794700622559,-20.564102172851562,-75.57371520996094
1611773284491,2021-01-27T18:53:23.473Z,1.57,14.121794700622559,-13.314102172851562,-77.19871520996094
1611773284531,2021-01-27T18:53:23.474Z,1.61,13.746794700622559,-10.439102172851562,-77.63621520996094
1611773284570,2021-01-27T18:53:23.488Z,1.649,14.121794700622559,-9.314102172851562,-75.63621520996094
1611773284610,2021-01-27T18:53:23.503Z,1.689,13.371794700622559,-11.501602172851562,-75.57371520996094
1611773284651,2021-01-27T18:53:23.518Z,1.73,13.746794700622559,-12.564102172851562,-76.82371520996094
1611773284690,2021-01-27T18:53:23.532Z,1.769,14.809294700622559,-10.751602172851562,-75.57371520996094
1611773284730,2021-01-27T18:53:23.534Z,1.809,14.809294700622559,-10.751602172851562,-74.38621520996094
1611773284770,2021-01-27T18:53:23.548Z,1.849,14.809294700622559,-11.126602172851562,-74.01121520996094
1611773284811,2021-01-27T18:53:23.563Z,1.89,14.496794700622559,-10.751602172851562,-73.19871520996094
1611773284850,2021-01-27T18:53:23.578Z,1.929,15.559294700622559,-12.251602172851562,-72.32371520996094
1611773284890,2021-01-27T18:53:23.592Z,1.969,15.184294700622559,-10.751602172851562,-73.57371520996094
1611773284931,2021-01-27T18:53:23.594Z,2.01,15.559294700622559,-11.126602172851562,-70.32371520996094
1611773284970,2021-01-27T18:53:23.609Z,2.049,15.184294700622559,-12.251602172851562,-71.94871520996094
1611773285010,2021-01-27T18:53:23.623Z,2.089,16.309295654296875,-11.501602172851562,-71.94871520996094
1611773285049,2021-01-27T18:53:23.638Z,2.128,16.246795654296875,-9.314102172851562,-72.38621520996094
1611773285090,2021-01-27T18:53:23.652Z,2.169,14.809294700622559,-12.251602172851562,-73.57371520996094
1611773285130,2021-01-27T18:53:23.667Z,2.209,15.934294700622559,-10.064102172851562,-72.01121520996094
1611773285169,2021-01-27T18:53:23.669Z,2.248,16.621795654296875,-9.314102172851562,-70.76121520996094
1611773285210,2021-01-27T18:53:23.683Z,2.289,16.246795654296875,-9.001602172851562,-72.32371520996094
1611773285250,2021-01-27T18:53:23.698Z,2.329,16.621795654296875,-9.689102172851562,-71.57371520996094
1611773285290,2021-01-27T18:53:23.713Z,2.369,16.246795654296875,-8.626602172851562,-71.13621520996094
1611773285329,2021-01-27T18:53:23.727Z,2.408,16.246795654296875,-8.251602172851562,-73.19871520996094
1611773285369,2021-01-27T18:53:23.729Z,2.448,16.309295654296875,-7.501602649688721,-71.13621520996094
1611773285410,2021-01-27T18:53:23.744Z,2.489,16.309295654296875,-9.689102172851562,-70.32371520996094
1611773285449,2021-01-27T18:53:23.758Z,2.528,17.746795654296875,-15.501602172851562,-73.13621520996094
1611773285489,2021-01-27T18:53:23.773Z,2.568,16.621795654296875,-7.876602649688721,-73.19871520996094
1611773285528,2021-01-27T18:53:23.787Z,2.607,15.559294700622559,-7.501602649688721,-73.19871520996094
1611773285569,2021-01-27T18:53:23.802Z,2.648,16.996795654296875,-8.251602172851562,-76.01121520996094
1611773285609,2021-01-27T18:53:23.804Z,2.688,16.996795654296875,-7.189102649688721,-73.19871520996094
