epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1611773283071,2021-01-27T18:53:23.030Z,0.131,9.706067085266113,-19.079113006591797,-30.966230392456055
1611773283111,2021-01-27T18:53:23.045Z,0.171,8.364603042602539,-24.993745803833008,-29.075984954833984
1611773283141,2021-01-27T18:53:23.059Z,0.201,7.206066608428955,-33.22545623779297,-27.673545837402344
1611773283181,2021-01-27T18:53:23.074Z,0.241,9.401188850402832,-44.14009094238281,-24.44183921813965
1611773283221,2021-01-27T18:53:23.076Z,0.281,7.69387149810791,-36.76204299926758,-24.868667602539062
1611773283260,2021-01-27T18:53:23.090Z,0.32,3.9743587970733643,-44.68886947631836,-22.124765396118164
1611773283300,2021-01-27T18:53:23.104Z,0.36,-0.6597873568534851,-45.78643035888672,-26.14915657043457
1611773283339,2021-01-27T18:53:23.119Z,0.399,-7.123201847076416,-40.48155212402344,-34.19793701171875
1611773283380,2021-01-27T18:53:23.134Z,0.44,-12.123202323913574,-41.09130859375,-45.47842788696289
1611773283410,2021-01-27T18:53:23.136Z,0.47,-12.976861000061035,-45.176673889160156,-48.71013259887695
1611773283449,2021-01-27T18:53:23.156Z,0.509,-13.037836074829102,-47.85960388183594,-48.77111053466797
1611773283480,2021-01-27T18:53:23.179Z,0.54,-13.220763206481934,-42.73765182495117,-50.356475830078125
1611773283519,2021-01-27T18:53:23.194Z,0.579,-7.915884971618652,-47.67667770385742,-58.71013641357422
1611773283559,2021-01-27T18:53:23.209Z,0.619,-2.976860761642456,-52.005943298339844,-71.27110290527344
1611773283599,2021-01-27T18:53:23.210Z,0.659,3.669480800628662,-41.82301712036133,-90.9052505493164
1611773283638,2021-01-27T18:53:23.224Z,0.698,30.498748779296875,-69.5669174194336,-110.53939819335938
1611773283678,2021-01-27T18:53:23.239Z,0.738,28.547529220581055,-74.74983978271484,-101.39305877685547
1611773283719,2021-01-27T18:53:23.254Z,0.779,36.35240936279297,-15.420575141906738,-58.222328186035156
1611773283758,2021-01-27T18:53:23.256Z,0.818,47.87679672241211,-3.4083802700042725,0.6191369891166687
1611773283798,2021-01-27T18:53:23.270Z,0.858,36.35240936279297,-23.164478302001953,42.75328063964844
1611773283837,2021-01-27T18:53:23.285Z,0.897,19.03533363342285,-39.444969177246094,86.96060180664062
1611773283877,2021-01-27T18:53:23.299Z,0.937,-1.0256410837173462,-32.73765182495117,119.46060180664062
1611773283918,2021-01-27T18:53:23.314Z,0.978,-4.074421405792236,19.762351989746094,164.1557159423828
1611773283957,2021-01-27T18:53:23.330Z,1.017,-0.9036898016929626,53.35991287231445,194.88743591308594
1611773283997,2021-01-27T18:53:23.344Z,1.057,2.9377734661102295,50.79893493652344,212.20449829101562
1611773284036,2021-01-27T18:53:23.359Z,1.096,3.36460280418396,34.70137405395508,223.18011474609375
1611773284076,2021-01-27T18:53:23.361Z,1.136,-0.41588494181632996,-2.493746042251587,208.7898712158203
1611773284116,2021-01-27T18:53:23.376Z,1.176,-18.52564239501953,-66.39618682861328,169.82644653320312
1611773284157,2021-01-27T18:53:23.390Z,1.217,-25.41588592529297,-77.98155212402344,117.63134002685547
1611773284196,2021-01-27T18:53:23.404Z,1.256,-15.354909896850586,-31.09130859375,65.25328826904297
1611773284236,2021-01-27T18:53:23.419Z,1.296,-5.293933868408203,-23.8352108001709,-9.380863189697266
1611773284275,2021-01-27T18:53:23.434Z,1.335,-3.7695436477661133,-23.530332565307617,-49.80769348144531
1611773284315,2021-01-27T18:53:23.436Z,1.375,-10.964665412902832,-9.262039184570312,-52.795501708984375
1611773284356,2021-01-27T18:53:23.450Z,1.416,4.21826171875,25.49405860900879,-40.722328186035156
1611773284395,2021-01-27T18:53:23.464Z,1.455,10.925579071044922,44.45747375488281,-46.819889068603516
1611773284435,2021-01-27T18:53:23.479Z,1.495,5.254847049713135,7.506254196166992,-44.015010833740234
1611773284474,2021-01-27T18:53:23.494Z,1.534,1.9621638059616089,-21.3352108001709,-40.356475830078125
1611773284514,2021-01-27T18:53:23.496Z,1.574,3.9133832454681396,-12.615697860717773,-37.67354965209961
1611773284555,2021-01-27T18:53:23.510Z,1.615,7.206066608428955,5.006254196166992,-31.758913040161133
1611773284595,2021-01-27T18:53:23.525Z,1.655,8.730457305908203,-0.8474046587944031,-25.356473922729492
1611773284634,2021-01-27T18:53:23.539Z,1.694,8.12070083618164,-2.0669167041778564,-19.19793701171875
1611773284674,2021-01-27T18:53:23.570Z,1.734,9.21826171875,-0.9083802700042725,-16.45403480529785
1611773284713,2021-01-27T18:53:23.584Z,1.773,6.230456829071045,5.067229747772217,-18.89305877685547
1611773284753,2021-01-27T18:53:23.599Z,1.813,3.669480800628662,1.4086929559707642,-17.429643630981445
1611773284794,2021-01-27T18:53:23.614Z,1.854,0.4987492263317108,-1.579111933708191,-13.954033851623535
1611773284833,2021-01-27T18:53:23.616Z,1.893,0.1938711702823639,-2.8595995903015137,-10.661351203918457
1611773284873,2021-01-27T18:53:23.630Z,1.933,0.37679800391197205,-2.9205753803253174,-10.051594734191895
1611773284912,2021-01-27T18:53:23.645Z,1.972,0.7426517009735107,-5.2376484870910645,-10.661351203918457
1611773284952,2021-01-27T18:53:23.659Z,2.012,0.9865541458129883,-5.908380031585693,-11.088180541992188
1611773284993,2021-01-27T18:53:23.674Z,2.053,1.108505368232727,-6.70106315612793,-10.112570762634277
1611773285033,2021-01-27T18:53:23.676Z,2.093,-0.05003127083182335,-9.566916465759277,-9.929643630981445
1611773285072,2021-01-27T18:53:23.691Z,2.132,-1.5134458541870117,-13.164478302001953,-10.844277381896973
1611773285112,2021-01-27T18:53:23.705Z,2.172,-2.9158849716186523,-16.213258743286133,-12.734521865844727
1611773285151,2021-01-27T18:53:23.735Z,2.211,-4.989055633544922,-16.274234771728516,-16.027204513549805
1611773285191,2021-01-27T18:53:23.749Z,2.251,-9.867104530334473,-22.432771682739258,-19.258913040161133
1611773285232,2021-01-27T18:53:23.764Z,2.292,-16.452470779418945,-25.23764991760254,-24.380863189697266
1611773285271,2021-01-27T18:53:23.766Z,2.331,-17.36710548400879,-31.823015213012695,-23.771106719970703
1611773285311,2021-01-27T18:53:23.780Z,2.371,-19.684179306030273,-37.005943298339844,-22.429643630981445
1611773285350,2021-01-27T18:53:23.794Z,2.41,-18.891496658325195,-46.39618682861328,-21.027204513549805
1611773285390,2021-01-27T18:53:23.809Z,2.45,-18.647592544555664,-50.908382415771484,-22.490619659423828
1611773285431,2021-01-27T18:53:23.824Z,2.491,-18.708568572998047,-46.76204299926758,-24.685741424560547
1611773285471,2021-01-27T18:53:23.826Z,2.531,-17.12320327758789,-37.06692123413086,-26.210132598876953
1611773285510,2021-01-27T18:53:23.841Z,2.57,-16.57442283630371,-24.323015213012695,-28.95403480529785
1611773285550,2021-01-27T18:53:23.855Z,2.61,-15.781739234924316,-16.45716094970703,-32.79549789428711
1611773285589,2021-01-27T18:53:23.869Z,2.649,-13.525641441345215,-19.20106315612793,-37.490623474121094
1611773285629,2021-01-27T18:53:23.885Z,2.689,-9.196372985839844,-27.676673889160156,-45.051597595214844
1611773285670,2021-01-27T18:53:23.900Z,2.73,-3.15978741645813,-42.310821533203125,-56.819889068603516
1611773285709,2021-01-27T18:53:23.914Z,2.769,7.023139953613281,-66.33521270751953,-69.99061584472656
1611773285749,2021-01-27T18:53:23.929Z,2.809,14.035334587097168,-86.64009094238281,-73.52720642089844
1611773285788,2021-01-27T18:53:23.931Z,2.848,36.10850524902344,-92.24984741210938,-60.53940200805664
1611773285828,2021-01-27T18:53:23.946Z,2.888,56.840213775634766,-132.18887329101562,-22.124765396118164
1611773285869,2021-01-27T18:53:23.960Z,2.929,73.18167877197266,-141.6400909423828,23.78986930847168
1611773285909,2021-01-27T18:53:23.974Z,2.969,93.3646011352539,-73.77423095703125,62.20450210571289
1611773285948,2021-01-27T18:53:23.989Z,3.008,84.94996643066406,-76.09130859375,88.18011474609375
1611773285988,2021-01-27T18:53:24.004Z,3.048,67.08411407470703,-95.2376480102539,109.27767944335938
1611773286027,2021-01-27T18:53:24.006Z,3.087,46.65728759765625,-89.14009094238281,119.94841003417969
1611773286067,2021-01-27T18:53:24.020Z,3.127,29.096309661865234,-80.84740447998047,126.22889709472656
1611773286108,2021-01-27T18:53:24.034Z,3.168,11.29143238067627,-61.883995056152344,128.363037109375
1611773286147,2021-01-27T18:53:24.049Z,3.207,-9.318324089050293,-32.005943298339844,122.32646179199219
