epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1611773282948,2021-01-27T18:53:23.014Z,0.036,0.22863440215587616,-0.049217429012060165,0.9650681018829346
1611773282988,2021-01-27T18:53:23.016Z,0.076,0.23815588653087616,-0.006736961659044027,0.9789841175079346
1611773283027,2021-01-27T18:53:23.018Z,0.115,0.24792151153087616,0.030860694125294685,0.9960739612579346
1611773283067,2021-01-27T18:53:23.029Z,0.155,0.27380040287971497,0.052345070987939835,1.0134079456329346
1611773283108,2021-01-27T18:53:23.031Z,0.196,0.27380040287971497,0.09140756726264954,1.0270798206329346
1611773283148,2021-01-27T18:53:23.033Z,0.236,0.25353673100471497,0.08237436413764954,0.9687302112579346
1611773283187,2021-01-27T18:53:23.044Z,0.275,0.25573399662971497,0.09238412976264954,0.9462692737579346
1611773283227,2021-01-27T18:53:23.046Z,0.315,0.29479649662971497,0.08701303601264954,0.9755661487579346
1611773283266,2021-01-27T18:53:23.076Z,0.354,0.44006016850471497,0.061622414737939835,1.1000778675079346
1611773283306,2021-01-27T18:53:23.078Z,0.394,0.48351719975471497,-0.10878774523735046,1.0822556018829346
1611773283345,2021-01-27T18:53:23.089Z,0.433,0.5281949639320374,-0.26210805773735046,0.9745895862579346
1611773283385,2021-01-27T18:53:23.091Z,0.473,0.5142789483070374,-0.30312368273735046,0.8527634143829346
1611773283424,2021-01-27T18:53:23.093Z,0.512,0.46569493412971497,-0.23915883898735046,0.8068649768829346
1611773283464,2021-01-27T18:53:23.104Z,0.552,0.48620274662971497,-0.21523305773735046,0.8134567737579346
1611773283504,2021-01-27T18:53:23.107Z,0.592,0.49425938725471497,-0.22792837023735046,0.8676559925079346
1611773283543,2021-01-27T18:53:23.118Z,0.631,0.5018277764320374,-0.23842641711235046,0.8869431018829346
1611773283583,2021-01-27T18:53:23.121Z,0.671,0.5118375420570374,-0.27480337023735046,0.8742477893829346
