epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1626639238572,2021-07-18T20:13:58.573Z,0,0.6528709260794197,0.43002553456923304,-0.5994004497259061,-0.17192060483556812
1626639238602,2021-07-18T20:13:58.602Z,0.03,0.6528709260794197,0.43002553456923304,-0.5994004497259061,-0.17192060483556812
1626639238617,2021-07-18T20:13:58.617Z,0.045,0.6531901978653759,0.42993357529553766,-0.599130349547269,-0.1718793486651456
1626639238632,2021-07-18T20:13:58.632Z,0.06,0.6531513354299319,0.4299487688175554,-0.5991623526652596,-0.1718774690498902
1626639238662,2021-07-18T20:13:58.663Z,0.09,0.6520384116577892,0.43006231770502173,-0.6006194299533315,-0.1707296487886839
1626639238677,2021-07-18T20:13:58.677Z,0.105,0.6499229906295229,0.4302102373338106,-0.6034398431733686,-0.1684624991363475
1626639238693,2021-07-18T20:13:58.693Z,0.121,0.6479066647671373,0.4302991849104301,-0.6061519136719816,-0.16625108350786325
1626639238722,2021-07-18T20:13:58.722Z,0.15,0.6460014612371597,0.43039836714302715,-0.6086713728757015,-0.16419049144721812
1626639238737,2021-07-18T20:13:58.737Z,0.165,0.6441964821655359,0.430349561596091,-0.6111277279586891,-0.16227460466644605
1626639238752,2021-07-18T20:13:58.752Z,0.18,0.6423193298115496,0.4304021134271207,-0.6135174911515056,-0.16054964141682826
1626639238782,2021-07-18T20:13:58.782Z,0.21,0.640675398803114,0.4304047187414555,-0.6156760881236173,-0.15883880497649008
1626639238797,2021-07-18T20:13:58.797Z,0.225,0.6391088487611116,0.43034316895723584,-0.617733072610576,-0.15732287618203328
1626639238812,2021-07-18T20:13:58.812Z,0.24,0.6377925203408663,0.4301639133148716,-0.61954882132497,-0.15600950827985266
1626639238842,2021-07-18T20:13:58.842Z,0.27,0.6366402849931627,0.43004326348800187,-0.6210753153056576,-0.15497545538049343
1626639238857,2021-07-18T20:13:58.857Z,0.285,0.6356054909036638,0.4299360170356814,-0.6224345560033692,-0.15406461203500235
1626639238873,2021-07-18T20:13:58.873Z,0.301,0.6346482370238626,0.4298235207472286,-0.623711362680386,-0.15315838964397488
1626639238902,2021-07-18T20:13:58.902Z,0.33,0.6337908006531437,0.42970023036834765,-0.6248624913227722,-0.1523607559929205
1626639238917,2021-07-18T20:13:58.917Z,0.345,0.6330121732897361,0.4296139328266476,-0.625886029979542,-0.15163817021012163
1626639238932,2021-07-18T20:13:58.932Z,0.36,0.6322768878706401,0.4295729224544781,-0.62680948909552,-0.15100631026003503
1626639238962,2021-07-18T20:13:58.962Z,0.39,0.6315609472584282,0.4295246317655463,-0.6277103281894449,-0.15039649094645866
1626639238977,2021-07-18T20:13:58.977Z,0.405,0.6308943070134734,0.42949096221355876,-0.6285391330722109,-0.1498280512844444
1626639238992,2021-07-18T20:13:58.992Z,0.42,0.6303090255728552,0.4294392180726656,-0.6292731446416896,-0.14935795825899184
1626639239022,2021-07-18T20:13:59.022Z,0.45,0.6297607540317693,0.4293953222376658,-0.6299541662773548,-0.14892547905429615
1626639239037,2021-07-18T20:13:59.037Z,0.465,0.6292521358634722,0.4294077434547071,-0.6305797693677183,-0.1483910166976077
1626639239052,2021-07-18T20:13:59.052Z,0.48,0.6287649220453972,0.4294066077023285,-0.6311915980560342,-0.14785737928927908
1626639239082,2021-07-18T20:13:59.082Z,0.51,0.628320598974108,0.42941884957172877,-0.631733666067187,-0.14739488354289412
1626639239097,2021-07-18T20:13:59.097Z,0.525,0.6278935634557334,0.42942634663795587,-0.6322580165567873,-0.14694382016170793
1626639239112,2021-07-18T20:13:59.112Z,0.54,0.6275038703645653,0.42936810995988733,-0.6327609507677261,-0.1466134305256117
1626639239142,2021-07-18T20:13:59.142Z,0.57,0.6271279498915544,0.4292933029448755,-0.6332475905388673,-0.14633961728873748
1626639239157,2021-07-18T20:13:59.157Z,0.585,0.6267357434807946,0.4293106042825936,-0.633685062328386,-0.14607516789639413
1626639239172,2021-07-18T20:13:59.172Z,0.6,0.6263904474521298,0.4294299221935659,-0.6339955090877295,-0.145858300148258
1626639239187,2021-07-18T20:13:59.187Z,0.615,0.626042539490365,0.4294733656765086,-0.6343332842830487,-0.14575545057948058
1626639239217,2021-07-18T20:13:59.217Z,0.645,0.6257089643855258,0.42957065378653364,-0.6346482651760967,-0.145529807262889
1626639239232,2021-07-18T20:13:59.232Z,0.66,0.6253858717073745,0.42962681023665533,-0.6349898486295442,-0.14526254690081908
1626639239247,2021-07-18T20:13:59.247Z,0.675,0.6250645174734788,0.4296454132993206,-0.6353121395551031,-0.14518144909188777
