epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1626640013758,2021-07-18T20:28:04.870Z,0.019,3.1169872283935547,-34.01762771606445,21.78525733947754
1626640013798,2021-07-18T20:28:04.872Z,0.059,4.179487228393555,-32.89262771606445,21.72275733947754
1626640013839,2021-07-18T20:28:04.875Z,0.1,1.9919872283935547,-32.51762771606445,21.72275733947754
1626640013878,2021-07-18T20:28:04.885Z,0.139,4.929487228393555,-33.26762771606445,21.72275733947754
1626640013918,2021-07-18T20:28:04.888Z,0.179,3.4919872283935547,-33.26762771606445,20.16025733947754
1626640013938,2021-07-18T20:28:04.890Z,0.199,3.1169872283935547,-32.89262771606445,21.72275733947754
1626640013978,2021-07-18T20:28:04.900Z,0.239,4.241987228393555,-33.26762771606445,20.53525733947754
1626640014018,2021-07-18T20:28:04.902Z,0.279,2.3669872283935547,-32.51762771606445,21.72275733947754
1626640014057,2021-07-18T20:28:04.905Z,0.318,4.241987228393555,-31.767627716064453,22.47275733947754
1626640014098,2021-07-18T20:28:04.916Z,0.359,3.4919872283935547,-33.26762771606445,21.72275733947754
1626640014138,2021-07-18T20:28:04.918Z,0.399,4.241987228393555,-31.767627716064453,22.47275733947754
1626640014177,2021-07-18T20:28:04.920Z,0.438,3.8669872283935547,-46.33012771606445,21.72275733947754
1626640014217,2021-07-18T20:28:04.931Z,0.478,1.9919872283935547,-34.39262771606445,21.28525733947754
1626640014256,2021-07-18T20:28:04.933Z,0.517,2.7419872283935547,-38.14262771606445,20.53525733947754
1626640014297,2021-07-18T20:28:04.944Z,0.558,3.4919872283935547,-38.51762771606445,21.22275733947754
1626640014337,2021-07-18T20:28:04.946Z,0.598,3.1169872283935547,-32.14262771606445,20.84775733947754
1626640014376,2021-07-18T20:28:04.949Z,0.637,4.241987228393555,-32.51762771606445,20.84775733947754
1626640014416,2021-07-18T20:28:04.960Z,0.677,3.1169872283935547,-32.14262771606445,20.84775733947754
1626640014456,2021-07-18T20:28:04.961Z,0.717,2.7419872283935547,-30.642627716064453,19.28525733947754
1626640014495,2021-07-18T20:28:04.963Z,0.756,3.8669872283935547,-32.89262771606445,21.22275733947754
1626640014536,2021-07-18T20:28:05.005Z,0.797,3.8669872283935547,-35.14262771606445,20.03525733947754
1626640014576,2021-07-18T20:28:05.007Z,0.837,3.8669872283935547,-33.26762771606445,21.22275733947754
1626640014615,2021-07-18T20:28:05.009Z,0.876,3.1169872283935547,-34.01762771606445,21.66025733947754
1626640014655,2021-07-18T20:28:05.020Z,0.916,4.241987228393555,-32.14262771606445,19.66025733947754
1626640014694,2021-07-18T20:28:05.023Z,0.955,2.3669872283935547,-33.26762771606445,20.78525733947754
1626640014734,2021-07-18T20:28:05.025Z,0.995,2.7419872283935547,-33.26762771606445,21.59775733947754
1626640014775,2021-07-18T20:28:05.035Z,1.036,3.8669872283935547,-33.64262771606445,20.03525733947754
1626640014814,2021-07-18T20:28:05.038Z,1.075,4.616987228393555,-32.89262771606445,21.22275733947754
1626640014854,2021-07-18T20:28:05.049Z,1.115,3.8669872283935547,-31.767627716064453,22.03525733947754
1626640014894,2021-07-18T20:28:05.051Z,1.155,4.241987228393555,-33.26762771606445,20.84775733947754
1626640014933,2021-07-18T20:28:05.053Z,1.194,1.6169872283935547,-33.64262771606445,21.22275733947754
1626640014974,2021-07-18T20:28:05.065Z,1.235,4.616987228393555,-32.14262771606445,21.66025733947754
1626640015014,2021-07-18T20:28:05.067Z,1.275,4.991987228393555,-32.89262771606445,20.47275733947754
1626640015053,2021-07-18T20:28:05.069Z,1.314,3.8669872283935547,-32.14262771606445,20.84775733947754
1626640015093,2021-07-18T20:28:05.080Z,1.354,4.991987228393555,-32.89262771606445,21.59775733947754
1626640015132,2021-07-18T20:28:05.083Z,1.393,3.4919872283935547,-32.89262771606445,20.41025733947754
1626640015172,2021-07-18T20:28:05.085Z,1.433,3.8669872283935547,-33.64262771606445,20.84775733947754
1626640015213,2021-07-18T20:28:05.095Z,1.474,3.8669872283935547,-47.45512771606445,21.97275733947754
1626640015252,2021-07-18T20:28:05.097Z,1.513,2.3669872283935547,-31.767627716064453,20.41025733947754
1626640015292,2021-07-18T20:28:05.100Z,1.553,2.3669872283935547,-32.51762771606445,20.84775733947754
1626640015332,2021-07-18T20:28:05.110Z,1.593,3.4919872283935547,-39.64262771606445,20.84775733947754
1626640015371,2021-07-18T20:28:05.112Z,1.632,4.241987228393555,-34.76762771606445,21.59775733947754
1626640015411,2021-07-18T20:28:05.115Z,1.672,2.7419872283935547,-34.39262771606445,21.97275733947754
1626640015452,2021-07-18T20:28:05.126Z,1.713,3.8669872283935547,-38.51762771606445,20.78525733947754
1626640015491,2021-07-18T20:28:05.128Z,1.752,3.4919872283935547,-40.01762771606445,19.97275733947754
1626640015531,2021-07-18T20:28:05.139Z,1.792,3.8669872283935547,-41.51762771606445,22.41025733947754
1626640015570,2021-07-18T20:28:05.141Z,1.831,4.241987228393555,-33.64262771606445,19.59775733947754
1626640015610,2021-07-18T20:28:05.144Z,1.871,3.4919872283935547,-32.51762771606445,21.16025733947754
1626640015649,2021-07-18T20:28:05.155Z,1.91,3.4919872283935547,-32.89262771606445,21.97275733947754
1626640015690,2021-07-18T20:28:05.157Z,1.951,3.8669872283935547,-33.26762771606445,20.78525733947754
1626640015730,2021-07-18T20:28:05.159Z,1.991,1.9919872283935547,-33.26762771606445,21.22275733947754
1626640015770,2021-07-18T20:28:05.171Z,2.031,4.241987228393555,-32.51762771606445,22.41025733947754
1626640015809,2021-07-18T20:28:05.172Z,2.07,3.1169872283935547,-33.64262771606445,19.59775733947754
1626640015849,2021-07-18T20:28:05.175Z,2.11,2.3669872283935547,-34.01762771606445,21.59775733947754
