epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1612371984880,2021-02-03T17:07:35.058Z,-0.383,-0.7515624761581421,17.3984375,-43.139060974121094
1612371984919,2021-02-03T17:07:35.072Z,-0.344,-1.126562476158142,26.0859375,-44.764060974121094
1612371984960,2021-02-03T17:07:35.074Z,-0.303,-1.814062476158142,23.9609375,-43.951560974121094
1612371985000,2021-02-03T17:07:35.088Z,-0.263,-0.7515624761581421,25.3984375,-44.764060974121094
1612371985039,2021-02-03T17:07:35.103Z,-0.224,-0.7515624761581421,24.6484375,-44.764060974121094
1612371985061,2021-02-03T17:07:35.104Z,-0.202,-0.3765625059604645,26.0859375,-44.764060974121094
1612371985101,2021-02-03T17:07:35.118Z,-0.162,-0.7515624761581421,24.6484375,-45.951560974121094
1612371985142,2021-02-03T17:07:35.132Z,-0.121,-0.7515624761581421,25.7734375,-44.326560974121094
1612371985182,2021-02-03T17:07:35.147Z,-0.081,-0.0015625000232830644,24.2734375,-43.514060974121094
1612371985221,2021-02-03T17:07:35.149Z,-0.042,-0.7515624761581421,25.3984375,-45.576560974121094
1612371985242,2021-02-03T17:07:35.163Z,-0.021,-0.3765625059604645,26.0859375,-44.764060974121094
1612371985281,2021-02-03T17:07:35.177Z,0.018,-1.126562476158142,24.6484375,-45.139060974121094
1612371985322,2021-02-03T17:07:35.179Z,0.059,-1.126562476158142,25.7734375,-44.326560974121094
1612371985362,2021-02-03T17:07:35.194Z,0.099,-0.3765625059604645,25.3984375,-44.764060974121094
1612371985401,2021-02-03T17:07:35.208Z,0.138,-1.126562476158142,25.3984375,-45.576560974121094
1612371985441,2021-02-03T17:07:35.222Z,0.178,-1.439062476158142,25.7734375,-44.326560974121094
1612371985480,2021-02-03T17:07:35.237Z,0.217,-0.7515624761581421,17.3984375,-44.764060974121094
1612371985520,2021-02-03T17:07:35.252Z,0.257,-1.126562476158142,19.5859375,-45.139060974121094
1612371985561,2021-02-03T17:07:35.254Z,0.298,-0.3765625059604645,26.0859375,-45.139060974121094
1612371985601,2021-02-03T17:07:35.268Z,0.338,-1.814062476158142,10.8984375,-44.326560974121094
1612371985640,2021-02-03T17:07:35.282Z,0.377,-0.7515624761581421,24.6484375,-45.951560974121094
1612371985680,2021-02-03T17:07:35.297Z,0.417,-0.7515624761581421,25.0234375,-45.576560974121094
1612371985719,2021-02-03T17:07:35.312Z,0.456,-1.439062476158142,24.6484375,-45.951560974121094
1612371985760,2021-02-03T17:07:35.314Z,0.497,-1.439062476158142,25.7734375,-46.326560974121094
1612371985800,2021-02-03T17:07:35.328Z,0.537,-1.439062476158142,25.3984375,-44.764060974121094
1612371985839,2021-02-03T17:07:35.343Z,0.576,-1.439062476158142,25.7734375,-46.326560974121094
1612371985879,2021-02-03T17:07:35.358Z,0.616,-1.439062476158142,26.8359375,-45.951560974121094
1612371985918,2021-02-03T17:07:35.372Z,0.655,0.3734374940395355,26.0859375,-44.764060974121094
1612371985959,2021-02-03T17:07:35.374Z,0.696,-0.3765625059604645,25.0234375,-45.951560974121094
1612371985999,2021-02-03T17:07:35.389Z,0.736,-1.439062476158142,25.3984375,-44.764060974121094
1612371986039,2021-02-03T17:07:35.403Z,0.776,-0.7515624761581421,25.7734375,-44.326560974121094
1612371986078,2021-02-03T17:07:35.448Z,0.815,-0.3765625059604645,24.6484375,-45.139060974121094
1612371986119,2021-02-03T17:07:35.463Z,0.856,-1.126562476158142,26.0859375,-43.951560974121094
1612371986157,2021-02-03T17:07:35.479Z,0.894,-0.3765625059604645,25.3984375,-43.139060974121094
1612371986198,2021-02-03T17:07:35.479Z,0.935,-1.126562476158142,23.9609375,-45.576560974121094
1612371986238,2021-02-03T17:07:35.493Z,0.975,0.3734374940395355,27.2109375,-44.326560974121094
1612371986277,2021-02-03T17:07:35.508Z,1.014,-0.7515624761581421,19.5859375,-44.764060974121094
1612371986317,2021-02-03T17:07:35.522Z,1.054,-0.3765625059604645,21.7734375,-43.951560974121094
1612371986356,2021-02-03T17:07:35.537Z,1.093,-1.126562476158142,26.0859375,-43.514060974121094
1612371986397,2021-02-03T17:07:35.539Z,1.134,-0.7515624761581421,24.2734375,-44.326560974121094
1612371986437,2021-02-03T17:07:35.554Z,1.174,-1.814062476158142,25.0234375,-46.764060974121094
1612371986477,2021-02-03T17:07:35.568Z,1.214,-1.126562476158142,26.8359375,-45.139060974121094
1612371986516,2021-02-03T17:07:35.583Z,1.253,-0.3765625059604645,23.9609375,-44.764060974121094
1612371986556,2021-02-03T17:07:35.597Z,1.293,-1.439062476158142,25.7734375,-45.576560974121094
1612371986595,2021-02-03T17:07:35.612Z,1.332,-0.7515624761581421,24.2734375,-44.326560974121094
1612371986636,2021-02-03T17:07:35.614Z,1.373,-1.126562476158142,8.3359375,-44.764060974121094
1612371986676,2021-02-03T17:07:35.628Z,1.413,-0.7515624761581421,23.9609375,-46.326560974121094
1612371986715,2021-02-03T17:07:35.643Z,1.452,-0.3765625059604645,25.3984375,-45.139060974121094
1612371986755,2021-02-03T17:07:35.658Z,1.492,-0.7515624761581421,24.2734375,-45.951560974121094
1612371986794,2021-02-03T17:07:35.672Z,1.531,-0.7515624761581421,25.3984375,-45.139060974121094
1612371986834,2021-02-03T17:07:35.674Z,1.571,-0.0015625000232830644,24.6484375,-44.326560974121094
1612371986875,2021-02-03T17:07:35.687Z,1.612,-1.814062476158142,25.0234375,-45.576560974121094
1612371986914,2021-02-03T17:07:35.703Z,1.651,-1.126562476158142,26.4609375,-44.764060974121094
1612371986954,2021-02-03T17:07:35.717Z,1.691,-0.0015625000232830644,23.9609375,-43.951560974121094
1612371986994,2021-02-03T17:07:35.719Z,1.731,-1.126562476158142,25.0234375,-43.951560974121094
1612371987033,2021-02-03T17:07:35.733Z,1.77,-0.7515624761581421,15.2734375,-45.139060974121094
1612371987074,2021-02-03T17:07:35.748Z,1.811,-0.7515624761581421,21.7734375,-44.326560974121094
1612371987114,2021-02-03T17:07:35.763Z,1.851,-1.439062476158142,24.6484375,-47.139060974121094
1612371987153,2021-02-03T17:07:35.777Z,1.89,-0.7515624761581421,24.6484375,-45.951560974121094
1612371987193,2021-02-03T17:07:35.779Z,1.93,-0.3765625059604645,26.8359375,-45.139060974121094
1612371987232,2021-02-03T17:07:35.794Z,1.969,-1.126562476158142,26.4609375,-45.576560974121094
1612371987272,2021-02-03T17:07:35.808Z,2.009,-0.3765625059604645,25.0234375,-45.951560974121094
1612371987313,2021-02-03T17:07:35.823Z,2.05,-1.814062476158142,25.3984375,-45.139060974121094
1612371987352,2021-02-03T17:07:35.837Z,2.089,-1.126562476158142,25.0234375,-45.951560974121094
1612371987392,2021-02-03T17:07:35.852Z,2.129,-0.3765625059604645,25.0234375,-44.764060974121094
1612371987432,2021-02-03T17:07:35.854Z,2.169,-1.126562476158142,23.5859375,-45.576560974121094
1612371987471,2021-02-03T17:07:35.868Z,2.208,-1.439062476158142,25.3984375,-45.576560974121094
1612371987512,2021-02-03T17:07:35.883Z,2.249,-0.7515624761581421,26.0859375,-44.326560974121094
1612371987552,2021-02-03T17:07:35.897Z,2.289,-1.126562476158142,22.4609375,-44.326560974121094
1612371987591,2021-02-03T17:07:35.912Z,2.328,-1.439062476158142,25.0234375,-45.576560974121094
1612371987631,2021-02-03T17:07:35.914Z,2.368,-0.3765625059604645,26.0859375,-43.951560974121094
1612371987670,2021-02-03T17:07:35.929Z,2.407,-1.439062476158142,8.7109375,-44.326560974121094
1612371987710,2021-02-03T17:07:35.943Z,2.447,-1.126562476158142,25.3984375,-45.576560974121094
1612371987751,2021-02-03T17:07:35.958Z,2.488,-0.3765625059604645,27.2109375,-45.139060974121094
1612371987790,2021-02-03T17:07:35.972Z,2.527,-0.7515624761581421,16.3359375,-45.576560974121094
1612371987830,2021-02-03T17:07:35.987Z,2.567,-0.7515624761581421,17.7734375,-47.139060974121094
1612371987870,2021-02-03T17:07:35.989Z,2.607,-0.0015625000232830644,26.0859375,-44.326560974121094
1612371987909,2021-02-03T17:07:36.003Z,2.646,-1.126562476158142,25.0234375,-46.326560974121094
1612371987949,2021-02-03T17:07:36.017Z,2.686,-2.1890625953674316,25.7734375,-46.326560974121094
1612371987990,2021-02-03T17:07:36.032Z,2.727,-1.126562476158142,26.0859375,-45.139060974121094
1612371988029,2021-02-03T17:07:36.034Z,2.766,-1.126562476158142,23.9609375,-44.764060974121094
1612371988069,2021-02-03T17:07:36.048Z,2.806,-1.126562476158142,25.7734375,-45.576560974121094
1612371988108,2021-02-03T17:07:36.063Z,2.845,-0.3765625059604645,25.3984375,-44.764060974121094
1612371988148,2021-02-03T17:07:36.078Z,2.885,-0.7515624761581421,25.0234375,-46.326560974121094
1612371988189,2021-02-03T17:07:36.093Z,2.926,-1.126562476158142,25.0234375,-43.951560974121094
1612371988228,2021-02-03T17:07:36.107Z,2.965,-1.814062476158142,25.0234375,-44.764060974121094
1612371988268,2021-02-03T17:07:36.109Z,3.005,-1.439062476158142,26.1484375,-45.576560974121094
1612371988308,2021-02-03T17:07:36.124Z,3.045,-0.3765625059604645,25.0234375,-44.326560974121094
1612371988347,2021-02-03T17:07:36.138Z,3.084,-1.126562476158142,25.3984375,-45.139060974121094
1612371988388,2021-02-03T17:07:36.152Z,3.125,-1.439062476158142,25.0234375,-45.576560974121094
1612371988428,2021-02-03T17:07:36.167Z,3.165,-1.439062476158142,25.0234375,-44.326560974121094
1612371988467,2021-02-03T17:07:36.182Z,3.204,-1.439062476158142,23.5859375,-45.576560974121094
1612371988507,2021-02-03T17:07:36.184Z,3.244,-0.7515624761581421,26.0859375,-44.764060974121094
1612371988546,2021-02-03T17:07:36.198Z,3.283,0.6859375238418579,21.3984375,-44.326560974121094
1612371988586,2021-02-03T17:07:36.213Z,3.323,-0.0015625000232830644,16.7109375,-45.139060974121094
1612371988625,2021-02-03T17:07:36.227Z,3.362,-0.3765625059604645,25.7734375,-45.576560974121094
1612371988666,2021-02-03T17:07:36.242Z,3.403,-2.1890625953674316,25.3984375,-44.326560974121094
1612371988706,2021-02-03T17:07:36.244Z,3.443,-1.126562476158142,15.2734375,-45.139060974121094
1612371988746,2021-02-03T17:07:36.258Z,3.483,-1.126562476158142,22.8359375,-44.764060974121094
1612371988785,2021-02-03T17:07:36.273Z,3.522,-1.439062476158142,25.7734375,-44.326560974121094
1612371988825,2021-02-03T17:07:36.287Z,3.562,-0.3765625059604645,21.0234375,-44.764060974121094
1612371988864,2021-02-03T17:07:36.302Z,3.601,0.3734374940395355,25.0234375,-45.139060974121094
1612371988905,2021-02-03T17:07:36.304Z,3.642,-1.126562476158142,25.7734375,-44.764060974121094
1612371988945,2021-02-03T17:07:36.319Z,3.682,-0.0015625000232830644,25.7734375,-45.576560974121094
1612371988984,2021-02-03T17:07:36.333Z,3.721,-0.3765625059604645,25.3984375,-45.951560974121094
1612371989024,2021-02-03T17:07:36.348Z,3.761,-1.439062476158142,25.7734375,-43.951560974121094
1612371989063,2021-02-03T17:07:36.362Z,3.8,-1.126562476158142,27.2109375,-45.139060974121094
1612371989104,2021-02-03T17:07:36.377Z,3.841,-1.126562476158142,26.4609375,-45.576560974121094
1612371989144,2021-02-03T17:07:36.379Z,3.881,-1.126562476158142,25.7734375,-44.764060974121094
1612371989184,2021-02-03T17:07:36.393Z,3.921,-0.7515624761581421,25.0234375,-45.139060974121094
1612371989223,2021-02-03T17:07:36.408Z,3.96,-0.3765625059604645,26.1484375,-44.326560974121094
1612371989263,2021-02-03T17:07:36.439Z,4,-0.3765625059604645,23.9609375,-44.764060974121094
1612371989302,2021-02-03T17:07:36.454Z,4.039,-1.439062476158142,25.7734375,-45.576560974121094
1612371989343,2021-02-03T17:07:36.468Z,4.08,-0.7515624761581421,21.3984375,-44.326560974121094
1612371989383,2021-02-03T17:07:36.483Z,4.12,-0.0015625000232830644,21.7734375,-45.139060974121094
1612371989422,2021-02-03T17:07:36.497Z,4.159,0.3734374940395355,25.7734375,-45.139060974121094
1612371989462,2021-02-03T17:07:36.512Z,4.199,-0.0015625000232830644,25.3984375,-44.764060974121094
1612371989501,2021-02-03T17:07:36.514Z,4.238,-1.439062476158142,24.6484375,-44.326560974121094
1612371989542,2021-02-03T17:07:36.528Z,4.279,-1.126562476158142,25.3984375,-46.326560974121094
1612371989582,2021-02-03T17:07:36.543Z,4.319,-0.7515624761581421,24.6484375,-44.326560974121094
1612371989622,2021-02-03T17:07:36.558Z,4.359,-0.7515624761581421,25.0234375,-43.951560974121094
1612371989661,2021-02-03T17:07:36.572Z,4.398,-1.126562476158142,26.4609375,-46.326560974121094
1612371989701,2021-02-03T17:07:36.574Z,4.438,-0.7515624761581421,26.4609375,-44.764060974121094
1612371989740,2021-02-03T17:07:36.588Z,4.477,-0.3765625059604645,15.9609375,-45.576560974121094
1612371989781,2021-02-03T17:07:36.603Z,4.518,-1.126562476158142,23.2109375,-45.576560974121094
1612371989821,2021-02-03T17:07:36.618Z,4.558,-0.7515624761581421,25.7734375,-45.139060974121094
1612371989860,2021-02-03T17:07:36.632Z,4.597,-0.7515624761581421,10.1484375,-45.139060974121094
1612371989900,2021-02-03T17:07:36.634Z,4.637,-1.439062476158142,26.4609375,-45.576560974121094
1612371989941,2021-02-03T17:07:36.649Z,4.678,-1.126562476158142,25.0234375,-43.139060974121094
1612371989980,2021-02-03T17:07:36.663Z,4.717,-1.126562476158142,25.3984375,-45.951560974121094
1612371990020,2021-02-03T17:07:36.678Z,4.757,-0.7515624761581421,23.9609375,-45.139060974121094
1612371990060,2021-02-03T17:07:36.692Z,4.797,-0.3765625059604645,25.7734375,-44.764060974121094
1612371990099,2021-02-03T17:07:36.707Z,4.836,-1.126562476158142,21.0234375,-46.326560974121094
1612371990139,2021-02-03T17:07:36.709Z,4.876,-0.7515624761581421,21.3984375,-45.951560974121094
1612371990178,2021-02-03T17:07:36.723Z,4.915,-1.126562476158142,25.0234375,-44.326560974121094
1612371990219,2021-02-03T17:07:36.738Z,4.956,-0.3765625059604645,25.0234375,-45.139060974121094
1612371990259,2021-02-03T17:07:36.753Z,4.996,-0.7515624761581421,25.3984375,-44.326560974121094
1612371990298,2021-02-03T17:07:36.767Z,5.035,-0.3765625059604645,25.7734375,-43.951560974121094
1612371990338,2021-02-03T17:07:36.769Z,5.075,-1.439062476158142,26.8359375,-44.764060974121094
1612371990377,2021-02-03T17:07:36.783Z,5.114,-1.439062476158142,25.0234375,-45.139060974121094
1612371990418,2021-02-03T17:07:36.798Z,5.155,-1.439062476158142,25.7734375,-45.576560974121094
1612371990458,2021-02-03T17:07:36.813Z,5.195,-1.814062476158142,26.4609375,-46.326560974121094
1612371990498,2021-02-03T17:07:36.829Z,5.235,-0.3765625059604645,23.9609375,-44.764060974121094
1612371990537,2021-02-03T17:07:36.830Z,5.274,-0.7515624761581421,24.6484375,-44.764060974121094
1612371990577,2021-02-03T17:07:36.844Z,5.314,-1.814062476158142,24.2734375,-44.764060974121094
1612371990616,2021-02-03T17:07:36.858Z,5.353,-1.814062476158142,25.7734375,-44.326560974121094
1612371990657,2021-02-03T17:07:36.872Z,5.394,-1.439062476158142,25.0234375,-43.951560974121094
1612371990697,2021-02-03T17:07:36.887Z,5.434,-0.3765625059604645,26.8359375,-43.514060974121094
1612371990736,2021-02-03T17:07:36.889Z,5.473,-1.126562476158142,26.0859375,-44.326560974121094
1612371990776,2021-02-03T17:07:36.903Z,5.513,-0.7515624761581421,21.0234375,-43.951560974121094
1612371990815,2021-02-03T17:07:36.918Z,5.552,-1.126562476158142,22.8359375,-45.576560974121094
1612371990855,2021-02-03T17:07:36.932Z,5.592,-0.0015625000232830644,25.0234375,-43.514060974121094
1612371990896,2021-02-03T17:07:36.947Z,5.633,-0.3765625059604645,6.2109375,-43.514060974121094
1612371990935,2021-02-03T17:07:36.949Z,5.672,-1.814062476158142,26.0859375,-45.576560974121094
1612371990975,2021-02-03T17:07:36.963Z,5.712,-0.3765625059604645,25.3984375,-44.326560974121094
1612371991015,2021-02-03T17:07:36.978Z,5.752,-0.7515624761581421,23.5859375,-45.576560974121094
1612371991054,2021-02-03T17:07:36.993Z,5.791,-0.7515624761581421,24.6484375,-46.326560974121094
1612371991095,2021-02-03T17:07:37.007Z,5.832,-0.7515624761581421,25.7734375,-45.576560974121094
1612371991135,2021-02-03T17:07:37.009Z,5.872,-0.7515624761581421,24.6484375,-44.326560974121094
1612371991174,2021-02-03T17:07:37.024Z,5.911,-0.3765625059604645,27.2109375,-46.326560974121094
1612371991214,2021-02-03T17:07:37.038Z,5.951,-0.3765625059604645,24.3359375,-45.139060974121094
1612371991253,2021-02-03T17:07:37.053Z,5.99,-1.126562476158142,23.9609375,-45.951560974121094
1612371991294,2021-02-03T17:07:37.068Z,6.031,-0.7515624761581421,26.8359375,-45.576560974121094
1612371991334,2021-02-03T17:07:37.083Z,6.071,-1.126562476158142,25.0234375,-45.576560974121094
1612371991373,2021-02-03T17:07:37.097Z,6.11,-0.7515624761581421,24.2734375,-45.576560974121094
1612371991413,2021-02-03T17:07:37.099Z,6.15,-1.814062476158142,27.2109375,-44.326560974121094
1612371991453,2021-02-03T17:07:37.113Z,6.19,-1.126562476158142,25.7734375,-45.139060974121094
1612371991492,2021-02-03T17:07:37.128Z,6.229,-0.0015625000232830644,25.0234375,-45.576560974121094
1612371991533,2021-02-03T17:07:37.143Z,6.27,-1.126562476158142,24.3359375,-42.264060974121094
1612371991573,2021-02-03T17:07:37.157Z,6.31,-1.439062476158142,24.6484375,-44.326560974121094
1612371991612,2021-02-03T17:07:37.159Z,6.349,-0.3765625059604645,23.5859375,-45.951560974121094
