epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1612373182555,2021-02-03T17:27:14.614Z,0.036,0.8841463327407837,-0.18132221698760986,-1.3703465461730957
1612373182596,2021-02-03T17:27:14.630Z,0.077,-1.0060975551605225,0.24550706148147583,-0.3337612450122833
1612373182637,2021-02-03T17:27:14.658Z,0.118,2.22560977935791,0.48940950632095337,-0.9435173273086548
1612373182677,2021-02-03T17:27:14.661Z,0.158,-3.445122003555298,-0.7910782694816589,0.9467265605926514
1612373182718,2021-02-03T17:27:14.675Z,0.199,1.8597561120986938,0.24550706148147583,-0.7605904936790466
1612373182757,2021-02-03T17:27:14.690Z,0.238,-1.0670732259750366,-0.364249050617218,0.15404364466667175
1612373182798,2021-02-03T17:27:14.719Z,0.279,0.7621951103210449,0.001604621298611164,-0.3947368562221527
1612373182838,2021-02-03T17:27:14.733Z,0.319,-0.4573170840740204,0.001604621298611164,-0.15083441138267517
1612373182879,2021-02-03T17:27:14.748Z,0.36,1.1280487775802612,0.06258023530244827,-0.5166880488395691
1612373182919,2021-02-03T17:27:14.750Z,0.4,-1.0060975551605225,-0.4252246618270874,0.09306804090738297
1612373182960,2021-02-03T17:27:14.810Z,0.441,0.8231707811355591,0.24550706148147583,-0.5166880488395691
1612373182999,2021-02-03T17:27:14.825Z,0.48,0.09146341681480408,-0.059370990842580795,-0.3337612450122833
1612373183040,2021-02-03T17:27:14.839Z,0.521,0.09146341681480408,-0.12034659832715988,-0.3337612450122833
1612373183081,2021-02-03T17:27:14.853Z,0.562,-0.9451220035552979,-0.364249050617218,-0.08985879272222519
1612373183121,2021-02-03T17:27:14.855Z,0.602,0.5182926654815674,0.3674582839012146,-0.028883183375000954
1612373183162,2021-02-03T17:27:14.870Z,0.643,0.5182926654815674,0.3064826726913452,-0.8825417160987854
1612373183201,2021-02-03T17:27:14.885Z,0.682,-1.3109755516052246,-0.24229782819747925,0.4589217007160187
1612373183242,2021-02-03T17:27:14.899Z,0.723,0.5182926654815674,0.18453145027160645,-0.3947368562221527
1612373183282,2021-02-03T17:27:14.944Z,0.763,0.21341463923454285,0.06258023530244827,-0.4557124674320221
1612373183323,2021-02-03T17:27:14.946Z,0.804,-0.5182926654815674,-0.18132221698760986,-0.028883183375000954
1612373183362,2021-02-03T17:27:14.960Z,0.843,-1.0060975551605225,-0.18132221698760986,0.09306804090738297
1612373183403,2021-02-03T17:27:14.975Z,0.884,-0.030487805604934692,-0.30327343940734863,0.09306804090738297
