epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612375014464,2021-02-03T17:57:39.705Z,0.001,-0.9761255979537964,-0.16546952724456787,0.1326647251844406
1612375014504,2021-02-03T17:57:39.719Z,0.041,-0.9832056760787964,-0.16937577724456787,0.1341295689344406
1612375014543,2021-02-03T17:57:39.721Z,0.08,-0.9832056760787964,-0.16742265224456787,0.1346178501844406
1612375014583,2021-02-03T17:57:39.736Z,0.12,-0.9800318479537964,-0.16913163661956787,0.1360826939344406
1612375014624,2021-02-03T17:57:39.750Z,0.161,-0.9807642698287964,-0.16791093349456787,0.1326647251844406
1612375014663,2021-02-03T17:57:39.764Z,0.2,-0.9832056760787964,-0.16766679286956787,0.1309557408094406
1612375014703,2021-02-03T17:57:39.766Z,0.24,-0.9849146604537964,-0.16839921474456787,0.1299791783094406
1612375014743,2021-02-03T17:57:39.781Z,0.28,-0.9841822385787964,-0.16595780849456787,0.1304674595594406
1612375014782,2021-02-03T17:57:39.797Z,0.319,-0.9812525510787964,-0.16693437099456787,0.1363268345594406
1612375014823,2021-02-03T17:57:39.811Z,0.36,-0.9812525510787964,-0.16986405849456787,0.1348619908094406
1612375014863,2021-02-03T17:57:39.840Z,0.4,-0.9817408323287964,-0.16742265224456787,0.1304674595594406
1612375014902,2021-02-03T17:57:39.841Z,0.439,-0.9849146604537964,-0.16888749599456787,0.1316881626844406
1612375014942,2021-02-03T17:57:39.857Z,0.479,-0.9812525510787964,-0.16937577724456787,0.1346178501844406
1612375014981,2021-02-03T17:57:39.870Z,0.518,-0.9827173948287964,-0.16717851161956787,0.1333971470594406
1612375015021,2021-02-03T17:57:39.885Z,0.558,-0.9783228635787964,-0.16766679286956787,0.1375475376844406
1612375015062,2021-02-03T17:57:39.899Z,0.599,-0.9854029417037964,-0.16961991786956787,0.1360826939344406
1612375015101,2021-02-03T17:57:39.914Z,0.638,-0.9783228635787964,-0.16717851161956787,0.1324205845594406
1612375015141,2021-02-03T17:57:39.916Z,0.678,-0.9805201292037964,-0.16644608974456787,0.1343737095594406
1612375015181,2021-02-03T17:57:39.931Z,0.718,-0.9829615354537964,-0.16791093349456787,0.1380358189344406
1612375015220,2021-02-03T17:57:39.945Z,0.757,-0.9795435667037964,-0.16791093349456787,0.1360826939344406
1612375015261,2021-02-03T17:57:39.960Z,0.798,-0.9841822385787964,-0.16498124599456787,0.1363268345594406
1612375015301,2021-02-03T17:57:39.974Z,0.838,-0.9812525510787964,-0.16742265224456787,0.1358385533094406
1612375015340,2021-02-03T17:57:39.976Z,0.877,-0.9832056760787964,-0.16791093349456787,0.1375475376844406
1612375015380,2021-02-03T17:57:39.991Z,0.917,-0.9807642698287964,-0.16742265224456787,0.1375475376844406
1612375015419,2021-02-03T17:57:40.006Z,0.956,-0.9827173948287964,-0.16742265224456787,0.1370592564344406
1612375015459,2021-02-03T17:57:40.020Z,0.996,-0.9834498167037964,-0.16937577724456787,0.1348619908094406
1612375015500,2021-02-03T17:57:40.034Z,1.037,-0.9805201292037964,-0.16571366786956787,0.1353502720594406
1612375015539,2021-02-03T17:57:40.036Z,1.076,-0.9856470823287964,-0.16742265224456787,0.1375475376844406
1612375015579,2021-02-03T17:57:40.051Z,1.116,-0.9817408323287964,-0.17035233974456787,0.1409655064344406
1612375015619,2021-02-03T17:57:40.065Z,1.156,-0.9795435667037964,-0.16498124599456787,0.1390123814344406
1612375015658,2021-02-03T17:57:40.080Z,1.195,-0.9802759885787964,-0.16400468349456787,0.1399889439344406
1612375015699,2021-02-03T17:57:40.095Z,1.236,-0.9861353635787964,-0.16864335536956787,0.1397448033094406
1612375015739,2021-02-03T17:57:40.109Z,1.276,-0.9778345823287964,-0.16522538661956787,0.1377916783094406
1612375015778,2021-02-03T17:57:40.111Z,1.315,-0.9827173948287964,-0.16546952724456787,0.1392565220594406
1612375015818,2021-02-03T17:57:40.126Z,1.355,-0.9812525510787964,-0.17303788661956787,0.1370592564344406
1612375015857,2021-02-03T17:57:40.141Z,1.394,-0.9785670042037964,-0.17230546474456787,0.1402330845594406
1612375015898,2021-02-03T17:57:40.170Z,1.435,-0.9785670042037964,-0.16742265224456787,0.1434069126844406
1612375015938,2021-02-03T17:57:40.201Z,1.475,-0.9768580198287964,-0.16546952724456787,0.1416979283094406
1612375015977,2021-02-03T17:57:40.216Z,1.514,-0.9861353635787964,-0.16595780849456787,0.1375475376844406
1612375016017,2021-02-03T17:57:40.230Z,1.554,-0.9834498167037964,-0.17352616786956787,0.1329088658094406
1612375016056,2021-02-03T17:57:40.244Z,1.593,-0.9844263792037964,-0.16620194911956787,0.1360826939344406
1612375016096,2021-02-03T17:57:40.259Z,1.633,-0.9761255979537964,-0.15985429286956787,0.1475573033094406
1612375016137,2021-02-03T17:57:40.261Z,1.674,-0.9814966917037964,-0.16376054286956787,0.1365709751844406
1612375016177,2021-02-03T17:57:40.275Z,1.714,-0.9876002073287964,-0.17669999599456787,0.1341295689344406
1612375016216,2021-02-03T17:57:40.290Z,1.753,-0.9846705198287964,-0.16693437099456787,0.1336412876844406
1612375016256,2021-02-03T17:57:40.305Z,1.793,-0.9771021604537964,-0.16620194911956787,0.1368151158094406
1612375016295,2021-02-03T17:57:40.319Z,1.832,-0.9912623167037964,-0.17572343349456787,0.1478014439344406
1612375016336,2021-02-03T17:57:40.321Z,1.873,-0.9727076292037964,-0.15985429286956787,0.1482897251844406
