epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1612377048448,2021-02-03T18:31:30.744Z,0.022,1.1890244483947754,0.6113607287406921,-0.5776636600494385
1612377048489,2021-02-03T18:31:30.746Z,0.063,0.4573170840740204,0.7333119511604309,-0.7605904936790466
1612377048529,2021-02-03T18:31:30.757Z,0.103,0.7621951103210449,0.6113607287406921,-0.821566104888916
1612377048570,2021-02-03T18:31:30.759Z,0.144,1.0670732259750366,0.24550706148147583,-0.4557124674320221
1612377048609,2021-02-03T18:31:30.761Z,0.183,0.5182926654815674,0.6723363399505615,0.21501925587654114
1612377048650,2021-02-03T18:31:30.772Z,0.224,0.396341472864151,-0.059370990842580795,-0.5776636600494385
1612377048691,2021-02-03T18:31:30.774Z,0.265,0.4573170840740204,-0.059370990842580795,-0.27278563380241394
1612377048731,2021-02-03T18:31:30.776Z,0.305,0.4573170840740204,0.18453145027160645,-0.5166880488395691
1612377048772,2021-02-03T18:31:30.788Z,0.346,0.8231707811355591,-0.12034659832715988,-0.5776636600494385
1612377048812,2021-02-03T18:31:30.790Z,0.386,0.8231707811355591,0.48940950632095337,-0.821566104888916
1612377048853,2021-02-03T18:31:30.791Z,0.427,0.7621951103210449,0.7942875623703003,-0.21181002259254456
1612377048892,2021-02-03T18:31:30.803Z,0.466,0.7621951103210449,0.3674582839012146,-0.6386392712593079
1612377048933,2021-02-03T18:31:30.805Z,0.507,1.0060975551605225,0.12355584651231766,-0.7605904936790466
1612377048973,2021-02-03T18:31:30.807Z,0.547,0.7621951103210449,0.3064826726913452,-0.15083441138267517
1612377049014,2021-02-03T18:31:30.818Z,0.588,0.5182926654815674,0.06258023530244827,-0.4557124674320221
1612377049053,2021-02-03T18:31:30.821Z,0.627,0.5792683362960815,0.3064826726913452,-0.21181002259254456
1612377049094,2021-02-03T18:31:30.832Z,0.668,0.8841463327407837,0.3064826726913452,-0.5776636600494385
